# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,SHIBUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-05-10T11:00:00+00:00Z
# t0_final_iso,2021-05-10T11:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,076dee0d6718fc1e
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-05-10T11:00:00+00:00Z,2021-05-10T11:59:59.999000+00:00Z,1.412e-05,5e-05,1.412e-05,2.971e-05,15274305779676.0,498117069.24207497,730457,7922163632675.0,261393875.00692302
2021-05-10T12:00:00+00:00Z,2021-05-10T12:59:59.999000+00:00Z,2.972e-05,3.923e-05,2.881e-05,3.336e-05,12900462494104.0,444537278.3412871,613245,6863991231541.0,236684944.8739337
2021-05-10T13:00:00+00:00Z,2021-05-10T13:59:59.999000+00:00Z,3.336e-05,3.581e-05,2.888e-05,3.091e-05,8472225093842.0,273209506.1852522,424398,4128435606580.0,133564521.33179323
2021-05-10T14:00:00+00:00Z,2021-05-10T14:59:59.999000+00:00Z,3.091e-05,3.12e-05,2.775e-05,2.937e-05,5786327324219.0,168973023.2907935,302869,2894600583737.0,84719099.34952988
2021-05-10T15:00:00+00:00Z,2021-05-10T15:59:59.999000+00:00Z,2.937e-05,3.098e-05,2.881e-05,2.92e-05,3593920160363.0,107409171.34228437,205869,1906123280533.0,57017973.87512782
2021-05-10T16:00:00+00:00Z,2021-05-10T16:59:59.999000+00:00Z,2.92e-05,2.939e-05,2.404e-05,2.415e-05,5915993503150.0,156387101.53633764,278130,2680498177854.0,70872935.35413659
2021-05-10T17:00:00+00:00Z,2021-05-10T17:59:59.999000+00:00Z,2.414e-05,2.852e-05,2.407e-05,2.692e-05,5648140955235.0,152666808.93397024,250202,3062196112543.0,82736981.85711946
2021-05-10T18:00:00+00:00Z,2021-05-10T18:59:59.999000+00:00Z,2.692e-05,2.74e-05,2.52e-05,2.729e-05,2831224451893.0,74374740.63683385,154355,1475585660235.0,38808072.60641256
2021-05-10T19:00:00+00:00Z,2021-05-10T19:59:59.999000+00:00Z,2.729e-05,3.244e-05,2.631e-05,2.995e-05,6130918029504.0,179620663.19244668,283399,3282231731867.0,96068628.76723792
2021-05-10T20:00:00+00:00Z,2021-05-10T20:59:59.999000+00:00Z,2.995e-05,3.049e-05,2.581e-05,3.036e-05,4674903545600.0,132282973.35634762,230742,2428219710522.0,68933450.82129581
