# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,SKLUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2020-12-01T01:00:00+00:00Z
# t0_final_iso,2020-12-01T01:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,f5f24a6ddd410b59
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-12-01T01:00:00+00:00Z,2020-12-01T01:59:59.999000+00:00Z,0.03,0.14,0.03,0.07636,77385290.6,7124002.794824,24068,36544877.9,3398646.034609
2020-12-01T02:00:00+00:00Z,2020-12-01T02:59:59.999000+00:00Z,0.07609,0.09848,0.07583,0.09848,37098411.5,3327161.300195,10048,20203056.5,1813929.660993
2020-12-01T03:00:00+00:00Z,2020-12-01T03:59:59.999000+00:00Z,0.09848,0.10463,0.09,0.09786,37435238.9,3680598.915822,9890,22331068.7,2205277.439196
2020-12-01T04:00:00+00:00Z,2020-12-01T04:59:59.999000+00:00Z,0.09691,0.09706,0.08305,0.0912,16102484.8,1437296.693778,3803,8014858.8,716555.307228
2020-12-01T05:00:00+00:00Z,2020-12-01T05:59:59.999000+00:00Z,0.09121,0.09667,0.08833,0.08888,12303725.2,1137543.58717,2976,6837025.6,635197.987695
2020-12-01T06:00:00+00:00Z,2020-12-01T06:59:59.999000+00:00Z,0.08888,0.0951,0.088,0.09185,7360112.1,679199.608672,1936,4433812.4,409743.788698
2020-12-01T07:00:00+00:00Z,2020-12-01T07:59:59.999000+00:00Z,0.09186,0.09229,0.08611,0.08703,8225159.7,730834.306689,2804,3267447.1,291201.537527
2020-12-01T08:00:00+00:00Z,2020-12-01T08:59:59.999000+00:00Z,0.08706,0.08837,0.085,0.08722,5343755.7,461152.865553,1570,2499644.7,216516.299782
2020-12-01T09:00:00+00:00Z,2020-12-01T09:59:59.999000+00:00Z,0.08709,0.08709,0.07891,0.08027,8686933.8,722612.052092,2259,2908436.2,242848.188673
2020-12-01T10:00:00+00:00Z,2020-12-01T10:59:59.999000+00:00Z,0.08002,0.08628,0.07625,0.08507,12089108.5,977893.463109,3476,6197559.2,503791.661426
2020-12-01T11:00:00+00:00Z,2020-12-01T11:59:59.999000+00:00Z,0.08513,0.08576,0.07831,0.08159,12146812.6,990299.62304,2628,6159875.8,502158.793647
2020-12-01T12:00:00+00:00Z,2020-12-01T12:59:59.999000+00:00Z,0.08175,0.08435,0.0786,0.0786,11351445.4,916998.32508,3207,6121787.1,496740.798566
2020-12-01T13:00:00+00:00Z,2020-12-01T13:59:59.999000+00:00Z,0.0786,0.07932,0.07686,0.0785,5652707.9,440854.603679,1483,2378514.3,185929.818029
2020-12-01T14:00:00+00:00Z,2020-12-01T14:59:59.999000+00:00Z,0.07838,0.08369,0.07831,0.08339,8855714.3,720930.547295,1944,5282768.2,430274.630962
2020-12-01T15:00:00+00:00Z,2020-12-01T15:59:59.999000+00:00Z,0.08339,0.08339,0.07851,0.07983,4971482.7,403666.916901,1178,2082308.0,169034.991926
2020-12-01T16:00:00+00:00Z,2020-12-01T16:59:59.999000+00:00Z,0.07975,0.08014,0.07739,0.08,4968150.9,391705.108681,1223,2637343.8,208170.558677
2020-12-01T17:00:00+00:00Z,2020-12-01T17:59:59.999000+00:00Z,0.08,0.08482,0.07876,0.08124,5581025.6,458107.58155,1715,2980457.6,244853.0156
2020-12-01T18:00:00+00:00Z,2020-12-01T18:59:59.999000+00:00Z,0.08136,0.0814,0.07819,0.07999,2384478.6,189459.224197,653,938640.0,74696.833237
2020-12-01T19:00:00+00:00Z,2020-12-01T19:59:59.999000+00:00Z,0.07999,0.08072,0.0775,0.0795,6858342.6,541016.244766,1306,3986806.9,314450.802401
2020-12-01T20:00:00+00:00Z,2020-12-01T20:59:59.999000+00:00Z,0.07922,0.08149,0.07802,0.07979,5854936.3,467384.850804,1331,3147875.0,251523.630978
2020-12-01T21:00:00+00:00Z,2020-12-01T21:59:59.999000+00:00Z,0.07979,0.07997,0.07818,0.07857,2158694.0,170336.182542,600,1009927.6,79750.863545
2020-12-01T22:00:00+00:00Z,2020-12-01T22:59:59.999000+00:00Z,0.07863,0.07927,0.07675,0.07751,1874448.6,146582.365964,600,791002.8,62017.163123
2020-12-01T23:00:00+00:00Z,2020-12-01T23:59:59.999000+00:00Z,0.0774,0.07762,0.07105,0.07223,7873362.1,579078.490138,1575,3157360.8,231804.62579
2020-12-02T00:00:00+00:00Z,2020-12-02T00:59:59.999000+00:00Z,0.07189,0.07336,0.0695,0.0714,4888169.8,348169.138394,1189,1546327.2,110118.376448
2020-12-02T01:00:00+00:00Z,2020-12-02T01:59:59.999000+00:00Z,0.07143,0.07226,0.07082,0.0715,1152743.4,82431.490829,460,521401.9,37385.595439
2020-12-02T02:00:00+00:00Z,2020-12-02T02:59:59.999000+00:00Z,0.07151,0.07151,0.0693,0.0693,2084748.2,146091.552186,446,579332.7,40763.322747
2020-12-02T03:00:00+00:00Z,2020-12-02T03:59:59.999000+00:00Z,0.06939,0.07334,0.0693,0.0719,3626914.2,259915.845528,652,1335923.4,95468.602134
2020-12-02T04:00:00+00:00Z,2020-12-02T04:59:59.999000+00:00Z,0.072,0.072,0.06976,0.07076,1694822.7,119863.403959,357,767397.0,54299.285187
2020-12-02T05:00:00+00:00Z,2020-12-02T05:59:59.999000+00:00Z,0.07058,0.07555,0.06981,0.07403,6861556.9,499159.032025,1337,4179522.8,305183.209191
2020-12-02T06:00:00+00:00Z,2020-12-02T06:59:59.999000+00:00Z,0.07403,0.07599,0.07288,0.07361,2984751.7,221350.992322,824,1508081.4,112336.523956
2020-12-02T07:00:00+00:00Z,2020-12-02T07:59:59.999000+00:00Z,0.07361,0.07433,0.07287,0.0742,1584132.2,116628.229973,373,639110.1,47053.717627
2020-12-02T08:00:00+00:00Z,2020-12-02T08:59:59.999000+00:00Z,0.07418,0.07902,0.07391,0.07645,2819530.4,216769.705884,766,1611363.6,123950.503566
2020-12-02T09:00:00+00:00Z,2020-12-02T09:59:59.999000+00:00Z,0.07643,0.07644,0.07311,0.07321,2094684.0,156234.327913,583,984369.6,73467.451603
2020-12-02T10:00:00+00:00Z,2020-12-02T10:59:59.999000+00:00Z,0.07326,0.07368,0.07189,0.07259,1808498.6,131184.070223,474,532730.7,38671.640758
2020-12-02T11:00:00+00:00Z,2020-12-02T11:59:59.999000+00:00Z,0.07239,0.075,0.07239,0.07445,2066672.6,152493.725649,470,763529.0,56262.332065
2020-12-02T12:00:00+00:00Z,2020-12-02T12:59:59.999000+00:00Z,0.07487,0.0749,0.07201,0.07242,1618252.4,118151.445129,412,550160.5,40114.101013
2020-12-02T13:00:00+00:00Z,2020-12-02T13:59:59.999000+00:00Z,0.07273,0.07341,0.0724,0.07252,803297.2,58567.021434,251,229462.7,16772.485106
