# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,SLPUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-04-30T12:00:00+00:00Z
# t0_final_iso,2021-04-30T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,14b6866f046c33ce
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-04-30T12:00:00+00:00Z,2021-04-30T12:59:59.999000+00:00Z,0.1128,0.2,0.1128,0.1803,85301751.0,13859404.8559,46337,41663101.0,6815930.9483
2021-04-30T13:00:00+00:00Z,2021-04-30T13:59:59.999000+00:00Z,0.1804,0.2153,0.1617,0.1975,133851299.0,25316426.4457,62670,68353374.0,12935666.1656
2021-04-30T14:00:00+00:00Z,2021-04-30T14:59:59.999000+00:00Z,0.1973,0.357,0.192,0.2987,477268651.0,133286614.8831,203362,251123299.0,70034966.3107
2021-04-30T15:00:00+00:00Z,2021-04-30T15:59:59.999000+00:00Z,0.2987,0.3153,0.2519,0.2722,296780017.0,82679091.8564,121453,144737554.0,40520614.0919
2021-04-30T16:00:00+00:00Z,2021-04-30T16:59:59.999000+00:00Z,0.2719,0.2722,0.2311,0.24,125201554.0,30720843.71,51505,58296195.0,14316870.6205
2021-04-30T17:00:00+00:00Z,2021-04-30T17:59:59.999000+00:00Z,0.2402,0.2627,0.2252,0.2525,117496805.0,28761640.7904,47370,63319861.0,15537874.4284
2021-04-30T18:00:00+00:00Z,2021-04-30T18:59:59.999000+00:00Z,0.2529,0.2535,0.2152,0.2286,87639112.0,20028772.7672,35491,40057774.0,9140244.0694
2021-04-30T19:00:00+00:00Z,2021-04-30T19:59:59.999000+00:00Z,0.2284,0.2291,0.212,0.2167,42627758.0,9300677.3935,16833,19647179.0,4291482.4089
2021-04-30T20:00:00+00:00Z,2021-04-30T20:59:59.999000+00:00Z,0.2167,0.2171,0.2023,0.2073,55030162.0,11534557.8296,20281,23813343.0,5001474.1058
2021-04-30T21:00:00+00:00Z,2021-04-30T21:59:59.999000+00:00Z,0.2076,0.2445,0.2073,0.2439,82329717.0,18523219.6731,39886,46104373.0,10386711.3957
2021-04-30T22:00:00+00:00Z,2021-04-30T22:59:59.999000+00:00Z,0.2436,0.265,0.2357,0.2358,156541786.0,39120832.6086,83017,79587676.0,19934032.1246
2021-04-30T23:00:00+00:00Z,2021-04-30T23:59:59.999000+00:00Z,0.2358,0.2358,0.2124,0.2166,58365950.0,13278744.1568,29735,24320471.0,5546721.5029
2021-05-01T00:00:00+00:00Z,2021-05-01T00:59:59.999000+00:00Z,0.2166,0.2276,0.202,0.2273,63066755.0,13430254.4901,28881,32681379.0,6975465.2593
2021-05-01T01:00:00+00:00Z,2021-05-01T01:59:59.999000+00:00Z,0.2273,0.2597,0.213,0.2442,88893796.0,20879377.2379,41392,48389436.0,11403184.8863
2021-05-01T02:00:00+00:00Z,2021-05-01T02:59:59.999000+00:00Z,0.2443,0.252,0.2205,0.2418,69359658.0,16416128.033,34447,34059010.0,8078858.7145
2021-05-01T03:00:00+00:00Z,2021-05-01T03:59:59.999000+00:00Z,0.2412,0.2419,0.2228,0.2254,21806901.0,5062032.6515,15090,9244996.0,2150860.9625
2021-05-01T04:00:00+00:00Z,2021-05-01T04:59:59.999000+00:00Z,0.2254,0.24,0.22,0.2207,29056859.0,6665363.1432,17004,12856988.0,2961754.8129
2021-05-01T05:00:00+00:00Z,2021-05-01T05:59:59.999000+00:00Z,0.2207,0.233,0.2201,0.2279,21552867.0,4894297.9779,13556,12007241.0,2731580.4065
2021-05-01T06:00:00+00:00Z,2021-05-01T06:59:59.999000+00:00Z,0.2279,0.2582,0.2262,0.243,75177195.0,18411705.4599,41969,42674960.0,10458322.3786
