# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,SNXUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2020-10-08T14:00:00+00:00Z
# t0_final_iso,2020-10-08T14:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,cad442a40c80619b
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T14:00:00+00:00Z,2020-10-08T14:59:59.999000+00:00Z,3.798,3.959,3.763,3.925,80931.787,313861.211007,1242,41817.078,161940.546285
2020-10-08T15:00:00+00:00Z,2020-10-08T15:59:59.999000+00:00Z,3.925,3.982,3.906,3.959,60452.019,238699.064693,881,33195.013,131082.355992
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,3.959,4.035,3.955,3.983,69635.381,277851.575187,1287,43267.928,172603.039405
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,3.983,4.049,3.928,3.972,42577.037,169650.985337,974,22977.446,91622.024784
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,3.972,3.997,3.943,3.975,22587.454,89724.990141,405,13325.698,52936.566898
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,3.978,4.009,3.95,3.955,29005.323,115118.909641,676,15767.622,62576.366598
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,3.955,3.995,3.955,3.965,23296.817,92679.411178,337,10977.3,43575.224388
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,3.961,4.066,3.957,3.994,19179.61,76856.760253,501,12335.251,49488.511795
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,3.993,4.041,3.99,4.006,20904.866,83871.359296,408,12823.967,51436.945024
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,4.005,4.005,3.94,3.957,12836.054,50780.368234,338,5475.326,21662.086694
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,3.954,3.969,3.844,3.855,36218.401,141316.063647,662,13156.009,51356.292581
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,3.856,3.895,3.834,3.87,34171.941,131981.838012,484,16879.983,65212.849736
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,3.873,3.898,3.857,3.886,19316.267,74859.376887,348,11773.216,45638.313238
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,3.887,3.9,3.758,3.824,151407.525,577411.634517,2120,92407.095,352068.375047
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,3.812,3.824,3.769,3.797,15906.249,60482.702977,250,6162.43,23430.936812
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,3.797,3.84,3.797,3.809,53842.882,205571.70578,532,20465.88,78196.16824
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,3.811,3.811,3.763,3.796,21216.085,80442.437359,280,9139.598,34644.519086
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,3.795,3.9,3.794,3.891,51274.397,198231.799735,787,28743.937,111103.670836
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,3.878,3.917,3.865,3.917,15634.485,60864.870591,280,7741.595,30160.796278
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,3.92,3.923,3.857,3.863,22275.911,86474.709964,341,10216.367,39600.72053
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,3.864,4.1,3.853,4.081,81037.03,325500.628916,1941,39918.528,160117.8362
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,4.082,4.209,4.075,4.15,102254.08,424247.748099,1868,61772.757,256341.137305
2020-10-09T12:00:00+00:00Z,2020-10-09T12:59:59.999000+00:00Z,4.157,4.297,4.151,4.247,54564.836,230615.669212,1617,35608.173,150396.675165
2020-10-09T13:00:00+00:00Z,2020-10-09T13:59:59.999000+00:00Z,4.247,4.333,4.182,4.226,109736.067,468679.237013,2005,59749.223,254869.033094
2020-10-09T14:00:00+00:00Z,2020-10-09T14:59:59.999000+00:00Z,4.227,4.257,4.19,4.207,37837.086,159708.866729,790,12617.412,53268.828007
2020-10-09T15:00:00+00:00Z,2020-10-09T15:59:59.999000+00:00Z,4.221,4.278,4.196,4.261,28752.587,121922.224195,622,16231.204,68911.726044
2020-10-09T16:00:00+00:00Z,2020-10-09T16:59:59.999000+00:00Z,4.267,4.305,4.221,4.241,64606.246,275586.767067,1254,37493.008,160000.594732
2020-10-09T17:00:00+00:00Z,2020-10-09T17:59:59.999000+00:00Z,4.24,4.259,4.231,4.252,6037.444,25603.84712,172,3296.186,13984.895161
2020-10-09T18:00:00+00:00Z,2020-10-09T18:59:59.999000+00:00Z,4.251,4.251,4.081,4.119,66023.605,273587.485103,1155,32989.787,136656.986019
2020-10-09T19:00:00+00:00Z,2020-10-09T19:59:59.999000+00:00Z,4.121,4.138,4.052,4.054,22667.433,92557.2617,429,9698.082,39686.501084
2020-10-09T20:00:00+00:00Z,2020-10-09T20:59:59.999000+00:00Z,4.054,4.153,4.049,4.123,32652.667,133764.586675,591,17693.913,72529.507835
2020-10-09T21:00:00+00:00Z,2020-10-09T21:59:59.999000+00:00Z,4.117,4.239,4.079,4.239,24535.026,101787.243224,637,12150.951,50486.803059
2020-10-09T22:00:00+00:00Z,2020-10-09T22:59:59.999000+00:00Z,4.239,4.32,4.204,4.308,23505.23,100115.217121,786,13830.491,58937.451127
2020-10-09T23:00:00+00:00Z,2020-10-09T23:59:59.999000+00:00Z,4.308,4.389,4.271,4.294,37864.357,163756.125821,1133,20563.519,89002.993804
2020-10-10T00:00:00+00:00Z,2020-10-10T00:59:59.999000+00:00Z,4.293,4.333,4.288,4.311,11493.527,49534.701458,258,5893.929,25415.093052
2020-10-10T01:00:00+00:00Z,2020-10-10T01:59:59.999000+00:00Z,4.313,4.318,4.267,4.275,14219.145,61026.636102,268,3865.455,16606.535623
2020-10-10T02:00:00+00:00Z,2020-10-10T02:59:59.999000+00:00Z,4.279,4.39,4.279,4.329,90864.466,393607.145241,1221,44702.888,193935.537863
2020-10-10T03:00:00+00:00Z,2020-10-10T03:59:59.999000+00:00Z,4.339,4.462,4.336,4.399,65315.94,287536.586643,1303,35363.664,155777.822535
2020-10-10T04:00:00+00:00Z,2020-10-10T04:59:59.999000+00:00Z,4.397,4.411,4.346,4.364,10580.668,46292.320265,344,5229.553,22906.720313
2020-10-10T05:00:00+00:00Z,2020-10-10T05:59:59.999000+00:00Z,4.372,4.375,4.317,4.336,12576.966,54628.675274,354,6221.78,27062.853955
2020-10-10T06:00:00+00:00Z,2020-10-10T06:59:59.999000+00:00Z,4.326,4.372,4.32,4.339,15127.484,65676.285344,319,8667.029,37629.880916
2020-10-10T07:00:00+00:00Z,2020-10-10T07:59:59.999000+00:00Z,4.342,4.388,4.333,4.384,11241.376,49228.864112,354,7230.537,31683.534356
2020-10-10T08:00:00+00:00Z,2020-10-10T08:59:59.999000+00:00Z,4.386,4.388,4.347,4.366,20235.215,88477.226056,340,10505.515,45970.369608
2020-10-10T09:00:00+00:00Z,2020-10-10T09:59:59.999000+00:00Z,4.367,4.382,4.298,4.312,45964.355,200078.753741,734,29994.316,130791.360916
2020-10-10T10:00:00+00:00Z,2020-10-10T10:59:59.999000+00:00Z,4.312,4.325,4.193,4.279,53113.872,226143.130918,1057,23491.199,100067.309809
2020-10-10T11:00:00+00:00Z,2020-10-10T11:59:59.999000+00:00Z,4.277,4.305,4.246,4.258,6092.767,26028.98573,191,3415.926,14597.834077
2020-10-10T12:00:00+00:00Z,2020-10-10T12:59:59.999000+00:00Z,4.253,4.253,4.178,4.21,22890.412,96388.270558,479,7511.712,31632.205806
