# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,SOLUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-10-08T16:00:00+00:00Z
# t0_final_iso,2020-10-08T16:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,fe05cf710bbd323e
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,2.425,2.4569,2.3652,2.3761,171120.65,410427.667025,1510,94727.93,227295.923229
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,2.3769,2.3897,2.3088,2.3193,96122.73,225717.680394,661,42058.86,98837.598185
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,2.3193,2.3731,2.2916,2.346,70372.08,163418.036375,592,37776.44,87737.003419
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,2.346,2.351,2.3173,2.32,35163.39,81969.53984,354,13098.79,30560.419592
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,2.328,2.3472,2.31,2.3249,24524.92,57098.229967,284,10051.6,23415.018236
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,2.3318,2.3647,2.3252,2.353,35259.76,82702.24121,353,17716.2,41463.569901
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,2.35,2.3829,2.3499,2.3685,27484.96,65199.024033,319,16077.53,38149.804451
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,2.3716,2.3853,2.3501,2.3638,56966.02,134650.518964,414,38955.74,92059.869126
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,2.3686,2.3731,2.303,2.3268,61412.59,142896.371436,702,27463.24,63959.46442
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,2.3199,2.3452,2.3173,2.3402,27302.26,63572.667493,274,15150.13,35285.085706
