# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,SPELLUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-12-24T08:00:00+00:00Z
# t0_final_iso,2021-12-24T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,99093edf629b3e2b
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-12-24T08:00:00+00:00Z,2021-12-24T08:59:59.999000+00:00Z,0.02357,0.0281,0.02357,0.0246,422538803.0,10738710.11782,24937,256636772.0,6534371.17821
2021-12-24T09:00:00+00:00Z,2021-12-24T09:59:59.999000+00:00Z,0.02461,0.02529,0.0243,0.0249,38728001.0,956656.10704,3287,23012503.0,569034.33502
2021-12-24T10:00:00+00:00Z,2021-12-24T10:59:59.999000+00:00Z,0.02492,0.02529,0.0248,0.02521,31997900.0,803714.63239,2808,18429279.0,463076.23744
2021-12-24T11:00:00+00:00Z,2021-12-24T11:59:59.999000+00:00Z,0.02521,0.02526,0.02442,0.02499,50614091.0,1254782.95061,3882,31968855.0,792400.66327
2021-12-24T12:00:00+00:00Z,2021-12-24T12:59:59.999000+00:00Z,0.02499,0.02529,0.02478,0.02483,29940348.0,748804.68166,3433,14519130.0,363549.02436
2021-12-24T13:00:00+00:00Z,2021-12-24T13:59:59.999000+00:00Z,0.02479,0.02495,0.02394,0.02443,41558027.0,1011459.914,3381,17840879.0,434342.85762
2021-12-24T14:00:00+00:00Z,2021-12-24T14:59:59.999000+00:00Z,0.02444,0.02448,0.0238,0.02386,24385881.0,591378.75627,2262,9320935.0,226126.7349
2021-12-24T15:00:00+00:00Z,2021-12-24T15:59:59.999000+00:00Z,0.02386,0.02404,0.02321,0.02388,42961227.0,1014718.17853,3115,22403948.0,527729.07882
2021-12-24T16:00:00+00:00Z,2021-12-24T16:59:59.999000+00:00Z,0.0239,0.02425,0.02372,0.02396,18800987.0,450950.72824,1825,9398315.0,225619.78226
2021-12-24T17:00:00+00:00Z,2021-12-24T17:59:59.999000+00:00Z,0.02392,0.02397,0.02347,0.02378,18451216.0,437199.07098,1659,7728393.0,183073.52993
2021-12-24T18:00:00+00:00Z,2021-12-24T18:59:59.999000+00:00Z,0.02378,0.02382,0.0229,0.02309,28307360.0,656639.96174,2091,10973551.0,254588.98687
2021-12-24T19:00:00+00:00Z,2021-12-24T19:59:59.999000+00:00Z,0.02309,0.02465,0.0225,0.02301,40803854.0,945886.79582,3160,16628787.0,387651.72373
2021-12-24T20:00:00+00:00Z,2021-12-24T20:59:59.999000+00:00Z,0.02303,0.02304,0.02213,0.02294,32280831.0,731133.30854,2495,11506533.0,261551.74668
2021-12-24T21:00:00+00:00Z,2021-12-24T21:59:59.999000+00:00Z,0.02289,0.02321,0.02277,0.02282,19020063.0,436753.29097,1431,8111430.0,186399.40853
2021-12-24T22:00:00+00:00Z,2021-12-24T22:59:59.999000+00:00Z,0.02281,0.02286,0.02226,0.02234,19599849.0,442890.94691,1875,7897925.0,178628.72464
2021-12-24T23:00:00+00:00Z,2021-12-24T23:59:59.999000+00:00Z,0.02231,0.02241,0.02142,0.02179,28653885.0,632229.20633,2160,14637667.0,323554.40571
2021-12-25T00:00:00+00:00Z,2021-12-25T00:59:59.999000+00:00Z,0.02177,0.02295,0.02176,0.02255,26208254.0,589898.93885,1701,11343482.0,254339.56701
2021-12-25T01:00:00+00:00Z,2021-12-25T01:59:59.999000+00:00Z,0.02248,0.02287,0.02232,0.0224,13457538.0,304099.7124,907,5608025.0,126701.69949
2021-12-25T02:00:00+00:00Z,2021-12-25T02:59:59.999000+00:00Z,0.02244,0.02297,0.0223,0.02258,13049054.0,294873.46628,1127,7428495.0,167931.52923
2021-12-25T03:00:00+00:00Z,2021-12-25T03:59:59.999000+00:00Z,0.02258,0.02285,0.02222,0.02285,11450298.0,257240.2251,974,5104531.0,114850.8705
2021-12-25T04:00:00+00:00Z,2021-12-25T04:59:59.999000+00:00Z,0.02285,0.02347,0.02246,0.02327,14446294.0,333928.60225,1241,7098032.0,163846.95862
2021-12-25T05:00:00+00:00Z,2021-12-25T05:59:59.999000+00:00Z,0.02328,0.0235,0.023,0.02334,8480986.0,197212.1181,781,4379801.0,101848.59267
2021-12-25T06:00:00+00:00Z,2021-12-25T06:59:59.999000+00:00Z,0.02331,0.02369,0.02281,0.02328,43340489.0,1005543.09378,3764,23803664.0,552440.91501
2021-12-25T07:00:00+00:00Z,2021-12-25T07:59:59.999000+00:00Z,0.02324,0.02334,0.02265,0.02282,29395544.0,676773.04473,3828,11584760.0,266575.60826
2021-12-25T08:00:00+00:00Z,2021-12-25T08:59:59.999000+00:00Z,0.02285,0.02348,0.02275,0.02315,35165649.0,810232.66576,2721,18416912.0,424988.67385
2021-12-25T09:00:00+00:00Z,2021-12-25T09:59:59.999000+00:00Z,0.02315,0.0233,0.02288,0.02306,12632076.0,291752.4146,1145,6177401.0,142605.37545
