# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,SUNUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-10-08T16:00:00+00:00Z
# t0_final_iso,2020-10-08T16:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,6d20e298516fab9b
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,14.515,14.695,14.42,14.464,1600.475,23257.840024,162,1163.279,16909.436523
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,14.514,14.524,14.328,14.349,1726.962,24876.93791,118,779.147,11211.631515
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,14.336,14.387,14.213,14.326,364.702,5228.478915,35,130.104,1865.699062
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,14.337,14.613,14.331,14.576,2157.055,31356.537659,225,1016.514,14758.486745
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,14.583,14.601,14.464,14.482,453.919,6609.091584,55,196.398,2860.190781
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,14.498,14.524,14.32,14.421,828.743,11935.782949,73,340.559,4923.233718
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,14.422,14.487,14.267,14.477,907.496,13094.832895,82,457.054,6594.782062
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,14.459,14.494,14.354,14.4,763.288,11006.954989,48,435.021,6272.432175
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,14.396,14.477,14.292,14.344,1828.827,26341.339352,96,785.851,11321.046132
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,14.35,14.563,14.312,14.516,1213.866,17572.189158,89,249.5,3609.814216
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,14.562,14.636,14.516,14.582,1549.787,22618.791081,107,957.008,13975.636358
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,14.583,14.615,14.529,14.607,364.04,5299.013663,48,119.152,1735.774169
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,14.572,14.58,14.434,14.434,446.454,6467.81632,38,251.966,3645.240671
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,14.415,14.441,14.301,14.301,327.914,4718.231498,35,137.033,1972.264238
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,14.3,14.3,14.231,14.282,1111.42,15844.359917,69,540.636,7705.091384
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,14.246,14.464,14.245,14.403,1019.456,14607.633644,82,583.135,8364.867365
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,14.411,14.564,14.293,14.3,512.361,7359.961411,70,229.693,3305.605409
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,14.3,14.326,14.2,14.253,346.585,4948.133783,36,76.108,1089.005214
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,14.212,14.6,14.161,14.493,1231.372,17772.81654,138,627.829,9048.932984
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,14.559,14.793,14.559,14.646,4217.554,61943.533238,227,719.837,10562.678399
2020-10-09T12:00:00+00:00Z,2020-10-09T12:59:59.999000+00:00Z,14.649,14.649,14.439,14.502,2597.197,37746.70407,137,992.852,14418.31911
2020-10-09T13:00:00+00:00Z,2020-10-09T13:59:59.999000+00:00Z,14.486,14.53,14.342,14.429,1068.457,15427.561298,92,375.675,5427.952176
