# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,SXPUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2020-10-08T14:00:00+00:00Z
# t0_final_iso,2020-10-08T14:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,a1cd2cabab959dfc
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T14:00:00+00:00Z,2020-10-08T14:59:59.999000+00:00Z,1.188,1.243,1.178,1.227,1735982.503,2099915.379233,5830,941697.231,1139494.485446
2020-10-08T15:00:00+00:00Z,2020-10-08T15:59:59.999000+00:00Z,1.227,1.313,1.204,1.275,2735109.034,3442818.705307,10947,1332429.317,1681016.368915
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,1.277,1.294,1.253,1.272,1363211.843,1732020.159427,5443,606870.499,771393.514074
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,1.272,1.283,1.247,1.26,1029007.904,1301215.183437,3521,502398.812,635528.359594
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,1.262,1.284,1.244,1.277,715187.646,907170.025632,3129,358424.141,455111.751695
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,1.277,1.293,1.265,1.284,479749.065,614599.120015,2226,264668.134,339457.719922
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,1.283,1.295,1.262,1.285,585967.65,749057.337574,2564,236833.913,302998.184851
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,1.285,1.34,1.282,1.328,1447681.389,1906468.412033,5675,737393.929,970348.15612
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,1.328,1.337,1.306,1.306,776071.031,1026881.296621,3126,331524.896,439204.369327
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,1.307,1.319,1.288,1.315,775298.19,1010422.238149,3391,313708.374,409124.305312
