# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,SYSUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2021-09-24T10:00:00+00:00Z
# t0_final_iso,2021-09-24T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,dac46d4516a726d9
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-09-24T10:00:00+00:00Z,2021-09-24T10:59:59.999000+00:00Z,0.2863,0.329,0.285,0.3,4852348.0,1475450.1494,5005,2118561.0,646266.6554
2021-09-24T11:00:00+00:00Z,2021-09-24T11:59:59.999000+00:00Z,0.3,0.32,0.293,0.2981,2596783.0,787763.9456,2467,993618.0,301358.6939
2021-09-24T12:00:00+00:00Z,2021-09-24T12:59:59.999000+00:00Z,0.298,0.308,0.29,0.2932,995903.0,297560.6731,1235,354011.0,106502.1027
2021-09-24T13:00:00+00:00Z,2021-09-24T13:59:59.999000+00:00Z,0.2937,0.3149,0.2909,0.305,2921155.0,893904.1999,2582,1696611.0,518976.3688
2021-09-24T14:00:00+00:00Z,2021-09-24T14:59:59.999000+00:00Z,0.305,0.3267,0.3048,0.3103,2672793.0,847902.2584,2630,978261.0,310225.5016
2021-09-24T15:00:00+00:00Z,2021-09-24T15:59:59.999000+00:00Z,0.3101,0.32,0.3019,0.3068,962949.0,297656.6365,1027,364194.0,112629.0142
2021-09-24T16:00:00+00:00Z,2021-09-24T16:59:59.999000+00:00Z,0.306,0.32,0.3034,0.3093,1047045.0,324365.0724,1185,563352.0,175159.7182
2021-09-24T17:00:00+00:00Z,2021-09-24T17:59:59.999000+00:00Z,0.3093,0.3138,0.3041,0.3054,402969.0,123632.6316,540,117480.0,36104.2462
2021-09-24T18:00:00+00:00Z,2021-09-24T18:59:59.999000+00:00Z,0.3054,0.3239,0.3042,0.3135,1579767.0,501141.0951,1843,742311.0,235522.5671
2021-09-24T19:00:00+00:00Z,2021-09-24T19:59:59.999000+00:00Z,0.3136,0.325,0.3114,0.3161,638004.0,201250.4997,1070,301046.0,95227.9286
2021-09-24T20:00:00+00:00Z,2021-09-24T20:59:59.999000+00:00Z,0.316,0.3216,0.3093,0.3187,717575.0,225395.2531,906,428248.0,134476.9434
2021-09-24T21:00:00+00:00Z,2021-09-24T21:59:59.999000+00:00Z,0.3178,0.325,0.3121,0.3154,509300.0,161500.2462,768,219301.0,69744.6425
2021-09-24T22:00:00+00:00Z,2021-09-24T22:59:59.999000+00:00Z,0.3155,0.3157,0.3083,0.3112,327555.0,102105.6112,480,144186.0,44973.1132
2021-09-24T23:00:00+00:00Z,2021-09-24T23:59:59.999000+00:00Z,0.3107,0.3197,0.309,0.3129,521340.0,162956.9084,913,268862.0,84159.5672
2021-09-25T00:00:00+00:00Z,2021-09-25T00:59:59.999000+00:00Z,0.3121,0.3523,0.3113,0.3404,11012579.0,3722663.315,5328,6326766.0,2142056.9107
2021-09-25T01:00:00+00:00Z,2021-09-25T01:59:59.999000+00:00Z,0.3404,0.348,0.3251,0.3397,3126216.0,1049269.6651,3493,1508755.0,506519.934
2021-09-25T02:00:00+00:00Z,2021-09-25T02:59:59.999000+00:00Z,0.3402,0.349,0.3291,0.3322,1305254.0,438597.73,1491,602816.0,202509.065
2021-09-25T03:00:00+00:00Z,2021-09-25T03:59:59.999000+00:00Z,0.3316,0.3353,0.3247,0.3257,1209413.0,396876.4633,1083,464240.0,152260.8905
2021-09-25T04:00:00+00:00Z,2021-09-25T04:59:59.999000+00:00Z,0.3259,0.329,0.3196,0.3214,1105949.0,355809.4391,802,717515.0,230866.2981
2021-09-25T05:00:00+00:00Z,2021-09-25T05:59:59.999000+00:00Z,0.3214,0.3314,0.318,0.3214,1139539.0,368633.198,1003,474526.0,153448.8456
2021-09-25T06:00:00+00:00Z,2021-09-25T06:59:59.999000+00:00Z,0.3214,0.3299,0.3198,0.3256,781305.0,253846.245,808,437449.0,142078.8441
2021-09-25T07:00:00+00:00Z,2021-09-25T07:59:59.999000+00:00Z,0.3259,0.3384,0.3252,0.3301,2178208.0,721940.8198,1610,531166.0,176763.5933
2021-09-25T08:00:00+00:00Z,2021-09-25T08:59:59.999000+00:00Z,0.3301,0.3386,0.3155,0.3305,1751886.0,570687.5202,1443,677805.0,221095.4256
2021-09-25T09:00:00+00:00Z,2021-09-25T09:59:59.999000+00:00Z,0.3291,0.3291,0.3186,0.3227,604728.0,196600.0756,624,266266.0,86646.2589
2021-09-25T10:00:00+00:00Z,2021-09-25T10:59:59.999000+00:00Z,0.3228,0.328,0.3198,0.32,548612.0,177013.1522,482,361986.0,116593.8415
2021-09-25T11:00:00+00:00Z,2021-09-25T11:59:59.999000+00:00Z,0.32,0.3278,0.3181,0.323,479561.0,154461.7333,520,274892.0,88680.5462
2021-09-25T12:00:00+00:00Z,2021-09-25T12:59:59.999000+00:00Z,0.3225,0.3263,0.3192,0.3192,269374.0,86663.1534,362,129956.0,41840.0648
2021-09-25T13:00:00+00:00Z,2021-09-25T13:59:59.999000+00:00Z,0.3206,0.3268,0.3162,0.3199,546631.0,175598.8552,512,331985.0,106671.9387
2021-09-25T14:00:00+00:00Z,2021-09-25T14:59:59.999000+00:00Z,0.3199,0.3207,0.306,0.3096,1446513.0,451233.8526,905,817526.0,254710.411
2021-09-25T15:00:00+00:00Z,2021-09-25T15:59:59.999000+00:00Z,0.3095,0.31,0.3061,0.3079,407384.0,125777.8319,359,233333.0,72192.9324
2021-09-25T16:00:00+00:00Z,2021-09-25T16:59:59.999000+00:00Z,0.3078,0.3084,0.2988,0.3006,937593.0,282502.711,723,666133.0,200696.8881
2021-09-25T17:00:00+00:00Z,2021-09-25T17:59:59.999000+00:00Z,0.3007,0.3014,0.298,0.3001,235031.0,70386.2861,262,121486.0,36382.1298
2021-09-25T18:00:00+00:00Z,2021-09-25T18:59:59.999000+00:00Z,0.3001,0.3015,0.296,0.2988,199170.0,59289.7153,248,73692.0,21984.0173
2021-09-25T19:00:00+00:00Z,2021-09-25T19:59:59.999000+00:00Z,0.2987,0.3031,0.297,0.302,155576.0,46727.8253,198,48942.0,14702.8951
2021-09-25T20:00:00+00:00Z,2021-09-25T20:59:59.999000+00:00Z,0.3016,0.3023,0.3002,0.3002,218562.0,65687.8808,156,62710.0,18875.3383
2021-09-25T21:00:00+00:00Z,2021-09-25T21:59:59.999000+00:00Z,0.3002,0.3011,0.2962,0.2983,173512.0,51941.3699,150,45069.0,13418.3287
2021-09-25T22:00:00+00:00Z,2021-09-25T22:59:59.999000+00:00Z,0.2995,0.2996,0.2956,0.2992,82248.0,24396.3769,117,46937.0,13906.3494
2021-09-25T23:00:00+00:00Z,2021-09-25T23:59:59.999000+00:00Z,0.2976,0.2988,0.2928,0.2981,69658.0,20634.4717,102,11023.0,3283.4024
2021-09-26T00:00:00+00:00Z,2021-09-26T00:59:59.999000+00:00Z,0.2979,0.2984,0.2909,0.2945,130410.0,38521.2481,167,52947.0,15598.5044
2021-09-26T01:00:00+00:00Z,2021-09-26T01:59:59.999000+00:00Z,0.2945,0.2945,0.29,0.2928,155075.0,45241.6254,196,78242.0,22808.7015
2021-09-26T02:00:00+00:00Z,2021-09-26T02:59:59.999000+00:00Z,0.2926,0.2992,0.2868,0.29,277824.0,80371.4721,296,102396.0,29724.1807
2021-09-26T03:00:00+00:00Z,2021-09-26T03:59:59.999000+00:00Z,0.2903,0.2922,0.2887,0.2905,74152.0,21518.2916,121,29915.0,8689.3169
2021-09-26T04:00:00+00:00Z,2021-09-26T04:59:59.999000+00:00Z,0.29,0.2902,0.287,0.2885,56139.0,16192.4799,82,16336.0,4705.8448
2021-09-26T05:00:00+00:00Z,2021-09-26T05:59:59.999000+00:00Z,0.2889,0.2959,0.2884,0.2922,116454.0,33779.5716,144,54416.0,15771.6829
2021-09-26T06:00:00+00:00Z,2021-09-26T06:59:59.999000+00:00Z,0.292,0.2941,0.288,0.2886,94767.0,27557.3794,121,60608.0,17629.7124
2021-09-26T07:00:00+00:00Z,2021-09-26T07:59:59.999000+00:00Z,0.288,0.2885,0.2732,0.275,353729.0,99108.3974,432,173137.0,48545.7132
2021-09-26T08:00:00+00:00Z,2021-09-26T08:59:59.999000+00:00Z,0.275,0.2895,0.2744,0.2787,307802.0,85942.8639,404,173626.0,48479.408
2021-09-26T09:00:00+00:00Z,2021-09-26T09:59:59.999000+00:00Z,0.2806,0.2949,0.2786,0.2939,196939.0,57215.3207,247,83224.0,24181.6724
2021-09-26T10:00:00+00:00Z,2021-09-26T10:59:59.999000+00:00Z,0.2939,0.2962,0.2868,0.2927,167617.0,48962.2488,206,67865.0,19848.3978
2021-09-26T11:00:00+00:00Z,2021-09-26T11:59:59.999000+00:00Z,0.2926,0.2968,0.291,0.2963,144683.0,42437.4704,162,38386.0,11272.5927
2021-09-26T12:00:00+00:00Z,2021-09-26T12:59:59.999000+00:00Z,0.2969,0.3019,0.2964,0.2981,182917.0,54831.8778,224,69635.0,20832.6218
2021-09-26T13:00:00+00:00Z,2021-09-26T13:59:59.999000+00:00Z,0.298,0.298,0.2949,0.2973,75204.0,22313.7547,104,22251.0,6600.7287
2021-09-26T14:00:00+00:00Z,2021-09-26T14:59:59.999000+00:00Z,0.2973,0.3072,0.297,0.305,289785.0,87470.6343,406,163198.0,49360.3602
2021-09-26T15:00:00+00:00Z,2021-09-26T15:59:59.999000+00:00Z,0.3049,0.3096,0.3014,0.3087,532906.0,162885.6428,469,257188.0,78757.0157
2021-09-26T16:00:00+00:00Z,2021-09-26T16:59:59.999000+00:00Z,0.3088,0.33,0.3067,0.312,1850316.0,590112.2214,2806,1054068.0,336023.002
2021-09-26T17:00:00+00:00Z,2021-09-26T17:59:59.999000+00:00Z,0.3133,0.3194,0.309,0.3146,517467.0,162783.6172,837,280035.0,88361.5446
2021-09-26T18:00:00+00:00Z,2021-09-26T18:59:59.999000+00:00Z,0.3145,0.3146,0.3099,0.31,269441.0,83988.9482,331,132377.0,41292.7184
2021-09-26T19:00:00+00:00Z,2021-09-26T19:59:59.999000+00:00Z,0.3102,0.3123,0.3056,0.3064,137715.0,42517.6472,236,56472.0,17466.6913
2021-09-26T20:00:00+00:00Z,2021-09-26T20:59:59.999000+00:00Z,0.3065,0.3189,0.3055,0.3173,444859.0,139408.5107,803,294667.0,92489.7936
2021-09-26T21:00:00+00:00Z,2021-09-26T21:59:59.999000+00:00Z,0.3186,0.3256,0.3134,0.3232,300320.0,96291.6278,412,184756.0,59292.5494
2021-09-26T22:00:00+00:00Z,2021-09-26T22:59:59.999000+00:00Z,0.3232,0.326,0.311,0.3123,285319.0,90965.9724,630,123500.0,39430.1797
2021-09-26T23:00:00+00:00Z,2021-09-26T23:59:59.999000+00:00Z,0.3124,0.3124,0.3061,0.3112,157753.0,48786.9747,239,54699.0,16946.5712
2021-09-27T00:00:00+00:00Z,2021-09-27T00:59:59.999000+00:00Z,0.311,0.3274,0.3096,0.321,254676.0,80248.8628,342,139271.0,44051.9553
2021-09-27T01:00:00+00:00Z,2021-09-27T01:59:59.999000+00:00Z,0.321,0.321,0.3125,0.316,183273.0,57985.5204,278,90104.0,28560.3452
2021-09-27T02:00:00+00:00Z,2021-09-27T02:59:59.999000+00:00Z,0.3162,0.3162,0.3118,0.313,176306.0,55367.5366,192,98565.0,30966.6835
2021-09-27T03:00:00+00:00Z,2021-09-27T03:59:59.999000+00:00Z,0.313,0.3132,0.3091,0.3094,82511.0,25655.143,125,15621.0,4870.9396
2021-09-27T04:00:00+00:00Z,2021-09-27T04:59:59.999000+00:00Z,0.31,0.3286,0.31,0.3246,381731.0,122778.0025,479,185783.0,59523.3595
2021-09-27T05:00:00+00:00Z,2021-09-27T05:59:59.999000+00:00Z,0.3241,0.3241,0.3172,0.3184,222002.0,71165.7299,298,99732.0,31919.3739
2021-09-27T06:00:00+00:00Z,2021-09-27T06:59:59.999000+00:00Z,0.3189,0.3244,0.3149,0.3169,234624.0,75282.8164,297,82646.0,26517.2372
2021-09-27T07:00:00+00:00Z,2021-09-27T07:59:59.999000+00:00Z,0.3168,0.3168,0.3101,0.3124,317322.0,99217.6181,277,163351.0,51171.4556
