# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,TRUUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2021-01-19T07:00:00+00:00Z
# t0_final_iso,2021-01-19T07:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,e5047eb6b1923e65
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-01-19T07:00:00+00:00Z,2021-01-19T07:59:59.999000+00:00Z,0.2466,0.385,0.2466,0.3411,26345948.16,8930979.367242,26014,14305604.21,4856027.898274
2021-01-19T08:00:00+00:00Z,2021-01-19T08:59:59.999000+00:00Z,0.3416,0.3455,0.2992,0.3086,5584245.18,1804803.719733,6923,2592854.47,838752.811211
2021-01-19T09:00:00+00:00Z,2021-01-19T09:59:59.999000+00:00Z,0.308,0.3286,0.308,0.3232,3130589.32,998598.188008,3283,1778285.05,566721.085609
2021-01-19T10:00:00+00:00Z,2021-01-19T10:59:59.999000+00:00Z,0.323,0.3578,0.313,0.3479,5754875.71,1934130.829881,4710,3124847.89,1047582.502326
2021-01-19T11:00:00+00:00Z,2021-01-19T11:59:59.999000+00:00Z,0.3477,0.3624,0.322,0.3364,6580772.66,2266755.129725,5518,3698342.18,1274952.774714
2021-01-19T12:00:00+00:00Z,2021-01-19T12:59:59.999000+00:00Z,0.3363,0.3367,0.318,0.3208,2250578.11,735847.707737,1962,818624.58,268352.365698
2021-01-19T13:00:00+00:00Z,2021-01-19T13:59:59.999000+00:00Z,0.3208,0.3476,0.3202,0.3438,2464999.64,819617.583056,2365,1386710.54,460654.321536
2021-01-19T14:00:00+00:00Z,2021-01-19T14:59:59.999000+00:00Z,0.3434,0.35,0.3277,0.338,2662813.79,901780.861364,2240,1380399.63,469126.763642
2021-01-19T15:00:00+00:00Z,2021-01-19T15:59:59.999000+00:00Z,0.338,0.338,0.3205,0.3247,1904647.77,624174.044685,1906,742175.42,243221.564495
2021-01-19T16:00:00+00:00Z,2021-01-19T16:59:59.999000+00:00Z,0.3247,0.3266,0.321,0.3226,1138079.86,368576.411541,910,576815.92,186957.306989
2021-01-19T17:00:00+00:00Z,2021-01-19T17:59:59.999000+00:00Z,0.3218,0.3237,0.3107,0.3119,1125191.17,354454.755095,1166,415997.28,131056.707581
2021-01-19T18:00:00+00:00Z,2021-01-19T18:59:59.999000+00:00Z,0.3111,0.3113,0.2901,0.2946,2288946.35,683036.086162,2393,1033207.41,307700.065911
2021-01-19T19:00:00+00:00Z,2021-01-19T19:59:59.999000+00:00Z,0.2945,0.2959,0.28,0.2837,1792440.04,514688.151523,1289,839429.62,240539.737324
2021-01-19T20:00:00+00:00Z,2021-01-19T20:59:59.999000+00:00Z,0.2837,0.2998,0.2806,0.2819,1728662.08,499324.686084,1324,921835.56,265804.731516
2021-01-19T21:00:00+00:00Z,2021-01-19T21:59:59.999000+00:00Z,0.2819,0.2973,0.2819,0.2876,923979.69,268026.276225,840,477182.09,138429.31485
2021-01-19T22:00:00+00:00Z,2021-01-19T22:59:59.999000+00:00Z,0.2873,0.2962,0.2854,0.288,737947.81,215158.101373,588,373578.02,108905.304222
2021-01-19T23:00:00+00:00Z,2021-01-19T23:59:59.999000+00:00Z,0.2884,0.2921,0.2711,0.2751,1862718.88,519973.787478,1221,699155.62,194376.300125
2021-01-20T00:00:00+00:00Z,2021-01-20T00:59:59.999000+00:00Z,0.2772,0.2893,0.2727,0.2745,1193586.22,332579.141206,1228,464330.47,129977.91396
2021-01-20T01:00:00+00:00Z,2021-01-20T01:59:59.999000+00:00Z,0.2748,0.2761,0.266,0.2685,1464206.38,393756.141252,816,660331.43,177378.048262
2021-01-20T02:00:00+00:00Z,2021-01-20T02:59:59.999000+00:00Z,0.2685,0.2694,0.264,0.2653,561877.63,149703.385512,477,206940.12,55148.384387
2021-01-20T03:00:00+00:00Z,2021-01-20T03:59:59.999000+00:00Z,0.2656,0.2763,0.2574,0.2574,1126947.81,298364.040332,972,431669.2,114872.205217
2021-01-20T04:00:00+00:00Z,2021-01-20T04:59:59.999000+00:00Z,0.2574,0.2728,0.2556,0.267,1053034.77,276925.104526,827,606903.72,159353.5299
2021-01-20T05:00:00+00:00Z,2021-01-20T05:59:59.999000+00:00Z,0.267,0.2773,0.2667,0.2698,1006786.04,275133.741655,920,446680.36,122080.459499
2021-01-20T06:00:00+00:00Z,2021-01-20T06:59:59.999000+00:00Z,0.2696,0.28,0.2685,0.2701,866238.95,238137.627901,725,342051.83,94083.034926
2021-01-20T07:00:00+00:00Z,2021-01-20T07:59:59.999000+00:00Z,0.2701,0.282,0.2682,0.2755,1126166.28,311234.644279,1030,516670.08,142420.338854
2021-01-20T08:00:00+00:00Z,2021-01-20T08:59:59.999000+00:00Z,0.2757,0.2807,0.2655,0.2655,1242179.24,336863.973807,1187,592800.33,160598.119863
2021-01-20T09:00:00+00:00Z,2021-01-20T09:59:59.999000+00:00Z,0.2659,0.2692,0.256,0.2599,1154896.08,302969.350648,1298,614775.69,161356.46014
2021-01-20T10:00:00+00:00Z,2021-01-20T10:59:59.999000+00:00Z,0.259,0.2615,0.2521,0.255,1320695.59,337801.175736,1169,651192.74,166521.41596
2021-01-20T11:00:00+00:00Z,2021-01-20T11:59:59.999000+00:00Z,0.2555,0.2566,0.2358,0.2462,2311657.38,570209.660649,1941,981236.02,243147.753682
