# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,TSTUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-02-09T11:00:00+00:00Z
# t0_final_iso,2025-02-09T11:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,bf15a19df86ea12c
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-02-09T11:00:00+00:00Z,2025-02-09T11:59:59.999000+00:00Z,0.139,0.528,0.139,0.4,277022110.8,123000467.73447,292600,143075783.3,64070173.88399
2025-02-09T12:00:00+00:00Z,2025-02-09T12:59:59.999000+00:00Z,0.3992,0.4205,0.332,0.3697,186484516.5,70282048.67492,173146,84223242.4,31986443.24439
2025-02-09T13:00:00+00:00Z,2025-02-09T13:59:59.999000+00:00Z,0.3697,0.37,0.309,0.3279,180304839.9,60022690.81183,167867,85834165.3,28661635.79717
2025-02-09T14:00:00+00:00Z,2025-02-09T14:59:59.999000+00:00Z,0.3278,0.3505,0.2598,0.2799,264349143.0,78363400.06164,164847,118954943.0,35378583.85916
2025-02-09T15:00:00+00:00Z,2025-02-09T15:59:59.999000+00:00Z,0.2802,0.3173,0.2683,0.2797,148049337.6,42975323.33638,106334,70138939.1,20348885.40105
2025-02-09T16:00:00+00:00Z,2025-02-09T16:59:59.999000+00:00Z,0.2798,0.3113,0.2745,0.2973,59236929.3,17475787.16966,47512,30732508.0,9074576.30312
2025-02-09T17:00:00+00:00Z,2025-02-09T17:59:59.999000+00:00Z,0.2971,0.3188,0.288,0.3127,50607338.8,15391775.17629,48855,27926958.3,8514500.08342
2025-02-09T18:00:00+00:00Z,2025-02-09T18:59:59.999000+00:00Z,0.313,0.3377,0.2844,0.2941,80694059.0,24945039.90712,67740,43743167.8,13508993.33095
2025-02-09T19:00:00+00:00Z,2025-02-09T19:59:59.999000+00:00Z,0.294,0.3,0.2701,0.281,36452399.2,10394656.28737,28602,16214393.0,4660403.12529
2025-02-09T20:00:00+00:00Z,2025-02-09T20:59:59.999000+00:00Z,0.2808,0.2812,0.2366,0.246,112884128.4,28919113.98858,64171,44631883.9,11389470.67433
2025-02-09T21:00:00+00:00Z,2025-02-09T21:59:59.999000+00:00Z,0.2461,0.2541,0.2158,0.2266,98306636.8,22623964.20396,54507,44099083.8,10174139.31754
2025-02-09T22:00:00+00:00Z,2025-02-09T22:59:59.999000+00:00Z,0.2266,0.2488,0.2189,0.2329,52415522.9,12260566.24957,48289,27153668.0,6359621.60072
2025-02-09T23:00:00+00:00Z,2025-02-09T23:59:59.999000+00:00Z,0.2327,0.2473,0.2087,0.2245,63212340.1,14336944.60024,45618,34654602.8,7842985.1301
2025-02-10T00:00:00+00:00Z,2025-02-10T00:59:59.999000+00:00Z,0.2242,0.2318,0.1888,0.1946,105804176.8,22106025.87974,61383,47944321.7,10091064.75119
2025-02-10T01:00:00+00:00Z,2025-02-10T01:59:59.999000+00:00Z,0.1948,0.197,0.1571,0.1766,176387849.1,30959984.37703,69679,93022122.6,16276150.50509
2025-02-10T02:00:00+00:00Z,2025-02-10T02:59:59.999000+00:00Z,0.1766,0.186,0.1594,0.177,127110956.9,22067231.53649,56942,63837579.6,11110469.55026
2025-02-10T03:00:00+00:00Z,2025-02-10T03:59:59.999000+00:00Z,0.1771,0.1945,0.1749,0.1919,98160246.5,18238994.75015,47666,48296655.1,8987366.35412
2025-02-10T04:00:00+00:00Z,2025-02-10T04:59:59.999000+00:00Z,0.192,0.1925,0.165,0.1729,76819089.9,13472769.29397,36915,31945531.0,5600480.07566
2025-02-10T05:00:00+00:00Z,2025-02-10T05:59:59.999000+00:00Z,0.173,0.1894,0.173,0.1852,58307667.7,10677409.87266,31199,30364052.4,5564550.15905
2025-02-10T06:00:00+00:00Z,2025-02-10T06:59:59.999000+00:00Z,0.1849,0.2123,0.1754,0.1955,131379858.9,25426192.71398,51022,77073948.0,14951050.37009
2025-02-10T07:00:00+00:00Z,2025-02-10T07:59:59.999000+00:00Z,0.1953,0.2188,0.1936,0.1991,131173663.8,26950932.75707,60060,67295807.7,13832725.83034
2025-02-10T08:00:00+00:00Z,2025-02-10T08:59:59.999000+00:00Z,0.1992,0.2137,0.1831,0.1859,67652041.2,13467604.15708,38875,29623997.7,5916774.52079
2025-02-10T09:00:00+00:00Z,2025-02-10T09:59:59.999000+00:00Z,0.186,0.1931,0.1714,0.176,107699651.3,19591646.15921,56203,54787393.1,9952191.63781
2025-02-10T10:00:00+00:00Z,2025-02-10T10:59:59.999000+00:00Z,0.176,0.1816,0.1533,0.1632,124717735.0,20840672.4977,54771,53248068.2,8926553.9259
2025-02-10T11:00:00+00:00Z,2025-02-10T11:59:59.999000+00:00Z,0.1632,0.1661,0.1464,0.1617,136162386.8,21232858.06395,69399,64805499.2,10106033.76602
2025-02-10T12:00:00+00:00Z,2025-02-10T12:59:59.999000+00:00Z,0.1617,0.1688,0.1561,0.1661,91716207.3,14936240.27334,99052,47729389.3,7778585.2733
2025-02-10T13:00:00+00:00Z,2025-02-10T13:59:59.999000+00:00Z,0.1661,0.181,0.162,0.1708,121160721.7,20703763.63241,71236,64022283.4,10932116.17849
2025-02-10T14:00:00+00:00Z,2025-02-10T14:59:59.999000+00:00Z,0.1708,0.172,0.155,0.1594,130680420.8,21164255.77925,51207,64798741.3,10475401.68291
2025-02-10T15:00:00+00:00Z,2025-02-10T15:59:59.999000+00:00Z,0.1597,0.173,0.1592,0.1688,66054294.4,11006003.37045,30157,30631302.6,5095358.81765
2025-02-10T16:00:00+00:00Z,2025-02-10T16:59:59.999000+00:00Z,0.1688,0.185,0.1666,0.1715,102341224.5,17963762.20091,54939,52717848.0,9285557.35135
2025-02-10T17:00:00+00:00Z,2025-02-10T17:59:59.999000+00:00Z,0.1715,0.1761,0.166,0.1753,37888812.6,6473630.06233,43888,18209030.6,3113617.67393
2025-02-10T18:00:00+00:00Z,2025-02-10T18:59:59.999000+00:00Z,0.1753,0.176,0.1677,0.1696,26812773.1,4606274.37964,34546,12073120.3,2075939.24473
2025-02-10T19:00:00+00:00Z,2025-02-10T19:59:59.999000+00:00Z,0.1694,0.1816,0.1694,0.1778,36173120.0,6393083.71219,23021,20612467.0,3646772.79619
2025-02-10T20:00:00+00:00Z,2025-02-10T20:59:59.999000+00:00Z,0.1777,0.185,0.1775,0.1826,31384020.7,5697381.68279,18376,15594452.0,2831603.38141
2025-02-10T21:00:00+00:00Z,2025-02-10T21:59:59.999000+00:00Z,0.1827,0.1954,0.1741,0.1784,49227560.1,9041320.75525,28187,27717983.5,5101240.13325
2025-02-10T22:00:00+00:00Z,2025-02-10T22:59:59.999000+00:00Z,0.1785,0.1818,0.1655,0.167,25795223.0,4522020.62835,16937,10491024.0,1848833.71796
2025-02-10T23:00:00+00:00Z,2025-02-10T23:59:59.999000+00:00Z,0.1672,0.1687,0.1602,0.166,32030820.0,5260704.42982,20117,14640142.0,2408642.68556
2025-02-11T00:00:00+00:00Z,2025-02-11T00:59:59.999000+00:00Z,0.1661,0.1832,0.1646,0.1812,50335620.6,8893471.94011,32980,26919624.7,4753969.42837
2025-02-11T01:00:00+00:00Z,2025-02-11T01:59:59.999000+00:00Z,0.1811,0.196,0.1768,0.1866,69025121.5,12909495.55558,44814,37662266.0,7044339.9074
2025-02-11T02:00:00+00:00Z,2025-02-11T02:59:59.999000+00:00Z,0.1864,0.19,0.174,0.178,45390786.5,8219106.34634,31727,19321962.3,3511587.08235
2025-02-11T03:00:00+00:00Z,2025-02-11T03:59:59.999000+00:00Z,0.1781,0.196,0.1775,0.1957,49690801.6,9270282.8077,28542,29464413.1,5500992.33622
2025-02-11T04:00:00+00:00Z,2025-02-11T04:59:59.999000+00:00Z,0.1956,0.217,0.1858,0.2099,90188595.7,18249869.88531,47711,51187572.8,10314049.99999
2025-02-11T05:00:00+00:00Z,2025-02-11T05:59:59.999000+00:00Z,0.21,0.2364,0.206,0.2284,189935021.4,42179453.11382,102883,97324070.7,21703329.57406
2025-02-11T06:00:00+00:00Z,2025-02-11T06:59:59.999000+00:00Z,0.2284,0.252,0.2222,0.2263,130372571.3,30964840.12818,70898,72047203.3,17142079.07597
2025-02-11T07:00:00+00:00Z,2025-02-11T07:59:59.999000+00:00Z,0.2263,0.2414,0.2167,0.2262,92038888.8,21000126.47541,69357,42114823.8,9606101.60891
2025-02-11T08:00:00+00:00Z,2025-02-11T08:59:59.999000+00:00Z,0.2264,0.2385,0.209,0.2132,63770793.9,14106702.86955,48204,30628399.9,6785479.70944
2025-02-11T09:00:00+00:00Z,2025-02-11T09:59:59.999000+00:00Z,0.2133,0.2244,0.2031,0.2178,65993312.5,14112359.25204,45755,31667656.9,6783499.66362
2025-02-11T10:00:00+00:00Z,2025-02-11T10:59:59.999000+00:00Z,0.2176,0.2245,0.2057,0.2194,51969750.3,11257763.66836,44374,25910453.9,5624757.38278
2025-02-11T11:00:00+00:00Z,2025-02-11T11:59:59.999000+00:00Z,0.2194,0.2278,0.2114,0.2222,44880005.9,9866822.92757,41738,22580072.5,4967532.39011
2025-02-11T12:00:00+00:00Z,2025-02-11T12:59:59.999000+00:00Z,0.2222,0.2242,0.2091,0.2144,30908896.9,6670890.30232,33603,15035877.6,3246989.6645
2025-02-11T13:00:00+00:00Z,2025-02-11T13:59:59.999000+00:00Z,0.2145,0.215,0.1783,0.1847,137221652.7,26146445.03784,135123,61484633.2,11713807.80267
2025-02-11T14:00:00+00:00Z,2025-02-11T14:59:59.999000+00:00Z,0.1848,0.1897,0.175,0.1838,90742881.3,16628209.08122,95162,45110126.8,8259065.81574
2025-02-11T15:00:00+00:00Z,2025-02-11T15:59:59.999000+00:00Z,0.1839,0.192,0.1817,0.1857,46364250.2,8652408.66821,67392,22334009.5,4170927.7494
2025-02-11T16:00:00+00:00Z,2025-02-11T16:59:59.999000+00:00Z,0.1856,0.187,0.163,0.169,63112072.5,10971721.66577,88801,29100224.2,5067714.00553
2025-02-11T17:00:00+00:00Z,2025-02-11T17:59:59.999000+00:00Z,0.169,0.178,0.166,0.1758,43196879.9,7486487.98996,57173,22053475.1,3821743.38051
2025-02-11T18:00:00+00:00Z,2025-02-11T18:59:59.999000+00:00Z,0.1759,0.1771,0.1575,0.1616,53977483.3,8991534.29148,69498,24225699.8,4038171.74257
2025-02-11T19:00:00+00:00Z,2025-02-11T19:59:59.999000+00:00Z,0.1617,0.1668,0.1564,0.1663,52433275.1,8481966.35829,75159,29638445.2,4794165.26406
2025-02-11T20:00:00+00:00Z,2025-02-11T20:59:59.999000+00:00Z,0.1663,0.1732,0.1631,0.1711,31127722.8,5244973.30909,55641,15365388.2,2589900.2122
2025-02-11T21:00:00+00:00Z,2025-02-11T21:59:59.999000+00:00Z,0.171,0.1743,0.1665,0.1702,23467423.4,3990622.02931,39178,11380162.0,1936227.68158
2025-02-11T22:00:00+00:00Z,2025-02-11T22:59:59.999000+00:00Z,0.1703,0.177,0.1677,0.1697,24055729.2,4125045.5418,33387,11432993.4,1962781.31659
2025-02-11T23:00:00+00:00Z,2025-02-11T23:59:59.999000+00:00Z,0.1697,0.1762,0.1691,0.1719,14143757.1,2443600.03455,23892,7697553.4,1330716.23023
2025-02-12T00:00:00+00:00Z,2025-02-12T00:59:59.999000+00:00Z,0.1719,0.1886,0.1692,0.1769,41014224.9,7374060.26938,68069,20021604.7,3610087.98145
2025-02-12T01:00:00+00:00Z,2025-02-12T01:59:59.999000+00:00Z,0.1769,0.1833,0.1665,0.1691,31513138.9,5459220.54139,51731,14481654.9,2521391.61792
2025-02-12T02:00:00+00:00Z,2025-02-12T02:59:59.999000+00:00Z,0.1691,0.1721,0.1652,0.1683,21980087.5,3714650.82711,36567,11935579.9,2020553.95153
2025-02-12T03:00:00+00:00Z,2025-02-12T03:59:59.999000+00:00Z,0.1682,0.1684,0.159,0.1598,41454301.3,6755635.82423,47853,15750816.6,2572388.11667
2025-02-12T04:00:00+00:00Z,2025-02-12T04:59:59.999000+00:00Z,0.1598,0.16,0.1407,0.1502,94528285.0,14106111.2758,75266,46912810.4,6996404.75311
2025-02-12T05:00:00+00:00Z,2025-02-12T05:59:59.999000+00:00Z,0.1503,0.1561,0.1457,0.1518,43807569.8,6648794.11632,44877,20294088.9,3082680.38499
2025-02-12T06:00:00+00:00Z,2025-02-12T06:59:59.999000+00:00Z,0.1517,0.1571,0.1421,0.1552,76466499.4,11395358.97456,61719,38587845.9,5752375.26307
2025-02-12T07:00:00+00:00Z,2025-02-12T07:59:59.999000+00:00Z,0.1553,0.1658,0.1551,0.1612,55721092.0,8926323.05114,64495,31131027.0,4982845.7417
2025-02-12T08:00:00+00:00Z,2025-02-12T08:59:59.999000+00:00Z,0.1612,0.17,0.1593,0.164,39378783.0,6507151.00053,62988,19646032.2,3250926.95018
2025-02-12T09:00:00+00:00Z,2025-02-12T09:59:59.999000+00:00Z,0.1641,0.1652,0.1561,0.1597,38164226.7,6118534.63295,44339,16506630.1,2649491.95925
2025-02-12T10:00:00+00:00Z,2025-02-12T10:59:59.999000+00:00Z,0.1597,0.1678,0.157,0.1639,34881077.3,5654979.47183,44799,18154273.6,2942398.89216
2025-02-12T11:00:00+00:00Z,2025-02-12T11:59:59.999000+00:00Z,0.1638,0.18,0.1638,0.1691,58930760.9,10114786.29708,84601,28889370.7,4960308.63152
2025-02-12T12:00:00+00:00Z,2025-02-12T12:59:59.999000+00:00Z,0.1691,0.1717,0.1652,0.168,21996237.8,3694742.28812,37437,10164178.6,1709968.78814
2025-02-12T13:00:00+00:00Z,2025-02-12T13:59:59.999000+00:00Z,0.1679,0.1765,0.1556,0.1652,106277469.2,17370706.10029,131316,55795727.6,9124381.21315
2025-02-12T14:00:00+00:00Z,2025-02-12T14:59:59.999000+00:00Z,0.1651,0.1681,0.152,0.1632,66331257.0,10677319.76563,91464,34464925.3,5546890.32428
2025-02-12T15:00:00+00:00Z,2025-02-12T15:59:59.999000+00:00Z,0.1632,0.2049,0.1602,0.2012,140530549.1,26182735.38184,123227,77237761.3,14373630.959
2025-02-12T16:00:00+00:00Z,2025-02-12T16:59:59.999000+00:00Z,0.2011,0.209,0.1828,0.1929,111398532.9,21459333.42301,92405,54694160.1,10547510.24913
2025-02-12T17:00:00+00:00Z,2025-02-12T17:59:59.999000+00:00Z,0.1929,0.2098,0.1886,0.1936,63896740.4,12605622.45917,73395,34190780.9,6750480.12179
2025-02-12T18:00:00+00:00Z,2025-02-12T18:59:59.999000+00:00Z,0.1937,0.1955,0.1751,0.1832,86502009.8,15864322.82052,60621,44752742.0,8225202.53673
2025-02-12T19:00:00+00:00Z,2025-02-12T19:59:59.999000+00:00Z,0.1832,0.186,0.1751,0.1849,48058455.9,8662257.15432,48297,23577921.6,4250955.54724
2025-02-12T20:00:00+00:00Z,2025-02-12T20:59:59.999000+00:00Z,0.1847,0.1888,0.1783,0.1823,33078489.6,6069997.39112,33445,15553777.2,2859561.14337
2025-02-12T21:00:00+00:00Z,2025-02-12T21:59:59.999000+00:00Z,0.1823,0.1896,0.1822,0.1825,34196174.2,6396505.85927,32927,19870662.6,3722369.82524
2025-02-12T22:00:00+00:00Z,2025-02-12T22:59:59.999000+00:00Z,0.1826,0.1834,0.1731,0.1742,44319726.6,7857240.11825,34916,20043940.3,3556188.23633
2025-02-12T23:00:00+00:00Z,2025-02-12T23:59:59.999000+00:00Z,0.1741,0.195,0.1741,0.1892,40308355.4,7448405.418,40993,21842990.5,4039268.95254
2025-02-13T00:00:00+00:00Z,2025-02-13T00:59:59.999000+00:00Z,0.1892,0.195,0.1842,0.1873,39579425.3,7477415.38906,45331,19549913.7,3696080.59803
2025-02-13T01:00:00+00:00Z,2025-02-13T01:59:59.999000+00:00Z,0.1875,0.2005,0.1822,0.1958,49663068.6,9536244.64962,55386,25617757.6,4926683.56165
