# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,TUTUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-03-27T21:00:00+00:00Z
# t0_final_iso,2025-03-27T21:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,d8184e6f8d84ef61
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-03-27T21:00:00+00:00Z,2025-03-27T21:59:59.999000+00:00Z,0.01261,0.058,0.01261,0.04326,183278949.0,7738621.66316,31427,88242355.0,3742176.71758
2025-03-27T22:00:00+00:00Z,2025-03-27T22:59:59.999000+00:00Z,0.04335,0.05419,0.042,0.0431,220438638.0,10663764.4267,47153,107362170.0,5194599.79664
2025-03-27T23:00:00+00:00Z,2025-03-27T23:59:59.999000+00:00Z,0.0431,0.05155,0.04263,0.04777,133380704.0,6294384.4652,30078,65233464.0,3079544.00497
2025-03-28T00:00:00+00:00Z,2025-03-28T00:59:59.999000+00:00Z,0.04777,0.05,0.04282,0.04833,133678955.0,6303476.38772,29284,61600958.0,2910510.95942
2025-03-28T01:00:00+00:00Z,2025-03-28T01:59:59.999000+00:00Z,0.04833,0.0548,0.04657,0.04741,139351579.0,7039960.35549,32572,67512711.0,3421871.70245
2025-03-28T02:00:00+00:00Z,2025-03-28T02:59:59.999000+00:00Z,0.04735,0.04759,0.0432,0.04343,108649988.0,4964678.66514,25296,48538893.0,2222346.18338
2025-03-28T03:00:00+00:00Z,2025-03-28T03:59:59.999000+00:00Z,0.04352,0.0452,0.04325,0.04408,53724524.0,2372597.1669,12449,25635989.0,1132522.57825
2025-03-28T04:00:00+00:00Z,2025-03-28T04:59:59.999000+00:00Z,0.04408,0.04409,0.03884,0.0395,110020979.0,4486456.87109,22143,48057210.0,1960844.67771
2025-03-28T05:00:00+00:00Z,2025-03-28T05:59:59.999000+00:00Z,0.0395,0.04113,0.03838,0.03892,60550730.0,2419067.18445,14777,29135962.0,1165004.13227
2025-03-28T06:00:00+00:00Z,2025-03-28T06:59:59.999000+00:00Z,0.03885,0.03948,0.0355,0.03718,125299447.0,4639153.47348,25404,68200238.0,2519133.55118
2025-03-28T07:00:00+00:00Z,2025-03-28T07:59:59.999000+00:00Z,0.03722,0.03849,0.03645,0.03806,58941644.0,2204355.28705,12753,27948494.0,1046370.94782
2025-03-28T08:00:00+00:00Z,2025-03-28T08:59:59.999000+00:00Z,0.03809,0.04,0.03695,0.03835,87962313.0,3369299.77756,15283,46327180.0,1776358.23115
2025-03-28T09:00:00+00:00Z,2025-03-28T09:59:59.999000+00:00Z,0.03837,0.04,0.03739,0.03886,69166758.0,2670685.22434,11904,35333569.0,1367788.47788
2025-03-28T10:00:00+00:00Z,2025-03-28T10:59:59.999000+00:00Z,0.03886,0.03975,0.03606,0.03662,71262527.0,2701836.74876,12271,31116703.0,1186092.65299
2025-03-28T11:00:00+00:00Z,2025-03-28T11:59:59.999000+00:00Z,0.0366,0.03846,0.03656,0.03816,36033300.0,1350866.01105,7977,21094054.0,791074.26842
2025-03-28T12:00:00+00:00Z,2025-03-28T12:59:59.999000+00:00Z,0.03823,0.04278,0.03703,0.04081,70155629.0,2781476.52494,18518,38718497.0,1543354.75446
2025-03-28T13:00:00+00:00Z,2025-03-28T13:59:59.999000+00:00Z,0.04081,0.041,0.0385,0.0399,92388543.0,3674996.06865,21913,45855677.0,1824598.94853
2025-03-28T14:00:00+00:00Z,2025-03-28T14:59:59.999000+00:00Z,0.03989,0.04398,0.03934,0.04303,128559747.0,5333010.89113,27016,66548993.0,2764147.68404
2025-03-28T15:00:00+00:00Z,2025-03-28T15:59:59.999000+00:00Z,0.043,0.0447,0.04119,0.04176,103607248.0,4428339.91722,23105,50747738.0,2173933.5443
2025-03-28T16:00:00+00:00Z,2025-03-28T16:59:59.999000+00:00Z,0.04177,0.04331,0.03909,0.03985,115816737.0,4781524.49583,21394,51238977.0,2120283.05038
2025-03-28T17:00:00+00:00Z,2025-03-28T17:59:59.999000+00:00Z,0.03981,0.041,0.03832,0.041,67237849.0,2642402.76516,18078,38113189.0,1500309.43431
2025-03-28T18:00:00+00:00Z,2025-03-28T18:59:59.999000+00:00Z,0.04093,0.04258,0.04054,0.0407,63969524.0,2652475.95229,14836,33375321.0,1386878.63027
2025-03-28T19:00:00+00:00Z,2025-03-28T19:59:59.999000+00:00Z,0.04073,0.04148,0.03954,0.0402,31464417.0,1268134.08739,8506,18333418.0,738372.14563
2025-03-28T20:00:00+00:00Z,2025-03-28T20:59:59.999000+00:00Z,0.04023,0.04107,0.03932,0.03937,35038415.0,1405756.42408,8480,16812519.0,675072.19846
2025-03-28T21:00:00+00:00Z,2025-03-28T21:59:59.999000+00:00Z,0.03935,0.04063,0.03908,0.03991,36353398.0,1451227.90672,8591,18992081.0,758212.39111
2025-03-28T22:00:00+00:00Z,2025-03-28T22:59:59.999000+00:00Z,0.03983,0.04198,0.0397,0.04184,39411646.0,1616326.82182,10935,20686928.0,849088.64269
2025-03-28T23:00:00+00:00Z,2025-03-28T23:59:59.999000+00:00Z,0.04186,0.0425,0.04083,0.04172,40086375.0,1673755.3854,11511,21597883.0,902300.3921
