# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,USDCUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-10-08T16:00:00+00:00Z
# t0_final_iso,2020-10-08T16:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,3e3fa52e2fc82293
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,0.9998,0.9998,0.9996,0.9997,1512513.53,1512080.867191,878,389044.2,388949.015887
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,0.9997,0.9998,0.9996,0.9996,1765688.34,1765138.427257,1611,747785.35,747574.129801
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,0.9996,1.0,0.9996,0.9996,781612.66,781368.364537,502,358685.54,358585.119925
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,0.9997,1.0,0.9996,0.9996,501217.26,501050.877486,480,181421.98,181370.44224
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,0.9996,0.9997,0.9996,0.9997,476380.29,476207.207392,333,174695.08,174642.671476
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,0.9997,0.9997,0.9995,0.9997,1244226.44,1243754.892243,840,338687.65,338578.335385
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,0.9997,0.9997,0.9996,0.9997,398846.35,398705.799321,311,189878.61,189821.646417
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,0.9997,0.9997,0.9996,0.9997,385410.87,385262.628328,370,59226.76,59208.991972
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,0.9996,0.9997,0.9996,0.9997,412898.41,412738.502858,278,52522.22,52506.463334
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,0.9996,0.9997,0.9996,0.9997,318971.25,318856.799702,300,131382.02,131342.605394
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,0.9996,0.9999,0.9996,0.9998,455056.44,454955.373656,253,361221.44,361142.705935
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,0.9999,1.0,0.9997,0.9999,983708.9,983581.579804,911,533618.95,533554.780494
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,0.9998,0.9999,0.9997,0.9998,619903.8,619795.722087,682,315229.07,315183.002497
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,0.9998,0.9999,0.9997,0.9997,407431.5,407353.203627,442,204998.39,204966.449801
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,0.9997,1.0,0.9997,0.9999,717101.56,717055.625971,451,520074.09,520054.532756
