# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,WUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-04-03T12:00:00+00:00Z
# t0_final_iso,2024-04-03T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,99116417676c0a7a
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-04-03T12:00:00+00:00Z,2024-04-03T12:59:59.999000+00:00Z,0.05,1.86,0.05,1.301,91471393.0,137087145.4331,299610,42562402.5,64175642.568
2024-04-03T13:00:00+00:00Z,2024-04-03T13:59:59.999000+00:00Z,1.301,1.366,1.223,1.363,40206816.6,51927285.3969,103035,19680854.1,25459219.9251
2024-04-03T14:00:00+00:00Z,2024-04-03T14:59:59.999000+00:00Z,1.364,1.41,1.245,1.269,26534407.0,35018611.9638,70102,11721442.7,15510218.6594
2024-04-03T15:00:00+00:00Z,2024-04-03T15:59:59.999000+00:00Z,1.269,1.351,1.269,1.304,22283749.9,29146753.7692,61265,10876866.0,14246353.31
2024-04-03T16:00:00+00:00Z,2024-04-03T16:59:59.999000+00:00Z,1.305,1.57,1.302,1.532,66087668.1,96245654.8481,169890,36758141.2,53524733.603
2024-04-03T17:00:00+00:00Z,2024-04-03T17:59:59.999000+00:00Z,1.532,1.619,1.427,1.435,52544750.4,81152976.4223,150583,26214747.3,40622877.1663
2024-04-03T18:00:00+00:00Z,2024-04-03T18:59:59.999000+00:00Z,1.435,1.493,1.373,1.385,21221612.8,30329764.1837,62283,9761313.2,13981538.8864
2024-04-03T19:00:00+00:00Z,2024-04-03T19:59:59.999000+00:00Z,1.385,1.456,1.384,1.393,11523170.0,16336439.7953,38120,5534989.0,7852726.4977
2024-04-03T20:00:00+00:00Z,2024-04-03T20:59:59.999000+00:00Z,1.394,1.42,1.282,1.312,14780527.1,20021770.5636,41915,6389492.8,8676567.3059
2024-04-03T21:00:00+00:00Z,2024-04-03T21:59:59.999000+00:00Z,1.312,1.328,1.264,1.311,11133092.6,14472639.3439,30487,5607062.5,7300009.0493
2024-04-03T22:00:00+00:00Z,2024-04-03T22:59:59.999000+00:00Z,1.312,1.437,1.295,1.327,17070174.4,23428852.9856,50066,8896881.4,12222191.0252
2024-04-03T23:00:00+00:00Z,2024-04-03T23:59:59.999000+00:00Z,1.328,1.385,1.3,1.31,7875462.7,10537864.538,28131,3705903.3,4965189.509
2024-04-04T00:00:00+00:00Z,2024-04-04T00:59:59.999000+00:00Z,1.309,1.397,1.291,1.378,9506758.5,12855401.7374,29503,4770206.9,6452439.4738
2024-04-04T01:00:00+00:00Z,2024-04-04T01:59:59.999000+00:00Z,1.378,1.381,1.21,1.226,13090738.3,16905641.5276,36904,5073528.0,6564606.9376
2024-04-04T02:00:00+00:00Z,2024-04-04T02:59:59.999000+00:00Z,1.226,1.26,1.151,1.213,12717247.0,15281341.3704,39700,5855487.7,7052562.9725
2024-04-04T03:00:00+00:00Z,2024-04-04T03:59:59.999000+00:00Z,1.213,1.258,1.175,1.189,7520971.7,9145543.1826,27204,3307923.8,4028829.1783
2024-04-04T04:00:00+00:00Z,2024-04-04T04:59:59.999000+00:00Z,1.188,1.2,1.1,1.171,12577673.7,14396460.9719,39126,5620162.1,6440635.3742
2024-04-04T05:00:00+00:00Z,2024-04-04T05:59:59.999000+00:00Z,1.171,1.215,1.142,1.165,7276481.3,8540145.4473,27713,3454041.0,4060147.872
2024-04-04T06:00:00+00:00Z,2024-04-04T06:59:59.999000+00:00Z,1.165,1.207,1.158,1.183,6619619.7,7841154.1969,26358,3686470.0,4372562.0978
2024-04-04T07:00:00+00:00Z,2024-04-04T07:59:59.999000+00:00Z,1.182,1.217,1.162,1.17,5859297.9,6968236.8091,16898,2876766.6,3428870.5249
2024-04-04T08:00:00+00:00Z,2024-04-04T08:59:59.999000+00:00Z,1.169,1.215,1.154,1.18,5090770.3,6049883.213,13711,2660286.4,3166246.7737
2024-04-04T09:00:00+00:00Z,2024-04-04T09:59:59.999000+00:00Z,1.18,1.195,1.15,1.157,4200347.4,4915187.7873,12101,1840096.9,2156727.3141
2024-04-04T10:00:00+00:00Z,2024-04-04T10:59:59.999000+00:00Z,1.156,1.165,1.11,1.149,8977351.8,10216446.2578,21352,3841487.3,4378273.2401
2024-04-04T11:00:00+00:00Z,2024-04-04T11:59:59.999000+00:00Z,1.149,1.187,1.125,1.161,7869267.4,9164858.6357,20954,3943597.8,4595841.9225
2024-04-04T12:00:00+00:00Z,2024-04-04T12:59:59.999000+00:00Z,1.161,1.177,1.136,1.14,7012042.3,8109464.484,18431,3248186.4,3761706.6422
2024-04-04T13:00:00+00:00Z,2024-04-04T13:59:59.999000+00:00Z,1.14,1.15,1.107,1.131,10353004.8,11668984.1497,22530,4779331.9,5391874.5815
2024-04-04T14:00:00+00:00Z,2024-04-04T14:59:59.999000+00:00Z,1.131,1.175,1.12,1.162,10957159.5,12658286.2377,20643,6272734.3,7249551.2779
2024-04-04T15:00:00+00:00Z,2024-04-04T15:59:59.999000+00:00Z,1.161,1.203,1.152,1.158,8734756.4,10260457.0822,17871,4533959.8,5333650.1972
2024-04-04T16:00:00+00:00Z,2024-04-04T16:59:59.999000+00:00Z,1.157,1.275,1.125,1.202,23169177.0,27986381.2363,41585,11152355.9,13561640.738
2024-04-04T17:00:00+00:00Z,2024-04-04T17:59:59.999000+00:00Z,1.202,1.215,1.16,1.206,7467118.2,8910133.8342,15397,3662974.7,4374114.3634
2024-04-04T18:00:00+00:00Z,2024-04-04T18:59:59.999000+00:00Z,1.206,1.23,1.142,1.168,7440773.5,8876503.6261,16377,3373197.7,4028243.8124
