# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,YFIUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-10-08T16:00:00+00:00Z
# t0_final_iso,2020-10-08T16:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,80dc877055a7dc78
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,16011.37,16285.0,15458.07,15778.91,312.067236,4942113.35202696,9343,150.008582,2379466.87999413
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,15771.52,16000.0,15078.38,15269.35,298.602706,4624800.11114685,8882,153.239393,2378979.32098384
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,15273.95,15723.35,15051.0,15546.82,221.931808,3408378.71544323,6881,117.468881,1805456.25087572
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,15543.65,16100.0,15400.0,15747.27,206.618095,3267099.04589887,6610,110.772754,1753086.3308108
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,15795.48,17100.0,15562.86,16728.52,352.475881,5766662.09850928,9467,197.532968,3235636.84323371
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,16742.59,17240.0,16421.27,16936.73,360.961797,6098485.91734206,12447,175.46305,2964360.91622144
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,16946.98,17338.69,16702.45,16862.56,221.977639,3776334.68334388,9367,104.323652,1776125.69537077
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,16870.0,16899.98,16222.0,16732.58,246.06971,4059812.10192329,8371,108.216445,1784602.22798377
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,16728.5,16813.2,15800.42,16098.52,228.853584,3710946.22264458,8072,102.553774,1664400.14001583
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,16091.26,16645.43,16045.23,16599.21,172.380256,2816239.74037392,5385,92.288329,1508973.74918282
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,16585.18,16857.02,16400.0,16606.67,100.553576,1667967.32868329,3962,44.676178,740575.16808262
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,16628.72,16990.0,16485.0,16555.38,142.721241,2386538.99072639,5357,70.290071,1175917.94951333
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,16547.35,16710.0,16247.0,16326.64,103.318544,1695294.84434904,3704,47.68209,783268.65746271
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,16284.79,16580.92,15968.0,16075.0,124.187715,2017951.90231593,4183,49.174418,799621.59352821
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,16081.41,16409.06,15789.59,16158.24,168.897595,2716134.4802848,5355,78.994723,1270889.61730994
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,16181.91,17500.0,16165.0,17388.09,385.915112,6557421.74204459,11966,208.000741,3539061.44837291
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,17398.5,17900.0,17037.38,17697.0,398.367238,6964539.45362831,14760,210.314166,3679981.27973636
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,17708.0,17743.23,17240.0,17571.69,206.011413,3610424.18599943,8197,95.246027,1670185.10675474
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,17579.84,18399.98,17300.0,18106.35,370.704254,6629429.92465892,13713,186.385447,3334008.08001801
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,18101.79,19469.28,18100.0,19090.02,749.021359,14184098.44476757,25942,355.08256,6723351.90563466
2020-10-09T12:00:00+00:00Z,2020-10-09T12:59:59.999000+00:00Z,19081.3,19155.94,18355.9,18496.45,322.971593,6035370.17709358,15483,143.412855,2681859.44760452
2020-10-09T13:00:00+00:00Z,2020-10-09T13:59:59.999000+00:00Z,18495.15,18753.1,18090.0,18577.29,260.426878,4778581.2457337,10036,129.930289,2384521.0865637
2020-10-09T14:00:00+00:00Z,2020-10-09T14:59:59.999000+00:00Z,18549.3,18900.0,18182.16,18670.68,201.778885,3735749.64973107,8344,113.155885,2094873.45039949
2020-10-09T15:00:00+00:00Z,2020-10-09T15:59:59.999000+00:00Z,18649.33,19200.0,18271.45,18981.77,222.593979,4163541.1222155,9169,109.316056,2047595.84774726
2020-10-09T16:00:00+00:00Z,2020-10-09T16:59:59.999000+00:00Z,19008.75,19045.93,18167.67,18331.36,225.496544,4178398.54081518,8524,90.194448,1670883.5929878
2020-10-09T17:00:00+00:00Z,2020-10-09T17:59:59.999000+00:00Z,18335.49,18357.1,17637.18,18096.44,254.413373,4578852.72605614,9322,128.091983,2306143.42256093
2020-10-09T18:00:00+00:00Z,2020-10-09T18:59:59.999000+00:00Z,18096.44,18572.0,17261.69,18322.01,422.473196,7597641.72143401,14556,220.395176,3971044.8337901
2020-10-09T19:00:00+00:00Z,2020-10-09T19:59:59.999000+00:00Z,18332.08,18333.19,17702.18,17934.31,136.927382,2462827.08431728,7123,58.99587,1061732.74777555
2020-10-09T20:00:00+00:00Z,2020-10-09T20:59:59.999000+00:00Z,17968.29,18140.0,17668.38,17916.91,121.27165,2169868.01606007,5003,67.025504,1200364.62674174
2020-10-09T21:00:00+00:00Z,2020-10-09T21:59:59.999000+00:00Z,17916.65,18163.99,17535.08,18006.48,98.171303,1751389.87737745,3639,49.989959,894717.89372655
2020-10-09T22:00:00+00:00Z,2020-10-09T22:59:59.999000+00:00Z,18006.0,18164.33,17653.05,18024.21,88.671293,1588172.3457922,3405,40.569914,727338.22194935
2020-10-09T23:00:00+00:00Z,2020-10-09T23:59:59.999000+00:00Z,18055.86,18415.67,17928.85,18040.96,101.348656,1842273.55502409,4917,46.921613,853790.7681395
2020-10-10T00:00:00+00:00Z,2020-10-10T00:59:59.999000+00:00Z,18042.64,18472.27,18010.75,18465.21,75.5748,1382084.50562499,4201,39.20626,717417.74889934
2020-10-10T01:00:00+00:00Z,2020-10-10T01:59:59.999000+00:00Z,18465.21,18469.98,18005.9,18350.2,87.853007,1601086.25449497,3889,42.519228,775507.13140829
2020-10-10T02:00:00+00:00Z,2020-10-10T02:59:59.999000+00:00Z,18350.21,19400.0,18185.36,19061.65,366.263175,6974105.86619623,12702,193.760532,3693024.63273649
2020-10-10T03:00:00+00:00Z,2020-10-10T03:59:59.999000+00:00Z,19061.65,19339.52,18833.29,18979.21,166.493619,3183309.96185994,5776,59.123892,1130500.75525979
2020-10-10T04:00:00+00:00Z,2020-10-10T04:59:59.999000+00:00Z,18995.5,19060.49,18519.56,18669.39,108.596578,2037841.64644617,3972,53.681766,1007866.86286721
2020-10-10T05:00:00+00:00Z,2020-10-10T05:59:59.999000+00:00Z,18699.8,18735.06,18063.79,18158.02,144.542063,2658189.87901869,4945,61.200184,1125700.33075385
2020-10-10T06:00:00+00:00Z,2020-10-10T06:59:59.999000+00:00Z,18158.01,18307.69,17531.67,17658.59,228.596822,4099914.71266118,7749,106.307826,1908983.57349779
2020-10-10T07:00:00+00:00Z,2020-10-10T07:59:59.999000+00:00Z,17658.59,18392.73,17605.61,18210.0,168.556592,3045365.36358605,6063,93.018853,1680645.55889786
2020-10-10T08:00:00+00:00Z,2020-10-10T08:59:59.999000+00:00Z,18212.47,18241.16,17946.4,18056.87,66.116401,1196255.23405344,3125,29.406861,532240.79361023
2020-10-10T09:00:00+00:00Z,2020-10-10T09:59:59.999000+00:00Z,18037.16,18145.44,17600.0,17716.28,123.074133,2190649.18413957,5002,54.397241,968053.74043136
2020-10-10T10:00:00+00:00Z,2020-10-10T10:59:59.999000+00:00Z,17716.27,17800.0,16914.76,17185.2,247.557781,4280575.20880384,9547,97.437935,1684675.18761567
2020-10-10T11:00:00+00:00Z,2020-10-10T11:59:59.999000+00:00Z,17165.74,17518.21,16810.28,17110.46,193.752793,3316200.47409377,6876,89.780506,1538053.0384335
2020-10-10T12:00:00+00:00Z,2020-10-10T12:59:59.999000+00:00Z,17079.13,17283.06,16777.69,17244.15,130.877274,2231593.00003856,5431,62.733405,1070650.15992703
2020-10-10T13:00:00+00:00Z,2020-10-10T13:59:59.999000+00:00Z,17252.52,17534.84,17030.0,17308.15,162.172066,2804912.50346193,5448,75.915311,1314540.00525207
2020-10-10T14:00:00+00:00Z,2020-10-10T14:59:59.999000+00:00Z,17305.72,17334.1,16900.0,17194.4,108.522137,1858321.3074709,4045,47.281872,810534.82953292
2020-10-10T15:00:00+00:00Z,2020-10-10T15:59:59.999000+00:00Z,17197.33,17620.0,17076.92,17210.4,133.411824,2308998.76968163,5163,71.280928,1233794.43934533
2020-10-10T16:00:00+00:00Z,2020-10-10T16:59:59.999000+00:00Z,17185.07,17310.41,16404.19,16620.0,237.887715,3990747.33520951,8661,105.869205,1774347.53934143
2020-10-10T17:00:00+00:00Z,2020-10-10T17:59:59.999000+00:00Z,16606.01,16893.62,16450.0,16600.0,143.91884,2389494.38334811,5323,79.431568,1318597.4151418
2020-10-10T18:00:00+00:00Z,2020-10-10T18:59:59.999000+00:00Z,16605.51,17034.43,16500.7,16810.33,90.810353,1525123.80557202,4460,48.580824,816281.74293701
2020-10-10T19:00:00+00:00Z,2020-10-10T19:59:59.999000+00:00Z,16819.18,16902.29,16575.0,16656.77,99.5076,1665860.1336057,3502,26.502723,444130.56173766
