# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,ZRXUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2020-10-08T15:00:00+00:00Z
# t0_final_iso,2020-10-08T15:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,79a7f62bf2db9df5
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T15:00:00+00:00Z,2020-10-08T15:59:59.999000+00:00Z,0.3666,0.3679,0.3627,0.3647,301198.88,109788.403019,513,126856.76,46274.411392
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,0.3652,0.3676,0.3638,0.3663,162165.22,59283.773847,316,92271.48,33737.478533
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,0.3666,0.3691,0.3642,0.3646,132103.34,48444.9966,257,77795.82,28536.361937
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,0.3651,0.3671,0.3621,0.3661,99647.55,36370.019406,179,64476.08,23539.432597
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,0.3661,0.3672,0.365,0.366,71929.28,26326.789651,166,42109.16,15412.649616
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,0.3655,0.3681,0.3644,0.3671,61073.85,22379.461729,167,38695.35,14181.474436
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,0.3671,0.3719,0.3671,0.3701,170057.36,62917.546396,380,90646.64,33516.312967
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,0.3701,0.3729,0.3698,0.3706,115623.43,42906.290739,198,54088.92,20080.208809
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,0.3705,0.3708,0.3655,0.3674,131769.23,48434.309022,250,72398.82,26639.192706
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,0.3675,0.3684,0.3624,0.3635,109193.8,39805.843124,221,57959.15,21128.440498
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,0.3631,0.3661,0.3629,0.3656,155364.05,56595.725645,238,94879.2,34590.805376
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,0.3657,0.3675,0.3645,0.3661,157305.3,57678.763773,231,68106.49,24964.165142
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,0.3661,0.3676,0.3639,0.3647,122427.07,44765.983497,269,64015.66,23408.83051
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,0.3642,0.365,0.3629,0.3641,85516.55,31143.718534,168,34040.94,12400.498031
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,0.3634,0.3655,0.3624,0.3631,42160.49,15336.545931,100,32909.56,11974.171978
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,0.3624,0.3643,0.3612,0.3637,41396.93,15013.168864,105,20919.15,7584.419428
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,0.3635,0.3694,0.3635,0.3681,198020.76,72617.060791,486,99599.23,36537.537782
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,0.3686,0.3704,0.3672,0.3701,69976.14,25814.060749,130,38992.02,14389.296759
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,0.3702,0.3734,0.3686,0.3729,161684.37,59938.916259,475,117887.92,43735.320767
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,0.3729,0.3813,0.371,0.3787,372653.7,140336.425595,870,199459.0,75178.161167
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,0.3792,0.385,0.3783,0.3821,365177.96,139750.488919,784,195686.78,74918.674777
2020-10-09T12:00:00+00:00Z,2020-10-09T12:59:59.999000+00:00Z,0.3826,0.3842,0.3807,0.3832,140813.7,53808.142371,329,64964.26,24839.107844
2020-10-09T13:00:00+00:00Z,2020-10-09T13:59:59.999000+00:00Z,0.3836,0.3854,0.3825,0.384,107587.7,41293.254844,357,49860.03,19145.825865
2020-10-09T14:00:00+00:00Z,2020-10-09T14:59:59.999000+00:00Z,0.3845,0.3871,0.3834,0.385,287472.77,110817.366678,457,163067.27,62896.232446
2020-10-09T15:00:00+00:00Z,2020-10-09T15:59:59.999000+00:00Z,0.3853,0.388,0.3831,0.3874,139450.7,53709.298318,374,76308.89,29407.212417
2020-10-09T16:00:00+00:00Z,2020-10-09T16:59:59.999000+00:00Z,0.3879,0.3949,0.3844,0.3942,353120.15,137648.821854,718,186295.41,72589.291354
2020-10-09T17:00:00+00:00Z,2020-10-09T17:59:59.999000+00:00Z,0.3942,0.3943,0.3923,0.3924,106177.57,41752.36218,208,42647.06,16777.380448
2020-10-09T18:00:00+00:00Z,2020-10-09T18:59:59.999000+00:00Z,0.3927,0.3927,0.3851,0.3871,133741.27,51805.371579,332,82448.09,31922.088726
2020-10-09T19:00:00+00:00Z,2020-10-09T19:59:59.999000+00:00Z,0.3871,0.3876,0.384,0.3861,95854.43,36998.386083,227,76135.98,29399.687914
2020-10-09T20:00:00+00:00Z,2020-10-09T20:59:59.999000+00:00Z,0.3857,0.3873,0.3857,0.3867,63643.42,24591.478164,170,44219.0,17090.671161
2020-10-09T21:00:00+00:00Z,2020-10-09T21:59:59.999000+00:00Z,0.3867,0.3886,0.3844,0.388,172091.76,66433.904488,273,67408.13,26062.096861
2020-10-09T22:00:00+00:00Z,2020-10-09T22:59:59.999000+00:00Z,0.388,0.3895,0.3876,0.3892,52879.01,20542.802167,167,32535.34,12646.593406
2020-10-09T23:00:00+00:00Z,2020-10-09T23:59:59.999000+00:00Z,0.3893,0.392,0.3884,0.3896,86354.07,33690.266142,232,60405.7,23565.286693
2020-10-10T00:00:00+00:00Z,2020-10-10T00:59:59.999000+00:00Z,0.3893,0.393,0.389,0.393,112319.53,43876.674779,457,71076.16,27777.15778
2020-10-10T01:00:00+00:00Z,2020-10-10T01:59:59.999000+00:00Z,0.3925,0.395,0.3918,0.3948,60884.2,23970.298458,252,32330.42,12730.925626
2020-10-10T02:00:00+00:00Z,2020-10-10T02:59:59.999000+00:00Z,0.3945,0.405,0.3934,0.4031,431599.09,172818.665268,1121,210256.37,84290.592732
2020-10-10T03:00:00+00:00Z,2020-10-10T03:59:59.999000+00:00Z,0.4029,0.4066,0.4023,0.4052,81668.14,33061.749969,475,42461.79,17186.986448
2020-10-10T04:00:00+00:00Z,2020-10-10T04:59:59.999000+00:00Z,0.405,0.4071,0.4042,0.4067,114126.11,46284.957632,287,66206.9,26870.303094
2020-10-10T05:00:00+00:00Z,2020-10-10T05:59:59.999000+00:00Z,0.4065,0.4065,0.4006,0.401,132533.14,53442.916486,252,44788.52,18057.171956
2020-10-10T06:00:00+00:00Z,2020-10-10T06:59:59.999000+00:00Z,0.401,0.4019,0.3975,0.3978,120633.12,48306.977072,277,59981.22,24021.873929
2020-10-10T07:00:00+00:00Z,2020-10-10T07:59:59.999000+00:00Z,0.398,0.4009,0.3971,0.4009,123011.77,49031.675594,348,65210.65,25983.458311
2020-10-10T08:00:00+00:00Z,2020-10-10T08:59:59.999000+00:00Z,0.4009,0.4032,0.4002,0.4028,64917.18,26092.105853,213,49056.37,19721.11113
2020-10-10T09:00:00+00:00Z,2020-10-10T09:59:59.999000+00:00Z,0.4031,0.404,0.3973,0.3992,172107.3,69041.589056,439,61830.37,24843.550394
2020-10-10T10:00:00+00:00Z,2020-10-10T10:59:59.999000+00:00Z,0.3987,0.3987,0.3923,0.3952,164414.85,65041.641166,463,73025.54,28928.544896
2020-10-10T11:00:00+00:00Z,2020-10-10T11:59:59.999000+00:00Z,0.3953,0.397,0.3949,0.3969,71498.26,28319.929851,136,37449.2,14827.86142
2020-10-10T12:00:00+00:00Z,2020-10-10T12:59:59.999000+00:00Z,0.3969,0.3982,0.394,0.3966,96756.55,38286.024164,214,50046.55,19807.187578
2020-10-10T13:00:00+00:00Z,2020-10-10T13:59:59.999000+00:00Z,0.3972,0.3999,0.3966,0.3978,58760.77,23411.74156,191,26470.58,10550.226851
2020-10-10T14:00:00+00:00Z,2020-10-10T14:59:59.999000+00:00Z,0.3978,0.3999,0.3975,0.3996,48488.68,19338.390171,115,29565.88,11795.080586
2020-10-10T15:00:00+00:00Z,2020-10-10T15:59:59.999000+00:00Z,0.3999,0.4019,0.3952,0.3971,193441.55,77221.30138,353,97006.64,38734.781033
2020-10-10T16:00:00+00:00Z,2020-10-10T16:59:59.999000+00:00Z,0.3966,0.3982,0.394,0.3948,225824.19,89452.532345,366,70872.49,28061.456524
2020-10-10T17:00:00+00:00Z,2020-10-10T17:59:59.999000+00:00Z,0.395,0.3987,0.3949,0.3974,69753.47,27723.483731,171,38576.27,15322.810917
2020-10-10T18:00:00+00:00Z,2020-10-10T18:59:59.999000+00:00Z,0.3974,0.4011,0.3968,0.4009,45144.62,18009.354413,109,31929.63,12746.279651
2020-10-10T19:00:00+00:00Z,2020-10-10T19:59:59.999000+00:00Z,0.4003,0.4026,0.3995,0.4014,92872.11,37255.595576,185,55305.49,22184.068915
2020-10-10T20:00:00+00:00Z,2020-10-10T20:59:59.999000+00:00Z,0.4013,0.4028,0.401,0.4024,50722.32,20392.580671,157,31204.73,12552.442977
2020-10-10T21:00:00+00:00Z,2020-10-10T21:59:59.999000+00:00Z,0.4024,0.4044,0.3994,0.403,179805.75,72274.259607,291,96637.38,38883.58011
2020-10-10T22:00:00+00:00Z,2020-10-10T22:59:59.999000+00:00Z,0.4027,0.4028,0.4008,0.4023,42030.48,16893.670586,91,26113.33,10496.047397
2020-10-10T23:00:00+00:00Z,2020-10-10T23:59:59.999000+00:00Z,0.4014,0.4018,0.393,0.3951,180581.5,71530.62979,386,82046.29,32497.282516
2020-10-11T00:00:00+00:00Z,2020-10-11T00:59:59.999000+00:00Z,0.3942,0.3962,0.3896,0.3901,112819.25,44263.778953,322,61880.31,24320.058955
2020-10-11T01:00:00+00:00Z,2020-10-11T01:59:59.999000+00:00Z,0.3901,0.3937,0.3901,0.3921,129684.71,50850.573378,204,56960.59,22343.253109
2020-10-11T02:00:00+00:00Z,2020-10-11T02:59:59.999000+00:00Z,0.3921,0.3935,0.3904,0.3905,41308.0,16183.872173,115,14305.14,5610.588518
2020-10-11T03:00:00+00:00Z,2020-10-11T03:59:59.999000+00:00Z,0.3909,0.3913,0.3857,0.3869,113432.43,44040.324039,265,57468.12,22306.942445
2020-10-11T04:00:00+00:00Z,2020-10-11T04:59:59.999000+00:00Z,0.3873,0.39,0.3858,0.3879,92333.28,35826.893945,169,33411.2,12961.480275
2020-10-11T05:00:00+00:00Z,2020-10-11T05:59:59.999000+00:00Z,0.3879,0.3902,0.3865,0.3899,48777.04,18929.206646,134,22300.47,8650.377928
2020-10-11T06:00:00+00:00Z,2020-10-11T06:59:59.999000+00:00Z,0.39,0.3916,0.3893,0.39,35566.43,13879.318856,115,12481.08,4873.645298
2020-10-11T07:00:00+00:00Z,2020-10-11T07:59:59.999000+00:00Z,0.3905,0.391,0.3898,0.3905,35727.19,13954.390285,66,14407.5,5629.348931
2020-10-11T08:00:00+00:00Z,2020-10-11T08:59:59.999000+00:00Z,0.3902,0.3926,0.3898,0.3907,91740.69,35880.449996,190,47956.99,18755.517975
2020-10-11T09:00:00+00:00Z,2020-10-11T09:59:59.999000+00:00Z,0.391,0.3931,0.3894,0.3909,134416.92,52575.652618,173,85357.9,33427.682233
2020-10-11T10:00:00+00:00Z,2020-10-11T10:59:59.999000+00:00Z,0.3909,0.3953,0.3901,0.3945,170375.35,66969.082897,273,105537.99,41483.119479
2020-10-11T11:00:00+00:00Z,2020-10-11T11:59:59.999000+00:00Z,0.3949,0.3953,0.3896,0.3913,123138.01,48268.283036,191,31028.8,12202.075333
2020-10-11T12:00:00+00:00Z,2020-10-11T12:59:59.999000+00:00Z,0.3912,0.3918,0.3883,0.3893,49245.56,19183.090808,152,27129.33,10567.840094
2020-10-11T13:00:00+00:00Z,2020-10-11T13:59:59.999000+00:00Z,0.3889,0.3896,0.3871,0.3877,147945.95,57403.956608,295,68975.43,26764.941186
2020-10-11T14:00:00+00:00Z,2020-10-11T14:59:59.999000+00:00Z,0.3874,0.3909,0.3871,0.3883,141212.05,54902.565568,285,76926.41,29910.155383
