# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,AEVOUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-03-13T10:00:00+00:00Z
# t0_final_iso,2024-03-13T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,c7dc7ff5ade841bc
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-03-13T10:00:00+00:00Z,2024-03-13T11:00:00+00:00Z,0.6,3.55,0.6,3.292,2943874.97,9140525.250059,0,0,0
2024-03-13T11:00:00+00:00Z,2024-03-13T12:00:00+00:00Z,3.292,3.297,2.985,3.085,763176.33,2373238.460602,0,0,0
2024-03-13T12:00:00+00:00Z,2024-03-13T13:00:00+00:00Z,3.085,3.1255,2.9,3.0074,447759.65,1350465.403556,0,0,0
2024-03-13T13:00:00+00:00Z,2024-03-13T14:00:00+00:00Z,3.0074,3.0202,2.75,2.853,496549.88,1426503.496645,0,0,0
2024-03-13T14:00:00+00:00Z,2024-03-13T15:00:00+00:00Z,2.853,2.975,2.85,2.9079,364944.07,1062378.598042,0,0,0
2024-03-13T15:00:00+00:00Z,2024-03-13T16:00:00+00:00Z,2.9079,2.9458,2.8402,2.8411,195022.99,565650.047476,0,0,0
2024-03-13T16:00:00+00:00Z,2024-03-13T17:00:00+00:00Z,2.8411,3.1517,2.808,3.005,441778.26,1335365.950759,0,0,0
2024-03-13T17:00:00+00:00Z,2024-03-13T18:00:00+00:00Z,3.005,3.375,3.0032,3.2144,906766.66,2934973.259914,0,0,0
2024-03-13T18:00:00+00:00Z,2024-03-13T19:00:00+00:00Z,3.2144,3.4,3.15,3.25,345316.99,1140353.274106,0,0,0
2024-03-13T19:00:00+00:00Z,2024-03-13T20:00:00+00:00Z,3.25,3.3089,3.0689,3.105,169498.23,539899.667005,0,0,0
2024-03-13T20:00:00+00:00Z,2024-03-13T21:00:00+00:00Z,3.105,3.1499,2.975,3.1301,146541.31,448710.72307,0,0,0
2024-03-13T21:00:00+00:00Z,2024-03-13T22:00:00+00:00Z,3.1301,3.238,3.0562,3.186,103341.15,324788.990493,0,0,0
2024-03-13T22:00:00+00:00Z,2024-03-13T23:00:00+00:00Z,3.186,3.2996,3.0602,3.093,100811.56,316081.7877,0,0,0
2024-03-13T23:00:00+00:00Z,2024-03-14T00:00:00+00:00Z,3.093,3.33,3.084,3.324,136240.14,438664.025733,0,0,0
2024-03-14T00:00:00+00:00Z,2024-03-14T01:00:00+00:00Z,3.324,3.33,3.1575,3.1684,80058.06,256138.246566,0,0,0
2024-03-14T01:00:00+00:00Z,2024-03-14T02:00:00+00:00Z,3.1684,3.1792,3.0632,3.0965,62488.66,194279.774978,0,0,0
2024-03-14T02:00:00+00:00Z,2024-03-14T03:00:00+00:00Z,3.0965,3.0998,3.0054,3.0097,79008.43,242113.25214,0,0,0
2024-03-14T03:00:00+00:00Z,2024-03-14T04:00:00+00:00Z,3.0097,3.0679,2.941,3.0392,114030.18,342362.6338,0,0,0
2024-03-14T04:00:00+00:00Z,2024-03-14T05:00:00+00:00Z,3.0392,3.0585,2.9452,3.0438,90247.31,270958.615016,0,0,0
2024-03-14T05:00:00+00:00Z,2024-03-14T06:00:00+00:00Z,3.0438,3.0499,2.9609,2.9968,95555.82,287541.989889,0,0,0
2024-03-14T06:00:00+00:00Z,2024-03-14T07:00:00+00:00Z,2.9968,3.01,2.925,2.9703,106291.08,315975.716512,0,0,0
2024-03-14T07:00:00+00:00Z,2024-03-14T08:00:00+00:00Z,2.9703,3.1,2.9703,3.039,108204.33,329504.039935,0,0,0
2024-03-14T08:00:00+00:00Z,2024-03-14T09:00:00+00:00Z,3.039,3.057,3.0,3.0015,80916.93,244406.363126,0,0,0
2024-03-14T09:00:00+00:00Z,2024-03-14T10:00:00+00:00Z,3.0015,3.06,2.9802,2.982,152197.9,457975.257794,0,0,0
2024-03-14T10:00:00+00:00Z,2024-03-14T11:00:00+00:00Z,2.982,3.0573,2.956,2.9691,256442.21,768876.042483,0,0,0
2024-03-14T11:00:00+00:00Z,2024-03-14T12:00:00+00:00Z,2.9691,3.0,2.9251,2.9411,212845.18,629336.772822,0,0,0
2024-03-14T12:00:00+00:00Z,2024-03-14T13:00:00+00:00Z,2.9411,3.0334,2.8802,3.0,351440.7,1032958.522228,0,0,0
2024-03-14T13:00:00+00:00Z,2024-03-14T14:00:00+00:00Z,3.0,3.104,2.95,3.0199,699153.29,2110088.475297,0,0,0
2024-03-14T14:00:00+00:00Z,2024-03-14T15:00:00+00:00Z,3.0199,3.13,3.0121,3.083,517051.22,1591835.297954,0,0,0
2024-03-14T15:00:00+00:00Z,2024-03-14T16:00:00+00:00Z,3.083,3.1089,2.9904,3.0112,666971.19,2037177.677042,0,0,0
2024-03-14T16:00:00+00:00Z,2024-03-14T17:00:00+00:00Z,3.0112,3.068,2.9285,3.053,437481.32,1308265.964609,0,0,0
2024-03-14T17:00:00+00:00Z,2024-03-14T18:00:00+00:00Z,3.053,3.067,2.9741,3.0102,279180.79,841819.1472,0,0,0
2024-03-14T18:00:00+00:00Z,2024-03-14T19:00:00+00:00Z,3.0102,3.0128,2.9011,2.9398,209076.14,621399.1602,0,0,0
2024-03-14T19:00:00+00:00Z,2024-03-14T20:00:00+00:00Z,2.9398,3.01,2.9115,2.9709,351436.64,1039559.365441,0,0,0
2024-03-14T20:00:00+00:00Z,2024-03-14T21:00:00+00:00Z,2.9709,3.0372,2.9673,3.02,214534.58,646321.285323,0,0,0
2024-03-14T21:00:00+00:00Z,2024-03-14T22:00:00+00:00Z,3.02,3.0899,2.9875,3.085,144775.77,438657.928833,0,0,0
2024-03-14T22:00:00+00:00Z,2024-03-14T23:00:00+00:00Z,3.085,3.0928,3.0157,3.071,151732.4,463009.306872,0,0,0
2024-03-14T23:00:00+00:00Z,2024-03-15T00:00:00+00:00Z,3.071,3.0814,3.0341,3.037,139207.14,425531.591886,0,0,0
2024-03-15T00:00:00+00:00Z,2024-03-15T01:00:00+00:00Z,3.037,3.0914,3.019,3.047,158323.28,483729.330509,0,0,0
2024-03-15T01:00:00+00:00Z,2024-03-15T02:00:00+00:00Z,3.047,3.0497,2.9916,3.001,171018.23,516237.162724,0,0,0
2024-03-15T02:00:00+00:00Z,2024-03-15T03:00:00+00:00Z,3.001,3.0079,2.9068,2.9351,211120.14,625567.084514,0,0,0
2024-03-15T03:00:00+00:00Z,2024-03-15T04:00:00+00:00Z,2.9351,2.9666,2.779,2.8791,547761.07,1573699.766344,0,0,0
2024-03-15T04:00:00+00:00Z,2024-03-15T05:00:00+00:00Z,2.8791,2.9175,2.8265,2.845,312770.83,898213.388992,0,0,0
2024-03-15T05:00:00+00:00Z,2024-03-15T06:00:00+00:00Z,2.845,2.8838,2.8154,2.872,263132.96,750424.885169,0,0,0
2024-03-15T06:00:00+00:00Z,2024-03-15T07:00:00+00:00Z,2.872,2.9253,2.868,2.9043,279959.94,810157.875237,0,0,0
2024-03-15T07:00:00+00:00Z,2024-03-15T08:00:00+00:00Z,2.9043,2.9159,2.8533,2.91,192573.82,557307.438385,0,0,0
2024-03-15T08:00:00+00:00Z,2024-03-15T09:00:00+00:00Z,2.91,2.9104,2.7113,2.739,303174.97,852802.966749,0,0,0
2024-03-15T09:00:00+00:00Z,2024-03-15T10:00:00+00:00Z,2.739,2.8092,2.571,2.7784,544802.37,1487960.937872,0,0,0
2024-03-15T10:00:00+00:00Z,2024-03-15T11:00:00+00:00Z,2.7784,2.82,2.739,2.7407,293624.69,819097.321066,0,0,0
2024-03-15T11:00:00+00:00Z,2024-03-15T12:00:00+00:00Z,2.7407,2.8048,2.66,2.796,280085.79,769615.535975,0,0,0
2024-03-15T12:00:00+00:00Z,2024-03-15T13:00:00+00:00Z,2.796,2.82,2.7531,2.7804,337680.5,940648.967904,0,0,0
2024-03-15T13:00:00+00:00Z,2024-03-15T14:00:00+00:00Z,2.7804,2.812,2.7471,2.799,324113.83,902474.896559,0,0,0
2024-03-15T14:00:00+00:00Z,2024-03-15T15:00:00+00:00Z,2.799,2.8092,2.7488,2.7941,223274.85,619781.685365,0,0,0
2024-03-15T15:00:00+00:00Z,2024-03-15T16:00:00+00:00Z,2.7941,2.801,2.6932,2.6971,312665.99,856861.66678,0,0,0
2024-03-15T16:00:00+00:00Z,2024-03-15T17:00:00+00:00Z,2.6971,2.7629,2.6375,2.7268,528963.94,1427149.062848,0,0,0
2024-03-15T17:00:00+00:00Z,2024-03-15T18:00:00+00:00Z,2.7268,2.774,2.6953,2.7272,417822.26,1145345.802043,0,0,0
2024-03-15T18:00:00+00:00Z,2024-03-15T19:00:00+00:00Z,2.7272,2.7808,2.702,2.773,344599.45,941125.604133,0,0,0
2024-03-15T19:00:00+00:00Z,2024-03-15T20:00:00+00:00Z,2.773,2.787,2.697,2.711,275244.29,755863.800296,0,0,0
2024-03-15T20:00:00+00:00Z,2024-03-15T21:00:00+00:00Z,2.711,2.7231,2.6352,2.643,290727.16,774985.47991,0,0,0
2024-03-15T21:00:00+00:00Z,2024-03-15T22:00:00+00:00Z,2.643,2.7165,2.642,2.705,234704.34,629501.262593,0,0,0
2024-03-15T22:00:00+00:00Z,2024-03-15T23:00:00+00:00Z,2.705,2.753,2.6728,2.7441,334959.32,913087.577768,0,0,0
2024-03-15T23:00:00+00:00Z,2024-03-16T00:00:00+00:00Z,2.7441,2.769,2.722,2.745,106328.01,292272.610408,0,0,0
2024-03-16T00:00:00+00:00Z,2024-03-16T01:00:00+00:00Z,2.745,2.9569,2.739,2.902,549838.23,1574296.741177,0,0,0
2024-03-16T01:00:00+00:00Z,2024-03-16T02:00:00+00:00Z,2.902,2.9291,2.822,2.888,353084.42,1014494.996182,0,0,0
2024-03-16T02:00:00+00:00Z,2024-03-16T03:00:00+00:00Z,2.888,2.918,2.8374,2.911,329514.95,948351.732235,0,0,0
2024-03-16T03:00:00+00:00Z,2024-03-16T04:00:00+00:00Z,2.911,2.955,2.8849,2.921,321289.41,939608.264887,0,0,0
2024-03-16T04:00:00+00:00Z,2024-03-16T05:00:00+00:00Z,2.921,3.04,2.898,2.974,430422.48,1282371.448148,0,0,0
2024-03-16T05:00:00+00:00Z,2024-03-16T06:00:00+00:00Z,2.974,3.0239,2.8679,3.02,447806.37,1322879.649538,0,0,0
