# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ALTUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-02-19T08:00:00+00:00Z
# t0_final_iso,2024-02-19T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,e4cb5d7e30ad3b64
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-02-19T08:00:00+00:00Z,2024-02-19T09:00:00+00:00Z,0.3,0.577,0.3,0.4494,2229044.4,998810.544982,0,0,0
2024-02-19T09:00:00+00:00Z,2024-02-19T10:00:00+00:00Z,0.4494,0.4785,0.4492,0.471,1349281.96,633026.701358,0,0,0
2024-02-19T10:00:00+00:00Z,2024-02-19T11:00:00+00:00Z,0.471,0.4725,0.4425,0.4579,760878.89,347666.509922,0,0,0
2024-02-19T11:00:00+00:00Z,2024-02-19T12:00:00+00:00Z,0.4579,0.4666,0.4524,0.4546,547806.49,250529.996822,0,0,0
2024-02-19T12:00:00+00:00Z,2024-02-19T13:00:00+00:00Z,0.4546,0.4589,0.4502,0.4541,368786.55,167526.856353,0,0,0
2024-02-19T13:00:00+00:00Z,2024-02-19T14:00:00+00:00Z,0.4541,0.4563,0.4374,0.4402,345815.32,154024.443388,0,0,0
2024-02-19T14:00:00+00:00Z,2024-02-19T15:00:00+00:00Z,0.4402,0.4423,0.4341,0.4397,358557.85,157554.849394,0,0,0
2024-02-19T15:00:00+00:00Z,2024-02-19T16:00:00+00:00Z,0.4397,0.4434,0.4376,0.4384,209789.05,92361.132467,0,0,0
2024-02-19T16:00:00+00:00Z,2024-02-19T17:00:00+00:00Z,0.4384,0.4452,0.4341,0.4365,367682.67,161482.561106,0,0,0
2024-02-19T17:00:00+00:00Z,2024-02-19T18:00:00+00:00Z,0.4365,0.4446,0.4365,0.4446,210795.22,92974.58414,0,0,0
2024-02-19T18:00:00+00:00Z,2024-02-19T19:00:00+00:00Z,0.4446,0.452,0.4407,0.4462,224372.37,100459.179992,0,0,0
2024-02-19T19:00:00+00:00Z,2024-02-19T20:00:00+00:00Z,0.4462,0.4541,0.4422,0.454,206271.77,92477.190965,0,0,0
2024-02-19T20:00:00+00:00Z,2024-02-19T21:00:00+00:00Z,0.454,0.4559,0.4503,0.4527,173014.93,78464.402796,0,0,0
2024-02-19T21:00:00+00:00Z,2024-02-19T22:00:00+00:00Z,0.4527,0.4644,0.4518,0.4639,280121.13,127757.736284,0,0,0
2024-02-19T22:00:00+00:00Z,2024-02-19T23:00:00+00:00Z,0.4639,0.4676,0.4577,0.4586,184454.82,85326.501653,0,0,0
2024-02-19T23:00:00+00:00Z,2024-02-20T00:00:00+00:00Z,0.4586,0.4677,0.4586,0.4633,275230.79,127986.489469,0,0,0
2024-02-20T00:00:00+00:00Z,2024-02-20T01:00:00+00:00Z,0.4633,0.486,0.4633,0.4701,419777.5,199698.685074,0,0,0
2024-02-20T01:00:00+00:00Z,2024-02-20T02:00:00+00:00Z,0.4701,0.4774,0.4579,0.4589,310591.29,145242.410919,0,0,0
2024-02-20T02:00:00+00:00Z,2024-02-20T03:00:00+00:00Z,0.4589,0.4758,0.4587,0.4705,412328.94,194187.137966,0,0,0
2024-02-20T03:00:00+00:00Z,2024-02-20T04:00:00+00:00Z,0.4705,0.4781,0.4566,0.4566,140854.42,66191.692207,0,0,0
2024-02-20T04:00:00+00:00Z,2024-02-20T05:00:00+00:00Z,0.4566,0.464,0.4505,0.4635,174354.13,79377.93114,0,0,0
2024-02-20T05:00:00+00:00Z,2024-02-20T06:00:00+00:00Z,0.4635,0.4653,0.4546,0.4562,135284.75,62141.700711,0,0,0
2024-02-20T06:00:00+00:00Z,2024-02-20T07:00:00+00:00Z,0.4562,0.4591,0.4516,0.4519,94250.58,42934.439839,0,0,0
2024-02-20T07:00:00+00:00Z,2024-02-20T08:00:00+00:00Z,0.4519,0.4544,0.4472,0.4483,141449.32,63729.862494,0,0,0
2024-02-20T08:00:00+00:00Z,2024-02-20T09:00:00+00:00Z,0.4483,0.4496,0.4402,0.4463,470092.78,209030.600351,0,0,0
2024-02-20T09:00:00+00:00Z,2024-02-20T10:00:00+00:00Z,0.4463,0.4479,0.4417,0.4464,201271.26,89530.276948,0,0,0
2024-02-20T10:00:00+00:00Z,2024-02-20T11:00:00+00:00Z,0.4464,0.55,0.4447,0.504,1153487.52,558950.49524,0,0,0
2024-02-20T11:00:00+00:00Z,2024-02-20T12:00:00+00:00Z,0.504,0.504,0.4816,0.4946,1128957.43,554580.847845,0,0,0
2024-02-20T12:00:00+00:00Z,2024-02-20T13:00:00+00:00Z,0.4946,0.4967,0.4713,0.4713,681067.09,329614.024028,0,0,0
2024-02-20T13:00:00+00:00Z,2024-02-20T14:00:00+00:00Z,0.4713,0.4917,0.47,0.4864,568041.74,273224.606925,0,0,0
2024-02-20T14:00:00+00:00Z,2024-02-20T15:00:00+00:00Z,0.4864,0.528,0.4704,0.4819,988777.15,485764.460921,0,0,0
2024-02-20T15:00:00+00:00Z,2024-02-20T16:00:00+00:00Z,0.4819,0.4903,0.4546,0.4813,701137.51,328064.419075,0,0,0
2024-02-20T16:00:00+00:00Z,2024-02-20T17:00:00+00:00Z,0.4813,0.5585,0.4743,0.4795,964945.72,479774.240157,0,0,0
2024-02-20T17:00:00+00:00Z,2024-02-20T18:00:00+00:00Z,0.4795,0.4872,0.4709,0.4864,566969.48,272682.801487,0,0,0
2024-02-20T18:00:00+00:00Z,2024-02-20T19:00:00+00:00Z,0.4864,0.502,0.4845,0.4966,257342.2,127116.237564,0,0,0
2024-02-20T19:00:00+00:00Z,2024-02-20T20:00:00+00:00Z,0.4966,0.5148,0.4903,0.5132,332408.57,167332.443593,0,0,0
2024-02-20T20:00:00+00:00Z,2024-02-20T21:00:00+00:00Z,0.5132,0.5177,0.5054,0.5096,262476.52,134307.871129,0,0,0
2024-02-20T21:00:00+00:00Z,2024-02-20T22:00:00+00:00Z,0.5096,0.5177,0.4934,0.5085,192930.47,98356.930528,0,0,0
2024-02-20T22:00:00+00:00Z,2024-02-20T23:00:00+00:00Z,0.5085,0.524,0.5042,0.5216,260121.35,133818.18632,0,0,0
2024-02-20T23:00:00+00:00Z,2024-02-21T00:00:00+00:00Z,0.5216,0.5502,0.5101,0.5138,362042.25,189469.608817,0,0,0
2024-02-21T00:00:00+00:00Z,2024-02-21T01:00:00+00:00Z,0.5138,0.5192,0.5,0.5063,245685.44,125267.8224,0,0,0
2024-02-21T01:00:00+00:00Z,2024-02-21T02:00:00+00:00Z,0.5063,0.5171,0.5016,0.5082,164075.93,83602.635204,0,0,0
2024-02-21T02:00:00+00:00Z,2024-02-21T03:00:00+00:00Z,0.5082,0.5329,0.5032,0.5294,315623.77,165281.975001,0,0,0
2024-02-21T03:00:00+00:00Z,2024-02-21T04:00:00+00:00Z,0.5294,0.563,0.5253,0.5373,489777.31,261245.751456,0,0,0
2024-02-21T04:00:00+00:00Z,2024-02-21T05:00:00+00:00Z,0.5373,0.568,0.5255,0.5334,417092.09,223811.679013,0,0,0
2024-02-21T05:00:00+00:00Z,2024-02-21T06:00:00+00:00Z,0.5334,0.5552,0.532,0.543,414021.01,225166.972742,0,0,0
2024-02-21T06:00:00+00:00Z,2024-02-21T07:00:00+00:00Z,0.543,0.5449,0.5213,0.522,286029.96,151706.345687,0,0,0
2024-02-21T07:00:00+00:00Z,2024-02-21T08:00:00+00:00Z,0.522,0.5544,0.5047,0.5072,719215.49,373486.675118,0,0,0
2024-02-21T08:00:00+00:00Z,2024-02-21T09:00:00+00:00Z,0.5072,0.5174,0.5045,0.5111,198312.88,101257.055989,0,0,0
2024-02-21T09:00:00+00:00Z,2024-02-21T10:00:00+00:00Z,0.5111,0.5132,0.4902,0.5023,616994.11,308406.292113,0,0,0
2024-02-21T10:00:00+00:00Z,2024-02-21T11:00:00+00:00Z,0.5023,0.5425,0.4985,0.5295,745680.73,386886.88742,0,0,0
2024-02-21T11:00:00+00:00Z,2024-02-21T12:00:00+00:00Z,0.5295,0.5392,0.517,0.5201,426657.19,224801.160528,0,0,0
2024-02-21T12:00:00+00:00Z,2024-02-21T13:00:00+00:00Z,0.5201,0.5433,0.5125,0.5344,632575.5,337503.904959,0,0,0
2024-02-21T13:00:00+00:00Z,2024-02-21T14:00:00+00:00Z,0.5344,0.56,0.5233,0.5279,494121.46,263564.627075,0,0,0
2024-02-21T14:00:00+00:00Z,2024-02-21T15:00:00+00:00Z,0.5279,0.5324,0.5061,0.5134,480069.37,248516.666446,0,0,0
2024-02-21T15:00:00+00:00Z,2024-02-21T16:00:00+00:00Z,0.5134,0.544,0.5107,0.5259,388853.84,203907.869435,0,0,0
2024-02-21T16:00:00+00:00Z,2024-02-21T17:00:00+00:00Z,0.5259,0.543,0.5201,0.54,251425.67,133679.036542,0,0,0
2024-02-21T17:00:00+00:00Z,2024-02-21T18:00:00+00:00Z,0.54,0.5445,0.5212,0.5231,249621.14,132504.071777,0,0,0
2024-02-21T18:00:00+00:00Z,2024-02-21T19:00:00+00:00Z,0.5231,0.5314,0.5089,0.5108,208569.64,107763.498238,0,0,0
2024-02-21T19:00:00+00:00Z,2024-02-21T20:00:00+00:00Z,0.5108,0.5184,0.5065,0.5135,221385.9,113681.396554,0,0,0
2024-02-21T20:00:00+00:00Z,2024-02-21T21:00:00+00:00Z,0.5135,0.5179,0.5091,0.5114,45703.67,23432.161454,0,0,0
2024-02-21T21:00:00+00:00Z,2024-02-21T22:00:00+00:00Z,0.5114,0.5355,0.5104,0.5246,140616.74,73587.479192,0,0,0
2024-02-21T22:00:00+00:00Z,2024-02-21T23:00:00+00:00Z,0.5246,0.5398,0.5162,0.5346,355329.41,188443.98623,0,0,0
2024-02-21T23:00:00+00:00Z,2024-02-22T00:00:00+00:00Z,0.5346,0.5488,0.5311,0.5408,397470.6,214192.168503,0,0,0
2024-02-22T00:00:00+00:00Z,2024-02-22T01:00:00+00:00Z,0.5408,0.5421,0.5179,0.5193,363106.58,192681.955197,0,0,0
2024-02-22T01:00:00+00:00Z,2024-02-22T02:00:00+00:00Z,0.5193,0.5263,0.502,0.5025,379946.24,193972.809906,0,0,0
2024-02-22T02:00:00+00:00Z,2024-02-22T03:00:00+00:00Z,0.5025,0.5146,0.5025,0.5032,141348.06,71720.904703,0,0,0
2024-02-22T03:00:00+00:00Z,2024-02-22T04:00:00+00:00Z,0.5032,0.5128,0.4971,0.5081,249803.36,125953.858004,0,0,0
2024-02-22T04:00:00+00:00Z,2024-02-22T05:00:00+00:00Z,0.5081,0.5124,0.5016,0.5029,86620.78,44022.566416,0,0,0
2024-02-22T05:00:00+00:00Z,2024-02-22T06:00:00+00:00Z,0.5029,0.5136,0.5013,0.5112,92914.61,47193.870247,0,0,0
2024-02-22T06:00:00+00:00Z,2024-02-22T07:00:00+00:00Z,0.5112,0.5209,0.506,0.5191,217602.81,111960.872981,0,0,0
2024-02-22T07:00:00+00:00Z,2024-02-22T08:00:00+00:00Z,0.5191,0.5191,0.5003,0.5032,182585.87,92690.162674,0,0,0
