# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,AMZNXUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-07-07T14:00:00+00:00Z
# t0_final_iso,2025-07-07T14:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,4ff2e94bc8a04411
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-07-07T14:00:00+00:00Z,2025-07-07T15:00:00+00:00Z,201.06,225.0,201.06,222.71,168.89,37792.8156,0,0,0
2025-07-07T15:00:00+00:00Z,2025-07-07T16:00:00+00:00Z,222.71,224.21,222.71,223.99,31.83,7126.9385,0,0,0
2025-07-07T16:00:00+00:00Z,2025-07-07T17:00:00+00:00Z,223.99,224.23,222.59,222.7,75.83,16931.343,0,0,0
2025-07-07T17:00:00+00:00Z,2025-07-07T18:00:00+00:00Z,222.7,223.15,222.49,223.15,17.69,3943.2348,0,0,0
2025-07-07T18:00:00+00:00Z,2025-07-07T19:00:00+00:00Z,223.15,223.65,222.41,223.54,38.57,8610.4972,0,0,0
2025-07-07T19:00:00+00:00Z,2025-07-07T20:00:00+00:00Z,223.54,223.59,222.89,223.17,47.17,10531.5463,0,0,0
2025-07-07T20:00:00+00:00Z,2025-07-07T21:00:00+00:00Z,223.17,226.62,222.47,222.47,15.06,3371.3843,0,0,0
2025-07-07T21:00:00+00:00Z,2025-07-07T22:00:00+00:00Z,222.47,227.1,222.47,223.3,6.59,1484.0245,0,0,0
2025-07-07T22:00:00+00:00Z,2025-07-07T23:00:00+00:00Z,223.3,225.72,223.3,223.31,4.66,1042.8019,0,0,0
2025-07-07T23:00:00+00:00Z,2025-07-08T00:00:00+00:00Z,223.31,224.08,223.31,223.4,5.41,1211.4601,0,0,0
2025-07-08T00:00:00+00:00Z,2025-07-08T01:00:00+00:00Z,223.4,227.22,223.4,223.73,5.86,1323.567,0,0,0
2025-07-08T01:00:00+00:00Z,2025-07-08T02:00:00+00:00Z,223.73,227.22,223.41,223.42,13.11,2943.5912,0,0,0
2025-07-08T02:00:00+00:00Z,2025-07-08T03:00:00+00:00Z,223.42,226.7,223.42,223.43,1.5,335.679,0,0,0
2025-07-08T03:00:00+00:00Z,2025-07-08T04:00:00+00:00Z,223.43,227.24,223.43,227.24,3.69,834.116,0,0,0
2025-07-08T04:00:00+00:00Z,2025-07-08T05:00:00+00:00Z,227.24,227.24,223.46,223.56,25.39,5686.1365,0,0,0
2025-07-08T05:00:00+00:00Z,2025-07-08T06:00:00+00:00Z,223.56,227.72,223.46,223.82,21.48,4806.7568,0,0,0
2025-07-08T06:00:00+00:00Z,2025-07-08T07:00:00+00:00Z,223.82,227.01,223.46,224.9,21.1,4727.7637,0,0,0
2025-07-08T07:00:00+00:00Z,2025-07-08T08:00:00+00:00Z,224.9,227.06,223.48,223.98,23.98,5374.9933,0,0,0
2025-07-08T08:00:00+00:00Z,2025-07-08T09:00:00+00:00Z,223.98,227.72,223.75,224.3,40.01,9003.1252,0,0,0
2025-07-08T09:00:00+00:00Z,2025-07-08T10:00:00+00:00Z,224.3,226.0,223.4,224.05,39.6,8857.8196,0,0,0
2025-07-08T10:00:00+00:00Z,2025-07-08T11:00:00+00:00Z,224.05,226.89,223.47,224.2,29.14,6551.1784,0,0,0
2025-07-08T11:00:00+00:00Z,2025-07-08T12:00:00+00:00Z,224.2,226.7,224.2,224.66,15.57,3507.37,0,0,0
2025-07-08T12:00:00+00:00Z,2025-07-08T13:00:00+00:00Z,224.66,227.0,224.2,224.35,33.38,7502.8364,0,0,0
2025-07-08T13:00:00+00:00Z,2025-07-08T14:00:00+00:00Z,224.35,225.33,222.3,222.3,46.49,10386.6489,0,0,0
