# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,APPUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-01-12T10:00:00+00:00Z
# t0_final_iso,2024-01-12T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,9d800924d42ab798
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-01-12T10:00:00+00:00Z,2024-01-12T11:00:00+00:00Z,0.0067,0.04908,0.0067,0.041933,35442916.22,1530549.48776273,0,0,0
2024-01-12T11:00:00+00:00Z,2024-01-12T12:00:00+00:00Z,0.041933,0.044094,0.039281,0.039991,7306313.94,301662.06755907,0,0,0
2024-01-12T12:00:00+00:00Z,2024-01-12T13:00:00+00:00Z,0.039991,0.040399,0.035254,0.039501,4037009.45,153798.30822117,0,0,0
2024-01-12T13:00:00+00:00Z,2024-01-12T14:00:00+00:00Z,0.039501,0.0448,0.03767,0.04279,7922954.9,326677.97059242,0,0,0
2024-01-12T14:00:00+00:00Z,2024-01-12T15:00:00+00:00Z,0.04279,0.0443,0.039867,0.040135,3402372.58,142663.27098818,0,0,0
2024-01-12T15:00:00+00:00Z,2024-01-12T16:00:00+00:00Z,0.040135,0.042024,0.03798,0.039351,2423985.19,96953.65940159,0,0,0
2024-01-12T16:00:00+00:00Z,2024-01-12T17:00:00+00:00Z,0.039351,0.040651,0.038755,0.039376,986149.57,39058.04285618,0,0,0
2024-01-12T17:00:00+00:00Z,2024-01-12T18:00:00+00:00Z,0.039376,0.044,0.038722,0.042188,2911082.53,121330.38528689,0,0,0
2024-01-12T18:00:00+00:00Z,2024-01-12T19:00:00+00:00Z,0.042188,0.04289,0.040311,0.041998,1102105.08,45935.78304578,0,0,0
2024-01-12T19:00:00+00:00Z,2024-01-12T20:00:00+00:00Z,0.041998,0.0448,0.041004,0.042692,2231871.86,95193.54736466,0,0,0
2024-01-12T20:00:00+00:00Z,2024-01-12T21:00:00+00:00Z,0.042692,0.042901,0.040801,0.041467,1049538.79,43696.28782335,0,0,0
2024-01-12T21:00:00+00:00Z,2024-01-12T22:00:00+00:00Z,0.041467,0.041749,0.0401,0.0406,890317.58,36226.43180794,0,0,0
2024-01-12T22:00:00+00:00Z,2024-01-12T23:00:00+00:00Z,0.0406,0.04068,0.037961,0.038164,1588822.56,62249.59163901,0,0,0
2024-01-12T23:00:00+00:00Z,2024-01-13T00:00:00+00:00Z,0.038164,0.040261,0.037602,0.040088,669733.66,25870.93527313,0,0,0
2024-01-13T00:00:00+00:00Z,2024-01-13T01:00:00+00:00Z,0.040088,0.040168,0.037032,0.03725,739436.51,28332.91141472,0,0,0
2024-01-13T01:00:00+00:00Z,2024-01-13T02:00:00+00:00Z,0.03725,0.038656,0.03725,0.037942,455323.07,17212.38612301,0,0,0
2024-01-13T02:00:00+00:00Z,2024-01-13T03:00:00+00:00Z,0.037942,0.0404,0.03725,0.038635,441586.59,17298.97648062,0,0,0
2024-01-13T03:00:00+00:00Z,2024-01-13T04:00:00+00:00Z,0.038635,0.0404,0.038394,0.039197,251456.56,9874.31417552,0,0,0
2024-01-13T04:00:00+00:00Z,2024-01-13T05:00:00+00:00Z,0.039197,0.04184,0.038852,0.040266,761326.92,30861.46593998,0,0,0
2024-01-13T05:00:00+00:00Z,2024-01-13T06:00:00+00:00Z,0.040266,0.040995,0.039757,0.040995,490178.86,19790.88978212,0,0,0
2024-01-13T06:00:00+00:00Z,2024-01-13T07:00:00+00:00Z,0.040995,0.04288,0.040355,0.041972,905255.67,37790.43557415,0,0,0
2024-01-13T07:00:00+00:00Z,2024-01-13T08:00:00+00:00Z,0.041972,0.041972,0.040355,0.040889,696877.55,28673.14372318,0,0,0
2024-01-13T08:00:00+00:00Z,2024-01-13T09:00:00+00:00Z,0.040889,0.041586,0.040455,0.040575,426625.16,17516.02733042,0,0,0
