# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ARTYUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-12-21T12:00:00+00:00Z
# t0_final_iso,2023-12-21T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,467872484e9597d4
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-12-21T12:00:00+00:00Z,2023-12-21T13:00:00+00:00Z,0.33,2.838,0.33,2.5251,678260.51,1571821.12379,0,0,0
2023-12-21T13:00:00+00:00Z,2023-12-21T14:00:00+00:00Z,2.5251,2.8,2.332,2.7364,133219.81,341571.608685,0,0,0
2023-12-21T14:00:00+00:00Z,2023-12-21T15:00:00+00:00Z,2.7364,2.9279,2.4,2.5101,237915.08,625337.897661,0,0,0
2023-12-21T15:00:00+00:00Z,2023-12-21T16:00:00+00:00Z,2.5101,2.7449,2.46,2.706,64144.64,163031.047,0,0,0
2023-12-21T16:00:00+00:00Z,2023-12-21T17:00:00+00:00Z,2.706,2.7269,2.4851,2.5348,41459.73,106904.744652,0,0,0
2023-12-21T17:00:00+00:00Z,2023-12-21T18:00:00+00:00Z,2.5348,2.75,2.5202,2.5794,40236.29,107414.941724,0,0,0
2023-12-21T18:00:00+00:00Z,2023-12-21T19:00:00+00:00Z,2.5794,2.73,2.5787,2.6516,28346.51,75545.99452,0,0,0
2023-12-21T19:00:00+00:00Z,2023-12-21T20:00:00+00:00Z,2.6516,2.8059,2.6139,2.6595,33082.17,89351.946047,0,0,0
2023-12-21T20:00:00+00:00Z,2023-12-21T21:00:00+00:00Z,2.6595,2.7043,2.57,2.7043,36895.69,96478.003237,0,0,0
2023-12-21T21:00:00+00:00Z,2023-12-21T22:00:00+00:00Z,2.7043,2.73,2.57,2.578,17886.83,46943.01148,0,0,0
2023-12-21T22:00:00+00:00Z,2023-12-21T23:00:00+00:00Z,2.578,2.5941,2.5,2.5157,19527.83,49673.500562,0,0,0
2023-12-21T23:00:00+00:00Z,2023-12-22T00:00:00+00:00Z,2.5157,2.5559,2.5,2.5152,9024.55,22806.556547,0,0,0
2023-12-22T00:00:00+00:00Z,2023-12-22T01:00:00+00:00Z,2.5152,2.5265,2.4808,2.4815,11557.16,28940.921477,0,0,0
2023-12-22T01:00:00+00:00Z,2023-12-22T02:00:00+00:00Z,2.4815,2.6494,2.4809,2.5602,16964.94,43675.03838,0,0,0
2023-12-22T02:00:00+00:00Z,2023-12-22T03:00:00+00:00Z,2.5602,2.7,2.5295,2.6546,12810.6,33762.834302,0,0,0
