# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ASRRUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-05-30T13:00:00+00:00Z
# t0_final_iso,2025-05-30T13:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,ebc8ade549958e3b
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-05-30T13:00:00+00:00Z,2025-05-30T14:00:00+00:00Z,0.4,1.525,0.4,0.4352,2444255.19,1527601.822625,0,0,0
2025-05-30T14:00:00+00:00Z,2025-05-30T15:00:00+00:00Z,0.4352,0.4369,0.2758,0.281,2024147.57,708011.773386,0,0,0
2025-05-30T15:00:00+00:00Z,2025-05-30T16:00:00+00:00Z,0.281,0.3375,0.2689,0.3327,1702436.89,514372.91193,0,0,0
2025-05-30T16:00:00+00:00Z,2025-05-30T17:00:00+00:00Z,0.3327,0.3351,0.2888,0.3119,1269317.24,396034.786059,0,0,0
2025-05-30T17:00:00+00:00Z,2025-05-30T18:00:00+00:00Z,0.3119,0.3237,0.2978,0.2996,616780.87,193612.258475,0,0,0
2025-05-30T18:00:00+00:00Z,2025-05-30T19:00:00+00:00Z,0.2996,0.3092,0.2834,0.2834,355413.44,106224.230643,0,0,0
2025-05-30T19:00:00+00:00Z,2025-05-30T20:00:00+00:00Z,0.2834,0.3103,0.2834,0.3047,289568.84,87586.349091,0,0,0
2025-05-30T20:00:00+00:00Z,2025-05-30T21:00:00+00:00Z,0.3047,0.3071,0.3,0.3018,123224.7,37435.523151,0,0,0
2025-05-30T21:00:00+00:00Z,2025-05-30T22:00:00+00:00Z,0.3018,0.3094,0.3017,0.3085,85226.54,26038.201657,0,0,0
2025-05-30T22:00:00+00:00Z,2025-05-30T23:00:00+00:00Z,0.3085,0.3108,0.2985,0.2993,114263.2,34809.493726,0,0,0
2025-05-30T23:00:00+00:00Z,2025-05-31T00:00:00+00:00Z,0.2993,0.3004,0.2797,0.2948,157796.44,45629.045142,0,0,0
2025-05-31T00:00:00+00:00Z,2025-05-31T01:00:00+00:00Z,0.2948,0.3096,0.291,0.308,149327.73,45051.310254,0,0,0
2025-05-31T01:00:00+00:00Z,2025-05-31T02:00:00+00:00Z,0.308,0.313,0.3054,0.3091,173156.04,53496.382548,0,0,0
2025-05-31T02:00:00+00:00Z,2025-05-31T03:00:00+00:00Z,0.3091,0.316,0.3081,0.3096,145891.52,45396.021093,0,0,0
2025-05-31T03:00:00+00:00Z,2025-05-31T04:00:00+00:00Z,0.3096,0.31,0.302,0.3039,133474.85,40731.544598,0,0,0
2025-05-31T04:00:00+00:00Z,2025-05-31T05:00:00+00:00Z,0.3039,0.3055,0.2812,0.2888,124086.47,36497.913211,0,0,0
2025-05-31T05:00:00+00:00Z,2025-05-31T06:00:00+00:00Z,0.2888,0.2964,0.2812,0.2828,143408.8,41047.612766,0,0,0
2025-05-31T06:00:00+00:00Z,2025-05-31T07:00:00+00:00Z,0.2828,0.2848,0.25,0.26,233847.36,63416.295053,0,0,0
2025-05-31T07:00:00+00:00Z,2025-05-31T08:00:00+00:00Z,0.26,0.2682,0.247,0.259,232289.68,59311.398013,0,0,0
2025-05-31T08:00:00+00:00Z,2025-05-31T09:00:00+00:00Z,0.259,0.2634,0.2518,0.2527,106080.19,27344.874623,0,0,0
2025-05-31T09:00:00+00:00Z,2025-05-31T10:00:00+00:00Z,0.2527,0.2565,0.2122,0.2309,506248.65,116502.793855,0,0,0
2025-05-31T10:00:00+00:00Z,2025-05-31T11:00:00+00:00Z,0.2309,0.2416,0.215,0.2416,348361.98,80066.777663,0,0,0
2025-05-31T11:00:00+00:00Z,2025-05-31T12:00:00+00:00Z,0.2416,0.2825,0.24,0.2482,538304.87,140061.507338,0,0,0
2025-05-31T12:00:00+00:00Z,2025-05-31T13:00:00+00:00Z,0.2482,0.2588,0.2344,0.2553,243842.89,61052.202924,0,0,0
2025-05-31T13:00:00+00:00Z,2025-05-31T14:00:00+00:00Z,0.2553,0.28,0.2413,0.2692,242340.21,63311.873185,0,0,0
2025-05-31T14:00:00+00:00Z,2025-05-31T15:00:00+00:00Z,0.2692,0.275,0.256,0.2587,319228.23,84359.497143,0,0,0
2025-05-31T15:00:00+00:00Z,2025-05-31T16:00:00+00:00Z,0.2587,0.2675,0.25,0.2512,257687.44,66187.897936,0,0,0
2025-05-31T16:00:00+00:00Z,2025-05-31T17:00:00+00:00Z,0.2512,0.2651,0.2488,0.2585,191285.5,49207.119116,0,0,0
2025-05-31T17:00:00+00:00Z,2025-05-31T18:00:00+00:00Z,0.2585,0.2624,0.2418,0.2445,200655.24,50523.020532,0,0,0
2025-05-31T18:00:00+00:00Z,2025-05-31T19:00:00+00:00Z,0.2445,0.2513,0.2357,0.2381,182376.63,44168.140553,0,0,0
2025-05-31T19:00:00+00:00Z,2025-05-31T20:00:00+00:00Z,0.2381,0.2449,0.2364,0.2438,173339.6,41661.384266,0,0,0
2025-05-31T20:00:00+00:00Z,2025-05-31T21:00:00+00:00Z,0.2438,0.2439,0.235,0.2401,190846.13,45937.584051,0,0,0
2025-05-31T21:00:00+00:00Z,2025-05-31T22:00:00+00:00Z,0.2401,0.302,0.24,0.2884,526197.96,142118.623788,0,0,0
2025-05-31T22:00:00+00:00Z,2025-05-31T23:00:00+00:00Z,0.2884,0.2884,0.2541,0.2684,264406.53,70897.940688,0,0,0
2025-05-31T23:00:00+00:00Z,2025-06-01T00:00:00+00:00Z,0.2684,0.2846,0.2646,0.2707,121987.45,33078.738205,0,0,0
2025-06-01T00:00:00+00:00Z,2025-06-01T01:00:00+00:00Z,0.2707,0.2827,0.2689,0.2751,118884.6,32390.630848,0,0,0
2025-06-01T01:00:00+00:00Z,2025-06-01T02:00:00+00:00Z,0.2751,0.2889,0.2719,0.2888,177118.51,50126.292293,0,0,0
2025-06-01T02:00:00+00:00Z,2025-06-01T03:00:00+00:00Z,0.2888,0.2955,0.2878,0.2944,132416.83,38402.048114,0,0,0
2025-06-01T03:00:00+00:00Z,2025-06-01T04:00:00+00:00Z,0.2944,0.2945,0.29,0.2911,150544.32,44016.967872,0,0,0
2025-06-01T04:00:00+00:00Z,2025-06-01T05:00:00+00:00Z,0.2911,0.2912,0.2794,0.2854,204909.91,58581.885074,0,0,0
2025-06-01T05:00:00+00:00Z,2025-06-01T06:00:00+00:00Z,0.2854,0.2902,0.2844,0.2857,183696.2,52878.293236,0,0,0
2025-06-01T06:00:00+00:00Z,2025-06-01T07:00:00+00:00Z,0.2857,0.2895,0.2807,0.285,133958.57,38358.574555,0,0,0
2025-06-01T07:00:00+00:00Z,2025-06-01T08:00:00+00:00Z,0.285,0.2939,0.2841,0.2916,150517.95,43632.767783,0,0,0
2025-06-01T08:00:00+00:00Z,2025-06-01T09:00:00+00:00Z,0.2916,0.3142,0.2903,0.3095,336454.72,101267.570411,0,0,0
2025-06-01T09:00:00+00:00Z,2025-06-01T10:00:00+00:00Z,0.3095,0.3437,0.3061,0.3331,670454.54,218916.371978,0,0,0
2025-06-01T10:00:00+00:00Z,2025-06-01T11:00:00+00:00Z,0.3331,0.35,0.3226,0.3402,499189.69,166248.66923,0,0,0
2025-06-01T11:00:00+00:00Z,2025-06-01T12:00:00+00:00Z,0.3402,0.348,0.3276,0.3346,422570.76,142329.286476,0,0,0
2025-06-01T12:00:00+00:00Z,2025-06-01T13:00:00+00:00Z,0.3346,0.3369,0.3258,0.3313,321092.22,106224.948271,0,0,0
2025-06-01T13:00:00+00:00Z,2025-06-01T14:00:00+00:00Z,0.3313,0.3498,0.3288,0.3458,469555.6,159370.757904,0,0,0
2025-06-01T14:00:00+00:00Z,2025-06-01T15:00:00+00:00Z,0.3458,0.3609,0.341,0.3496,387509.27,136112.98605,0,0,0
2025-06-01T15:00:00+00:00Z,2025-06-01T16:00:00+00:00Z,0.3496,0.353,0.3475,0.349,278518.31,97501.155711,0,0,0
2025-06-01T16:00:00+00:00Z,2025-06-01T17:00:00+00:00Z,0.349,0.3576,0.3484,0.3534,235054.21,83010.261589,0,0,0
2025-06-01T17:00:00+00:00Z,2025-06-01T18:00:00+00:00Z,0.3534,0.3534,0.3366,0.3448,242854.96,83478.470939,0,0,0
2025-06-01T18:00:00+00:00Z,2025-06-01T19:00:00+00:00Z,0.3448,0.3734,0.3378,0.3732,395171.22,141250.552301,0,0,0
2025-06-01T19:00:00+00:00Z,2025-06-01T20:00:00+00:00Z,0.3732,0.386,0.3462,0.3561,374204.74,137017.425956,0,0,0
2025-06-01T20:00:00+00:00Z,2025-06-01T21:00:00+00:00Z,0.3561,0.3756,0.3534,0.3751,183491.24,66959.383375,0,0,0
2025-06-01T21:00:00+00:00Z,2025-06-01T22:00:00+00:00Z,0.3751,0.3753,0.3553,0.366,189709.73,68752.407693,0,0,0
2025-06-01T22:00:00+00:00Z,2025-06-01T23:00:00+00:00Z,0.366,0.3949,0.3637,0.3929,195649.47,74589.271045,0,0,0
2025-06-01T23:00:00+00:00Z,2025-06-02T00:00:00+00:00Z,0.3929,0.3989,0.3879,0.3924,165712.38,65264.308998,0,0,0
2025-06-02T00:00:00+00:00Z,2025-06-02T01:00:00+00:00Z,0.3924,0.399,0.386,0.3873,125035.41,49043.665114,0,0,0
2025-06-02T01:00:00+00:00Z,2025-06-02T02:00:00+00:00Z,0.3873,0.3972,0.3831,0.3906,122950.94,47789.225087,0,0,0
2025-06-02T02:00:00+00:00Z,2025-06-02T03:00:00+00:00Z,0.3906,0.3908,0.37,0.386,178420.84,67949.688327,0,0,0
2025-06-02T03:00:00+00:00Z,2025-06-02T04:00:00+00:00Z,0.386,0.3872,0.37,0.3716,127568.11,47977.703333,0,0,0
2025-06-02T04:00:00+00:00Z,2025-06-02T05:00:00+00:00Z,0.3716,0.3917,0.3705,0.389,189229.8,71781.000865,0,0,0
2025-06-02T05:00:00+00:00Z,2025-06-02T06:00:00+00:00Z,0.389,0.3956,0.3833,0.3848,198436.43,77045.680968,0,0,0
2025-06-02T06:00:00+00:00Z,2025-06-02T07:00:00+00:00Z,0.3848,0.39,0.3833,0.3867,175102.29,67604.790191,0,0,0
2025-06-02T07:00:00+00:00Z,2025-06-02T08:00:00+00:00Z,0.3867,0.3892,0.3759,0.3785,229305.08,87228.995846,0,0,0
2025-06-02T08:00:00+00:00Z,2025-06-02T09:00:00+00:00Z,0.3785,0.3796,0.3555,0.3681,224779.19,83066.117716,0,0,0
2025-06-02T09:00:00+00:00Z,2025-06-02T10:00:00+00:00Z,0.3681,0.3738,0.3375,0.3406,225819.63,79900.55469,0,0,0
2025-06-02T10:00:00+00:00Z,2025-06-02T11:00:00+00:00Z,0.3406,0.344,0.3192,0.3194,300756.03,98835.667802,0,0,0
2025-06-02T11:00:00+00:00Z,2025-06-02T12:00:00+00:00Z,0.3194,0.3208,0.3038,0.3141,385439.03,120320.458537,0,0,0
2025-06-02T12:00:00+00:00Z,2025-06-02T13:00:00+00:00Z,0.3141,0.3174,0.2882,0.3047,397752.92,121720.018479,0,0,0
