# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,AVLUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-02-12T10:00:00+00:00Z
# t0_final_iso,2025-02-12T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,4e470765526e899c
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-02-12T10:00:00+00:00Z,2025-02-12T11:00:00+00:00Z,0.05,1.5476,0.05,0.4149,18754562.6,14756684.96279,0,0,0
2025-02-12T11:00:00+00:00Z,2025-02-12T12:00:00+00:00Z,0.4149,0.53,0.382,0.4298,8105005.6,3570650.35476,0,0,0
2025-02-12T12:00:00+00:00Z,2025-02-12T13:00:00+00:00Z,0.4298,0.469,0.3703,0.3911,4693467.1,1956767.8713,0,0,0
2025-02-12T13:00:00+00:00Z,2025-02-12T14:00:00+00:00Z,0.3911,0.4994,0.39,0.4341,6486185.0,2804194.34262,0,0,0
2025-02-12T14:00:00+00:00Z,2025-02-12T15:00:00+00:00Z,0.4341,0.4828,0.41,0.457,4076046.6,1773937.72008,0,0,0
2025-02-12T15:00:00+00:00Z,2025-02-12T16:00:00+00:00Z,0.457,0.4972,0.4379,0.4753,3938530.2,1817505.97463,0,0,0
2025-02-12T16:00:00+00:00Z,2025-02-12T17:00:00+00:00Z,0.4753,0.4871,0.3931,0.4124,3139221.7,1366386.52088,0,0,0
2025-02-12T17:00:00+00:00Z,2025-02-12T18:00:00+00:00Z,0.4124,0.4255,0.39,0.3966,2035799.6,833403.46656,0,0,0
2025-02-12T18:00:00+00:00Z,2025-02-12T19:00:00+00:00Z,0.3966,0.412,0.3845,0.3927,1111034.0,440360.23908,0,0,0
2025-02-12T19:00:00+00:00Z,2025-02-12T20:00:00+00:00Z,0.3927,0.4026,0.378,0.3856,903376.7,354298.16601,0,0,0
2025-02-12T20:00:00+00:00Z,2025-02-12T21:00:00+00:00Z,0.3856,0.3999,0.385,0.3899,536399.3,209252.94753,0,0,0
2025-02-12T21:00:00+00:00Z,2025-02-12T22:00:00+00:00Z,0.3899,0.405,0.387,0.3999,609486.8,240500.41022,0,0,0
2025-02-12T22:00:00+00:00Z,2025-02-12T23:00:00+00:00Z,0.3999,0.426,0.3916,0.3972,813059.0,329784.37812,0,0,0
2025-02-12T23:00:00+00:00Z,2025-02-13T00:00:00+00:00Z,0.3972,0.4147,0.3971,0.411,849851.6,341463.50499,0,0,0
2025-02-13T00:00:00+00:00Z,2025-02-13T01:00:00+00:00Z,0.411,0.42,0.3981,0.4084,983363.1,403995.79908,0,0,0
2025-02-13T01:00:00+00:00Z,2025-02-13T02:00:00+00:00Z,0.4084,0.4132,0.3971,0.4002,1439964.6,585827.3902,0,0,0
2025-02-13T02:00:00+00:00Z,2025-02-13T03:00:00+00:00Z,0.4002,0.401,0.3375,0.3508,3279220.2,1255069.89779,0,0,0
2025-02-13T03:00:00+00:00Z,2025-02-13T04:00:00+00:00Z,0.3508,0.365,0.3165,0.3383,3026070.5,1027112.645,0,0,0
2025-02-13T04:00:00+00:00Z,2025-02-13T05:00:00+00:00Z,0.3383,0.341,0.312,0.3171,2085811.1,690157.80919,0,0,0
2025-02-13T05:00:00+00:00Z,2025-02-13T06:00:00+00:00Z,0.3171,0.3287,0.301,0.3137,2731649.0,859588.24129,0,0,0
2025-02-13T06:00:00+00:00Z,2025-02-13T07:00:00+00:00Z,0.3137,0.3277,0.2871,0.2919,2558255.9,772380.94068,0,0,0
2025-02-13T07:00:00+00:00Z,2025-02-13T08:00:00+00:00Z,0.2919,0.3034,0.2901,0.2947,1951447.8,581402.31146,0,0,0
2025-02-13T08:00:00+00:00Z,2025-02-13T09:00:00+00:00Z,0.2947,0.2955,0.2702,0.2721,2670097.3,752953.25613,0,0,0
2025-02-13T09:00:00+00:00Z,2025-02-13T10:00:00+00:00Z,0.2721,0.2795,0.2541,0.2709,3463080.0,923449.82175,0,0,0
2025-02-13T10:00:00+00:00Z,2025-02-13T11:00:00+00:00Z,0.2709,0.2849,0.2513,0.2617,2819471.6,740996.06383,0,0,0
2025-02-13T11:00:00+00:00Z,2025-02-13T12:00:00+00:00Z,0.2617,0.2697,0.255,0.2583,2206088.5,576513.02617,0,0,0
2025-02-13T12:00:00+00:00Z,2025-02-13T13:00:00+00:00Z,0.2583,0.3118,0.2572,0.3047,3727311.4,1043680.48073,0,0,0
2025-02-13T13:00:00+00:00Z,2025-02-13T14:00:00+00:00Z,0.3047,0.3744,0.3022,0.3575,5530961.3,1878060.7211,0,0,0
2025-02-13T14:00:00+00:00Z,2025-02-13T15:00:00+00:00Z,0.3575,0.4036,0.3447,0.37,4145077.6,1587602.40389,0,0,0
2025-02-13T15:00:00+00:00Z,2025-02-13T16:00:00+00:00Z,0.37,0.3869,0.3376,0.3637,2095415.3,753004.48918,0,0,0
2025-02-13T16:00:00+00:00Z,2025-02-13T17:00:00+00:00Z,0.3637,0.3659,0.3121,0.3452,2388609.9,807578.8194,0,0,0
2025-02-13T17:00:00+00:00Z,2025-02-13T18:00:00+00:00Z,0.3452,0.3534,0.3122,0.3279,1618481.4,544674.50405,0,0,0
2025-02-13T18:00:00+00:00Z,2025-02-13T19:00:00+00:00Z,0.3279,0.36,0.3251,0.3329,1775788.3,599731.86674,0,0,0
