# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,B3USDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-02-10T13:00:00+00:00Z
# t0_final_iso,2025-02-10T13:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,bf154a12be5e1b89
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-02-10T13:00:00+00:00Z,2025-02-10T14:00:00+00:00Z,0.0005,0.02106,0.0005,0.004885,3264943608.0,19393311.888977,0,0,0
2025-02-10T14:00:00+00:00Z,2025-02-10T15:00:00+00:00Z,0.004885,0.005018,0.00473,0.004899,957082031.0,4669784.178045,0,0,0
2025-02-10T15:00:00+00:00Z,2025-02-10T16:00:00+00:00Z,0.004899,0.005376,0.004683,0.00515,733448294.0,3667418.767661,0,0,0
2025-02-10T16:00:00+00:00Z,2025-02-10T17:00:00+00:00Z,0.00515,0.006736,0.005143,0.006036,1005084105.0,6101287.378629,0,0,0
2025-02-10T17:00:00+00:00Z,2025-02-10T18:00:00+00:00Z,0.006036,0.007579,0.005143,0.0064,871990046.0,5315657.262275,0,0,0
2025-02-10T18:00:00+00:00Z,2025-02-10T19:00:00+00:00Z,0.0064,0.006479,0.004815,0.00546,622514656.0,3500762.245839,0,0,0
2025-02-10T19:00:00+00:00Z,2025-02-10T20:00:00+00:00Z,0.00546,0.00555,0.0046,0.00482,276248200.0,1396464.254373,0,0,0
2025-02-10T20:00:00+00:00Z,2025-02-10T21:00:00+00:00Z,0.00482,0.00528,0.004509,0.004698,256143406.0,1230157.174208,0,0,0
2025-02-10T21:00:00+00:00Z,2025-02-10T22:00:00+00:00Z,0.004698,0.004771,0.004,0.004088,176797077.0,773138.755413,0,0,0
2025-02-10T22:00:00+00:00Z,2025-02-10T23:00:00+00:00Z,0.004088,0.004512,0.003903,0.004111,181970727.0,748573.294006,0,0,0
2025-02-10T23:00:00+00:00Z,2025-02-11T00:00:00+00:00Z,0.004111,0.00548,0.004032,0.005384,300452536.0,1433131.511934,0,0,0
2025-02-11T00:00:00+00:00Z,2025-02-11T01:00:00+00:00Z,0.005384,0.006,0.005009,0.00568,469849507.0,2619695.564788,0,0,0
2025-02-11T01:00:00+00:00Z,2025-02-11T02:00:00+00:00Z,0.00568,0.007,0.0055,0.006681,527685767.0,3310162.122146,0,0,0
2025-02-11T02:00:00+00:00Z,2025-02-11T03:00:00+00:00Z,0.006681,0.00725,0.006127,0.006978,512702050.0,3454560.824556,0,0,0
2025-02-11T03:00:00+00:00Z,2025-02-11T04:00:00+00:00Z,0.006978,0.0071,0.00551,0.006662,521030456.0,3345148.003553,0,0,0
2025-02-11T04:00:00+00:00Z,2025-02-11T05:00:00+00:00Z,0.006662,0.00695,0.00566,0.005723,415667232.0,2604518.380782,0,0,0
2025-02-11T05:00:00+00:00Z,2025-02-11T06:00:00+00:00Z,0.005723,0.006,0.005058,0.005771,350535518.0,1976363.712526,0,0,0
2025-02-11T06:00:00+00:00Z,2025-02-11T07:00:00+00:00Z,0.005771,0.005822,0.0052,0.005341,292072655.0,1607185.056755,0,0,0
2025-02-11T07:00:00+00:00Z,2025-02-11T08:00:00+00:00Z,0.005341,0.00581,0.005125,0.0053,352692399.0,1905846.947428,0,0,0
2025-02-11T08:00:00+00:00Z,2025-02-11T09:00:00+00:00Z,0.0053,0.0055,0.00483,0.005271,288003950.0,1489719.226632,0,0,0
2025-02-11T09:00:00+00:00Z,2025-02-11T10:00:00+00:00Z,0.005271,0.0057,0.00517,0.005383,283344973.0,1541234.439226,0,0,0
2025-02-11T10:00:00+00:00Z,2025-02-11T11:00:00+00:00Z,0.005383,0.00685,0.005381,0.006253,395206245.0,2478379.821074,0,0,0
2025-02-11T11:00:00+00:00Z,2025-02-11T12:00:00+00:00Z,0.006253,0.006448,0.005732,0.005962,355288017.0,2154540.287838,0,0,0
2025-02-11T12:00:00+00:00Z,2025-02-11T13:00:00+00:00Z,0.005962,0.006048,0.005544,0.005546,262716878.0,1523286.04284,0,0,0
2025-02-11T13:00:00+00:00Z,2025-02-11T14:00:00+00:00Z,0.005546,0.005784,0.005411,0.005468,233881413.0,1302295.854386,0,0,0
