# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,BOMBUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-06-17T12:00:00+00:00Z
# t0_final_iso,2025-06-17T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,5dcde5cf7846df53
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-06-17T12:00:00+00:00Z,2025-06-17T13:00:00+00:00Z,0.005,0.005,0.001364,0.001731,1211658915.9,2652679.6588697,0,0,0
2025-06-17T13:00:00+00:00Z,2025-06-17T14:00:00+00:00Z,0.001731,0.002026,0.001633,0.001696,403210390.5,730526.005587,0,0,0
2025-06-17T14:00:00+00:00Z,2025-06-17T15:00:00+00:00Z,0.001696,0.002089,0.001687,0.001863,234144675.8,433703.7499333,0,0,0
2025-06-17T15:00:00+00:00Z,2025-06-17T16:00:00+00:00Z,0.001863,0.001983,0.001765,0.001796,194089616.8,361831.9385642,0,0,0
2025-06-17T16:00:00+00:00Z,2025-06-17T17:00:00+00:00Z,0.001796,0.001849,0.0015,0.001564,204896284.3,345302.5749299,0,0,0
2025-06-17T17:00:00+00:00Z,2025-06-17T18:00:00+00:00Z,0.001564,0.001637,0.001404,0.001434,196344830.4,295693.1719875,0,0,0
2025-06-17T18:00:00+00:00Z,2025-06-17T19:00:00+00:00Z,0.001434,0.00149,0.001204,0.001297,223381261.1,294136.4840691,0,0,0
2025-06-17T19:00:00+00:00Z,2025-06-17T20:00:00+00:00Z,0.001297,0.0016,0.001297,0.00147,243913985.6,352849.1463322,0,0,0
2025-06-17T20:00:00+00:00Z,2025-06-17T21:00:00+00:00Z,0.00147,0.00156,0.00145,0.001498,112972505.0,169716.8849656,0,0,0
2025-06-17T21:00:00+00:00Z,2025-06-17T22:00:00+00:00Z,0.001498,0.001827,0.001494,0.001699,234244158.0,392059.2133252,0,0,0
2025-06-17T22:00:00+00:00Z,2025-06-17T23:00:00+00:00Z,0.001699,0.001759,0.001414,0.001542,122271276.2,196355.8766053,0,0,0
2025-06-17T23:00:00+00:00Z,2025-06-18T00:00:00+00:00Z,0.001542,0.00158,0.001423,0.001524,52394433.6,79435.2280693,0,0,0
2025-06-18T00:00:00+00:00Z,2025-06-18T01:00:00+00:00Z,0.001524,0.001534,0.00142,0.001467,50423033.9,74207.3607031,0,0,0
2025-06-18T01:00:00+00:00Z,2025-06-18T02:00:00+00:00Z,0.001467,0.001524,0.00145,0.001502,45971965.6,68380.7271285,0,0,0
2025-06-18T02:00:00+00:00Z,2025-06-18T03:00:00+00:00Z,0.001502,0.001664,0.00149,0.00166,70547581.3,110806.6247914,0,0,0
2025-06-18T03:00:00+00:00Z,2025-06-18T04:00:00+00:00Z,0.00166,0.001671,0.001581,0.001584,49609700.5,79948.6281985,0,0,0
2025-06-18T04:00:00+00:00Z,2025-06-18T05:00:00+00:00Z,0.001584,0.0016,0.001539,0.001576,47757548.5,75329.8489309,0,0,0
2025-06-18T05:00:00+00:00Z,2025-06-18T06:00:00+00:00Z,0.001576,0.001588,0.001451,0.00154,66088670.6,100808.609884,0,0,0
2025-06-18T06:00:00+00:00Z,2025-06-18T07:00:00+00:00Z,0.00154,0.00163,0.001457,0.001561,91433790.7,140528.0869533,0,0,0
2025-06-18T07:00:00+00:00Z,2025-06-18T08:00:00+00:00Z,0.001561,0.001774,0.001551,0.001723,118170081.4,192782.3119157,0,0,0
2025-06-18T08:00:00+00:00Z,2025-06-18T09:00:00+00:00Z,0.001723,0.00179,0.001646,0.001726,109271579.6,186169.5535597,0,0,0
2025-06-18T09:00:00+00:00Z,2025-06-18T10:00:00+00:00Z,0.001726,0.001749,0.001652,0.001737,105028342.0,180048.7683322,0,0,0
2025-06-18T10:00:00+00:00Z,2025-06-18T11:00:00+00:00Z,0.001737,0.001821,0.00148,0.00148,354324529.7,588572.4905941,0,0,0
2025-06-18T11:00:00+00:00Z,2025-06-18T12:00:00+00:00Z,0.00148,0.001665,0.00148,0.00161,137125978.3,216077.1719432,0,0,0
2025-06-18T12:00:00+00:00Z,2025-06-18T13:00:00+00:00Z,0.00161,0.00162,0.00151,0.001538,87610852.3,135760.5786865,0,0,0
2025-06-18T13:00:00+00:00Z,2025-06-18T14:00:00+00:00Z,0.001538,0.001564,0.00149,0.001551,81683814.0,124188.9322052,0,0,0
2025-06-18T14:00:00+00:00Z,2025-06-18T15:00:00+00:00Z,0.001551,0.001555,0.001354,0.001378,150354415.8,217241.489103,0,0,0
2025-06-18T15:00:00+00:00Z,2025-06-18T16:00:00+00:00Z,0.001378,0.001516,0.001372,0.001426,134346867.5,193715.2368804,0,0,0
2025-06-18T16:00:00+00:00Z,2025-06-18T17:00:00+00:00Z,0.001426,0.001461,0.001408,0.001449,65046282.2,93144.9061549,0,0,0
2025-06-18T17:00:00+00:00Z,2025-06-18T18:00:00+00:00Z,0.001449,0.001493,0.001437,0.001461,62362500.4,91391.6024258,0,0,0
2025-06-18T18:00:00+00:00Z,2025-06-18T19:00:00+00:00Z,0.001461,0.001629,0.001457,0.001588,84227360.6,128697.5279393,0,0,0
2025-06-18T19:00:00+00:00Z,2025-06-18T20:00:00+00:00Z,0.001588,0.001588,0.001504,0.001539,63692671.2,98113.1100864,0,0,0
2025-06-18T20:00:00+00:00Z,2025-06-18T21:00:00+00:00Z,0.001539,0.001539,0.00143,0.001437,44431140.5,65403.9854358,0,0,0
2025-06-18T21:00:00+00:00Z,2025-06-18T22:00:00+00:00Z,0.001437,0.001462,0.001405,0.001443,41446783.1,59308.5979617,0,0,0
2025-06-18T22:00:00+00:00Z,2025-06-18T23:00:00+00:00Z,0.001443,0.00148,0.001418,0.001448,26367097.6,38189.9123451,0,0,0
2025-06-18T23:00:00+00:00Z,2025-06-19T00:00:00+00:00Z,0.001448,0.001489,0.00144,0.001451,19237893.7,28302.0322439,0,0,0
