# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,BONKUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-01-04T11:00:00+00:00Z
# t0_final_iso,2023-01-04T11:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,5faa467e3e56a996
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-01-04T11:00:00+00:00Z,2023-01-04T12:00:00+00:00Z,1e-06,3.0653e-06,1e-06,2.218e-06,80425514418.1,197659.0012596906,0,0,0
2023-01-04T12:00:00+00:00Z,2023-01-04T13:00:00+00:00Z,2.218e-06,2.74e-06,2.1169e-06,2.28e-06,49194496389.0,117684.12592209272,0,0,0
2023-01-04T13:00:00+00:00Z,2023-01-04T14:00:00+00:00Z,2.28e-06,2.36e-06,1.7927e-06,2.1266e-06,27366192534.9,55657.92659824911,0,0,0
2023-01-04T14:00:00+00:00Z,2023-01-04T15:00:00+00:00Z,2.1266e-06,2.3e-06,2.024e-06,2.101e-06,21022376425.7,45212.95749774163,0,0,0
2023-01-04T15:00:00+00:00Z,2023-01-04T16:00:00+00:00Z,2.101e-06,2.1616e-06,1.751e-06,1.9592e-06,26925630964.7,51427.35599569267,0,0,0
2023-01-04T16:00:00+00:00Z,2023-01-04T17:00:00+00:00Z,1.9592e-06,2.19e-06,1.8e-06,1.9e-06,20103306314.9,39426.34624696941,0,0,0
2023-01-04T17:00:00+00:00Z,2023-01-04T18:00:00+00:00Z,1.9e-06,2.2353e-06,1.83e-06,2.208e-06,20520858387.4,41732.47879850716,0,0,0
2023-01-04T18:00:00+00:00Z,2023-01-04T19:00:00+00:00Z,2.208e-06,2.4591e-06,2.1541e-06,2.398e-06,20090035237.3,46191.58927959426,0,0,0
2023-01-04T19:00:00+00:00Z,2023-01-04T20:00:00+00:00Z,2.398e-06,2.4814e-06,2.1041e-06,2.257e-06,23325214726.3,52500.40034009266,0,0,0
2023-01-04T20:00:00+00:00Z,2023-01-04T21:00:00+00:00Z,2.257e-06,2.3861e-06,2.22e-06,2.3648e-06,13290313740.2,30679.51364030524,0,0,0
