# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,BRETTUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-04-18T08:00:00+00:00Z
# t0_final_iso,2024-04-18T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,796655e0d3f564d6
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-04-18T08:00:00+00:00Z,2024-04-18T09:00:00+00:00Z,0.03,0.06796,0.03,0.0614,13476957.45,802163.8074571,0,0,0
2024-04-18T09:00:00+00:00Z,2024-04-18T10:00:00+00:00Z,0.0614,0.064,0.05492,0.05902,8341860.04,504979.8645521,0,0,0
2024-04-18T10:00:00+00:00Z,2024-04-18T11:00:00+00:00Z,0.05902,0.06521,0.05728,0.06368,5747627.05,347218.4846632,0,0,0
2024-04-18T11:00:00+00:00Z,2024-04-18T12:00:00+00:00Z,0.06368,0.068,0.06194,0.06647,6271458.7,410061.7680407,0,0,0
2024-04-18T12:00:00+00:00Z,2024-04-18T13:00:00+00:00Z,0.06647,0.0673,0.06326,0.06616,5126329.33,338444.4866912,0,0,0
2024-04-18T13:00:00+00:00Z,2024-04-18T14:00:00+00:00Z,0.06616,0.06695,0.06436,0.06584,4468283.93,294685.9603202,0,0,0
2024-04-18T14:00:00+00:00Z,2024-04-18T15:00:00+00:00Z,0.06584,0.06808,0.06543,0.06737,6598344.9,443296.2429717,0,0,0
2024-04-18T15:00:00+00:00Z,2024-04-18T16:00:00+00:00Z,0.06737,0.06786,0.06653,0.06702,6208311.47,417720.5554145,0,0,0
2024-04-18T16:00:00+00:00Z,2024-04-18T17:00:00+00:00Z,0.06702,0.0672,0.06537,0.06586,5237913.71,348593.3677425,0,0,0
2024-04-18T17:00:00+00:00Z,2024-04-18T18:00:00+00:00Z,0.06586,0.06599,0.063,0.06364,3123064.45,201739.6375465,0,0,0
2024-04-18T18:00:00+00:00Z,2024-04-18T19:00:00+00:00Z,0.06364,0.06407,0.062,0.06345,4136578.91,261129.0499985,0,0,0
2024-04-18T19:00:00+00:00Z,2024-04-18T20:00:00+00:00Z,0.06345,0.06345,0.06211,0.06276,3052975.69,191461.9251875,0,0,0
2024-04-18T20:00:00+00:00Z,2024-04-18T21:00:00+00:00Z,0.06276,0.06622,0.06219,0.06339,4641371.36,293534.2724877,0,0,0
2024-04-18T21:00:00+00:00Z,2024-04-18T22:00:00+00:00Z,0.06339,0.06353,0.061,0.06121,3365459.37,211343.5701466,0,0,0
2024-04-18T22:00:00+00:00Z,2024-04-18T23:00:00+00:00Z,0.06121,0.06338,0.06,0.06086,3678074.39,225502.7026792,0,0,0
2024-04-18T23:00:00+00:00Z,2024-04-19T00:00:00+00:00Z,0.06086,0.06176,0.06,0.06073,1947062.82,117575.815649,0,0,0
2024-04-19T00:00:00+00:00Z,2024-04-19T01:00:00+00:00Z,0.06073,0.06234,0.0605,0.06123,1597324.09,97629.563507,0,0,0
2024-04-19T01:00:00+00:00Z,2024-04-19T02:00:00+00:00Z,0.06123,0.06197,0.05655,0.05662,2377443.53,141930.9098876,0,0,0
2024-04-19T02:00:00+00:00Z,2024-04-19T03:00:00+00:00Z,0.05662,0.0575,0.05462,0.0575,1778839.74,99101.3627741,0,0,0
2024-04-19T03:00:00+00:00Z,2024-04-19T04:00:00+00:00Z,0.0575,0.0615,0.05683,0.06066,2696168.82,162790.989866,0,0,0
2024-04-19T04:00:00+00:00Z,2024-04-19T05:00:00+00:00Z,0.06066,0.06291,0.06066,0.06265,2730039.94,170110.0530192,0,0,0
