# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,BTTUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2022-02-21T10:00:00+00:00Z
# t0_final_iso,2022-02-21T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,14910a507e933187
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-02-21T10:00:00+00:00Z,2022-02-21T11:00:00+00:00Z,1.6e-06,2.08e-06,1.6e-06,2.01e-06,1752281329.7,3536.770736582,0,0,0
2022-02-21T11:00:00+00:00Z,2022-02-21T12:00:00+00:00Z,2.01e-06,2.05e-06,1.96e-06,1.98e-06,1738041421.3,3513.493687187,0,0,0
2022-02-21T12:00:00+00:00Z,2022-02-21T13:00:00+00:00Z,1.98e-06,2.05e-06,1.91e-06,1.98e-06,5493715733.1,10771.807020941,0,0,0
2022-02-21T13:00:00+00:00Z,2022-02-21T14:00:00+00:00Z,1.98e-06,2e-06,1.96e-06,1.98e-06,705319346.2,1393.66134518,0,0,0
2022-02-21T14:00:00+00:00Z,2022-02-21T15:00:00+00:00Z,1.98e-06,2.06e-06,1.98e-06,2.02e-06,733151372.5,1476.126235278,0,0,0
2022-02-21T15:00:00+00:00Z,2022-02-21T16:00:00+00:00Z,2.02e-06,2.06e-06,2e-06,2.06e-06,435750899.3,884.006680377,0,0,0
2022-02-21T16:00:00+00:00Z,2022-02-21T17:00:00+00:00Z,2.06e-06,2.06e-06,2e-06,2.02e-06,9261535673.1,18793.898596459,0,0,0
2022-02-21T17:00:00+00:00Z,2022-02-21T18:00:00+00:00Z,2.02e-06,2.05e-06,2e-06,2.02e-06,425012944.5,860.888614179,0,0,0
2022-02-21T18:00:00+00:00Z,2022-02-21T19:00:00+00:00Z,2.02e-06,2.02e-06,1.97e-06,2e-06,315081571.3,631.268781433,0,0,0
2022-02-21T19:00:00+00:00Z,2022-02-21T20:00:00+00:00Z,2e-06,2.01e-06,1.96e-06,1.99e-06,3157699162.0,6201.283049148,0,0,0
2022-02-21T20:00:00+00:00Z,2022-02-21T21:00:00+00:00Z,1.99e-06,2.05e-06,1.96e-06,2.01e-06,733419015.9,1481.239126954,0,0,0
2022-02-21T21:00:00+00:00Z,2022-02-21T22:00:00+00:00Z,2.01e-06,2.02e-06,1.95e-06,1.98e-06,361850920.1,716.391638681,0,0,0
2022-02-21T22:00:00+00:00Z,2022-02-21T23:00:00+00:00Z,1.98e-06,1.98e-06,1.94e-06,1.98e-06,240564065.7,471.828254973,0,0,0
2022-02-21T23:00:00+00:00Z,2022-02-22T00:00:00+00:00Z,1.98e-06,1.98e-06,1.91e-06,1.95e-06,308056327.7,602.603454717,0,0,0
2022-02-22T00:00:00+00:00Z,2022-02-22T01:00:00+00:00Z,1.95e-06,2e-06,1.9e-06,1.94e-06,517262525.5,1000.228529595,0,0,0
2022-02-22T01:00:00+00:00Z,2022-02-22T02:00:00+00:00Z,1.94e-06,1.97e-06,1.89e-06,1.94e-06,423122540.6,813.137543724,0,0,0
2022-02-22T02:00:00+00:00Z,2022-02-22T03:00:00+00:00Z,1.94e-06,1.97e-06,1.88e-06,1.92e-06,494678035.3,955.322498288,0,0,0
2022-02-22T03:00:00+00:00Z,2022-02-22T04:00:00+00:00Z,1.92e-06,1.98e-06,1.81e-06,1.91e-06,5199894371.6,9842.39737271,0,0,0
2022-02-22T04:00:00+00:00Z,2022-02-22T05:00:00+00:00Z,1.91e-06,1.92e-06,1.87e-06,1.9e-06,215523592.0,410.165226202,0,0,0
2022-02-22T05:00:00+00:00Z,2022-02-22T06:00:00+00:00Z,1.9e-06,1.93e-06,1.89e-06,1.91e-06,428718183.6,816.423617431,0,0,0
2022-02-22T06:00:00+00:00Z,2022-02-22T07:00:00+00:00Z,1.91e-06,1.91e-06,1.9e-06,1.91e-06,246778630.7,470.110342534,0,0,0
2022-02-22T07:00:00+00:00Z,2022-02-22T08:00:00+00:00Z,1.91e-06,1.92e-06,1.89e-06,1.91e-06,306541659.0,584.051954102,0,0,0
2022-02-22T08:00:00+00:00Z,2022-02-22T09:00:00+00:00Z,1.91e-06,2e-06,1.84e-06,1.96e-06,2777177685.1,5404.134746869,0,0,0
2022-02-22T09:00:00+00:00Z,2022-02-22T10:00:00+00:00Z,1.96e-06,1.96e-06,1.9e-06,1.92e-06,274515430.3,526.311407875,0,0,0
2022-02-22T10:00:00+00:00Z,2022-02-22T11:00:00+00:00Z,1.92e-06,1.95e-06,1.91e-06,1.95e-06,195002839.9,374.40000023,0,0,0
2022-02-22T11:00:00+00:00Z,2022-02-22T12:00:00+00:00Z,1.95e-06,1.95e-06,1.91e-06,1.91e-06,471296871.7,903.296070288,0,0,0
2022-02-22T12:00:00+00:00Z,2022-02-22T13:00:00+00:00Z,1.91e-06,1.95e-06,1.91e-06,1.91e-06,237927125.3,459.067109668,0,0,0
2022-02-22T13:00:00+00:00Z,2022-02-22T14:00:00+00:00Z,1.91e-06,1.97e-06,1.91e-06,1.91e-06,886566430.7,1719.719259971,0,0,0
2022-02-22T14:00:00+00:00Z,2022-02-22T15:00:00+00:00Z,1.91e-06,1.97e-06,1.9e-06,1.93e-06,1266779632.0,2455.474376138,0,0,0
2022-02-22T15:00:00+00:00Z,2022-02-22T16:00:00+00:00Z,1.93e-06,1.97e-06,1.93e-06,1.95e-06,213580227.0,418.139675876,0,0,0
2022-02-22T16:00:00+00:00Z,2022-02-22T17:00:00+00:00Z,1.95e-06,1.97e-06,1.91e-06,1.96e-06,512778199.7,990.19625199,0,0,0
2022-02-22T17:00:00+00:00Z,2022-02-22T18:00:00+00:00Z,1.96e-06,1.96e-06,1.91e-06,1.94e-06,270946723.4,524.907438743,0,0,0
2022-02-22T18:00:00+00:00Z,2022-02-22T19:00:00+00:00Z,1.94e-06,1.96e-06,1.91e-06,1.94e-06,1095397292.7,2099.942733879,0,0,0
2022-02-22T19:00:00+00:00Z,2022-02-22T20:00:00+00:00Z,1.94e-06,1.96e-06,1.93e-06,1.94e-06,172361133.3,335.409994992,0,0,0
2022-02-22T20:00:00+00:00Z,2022-02-22T21:00:00+00:00Z,1.94e-06,1.96e-06,1.94e-06,1.94e-06,206785542.3,402.452884556,0,0,0
2022-02-22T21:00:00+00:00Z,2022-02-22T22:00:00+00:00Z,1.94e-06,1.95e-06,1.93e-06,1.95e-06,212244989.3,412.442575416,0,0,0
2022-02-22T22:00:00+00:00Z,2022-02-22T23:00:00+00:00Z,1.95e-06,1.96e-06,1.93e-06,1.94e-06,211943966.3,412.106035358,0,0,0
2022-02-22T23:00:00+00:00Z,2022-02-23T00:00:00+00:00Z,1.94e-06,1.96e-06,1.9e-06,1.95e-06,595416371.3,1145.743900333,0,0,0
2022-02-23T00:00:00+00:00Z,2022-02-23T01:00:00+00:00Z,1.95e-06,1.96e-06,1.95e-06,1.96e-06,294281338.8,576.391424047,0,0,0
2022-02-23T01:00:00+00:00Z,2022-02-23T02:00:00+00:00Z,1.96e-06,1.96e-06,1.94e-06,1.95e-06,341684204.6,668.136547337,0,0,0
2022-02-23T02:00:00+00:00Z,2022-02-23T03:00:00+00:00Z,1.95e-06,1.97e-06,1.94e-06,1.96e-06,255890383.2,501.181959343,0,0,0
2022-02-23T03:00:00+00:00Z,2022-02-23T04:00:00+00:00Z,1.96e-06,1.96e-06,1.92e-06,1.94e-06,343543582.7,668.005151847,0,0,0
2022-02-23T04:00:00+00:00Z,2022-02-23T05:00:00+00:00Z,1.94e-06,1.96e-06,1.91e-06,1.96e-06,703565821.6,1366.129494081,0,0,0
2022-02-23T05:00:00+00:00Z,2022-02-23T06:00:00+00:00Z,1.96e-06,1.97e-06,1.95e-06,1.96e-06,287130906.1,562.345541486,0,0,0
2022-02-23T06:00:00+00:00Z,2022-02-23T07:00:00+00:00Z,1.96e-06,1.98e-06,1.96e-06,1.96e-06,249622973.9,490.548984544,0,0,0
2022-02-23T07:00:00+00:00Z,2022-02-23T08:00:00+00:00Z,1.96e-06,1.98e-06,1.95e-06,1.98e-06,1382482876.5,2734.03209583,0,0,0
2022-02-23T08:00:00+00:00Z,2022-02-23T09:00:00+00:00Z,1.98e-06,1.98e-06,1.95e-06,1.96e-06,336355032.9,660.446738856,0,0,0
2022-02-23T09:00:00+00:00Z,2022-02-23T10:00:00+00:00Z,1.96e-06,2.01e-06,1.96e-06,1.96e-06,993523575.4,1947.931497278,0,0,0
2022-02-23T10:00:00+00:00Z,2022-02-23T11:00:00+00:00Z,1.96e-06,1.96e-06,1.9e-06,1.95e-06,888796940.3,1728.879815807,0,0,0
2022-02-23T11:00:00+00:00Z,2022-02-23T12:00:00+00:00Z,1.95e-06,1.96e-06,1.95e-06,1.96e-06,297664082.5,582.343948539,0,0,0
2022-02-23T12:00:00+00:00Z,2022-02-23T13:00:00+00:00Z,1.96e-06,1.96e-06,1.92e-06,1.96e-06,1432101309.6,2797.369499628,0,0,0
2022-02-23T13:00:00+00:00Z,2022-02-23T14:00:00+00:00Z,1.96e-06,2.01e-06,1.95e-06,1.97e-06,4962714055.0,9739.775387837,0,0,0
2022-02-23T14:00:00+00:00Z,2022-02-23T15:00:00+00:00Z,1.97e-06,2e-06,1.95e-06,2e-06,252035662.7,498.474629,0,0,0
2022-02-23T15:00:00+00:00Z,2022-02-23T16:00:00+00:00Z,2e-06,2e-06,1.96e-06,1.96e-06,481116230.7,947.490114197,0,0,0
