# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,CATIUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-09-20T10:00:00+00:00Z
# t0_final_iso,2024-09-20T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,a5cc19c23d7afcfd
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-09-20T10:00:00+00:00Z,2024-09-20T11:00:00+00:00Z,0.02,0.9654,0.02,0.9102,25481519.76,22461438.012796,0,0,0
2024-09-20T11:00:00+00:00Z,2024-09-20T12:00:00+00:00Z,0.9102,0.98,0.861,0.9508,10983126.52,10207914.935884,0,0,0
2024-09-20T12:00:00+00:00Z,2024-09-20T13:00:00+00:00Z,0.9508,1.066,0.9423,1.0643,8897264.8,8853664.10987,0,0,0
2024-09-20T13:00:00+00:00Z,2024-09-20T14:00:00+00:00Z,1.0643,1.1251,1.0125,1.0638,8750128.3,9274645.832335,0,0,0
2024-09-20T14:00:00+00:00Z,2024-09-20T15:00:00+00:00Z,1.0638,1.0969,1.0418,1.0873,4673781.85,5024542.367271,0,0,0
2024-09-20T15:00:00+00:00Z,2024-09-20T16:00:00+00:00Z,1.0873,1.0905,0.9633,1.0037,4890130.19,4986785.020519,0,0,0
2024-09-20T16:00:00+00:00Z,2024-09-20T17:00:00+00:00Z,1.0037,1.0274,0.9675,1.0079,3575134.15,3566313.618204,0,0,0
2024-09-20T17:00:00+00:00Z,2024-09-20T18:00:00+00:00Z,1.0079,1.0167,0.9211,0.9394,3726418.32,3622657.816402,0,0,0
2024-09-20T18:00:00+00:00Z,2024-09-20T19:00:00+00:00Z,0.9394,0.9666,0.928,0.952,2926519.98,2775989.852238,0,0,0
2024-09-20T19:00:00+00:00Z,2024-09-20T20:00:00+00:00Z,0.952,0.9539,0.8639,0.8801,4328810.91,3931323.403573,0,0,0
2024-09-20T20:00:00+00:00Z,2024-09-20T21:00:00+00:00Z,0.8801,0.8938,0.8108,0.8452,3947567.36,3345714.514886,0,0,0
2024-09-20T21:00:00+00:00Z,2024-09-20T22:00:00+00:00Z,0.8452,0.8786,0.8168,0.872,2465177.71,2098815.310246,0,0,0
2024-09-20T22:00:00+00:00Z,2024-09-20T23:00:00+00:00Z,0.872,0.9203,0.8671,0.9004,2735506.72,2458772.472469,0,0,0
2024-09-20T23:00:00+00:00Z,2024-09-21T00:00:00+00:00Z,0.9004,0.917,0.8635,0.9113,1584143.82,1415391.4215,0,0,0
