# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,COMPUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2021-09-23T11:00:00+00:00Z
# t0_final_iso,2021-09-23T11:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,a11d10bdcf81187e
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-09-23T11:00:00+00:00Z,2021-09-23T12:00:00+00:00Z,343.1,343.5,336.9,338.9,17.545,5968.9932,0,0,0
2021-09-23T12:00:00+00:00Z,2021-09-23T13:00:00+00:00Z,338.9,343.0,337.3,340.5,14.062,4782.5735,0,0,0
2021-09-23T13:00:00+00:00Z,2021-09-23T14:00:00+00:00Z,340.5,347.1,339.7,346.4,16.781,5764.8609,0,0,0
2021-09-23T14:00:00+00:00Z,2021-09-23T15:00:00+00:00Z,346.4,355.6,345.5,355.6,12.56,4389.7517,0,0,0
2021-09-23T15:00:00+00:00Z,2021-09-23T16:00:00+00:00Z,355.6,363.6,353.2,358.3,18.017,6476.8141,0,0,0
2021-09-23T16:00:00+00:00Z,2021-09-23T17:00:00+00:00Z,358.3,361.3,354.5,359.7,13.911,4986.9798,0,0,0
2021-09-23T17:00:00+00:00Z,2021-09-23T18:00:00+00:00Z,359.7,369.2,359.7,367.4,18.373,6690.1223,0,0,0
2021-09-23T18:00:00+00:00Z,2021-09-23T19:00:00+00:00Z,367.4,370.6,362.3,368.6,14.002,5134.7237,0,0,0
2021-09-23T19:00:00+00:00Z,2021-09-23T20:00:00+00:00Z,368.6,372.1,366.5,368.6,14.587,5382.5749,0,0,0
2021-09-23T20:00:00+00:00Z,2021-09-23T21:00:00+00:00Z,368.6,373.1,365.6,372.1,17.988,6643.7354,0,0,0
2021-09-23T21:00:00+00:00Z,2021-09-23T22:00:00+00:00Z,372.1,374.6,369.9,371.9,15.192,5646.7091,0,0,0
