# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,COREUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-02-08T12:00:00+00:00Z
# t0_final_iso,2023-02-08T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,9896410c6a614fa8
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-02-08T12:00:00+00:00Z,2023-02-08T13:00:00+00:00Z,0.5,21.96,0.5,6.2475,156740.36,1392047.559419,0,0,0
2023-02-08T13:00:00+00:00Z,2023-02-08T14:00:00+00:00Z,6.2475,6.6,4.75,5.0399,69484.19,379946.697183,0,0,0
2023-02-08T14:00:00+00:00Z,2023-02-08T15:00:00+00:00Z,5.0399,5.3964,4.0,4.0217,58725.17,256700.990122,0,0,0
2023-02-08T15:00:00+00:00Z,2023-02-08T16:00:00+00:00Z,4.0217,4.6808,4.0104,4.5032,58374.52,252513.991257,0,0,0
2023-02-08T16:00:00+00:00Z,2023-02-08T17:00:00+00:00Z,4.5032,4.848,4.206,4.429,70175.01,314464.890879,0,0,0
2023-02-08T17:00:00+00:00Z,2023-02-08T18:00:00+00:00Z,4.429,5.195,4.3546,4.9194,73091.51,361534.861173,0,0,0
2023-02-08T18:00:00+00:00Z,2023-02-08T19:00:00+00:00Z,4.9194,5.0828,4.747,4.8839,23997.26,117812.099787,0,0,0
2023-02-08T19:00:00+00:00Z,2023-02-08T20:00:00+00:00Z,4.8839,4.9979,4.8818,4.913,11449.51,56386.835845,0,0,0
2023-02-08T20:00:00+00:00Z,2023-02-08T21:00:00+00:00Z,4.913,4.913,4.447,4.666,14655.42,68283.090609,0,0,0
2023-02-08T21:00:00+00:00Z,2023-02-08T22:00:00+00:00Z,4.666,4.749,4.6387,4.6877,5142.6,24056.592234,0,0,0
2023-02-08T22:00:00+00:00Z,2023-02-08T23:00:00+00:00Z,4.6877,4.749,4.432,4.576,10061.86,45867.836554,0,0,0
2023-02-08T23:00:00+00:00Z,2023-02-09T00:00:00+00:00Z,4.576,4.662,4.0316,4.3,34705.33,148263.864549,0,0,0
2023-02-09T00:00:00+00:00Z,2023-02-09T01:00:00+00:00Z,4.3,4.4729,4.2,4.3051,28339.8,123047.190597,0,0,0
2023-02-09T01:00:00+00:00Z,2023-02-09T02:00:00+00:00Z,4.3051,4.522,4.3051,4.463,7025.84,31145.205345,0,0,0
2023-02-09T02:00:00+00:00Z,2023-02-09T03:00:00+00:00Z,4.463,4.5,4.243,4.46,30191.14,132176.223492,0,0,0
