# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,CYBERUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2023-08-15T12:00:00+00:00Z
# t0_final_iso,2023-08-15T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,a9ae0e29d1f12df2
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-08-15T12:00:00+00:00Z,2023-08-15T13:00:00+00:00Z,1.8,12.5999,1.8,6.0501,160213.45,1138102.610303,0,0,0
2023-08-15T13:00:00+00:00Z,2023-08-15T14:00:00+00:00Z,6.0501,6.2,5.4187,5.63,43623.15,252772.427775,0,0,0
2023-08-15T14:00:00+00:00Z,2023-08-15T15:00:00+00:00Z,5.63,5.6798,5.0245,5.2555,20274.13,109121.326645,0,0,0
2023-08-15T15:00:00+00:00Z,2023-08-15T16:00:00+00:00Z,5.2555,5.6387,5.25,5.3879,16970.25,92318.121468,0,0,0
2023-08-15T16:00:00+00:00Z,2023-08-15T17:00:00+00:00Z,5.3879,5.4265,4.7671,4.83,13172.16,66993.945859,0,0,0
2023-08-15T17:00:00+00:00Z,2023-08-15T18:00:00+00:00Z,4.83,4.9456,4.5135,4.8034,15965.67,76967.990689,0,0,0
2023-08-15T18:00:00+00:00Z,2023-08-15T19:00:00+00:00Z,4.8034,4.8806,4.1,4.7141,16475.99,77567.057292,0,0,0
2023-08-15T19:00:00+00:00Z,2023-08-15T20:00:00+00:00Z,4.7141,4.7987,4.4297,4.7056,8458.28,38891.2325,0,0,0
2023-08-15T20:00:00+00:00Z,2023-08-15T21:00:00+00:00Z,4.7056,4.7241,4.5733,4.6054,3682.82,17142.302687,0,0,0
2023-08-15T21:00:00+00:00Z,2023-08-15T22:00:00+00:00Z,4.6054,4.6518,4.4342,4.5748,5347.15,24355.373502,0,0,0
2023-08-15T22:00:00+00:00Z,2023-08-15T23:00:00+00:00Z,4.5748,4.5748,4.3523,4.4201,5612.04,24910.417216,0,0,0
