# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,DEFIUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-01-31T10:00:00+00:00Z
# t0_final_iso,2024-01-31T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,eef47734ecea50e7
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-01-31T10:00:00+00:00Z,2024-01-31T11:00:00+00:00Z,0.02,1.15,0.02,0.7421,4037849.77,3389414.279588,0,0,0
2024-01-31T11:00:00+00:00Z,2024-01-31T12:00:00+00:00Z,0.7421,0.8352,0.7,0.737,930064.34,728800.288181,0,0,0
2024-01-31T12:00:00+00:00Z,2024-01-31T13:00:00+00:00Z,0.737,0.7832,0.72,0.7702,368200.59,277462.166172,0,0,0
2024-01-31T13:00:00+00:00Z,2024-01-31T14:00:00+00:00Z,0.7702,0.8487,0.7637,0.8252,384763.98,308722.053016,0,0,0
2024-01-31T14:00:00+00:00Z,2024-01-31T15:00:00+00:00Z,0.8252,0.8252,0.7024,0.7056,295856.75,225632.851264,0,0,0
2024-01-31T15:00:00+00:00Z,2024-01-31T16:00:00+00:00Z,0.7056,0.7473,0.6411,0.656,312250.56,212039.013177,0,0,0
2024-01-31T16:00:00+00:00Z,2024-01-31T17:00:00+00:00Z,0.656,0.681,0.6103,0.6716,197829.71,128871.682105,0,0,0
2024-01-31T17:00:00+00:00Z,2024-01-31T18:00:00+00:00Z,0.6716,0.7312,0.67,0.6959,167822.87,115660.794794,0,0,0
2024-01-31T18:00:00+00:00Z,2024-01-31T19:00:00+00:00Z,0.6959,0.7449,0.6682,0.7411,162458.67,116141.224372,0,0,0
2024-01-31T19:00:00+00:00Z,2024-01-31T20:00:00+00:00Z,0.7411,0.7547,0.6873,0.6968,164584.34,119300.602056,0,0,0
2024-01-31T20:00:00+00:00Z,2024-01-31T21:00:00+00:00Z,0.6968,0.7046,0.634,0.6883,170701.69,114773.245078,0,0,0
2024-01-31T21:00:00+00:00Z,2024-01-31T22:00:00+00:00Z,0.6883,0.71,0.6776,0.6951,55682.27,38869.480215,0,0,0
2024-01-31T22:00:00+00:00Z,2024-01-31T23:00:00+00:00Z,0.6951,0.6998,0.6488,0.6488,55127.9,37194.535033,0,0,0
2024-01-31T23:00:00+00:00Z,2024-02-01T00:00:00+00:00Z,0.6488,0.6562,0.62,0.6241,35203.76,22542.49437,0,0,0
2024-02-01T00:00:00+00:00Z,2024-02-01T01:00:00+00:00Z,0.6241,0.6396,0.62,0.6225,25454.98,15932.820583,0,0,0
2024-02-01T01:00:00+00:00Z,2024-02-01T02:00:00+00:00Z,0.6225,0.6504,0.6196,0.6372,23637.95,14979.669725,0,0,0
2024-02-01T02:00:00+00:00Z,2024-02-01T03:00:00+00:00Z,0.6372,0.6829,0.6357,0.678,29561.36,19691.641913,0,0,0
2024-02-01T03:00:00+00:00Z,2024-02-01T04:00:00+00:00Z,0.678,0.6837,0.6148,0.6255,72031.5,47079.773697,0,0,0
2024-02-01T04:00:00+00:00Z,2024-02-01T05:00:00+00:00Z,0.6255,0.6298,0.6,0.6033,84485.33,51649.454445,0,0,0
2024-02-01T05:00:00+00:00Z,2024-02-01T06:00:00+00:00Z,0.6033,0.62,0.5848,0.6071,92407.44,55548.833704,0,0,0
2024-02-01T06:00:00+00:00Z,2024-02-01T07:00:00+00:00Z,0.6071,0.62,0.6053,0.6177,45750.17,28104.776252,0,0,0
2024-02-01T07:00:00+00:00Z,2024-02-01T08:00:00+00:00Z,0.6177,0.6208,0.5905,0.61,62433.45,37821.196331,0,0,0
2024-02-01T08:00:00+00:00Z,2024-02-01T09:00:00+00:00Z,0.61,0.611,0.5826,0.5834,61121.17,36680.574806,0,0,0
2024-02-01T09:00:00+00:00Z,2024-02-01T10:00:00+00:00Z,0.5834,0.5878,0.5504,0.5572,84117.69,47416.793422,0,0,0
2024-02-01T10:00:00+00:00Z,2024-02-01T11:00:00+00:00Z,0.5572,0.5783,0.5501,0.575,64826.14,36350.262762,0,0,0
2024-02-01T11:00:00+00:00Z,2024-02-01T12:00:00+00:00Z,0.575,0.5799,0.513,0.5149,123660.66,66974.464479,0,0,0
2024-02-01T12:00:00+00:00Z,2024-02-01T13:00:00+00:00Z,0.5149,0.541,0.51,0.5384,191394.15,98895.483132,0,0,0
2024-02-01T13:00:00+00:00Z,2024-02-01T14:00:00+00:00Z,0.5384,0.5657,0.5294,0.5619,95530.78,52356.80808,0,0,0
2024-02-01T14:00:00+00:00Z,2024-02-01T15:00:00+00:00Z,0.5619,0.61,0.5608,0.5784,104347.21,61244.981129,0,0,0
2024-02-01T15:00:00+00:00Z,2024-02-01T16:00:00+00:00Z,0.5784,0.6047,0.5775,0.585,60951.54,36086.814132,0,0,0
2024-02-01T16:00:00+00:00Z,2024-02-01T17:00:00+00:00Z,0.585,0.6524,0.5774,0.6423,86203.78,53783.773307,0,0,0
2024-02-01T17:00:00+00:00Z,2024-02-01T18:00:00+00:00Z,0.6423,0.6456,0.6165,0.6295,46394.48,29329.27737,0,0,0
2024-02-01T18:00:00+00:00Z,2024-02-01T19:00:00+00:00Z,0.6295,0.6462,0.6235,0.6399,63392.53,40309.148425,0,0,0
2024-02-01T19:00:00+00:00Z,2024-02-01T20:00:00+00:00Z,0.6399,0.6425,0.5843,0.6105,31231.27,19096.55221,0,0,0
2024-02-01T20:00:00+00:00Z,2024-02-01T21:00:00+00:00Z,0.6105,0.616,0.6,0.6089,36283.74,22118.327445,0,0,0
2024-02-01T21:00:00+00:00Z,2024-02-01T22:00:00+00:00Z,0.6089,0.6201,0.5723,0.604,45344.88,27357.914316,0,0,0
2024-02-01T22:00:00+00:00Z,2024-02-01T23:00:00+00:00Z,0.604,0.6049,0.5745,0.5985,49341.48,29290.002256,0,0,0
2024-02-01T23:00:00+00:00Z,2024-02-02T00:00:00+00:00Z,0.5985,0.6124,0.5826,0.5837,34175.25,20488.555781,0,0,0
2024-02-02T00:00:00+00:00Z,2024-02-02T01:00:00+00:00Z,0.5837,0.5844,0.5504,0.5532,28218.63,15930.126433,0,0,0
2024-02-02T01:00:00+00:00Z,2024-02-02T02:00:00+00:00Z,0.5532,0.5543,0.5237,0.5384,37527.54,20133.669439,0,0,0
2024-02-02T02:00:00+00:00Z,2024-02-02T03:00:00+00:00Z,0.5384,0.5876,0.5381,0.5728,24249.57,13658.771885,0,0,0
2024-02-02T03:00:00+00:00Z,2024-02-02T04:00:00+00:00Z,0.5728,0.5782,0.5609,0.5661,17126.76,9706.185687,0,0,0
2024-02-02T04:00:00+00:00Z,2024-02-02T05:00:00+00:00Z,0.5661,0.5695,0.565,0.5663,23319.34,13187.437778,0,0,0
2024-02-02T05:00:00+00:00Z,2024-02-02T06:00:00+00:00Z,0.5663,0.5744,0.54,0.54,34254.51,18934.866441,0,0,0
2024-02-02T06:00:00+00:00Z,2024-02-02T07:00:00+00:00Z,0.54,0.5444,0.525,0.5393,51034.45,27265.803259,0,0,0
2024-02-02T07:00:00+00:00Z,2024-02-02T08:00:00+00:00Z,0.5393,0.55,0.5374,0.5412,25821.77,14001.378244,0,0,0
2024-02-02T08:00:00+00:00Z,2024-02-02T09:00:00+00:00Z,0.5412,0.5833,0.5385,0.5807,36865.68,20881.233333,0,0,0
2024-02-02T09:00:00+00:00Z,2024-02-02T10:00:00+00:00Z,0.5807,0.605,0.5714,0.5714,46286.19,27394.884954,0,0,0
2024-02-02T10:00:00+00:00Z,2024-02-02T11:00:00+00:00Z,0.5714,0.5913,0.5675,0.5814,33171.91,19198.540252,0,0,0
2024-02-02T11:00:00+00:00Z,2024-02-02T12:00:00+00:00Z,0.5814,0.626,0.5766,0.6223,167183.23,102467.029321,0,0,0
2024-02-02T12:00:00+00:00Z,2024-02-02T13:00:00+00:00Z,0.6223,0.626,0.5946,0.6041,226863.16,138449.843014,0,0,0
2024-02-02T13:00:00+00:00Z,2024-02-02T14:00:00+00:00Z,0.6041,0.6131,0.5703,0.5703,208668.16,124293.702299,0,0,0
2024-02-02T14:00:00+00:00Z,2024-02-02T15:00:00+00:00Z,0.5703,0.5926,0.5408,0.5728,44775.41,25461.898056,0,0,0
2024-02-02T15:00:00+00:00Z,2024-02-02T16:00:00+00:00Z,0.5728,0.573,0.5514,0.5645,119264.28,67020.644317,0,0,0
2024-02-02T16:00:00+00:00Z,2024-02-02T17:00:00+00:00Z,0.5645,0.5896,0.5623,0.5868,135645.59,78554.545535,0,0,0
2024-02-02T17:00:00+00:00Z,2024-02-02T18:00:00+00:00Z,0.5868,0.5895,0.567,0.5671,152125.29,88578.491649,0,0,0
2024-02-02T18:00:00+00:00Z,2024-02-02T19:00:00+00:00Z,0.5671,0.569,0.555,0.5571,21183.85,11892.037418,0,0,0
2024-02-02T19:00:00+00:00Z,2024-02-02T20:00:00+00:00Z,0.5571,0.5606,0.545,0.5605,25029.04,13842.2892,0,0,0
2024-02-02T20:00:00+00:00Z,2024-02-02T21:00:00+00:00Z,0.5605,0.5738,0.5551,0.5629,18091.36,10194.144465,0,0,0
2024-02-02T21:00:00+00:00Z,2024-02-02T22:00:00+00:00Z,0.5629,0.5645,0.545,0.551,12963.83,7122.028771,0,0,0
2024-02-02T22:00:00+00:00Z,2024-02-02T23:00:00+00:00Z,0.551,0.5552,0.54,0.546,14109.48,7710.623165,0,0,0
2024-02-02T23:00:00+00:00Z,2024-02-03T00:00:00+00:00Z,0.546,0.5576,0.5433,0.5527,12716.88,7013.069646,0,0,0
2024-02-03T00:00:00+00:00Z,2024-02-03T01:00:00+00:00Z,0.5527,0.5607,0.5481,0.5512,11658.07,6489.35357,0,0,0
2024-02-03T01:00:00+00:00Z,2024-02-03T02:00:00+00:00Z,0.5512,0.5527,0.54,0.5405,10338.09,5612.670646,0,0,0
2024-02-03T02:00:00+00:00Z,2024-02-03T03:00:00+00:00Z,0.5405,0.5572,0.5347,0.55,16422.47,8937.299556,0,0,0
2024-02-03T03:00:00+00:00Z,2024-02-03T04:00:00+00:00Z,0.55,0.5554,0.5353,0.5384,5501.18,2999.733383,0,0,0
2024-02-03T04:00:00+00:00Z,2024-02-03T05:00:00+00:00Z,0.5384,0.5504,0.5306,0.533,16575.34,8935.970718,0,0,0
2024-02-03T05:00:00+00:00Z,2024-02-03T06:00:00+00:00Z,0.533,0.5425,0.5181,0.5251,46560.41,24455.968577,0,0,0
2024-02-03T06:00:00+00:00Z,2024-02-03T07:00:00+00:00Z,0.5251,0.5371,0.5248,0.5332,9497.98,5046.051108,0,0,0
2024-02-03T07:00:00+00:00Z,2024-02-03T08:00:00+00:00Z,0.5332,0.5415,0.53,0.53,15711.23,8396.756256,0,0,0
2024-02-03T08:00:00+00:00Z,2024-02-03T09:00:00+00:00Z,0.53,0.536,0.518,0.5202,29940.06,15816.134013,0,0,0
2024-02-03T09:00:00+00:00Z,2024-02-03T10:00:00+00:00Z,0.5202,0.5283,0.515,0.5242,24243.3,12640.122125,0,0,0
