# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,DGBUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2021-12-21T11:00:00+00:00Z
# t0_final_iso,2021-12-21T11:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,cde9507fd2638945
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-12-21T11:00:00+00:00Z,2021-12-21T12:00:00+00:00Z,0.03466,0.03511,0.03444,0.03475,38148.5,1324.069224,0,0,0
2021-12-21T12:00:00+00:00Z,2021-12-21T13:00:00+00:00Z,0.03475,0.03709,0.03452,0.03477,61701.8,2160.382867,0,0,0
2021-12-21T13:00:00+00:00Z,2021-12-21T14:00:00+00:00Z,0.03477,0.03672,0.03455,0.03495,138438.9,4846.685377,0,0,0
2021-12-21T14:00:00+00:00Z,2021-12-21T15:00:00+00:00Z,0.03495,0.03512,0.03464,0.03496,62157.5,2165.505039,0,0,0
2021-12-21T15:00:00+00:00Z,2021-12-21T16:00:00+00:00Z,0.03496,0.03496,0.03411,0.03454,74957.1,2597.9101,0,0,0
2021-12-21T16:00:00+00:00Z,2021-12-21T17:00:00+00:00Z,0.03454,0.0351,0.03449,0.03476,64708.6,2244.946108,0,0,0
2021-12-21T17:00:00+00:00Z,2021-12-21T18:00:00+00:00Z,0.03476,0.03503,0.03448,0.03462,65886.1,2287.544329,0,0,0
2021-12-21T18:00:00+00:00Z,2021-12-21T19:00:00+00:00Z,0.03462,0.0351,0.0345,0.03461,62936.1,2189.950201,0,0,0
2021-12-21T19:00:00+00:00Z,2021-12-21T20:00:00+00:00Z,0.03461,0.03515,0.03432,0.03511,74062.3,2578.517241,0,0,0
2021-12-21T20:00:00+00:00Z,2021-12-21T21:00:00+00:00Z,0.03511,0.03511,0.03466,0.03489,62534.9,2182.149577,0,0,0
2021-12-21T21:00:00+00:00Z,2021-12-21T22:00:00+00:00Z,0.03489,0.03536,0.03477,0.03526,58585.6,2053.51293,0,0,0
2021-12-21T22:00:00+00:00Z,2021-12-21T23:00:00+00:00Z,0.03526,0.03576,0.03478,0.03512,63202.9,2217.971904,0,0,0
2021-12-21T23:00:00+00:00Z,2021-12-22T00:00:00+00:00Z,0.03512,0.03536,0.0349,0.03506,60744.4,2130.790712,0,0,0
2021-12-22T00:00:00+00:00Z,2021-12-22T01:00:00+00:00Z,0.03506,0.03558,0.0345,0.0345,98905.9,3463.029978,0,0,0
2021-12-22T01:00:00+00:00Z,2021-12-22T02:00:00+00:00Z,0.0345,0.03509,0.0345,0.0349,62606.2,2180.674844,0,0,0
2021-12-22T02:00:00+00:00Z,2021-12-22T03:00:00+00:00Z,0.0349,0.03535,0.03472,0.03506,69001.4,2418.479889,0,0,0
2021-12-22T03:00:00+00:00Z,2021-12-22T04:00:00+00:00Z,0.03506,0.03522,0.03485,0.03509,49522.1,1734.52646,0,0,0
2021-12-22T04:00:00+00:00Z,2021-12-22T05:00:00+00:00Z,0.03509,0.03528,0.03487,0.0351,25834.9,906.013834,0,0,0
