# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,DOLOUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-04-24T13:00:00+00:00Z
# t0_final_iso,2025-04-24T13:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,50e2ddb229c48e8f
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-04-24T13:00:00+00:00Z,2025-04-24T14:00:00+00:00Z,0.06,0.099,0.06,0.0635,15435052.9,1209681.30546,0,0,0
2025-04-24T14:00:00+00:00Z,2025-04-24T15:00:00+00:00Z,0.0635,0.0693,0.059,0.0664,8288462.0,528191.88363,0,0,0
2025-04-24T15:00:00+00:00Z,2025-04-24T16:00:00+00:00Z,0.0664,0.0668,0.0618,0.0624,3051292.2,195652.3682,0,0,0
2025-04-24T16:00:00+00:00Z,2025-04-24T17:00:00+00:00Z,0.0624,0.0633,0.0587,0.0601,5091677.4,310341.27222,0,0,0
2025-04-24T17:00:00+00:00Z,2025-04-24T18:00:00+00:00Z,0.0601,0.0693,0.059,0.0626,5153236.0,329071.99354,0,0,0
2025-04-24T18:00:00+00:00Z,2025-04-24T19:00:00+00:00Z,0.0626,0.0651,0.0611,0.0636,2795509.9,176596.30403,0,0,0
2025-04-24T19:00:00+00:00Z,2025-04-24T20:00:00+00:00Z,0.0636,0.0796,0.0635,0.0715,9394234.6,661256.25883,0,0,0
2025-04-24T20:00:00+00:00Z,2025-04-24T21:00:00+00:00Z,0.0715,0.0718,0.0656,0.0673,1708058.3,117116.6907,0,0,0
2025-04-24T21:00:00+00:00Z,2025-04-24T22:00:00+00:00Z,0.0673,0.0684,0.0664,0.0679,634464.9,42809.4191,0,0,0
2025-04-24T22:00:00+00:00Z,2025-04-24T23:00:00+00:00Z,0.0679,0.0685,0.065,0.0653,916931.7,60955.33722,0,0,0
2025-04-24T23:00:00+00:00Z,2025-04-25T00:00:00+00:00Z,0.0653,0.0674,0.065,0.0667,1726382.9,113228.18585,0,0,0
2025-04-25T00:00:00+00:00Z,2025-04-25T01:00:00+00:00Z,0.0667,0.0685,0.065,0.0656,1151922.9,76501.92053,0,0,0
2025-04-25T01:00:00+00:00Z,2025-04-25T02:00:00+00:00Z,0.0656,0.0674,0.0656,0.0671,606092.8,40445.49494,0,0,0
2025-04-25T02:00:00+00:00Z,2025-04-25T03:00:00+00:00Z,0.0671,0.0686,0.0651,0.0656,824928.7,55417.74589,0,0,0
2025-04-25T03:00:00+00:00Z,2025-04-25T04:00:00+00:00Z,0.0656,0.0698,0.065,0.0695,1436954.3,97127.79505,0,0,0
2025-04-25T04:00:00+00:00Z,2025-04-25T05:00:00+00:00Z,0.0695,0.0711,0.0663,0.0687,1203770.2,82875.74873,0,0,0
2025-04-25T05:00:00+00:00Z,2025-04-25T06:00:00+00:00Z,0.0687,0.0711,0.0671,0.0689,998430.2,68879.44512,0,0,0
2025-04-25T06:00:00+00:00Z,2025-04-25T07:00:00+00:00Z,0.0689,0.0694,0.0665,0.0673,751896.9,51119.39504,0,0,0
2025-04-25T07:00:00+00:00Z,2025-04-25T08:00:00+00:00Z,0.0673,0.0679,0.0655,0.067,769158.1,51445.94412,0,0,0
2025-04-25T08:00:00+00:00Z,2025-04-25T09:00:00+00:00Z,0.067,0.0681,0.0662,0.0674,451636.3,30367.94329,0,0,0
2025-04-25T09:00:00+00:00Z,2025-04-25T10:00:00+00:00Z,0.0674,0.0681,0.0651,0.0656,632833.8,42245.71503,0,0,0
2025-04-25T10:00:00+00:00Z,2025-04-25T11:00:00+00:00Z,0.0656,0.0669,0.065,0.0653,627510.6,41180.21214,0,0,0
2025-04-25T11:00:00+00:00Z,2025-04-25T12:00:00+00:00Z,0.0653,0.0677,0.0651,0.0655,1403478.9,92956.36286,0,0,0
2025-04-25T12:00:00+00:00Z,2025-04-25T13:00:00+00:00Z,0.0655,0.069,0.0654,0.0685,1429669.9,96302.97605,0,0,0
2025-04-25T13:00:00+00:00Z,2025-04-25T14:00:00+00:00Z,0.0685,0.07,0.067,0.0687,989161.5,67791.89041,0,0,0
2025-04-25T14:00:00+00:00Z,2025-04-25T15:00:00+00:00Z,0.0687,0.0692,0.0673,0.0674,839414.1,57387.99839,0,0,0
2025-04-25T15:00:00+00:00Z,2025-04-25T16:00:00+00:00Z,0.0674,0.0689,0.0673,0.0686,806909.5,55184.50932,0,0,0
2025-04-25T16:00:00+00:00Z,2025-04-25T17:00:00+00:00Z,0.0686,0.0701,0.0684,0.07,545491.7,37747.4559,0,0,0
2025-04-25T17:00:00+00:00Z,2025-04-25T18:00:00+00:00Z,0.07,0.0704,0.0664,0.0669,772327.3,53114.2114,0,0,0
2025-04-25T18:00:00+00:00Z,2025-04-25T19:00:00+00:00Z,0.0669,0.068,0.0656,0.0661,246088.0,16429.45675,0,0,0
