# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,EGP1USDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-09-25T10:00:00+00:00Z
# t0_final_iso,2024-09-25T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,bcf8cfd7f9579bda
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-09-25T10:00:00+00:00Z,2024-09-25T11:00:00+00:00Z,0.6,7.3,0.6,4.045,353441.85,1703733.518715,0,0,0
2024-09-25T11:00:00+00:00Z,2024-09-25T12:00:00+00:00Z,4.045,4.2,3.62,4.1501,155087.37,614752.715095,0,0,0
2024-09-25T12:00:00+00:00Z,2024-09-25T13:00:00+00:00Z,4.1501,5.033,3.98,4.6791,167268.11,745574.139872,0,0,0
2024-09-25T13:00:00+00:00Z,2024-09-25T14:00:00+00:00Z,4.6791,5.629,4.4,4.8349,216416.31,1101290.314432,0,0,0
2024-09-25T14:00:00+00:00Z,2024-09-25T15:00:00+00:00Z,4.8349,5.7006,4.4,5.7,182558.5,909164.111743,0,0,0
2024-09-25T15:00:00+00:00Z,2024-09-25T16:00:00+00:00Z,5.7,8.0,5.5,6.9462,265312.63,1758104.785841,0,0,0
2024-09-25T16:00:00+00:00Z,2024-09-25T17:00:00+00:00Z,6.9462,7.7,6.2135,6.3281,137784.65,958314.309814,0,0,0
2024-09-25T17:00:00+00:00Z,2024-09-25T18:00:00+00:00Z,6.3281,7.0,6.0683,6.431,111869.69,733227.995958,0,0,0
2024-09-25T18:00:00+00:00Z,2024-09-25T19:00:00+00:00Z,6.431,6.6569,6.1,6.4395,46115.27,292252.039825,0,0,0
2024-09-25T19:00:00+00:00Z,2024-09-25T20:00:00+00:00Z,6.4395,7.385,6.2001,7.14,122737.46,833284.122687,0,0,0
2024-09-25T20:00:00+00:00Z,2024-09-25T21:00:00+00:00Z,7.14,7.36,6.2299,6.5,66291.22,446983.298181,0,0,0
2024-09-25T21:00:00+00:00Z,2024-09-25T22:00:00+00:00Z,6.5,6.99,6.26,6.3201,28024.9,184296.418126,0,0,0
2024-09-25T22:00:00+00:00Z,2024-09-25T23:00:00+00:00Z,6.3201,6.3998,5.5906,6.0004,55766.5,331600.415454,0,0,0
2024-09-25T23:00:00+00:00Z,2024-09-26T00:00:00+00:00Z,6.0004,6.0499,5.4374,5.6466,37045.73,210160.721104,0,0,0
2024-09-26T00:00:00+00:00Z,2024-09-26T01:00:00+00:00Z,5.6466,5.75,5.1722,5.7499,27035.41,147534.823002,0,0,0
2024-09-26T01:00:00+00:00Z,2024-09-26T02:00:00+00:00Z,5.7499,5.75,5.21,5.7122,20301.21,112787.942952,0,0,0
2024-09-26T02:00:00+00:00Z,2024-09-26T03:00:00+00:00Z,5.7122,6.13,5.7,5.715,22379.27,130142.231355,0,0,0
2024-09-26T03:00:00+00:00Z,2024-09-26T04:00:00+00:00Z,5.715,5.7337,5.2401,5.305,17977.54,97770.51753,0,0,0
