# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ENAUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-04-02T08:00:00+00:00Z
# t0_final_iso,2024-04-02T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,49e9ba7f265ae5a9
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-04-02T08:00:00+00:00Z,2024-04-02T09:00:00+00:00Z,0.1333,0.69,0.1333,0.6297,48246064.95,28532251.629239,0,0,0
2024-04-02T09:00:00+00:00Z,2024-04-02T10:00:00+00:00Z,0.6297,0.657,0.5966,0.5977,17201822.1,10843295.092492,0,0,0
2024-04-02T10:00:00+00:00Z,2024-04-02T11:00:00+00:00Z,0.5977,0.6048,0.5577,0.5747,21241907.87,12341469.236315,0,0,0
2024-04-02T11:00:00+00:00Z,2024-04-02T12:00:00+00:00Z,0.5747,0.625,0.5678,0.6172,12884025.06,7613271.423293,0,0,0
2024-04-02T12:00:00+00:00Z,2024-04-02T13:00:00+00:00Z,0.6172,0.6332,0.5953,0.625,9208751.6,5656488.118585,0,0,0
2024-04-02T13:00:00+00:00Z,2024-04-02T14:00:00+00:00Z,0.625,0.7267,0.6236,0.7036,18716580.41,12327840.379971,0,0,0
2024-04-02T14:00:00+00:00Z,2024-04-02T15:00:00+00:00Z,0.7036,0.7738,0.6797,0.69,25250331.51,18377422.230782,0,0,0
2024-04-02T15:00:00+00:00Z,2024-04-02T16:00:00+00:00Z,0.69,0.7352,0.6677,0.6881,15061842.2,10633115.590596,0,0,0
2024-04-02T16:00:00+00:00Z,2024-04-02T17:00:00+00:00Z,0.6881,0.735,0.6878,0.73,10329382.31,7374938.854493,0,0,0
2024-04-02T17:00:00+00:00Z,2024-04-02T18:00:00+00:00Z,0.73,0.84,0.7262,0.8055,20855336.31,16460036.146198,0,0,0
2024-04-02T18:00:00+00:00Z,2024-04-02T19:00:00+00:00Z,0.8055,0.9093,0.8049,0.8449,23063478.6,19890483.345277,0,0,0
2024-04-02T19:00:00+00:00Z,2024-04-02T20:00:00+00:00Z,0.8449,0.8875,0.809,0.871,13670315.13,11543153.296523,0,0,0
2024-04-02T20:00:00+00:00Z,2024-04-02T21:00:00+00:00Z,0.871,0.874,0.8144,0.8224,5944602.02,5041978.600527,0,0,0
2024-04-02T21:00:00+00:00Z,2024-04-02T22:00:00+00:00Z,0.8224,0.8781,0.8224,0.8612,4108314.02,3483870.140333,0,0,0
2024-04-02T22:00:00+00:00Z,2024-04-02T23:00:00+00:00Z,0.8612,0.873,0.825,0.847,3312015.52,2805268.527987,0,0,0
2024-04-02T23:00:00+00:00Z,2024-04-03T00:00:00+00:00Z,0.847,0.8496,0.7514,0.7749,6439548.65,5117012.032464,0,0,0
2024-04-03T00:00:00+00:00Z,2024-04-03T01:00:00+00:00Z,0.7749,0.7878,0.7051,0.7805,3729354.75,2761739.198132,0,0,0
2024-04-03T01:00:00+00:00Z,2024-04-03T02:00:00+00:00Z,0.7805,0.8694,0.7648,0.8484,7388504.15,6075410.237899,0,0,0
2024-04-03T02:00:00+00:00Z,2024-04-03T03:00:00+00:00Z,0.8484,0.8575,0.8009,0.8367,4473924.98,3716240.535226,0,0,0
2024-04-03T03:00:00+00:00Z,2024-04-03T04:00:00+00:00Z,0.8367,0.8915,0.8207,0.8708,3927297.18,3388322.659629,0,0,0
2024-04-03T04:00:00+00:00Z,2024-04-03T05:00:00+00:00Z,0.8708,0.8736,0.8238,0.8307,2402142.91,2029983.663755,0,0,0
2024-04-03T05:00:00+00:00Z,2024-04-03T06:00:00+00:00Z,0.8307,0.8312,0.7849,0.8218,3464675.45,2795380.748046,0,0,0
2024-04-03T06:00:00+00:00Z,2024-04-03T07:00:00+00:00Z,0.8218,0.8652,0.8142,0.8578,2772431.5,2332229.905231,0,0,0
2024-04-03T07:00:00+00:00Z,2024-04-03T08:00:00+00:00Z,0.8578,0.9242,0.8227,0.9184,4233651.2,3643466.491641,0,0,0
2024-04-03T08:00:00+00:00Z,2024-04-03T09:00:00+00:00Z,0.9184,0.939,0.8664,0.9354,5427450.53,4908268.602281,0,0,0
2024-04-03T09:00:00+00:00Z,2024-04-03T10:00:00+00:00Z,0.9354,0.96,0.9172,0.9242,5205884.46,4891900.135078,0,0,0
2024-04-03T10:00:00+00:00Z,2024-04-03T11:00:00+00:00Z,0.9242,0.9479,0.9007,0.9252,2924355.31,2701373.940796,0,0,0
2024-04-03T11:00:00+00:00Z,2024-04-03T12:00:00+00:00Z,0.9252,0.945,0.895,0.9024,3809721.06,3502388.081164,0,0,0
2024-04-03T12:00:00+00:00Z,2024-04-03T13:00:00+00:00Z,0.9024,0.9361,0.8547,0.9262,8830118.84,7891485.73172,0,0,0
2024-04-03T13:00:00+00:00Z,2024-04-03T14:00:00+00:00Z,0.9262,0.98,0.9249,0.9316,7833430.52,7449380.739582,0,0,0
2024-04-03T14:00:00+00:00Z,2024-04-03T15:00:00+00:00Z,0.9316,1.0447,0.9307,1.0447,7565477.3,7522655.187937,0,0,0
2024-04-03T15:00:00+00:00Z,2024-04-03T16:00:00+00:00Z,1.0447,1.198,1.0,1.1858,9836098.34,10926091.627915,0,0,0
2024-04-03T16:00:00+00:00Z,2024-04-03T17:00:00+00:00Z,1.1858,1.3018,1.1388,1.1655,19099561.96,23326466.261851,0,0,0
2024-04-03T17:00:00+00:00Z,2024-04-03T18:00:00+00:00Z,1.1655,1.2228,1.0923,1.1034,9284056.88,10835359.014234,0,0,0
2024-04-03T18:00:00+00:00Z,2024-04-03T19:00:00+00:00Z,1.1034,1.1568,1.0366,1.0798,6902748.1,7690300.496426,0,0,0
