# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,FIDAUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2022-03-23T10:00:00+00:00Z
# t0_final_iso,2022-03-23T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,8ec07e95ffffcc89
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-03-23T10:00:00+00:00Z,2022-03-23T11:00:00+00:00Z,1.6,1.7493,1.6,1.7493,4865.75,8468.059503,0,0,0
2022-03-23T11:00:00+00:00Z,2022-03-23T12:00:00+00:00Z,1.7493,1.7498,1.7405,1.7408,2453.58,4276.506466,0,0,0
2022-03-23T12:00:00+00:00Z,2022-03-23T13:00:00+00:00Z,1.7408,1.7641,1.7405,1.7641,3436.11,6029.171849,0,0,0
2022-03-23T13:00:00+00:00Z,2022-03-23T14:00:00+00:00Z,1.7641,1.7653,1.7509,1.7509,2913.13,5130.097098,0,0,0
2022-03-23T14:00:00+00:00Z,2022-03-23T15:00:00+00:00Z,1.7509,1.763,1.744,1.7611,5711.03,10019.900611,0,0,0
2022-03-23T15:00:00+00:00Z,2022-03-23T16:00:00+00:00Z,1.7611,1.8386,1.7611,1.8312,26372.37,47661.615359,0,0,0
2022-03-23T16:00:00+00:00Z,2022-03-23T17:00:00+00:00Z,1.8312,1.834,1.7971,1.8002,5792.93,10583.588045,0,0,0
2022-03-23T17:00:00+00:00Z,2022-03-23T18:00:00+00:00Z,1.8002,1.8018,1.7721,1.7731,2245.71,4019.497617,0,0,0
2022-03-23T18:00:00+00:00Z,2022-03-23T19:00:00+00:00Z,1.7731,1.7865,1.7731,1.7817,426.51,759.434901,0,0,0
2022-03-23T19:00:00+00:00Z,2022-03-23T20:00:00+00:00Z,1.7817,1.8075,1.7817,1.7934,249.57,447.832121,0,0,0
