# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,FOXYUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-04-12T08:00:00+00:00Z
# t0_final_iso,2024-04-12T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,197d2d3f27cba721
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-04-12T08:00:00+00:00Z,2024-04-12T09:00:00+00:00Z,0.0005,0.0250878,0.0005,0.0199999,583938269.63,9506697.636522058,0,0,0
2024-04-12T09:00:00+00:00Z,2024-04-12T10:00:00+00:00Z,0.0199999,0.0214,0.01766,0.0189452,113524596.06,2178134.992800064,0,0,0
2024-04-12T10:00:00+00:00Z,2024-04-12T11:00:00+00:00Z,0.0189452,0.019461,0.0184182,0.0194093,69505569.53,1314689.222655929,0,0,0
2024-04-12T11:00:00+00:00Z,2024-04-12T12:00:00+00:00Z,0.0194093,0.0194093,0.0175315,0.0182054,51466590.24,942538.836047074,0,0,0
2024-04-12T12:00:00+00:00Z,2024-04-12T13:00:00+00:00Z,0.0182054,0.0192497,0.0172939,0.0191211,59628379.92,1087817.666712109,0,0,0
2024-04-12T13:00:00+00:00Z,2024-04-12T14:00:00+00:00Z,0.0191211,0.0208669,0.0174774,0.0185104,122708118.27,2400472.13619848,0,0,0
2024-04-12T14:00:00+00:00Z,2024-04-12T15:00:00+00:00Z,0.0185104,0.0190255,0.0177411,0.0179564,57462028.46,1055817.057866502,0,0,0
2024-04-12T15:00:00+00:00Z,2024-04-12T16:00:00+00:00Z,0.0179564,0.02,0.0179,0.0188213,45452928.56,864952.492908724,0,0,0
2024-04-12T16:00:00+00:00Z,2024-04-12T17:00:00+00:00Z,0.0188213,0.0219909,0.0186233,0.0210712,99130731.55,2067508.184625884,0,0,0
2024-04-12T17:00:00+00:00Z,2024-04-12T18:00:00+00:00Z,0.0210712,0.0212619,0.0187264,0.0195556,67218206.18,1334849.002788484,0,0,0
2024-04-12T18:00:00+00:00Z,2024-04-12T19:00:00+00:00Z,0.0195556,0.0206596,0.0172559,0.0178078,74848168.89,1394627.993803972,0,0,0
2024-04-12T19:00:00+00:00Z,2024-04-12T20:00:00+00:00Z,0.0178078,0.0186496,0.0173469,0.0183424,39209025.31,706466.686181175,0,0,0
2024-04-12T20:00:00+00:00Z,2024-04-12T21:00:00+00:00Z,0.0183424,0.019589,0.01815,0.0188672,28763451.56,546795.933579284,0,0,0
2024-04-12T21:00:00+00:00Z,2024-04-12T22:00:00+00:00Z,0.0188672,0.0190255,0.0181443,0.0184182,17314564.52,322071.285413928,0,0,0
2024-04-12T22:00:00+00:00Z,2024-04-12T23:00:00+00:00Z,0.0184182,0.0192648,0.0182808,0.0187776,18837010.08,353909.814776849,0,0,0
2024-04-12T23:00:00+00:00Z,2024-04-13T00:00:00+00:00Z,0.0187776,0.0212171,0.0186962,0.0211181,38494088.29,771502.529983818,0,0,0
2024-04-13T00:00:00+00:00Z,2024-04-13T01:00:00+00:00Z,0.0211181,0.0235503,0.0210243,0.0220076,88327203.37,1961836.124047262,0,0,0
2024-04-13T01:00:00+00:00Z,2024-04-13T02:00:00+00:00Z,0.0220076,0.022716,0.0190208,0.0198653,63534706.68,1293330.605500686,0,0,0
2024-04-13T02:00:00+00:00Z,2024-04-13T03:00:00+00:00Z,0.0198653,0.0213258,0.0193409,0.020238,25279671.02,510687.199338381,0,0,0
2024-04-13T03:00:00+00:00Z,2024-04-13T04:00:00+00:00Z,0.020238,0.0208411,0.0197268,0.0201,12117051.03,244943.860659311,0,0,0
2024-04-13T04:00:00+00:00Z,2024-04-13T05:00:00+00:00Z,0.0201,0.0215555,0.01993,0.020608,18643110.0,389627.088095492,0,0,0
2024-04-13T05:00:00+00:00Z,2024-04-13T06:00:00+00:00Z,0.020608,0.0218809,0.0194582,0.0197376,20917987.36,431660.047703037,0,0,0
2024-04-13T06:00:00+00:00Z,2024-04-13T07:00:00+00:00Z,0.0197376,0.01978,0.0181897,0.01918,33476697.1,630497.72779845,0,0,0
2024-04-13T07:00:00+00:00Z,2024-04-13T08:00:00+00:00Z,0.01918,0.0197327,0.0188341,0.019456,9900486.93,191256.962935931,0,0,0
2024-04-13T08:00:00+00:00Z,2024-04-13T09:00:00+00:00Z,0.019456,0.0195687,0.0184286,0.0189654,11346085.73,214443.164956347,0,0,0
2024-04-13T09:00:00+00:00Z,2024-04-13T10:00:00+00:00Z,0.0189654,0.0189654,0.018054,0.018816,10739694.97,198904.079261426,0,0,0
2024-04-13T10:00:00+00:00Z,2024-04-13T11:00:00+00:00Z,0.018816,0.01952,0.0184642,0.0194176,9345815.75,177574.369601705,0,0,0
2024-04-13T11:00:00+00:00Z,2024-04-13T12:00:00+00:00Z,0.0194176,0.0195492,0.0184883,0.0187263,13546240.02,257889.011500907,0,0,0
2024-04-13T12:00:00+00:00Z,2024-04-13T13:00:00+00:00Z,0.0187263,0.0194578,0.0186368,0.0193116,10223021.33,194584.042683248,0,0,0
2024-04-13T13:00:00+00:00Z,2024-04-13T14:00:00+00:00Z,0.0193116,0.0202999,0.0190879,0.0196033,19825806.74,392109.000458423,0,0,0
2024-04-13T14:00:00+00:00Z,2024-04-13T15:00:00+00:00Z,0.0196033,0.0196033,0.018856,0.0193608,7375017.78,141499.39518978,0,0,0
2024-04-13T15:00:00+00:00Z,2024-04-13T16:00:00+00:00Z,0.0193608,0.0193663,0.0181579,0.0187776,14433892.66,268568.491644772,0,0,0
2024-04-13T16:00:00+00:00Z,2024-04-13T17:00:00+00:00Z,0.0187776,0.0187776,0.0175152,0.0179598,27223479.13,487141.498349253,0,0,0
