# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,GALFTUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2022-05-05T15:00:00+00:00Z
# t0_final_iso,2022-05-05T15:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,a9298057e13a2fc8
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-05-05T15:00:00+00:00Z,2022-05-05T16:00:00+00:00Z,2.76289,2.85595,2.64504,2.74504,14429.72,40047.6482675,0,0,0
2022-05-05T16:00:00+00:00Z,2022-05-05T17:00:00+00:00Z,2.74504,2.81,2.67492,2.81,2227.29,6106.6448046,0,0,0
2022-05-05T17:00:00+00:00Z,2022-05-05T18:00:00+00:00Z,2.81,2.84209,2.77226,2.83509,576.58,1625.356362,0,0,0
2022-05-05T18:00:00+00:00Z,2022-05-05T19:00:00+00:00Z,2.83509,2.83509,2.71245,2.78541,295.21,812.0505671,0,0,0
2022-05-05T19:00:00+00:00Z,2022-05-05T20:00:00+00:00Z,2.78541,2.79114,2.73001,2.77,251.71,693.3935017,0,0,0
2022-05-05T20:00:00+00:00Z,2022-05-05T21:00:00+00:00Z,2.77,2.77,2.70135,2.75986,3046.78,8333.497285,0,0,0
2022-05-05T21:00:00+00:00Z,2022-05-05T22:00:00+00:00Z,2.75986,2.79114,2.70836,2.77454,304.27,843.6688027,0,0,0
2022-05-05T22:00:00+00:00Z,2022-05-05T23:00:00+00:00Z,2.77454,2.83,2.74702,2.82,1990.37,5537.3720053,0,0,0
2022-05-05T23:00:00+00:00Z,2022-05-06T00:00:00+00:00Z,2.82,2.83,2.76133,2.76992,721.11,2006.2179717,0,0,0
2022-05-06T00:00:00+00:00Z,2022-05-06T01:00:00+00:00Z,2.76992,2.828,2.68615,2.81748,532.68,1455.944002,0,0,0
2022-05-06T01:00:00+00:00Z,2022-05-06T02:00:00+00:00Z,2.81748,2.829,2.75006,2.829,3682.86,10413.117079,0,0,0
2022-05-06T02:00:00+00:00Z,2022-05-06T03:00:00+00:00Z,2.829,2.83,2.79871,2.79871,3749.91,10588.2308262,0,0,0
2022-05-06T03:00:00+00:00Z,2022-05-06T04:00:00+00:00Z,2.79871,2.90801,2.78624,2.87948,2463.36,6956.5559527,0,0,0
2022-05-06T04:00:00+00:00Z,2022-05-06T05:00:00+00:00Z,2.87948,2.87948,2.66233,2.71424,7503.33,20688.990022,0,0,0
2022-05-06T05:00:00+00:00Z,2022-05-06T06:00:00+00:00Z,2.71424,2.71424,2.6116,2.7,707.45,1901.5847697,0,0,0
2022-05-06T06:00:00+00:00Z,2022-05-06T07:00:00+00:00Z,2.7,2.73022,2.68911,2.6906,386.47,1044.8524353,0,0,0
2022-05-06T07:00:00+00:00Z,2022-05-06T08:00:00+00:00Z,2.6906,2.76349,2.66,2.73843,3169.86,8460.4715777,0,0,0
