# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ICNTUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-07-03T10:00:00+00:00Z
# t0_final_iso,2025-07-03T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,61a90f75edf0d896
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-07-03T10:00:00+00:00Z,2025-07-03T11:00:00+00:00Z,0.114,0.62,0.114,0.4036,4679010.9,2090178.4474,0,0,0
2025-07-03T11:00:00+00:00Z,2025-07-03T12:00:00+00:00Z,0.4036,0.4172,0.368,0.3896,1676778.7,648810.36176,0,0,0
2025-07-03T12:00:00+00:00Z,2025-07-03T13:00:00+00:00Z,0.3896,0.4549,0.3851,0.4444,2047836.8,878757.12594,0,0,0
2025-07-03T13:00:00+00:00Z,2025-07-03T14:00:00+00:00Z,0.4444,0.451,0.365,0.3802,4733767.8,1907552.96303,0,0,0
2025-07-03T14:00:00+00:00Z,2025-07-03T15:00:00+00:00Z,0.3802,0.3815,0.3493,0.3623,2942903.3,1079387.7323,0,0,0
2025-07-03T15:00:00+00:00Z,2025-07-03T16:00:00+00:00Z,0.3623,0.3699,0.3432,0.3554,3052386.8,1090600.5767,0,0,0
2025-07-03T16:00:00+00:00Z,2025-07-03T17:00:00+00:00Z,0.3554,0.3554,0.2971,0.3203,3189554.9,1023141.54147,0,0,0
2025-07-03T17:00:00+00:00Z,2025-07-03T18:00:00+00:00Z,0.3203,0.345,0.3108,0.3355,1790869.7,584540.17954,0,0,0
2025-07-03T18:00:00+00:00Z,2025-07-03T19:00:00+00:00Z,0.3355,0.3394,0.3142,0.3233,1407747.8,456444.99936,0,0,0
2025-07-03T19:00:00+00:00Z,2025-07-03T20:00:00+00:00Z,0.3233,0.3309,0.3102,0.3236,1432715.5,459226.81284,0,0,0
2025-07-03T20:00:00+00:00Z,2025-07-03T21:00:00+00:00Z,0.3236,0.3443,0.3155,0.3286,1323773.9,437061.20454,0,0,0
2025-07-03T21:00:00+00:00Z,2025-07-03T22:00:00+00:00Z,0.3286,0.3362,0.3192,0.3207,806615.3,262889.27579,0,0,0
2025-07-03T22:00:00+00:00Z,2025-07-03T23:00:00+00:00Z,0.3207,0.3269,0.3078,0.3207,885742.1,281763.71503,0,0,0
2025-07-03T23:00:00+00:00Z,2025-07-04T00:00:00+00:00Z,0.3207,0.3225,0.3065,0.3131,466180.2,146243.77674,0,0,0
2025-07-04T00:00:00+00:00Z,2025-07-04T01:00:00+00:00Z,0.3131,0.3161,0.3016,0.3075,924866.6,285523.62587,0,0,0
2025-07-04T01:00:00+00:00Z,2025-07-04T02:00:00+00:00Z,0.3075,0.3114,0.2948,0.2966,777700.5,234620.24554,0,0,0
2025-07-04T02:00:00+00:00Z,2025-07-04T03:00:00+00:00Z,0.2966,0.3756,0.2848,0.3184,3060226.0,974813.90605,0,0,0
2025-07-04T03:00:00+00:00Z,2025-07-04T04:00:00+00:00Z,0.3184,0.3286,0.2905,0.2929,2214336.8,681231.23451,0,0,0
2025-07-04T04:00:00+00:00Z,2025-07-04T05:00:00+00:00Z,0.2929,0.3311,0.2846,0.2899,2597274.5,775358.71898,0,0,0
2025-07-04T05:00:00+00:00Z,2025-07-04T06:00:00+00:00Z,0.2899,0.3012,0.2874,0.2965,1617943.2,479629.87728,0,0,0
2025-07-04T06:00:00+00:00Z,2025-07-04T07:00:00+00:00Z,0.2965,0.319,0.2954,0.3137,2722625.3,835708.1278,0,0,0
2025-07-04T07:00:00+00:00Z,2025-07-04T08:00:00+00:00Z,0.3137,0.3385,0.3078,0.3316,3473257.8,1117174.71503,0,0,0
2025-07-04T08:00:00+00:00Z,2025-07-04T09:00:00+00:00Z,0.3316,0.3387,0.3214,0.3255,2009111.8,660953.52749,0,0,0
2025-07-04T09:00:00+00:00Z,2025-07-04T10:00:00+00:00Z,0.3255,0.3311,0.3117,0.3187,2116600.4,677893.11612,0,0,0
2025-07-04T10:00:00+00:00Z,2025-07-04T11:00:00+00:00Z,0.3187,0.3285,0.3153,0.3215,1552460.3,499852.1605,0,0,0
2025-07-04T11:00:00+00:00Z,2025-07-04T12:00:00+00:00Z,0.3215,0.3296,0.3171,0.3196,1097584.7,355914.24115,0,0,0
2025-07-04T12:00:00+00:00Z,2025-07-04T13:00:00+00:00Z,0.3196,0.3255,0.3127,0.3173,1190751.5,381402.96901,0,0,0
2025-07-04T13:00:00+00:00Z,2025-07-04T14:00:00+00:00Z,0.3173,0.3185,0.2961,0.304,1665014.2,512290.17378,0,0,0
2025-07-04T14:00:00+00:00Z,2025-07-04T15:00:00+00:00Z,0.304,0.3067,0.299,0.3035,1335835.4,403681.24576,0,0,0
2025-07-04T15:00:00+00:00Z,2025-07-04T16:00:00+00:00Z,0.3035,0.3083,0.3003,0.3039,817405.4,248848.49682,0,0,0
2025-07-04T16:00:00+00:00Z,2025-07-04T17:00:00+00:00Z,0.3039,0.304,0.2607,0.2675,1964968.6,547790.10155,0,0,0
2025-07-04T17:00:00+00:00Z,2025-07-04T18:00:00+00:00Z,0.2675,0.2703,0.2529,0.2584,1361415.4,353850.09462,0,0,0
2025-07-04T18:00:00+00:00Z,2025-07-04T19:00:00+00:00Z,0.2584,0.2706,0.2564,0.2668,573314.4,150857.17024,0,0,0
2025-07-04T19:00:00+00:00Z,2025-07-04T20:00:00+00:00Z,0.2668,0.2753,0.2621,0.265,1467779.6,394687.41254,0,0,0
2025-07-04T20:00:00+00:00Z,2025-07-04T21:00:00+00:00Z,0.265,0.2715,0.2568,0.2592,598578.9,158153.68518,0,0,0
2025-07-04T21:00:00+00:00Z,2025-07-04T22:00:00+00:00Z,0.2592,0.2641,0.2541,0.2601,466439.0,120589.02273,0,0,0
2025-07-04T22:00:00+00:00Z,2025-07-04T23:00:00+00:00Z,0.2601,0.2626,0.248,0.26,1110533.1,284630.23972,0,0,0
2025-07-04T23:00:00+00:00Z,2025-07-05T00:00:00+00:00Z,0.26,0.2691,0.2549,0.2667,899018.4,235087.19704,0,0,0
2025-07-05T00:00:00+00:00Z,2025-07-05T01:00:00+00:00Z,0.2667,0.2691,0.2628,0.2684,1003074.8,267349.76512,0,0,0
2025-07-05T01:00:00+00:00Z,2025-07-05T02:00:00+00:00Z,0.2684,0.2734,0.2653,0.2713,1052166.4,283008.99825,0,0,0
2025-07-05T02:00:00+00:00Z,2025-07-05T03:00:00+00:00Z,0.2713,0.2722,0.2617,0.264,1484047.7,397356.67957,0,0,0
2025-07-05T03:00:00+00:00Z,2025-07-05T04:00:00+00:00Z,0.264,0.2663,0.2499,0.253,1662516.8,427853.49305,0,0,0
2025-07-05T04:00:00+00:00Z,2025-07-05T05:00:00+00:00Z,0.253,0.2558,0.2358,0.238,2247328.7,554802.43867,0,0,0
2025-07-05T05:00:00+00:00Z,2025-07-05T06:00:00+00:00Z,0.238,0.2525,0.237,0.248,2175855.7,536135.91009,0,0,0
2025-07-05T06:00:00+00:00Z,2025-07-05T07:00:00+00:00Z,0.248,0.2535,0.2452,0.2521,810663.0,201818.00168,0,0,0
2025-07-05T07:00:00+00:00Z,2025-07-05T08:00:00+00:00Z,0.2521,0.2552,0.25,0.2532,686473.2,173200.32323,0,0,0
2025-07-05T08:00:00+00:00Z,2025-07-05T09:00:00+00:00Z,0.2532,0.2546,0.249,0.2499,953478.6,240504.5679,0,0,0
2025-07-05T09:00:00+00:00Z,2025-07-05T10:00:00+00:00Z,0.2499,0.2504,0.2455,0.2476,916421.7,226668.95222,0,0,0
2025-07-05T10:00:00+00:00Z,2025-07-05T11:00:00+00:00Z,0.2476,0.2497,0.241,0.245,907933.7,222231.48247,0,0,0
2025-07-05T11:00:00+00:00Z,2025-07-05T12:00:00+00:00Z,0.245,0.2451,0.2399,0.2418,944832.6,228679.61844,0,0,0
2025-07-05T12:00:00+00:00Z,2025-07-05T13:00:00+00:00Z,0.2418,0.245,0.2403,0.2434,803146.2,195083.08676,0,0,0
2025-07-05T13:00:00+00:00Z,2025-07-05T14:00:00+00:00Z,0.2434,0.252,0.243,0.2479,816545.1,202140.3468,0,0,0
2025-07-05T14:00:00+00:00Z,2025-07-05T15:00:00+00:00Z,0.2479,0.2481,0.2311,0.2343,1443372.7,344897.14875,0,0,0
2025-07-05T15:00:00+00:00Z,2025-07-05T16:00:00+00:00Z,0.2343,0.2349,0.2232,0.2265,1651996.2,379226.32495,0,0,0
2025-07-05T16:00:00+00:00Z,2025-07-05T17:00:00+00:00Z,0.2265,0.234,0.2251,0.2287,903859.8,207590.40785,0,0,0
