# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ICPUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2021-10-10T03:00:00+00:00Z
# t0_final_iso,2021-10-10T03:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,d7b1de88e102a53d
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-10-10T03:00:00+00:00Z,2021-10-10T04:00:00+00:00Z,47.97,48.31,47.72,48.22,135.69,6522.3373,0,0,0
2021-10-10T04:00:00+00:00Z,2021-10-10T05:00:00+00:00Z,48.22,48.51,47.98,48.42,196.07,9449.7912,0,0,0
2021-10-10T05:00:00+00:00Z,2021-10-10T06:00:00+00:00Z,48.42,48.77,48.15,48.34,159.0,7690.7532,0,0,0
2021-10-10T06:00:00+00:00Z,2021-10-10T07:00:00+00:00Z,48.34,48.51,48.09,48.34,154.43,7463.827,0,0,0
2021-10-10T07:00:00+00:00Z,2021-10-10T08:00:00+00:00Z,48.34,48.6,48.33,48.47,143.48,6952.3195,0,0,0
2021-10-10T08:00:00+00:00Z,2021-10-10T09:00:00+00:00Z,48.47,48.77,48.41,48.54,142.59,6923.8048,0,0,0
2021-10-10T09:00:00+00:00Z,2021-10-10T10:00:00+00:00Z,48.54,48.57,47.68,47.98,217.13,10441.5526,0,0,0
2021-10-10T10:00:00+00:00Z,2021-10-10T11:00:00+00:00Z,47.98,48.3,47.79,47.99,191.59,9224.5058,0,0,0
2021-10-10T11:00:00+00:00Z,2021-10-10T12:00:00+00:00Z,47.99,48.18,47.54,47.95,165.05,7904.9079,0,0,0
2021-10-10T12:00:00+00:00Z,2021-10-10T13:00:00+00:00Z,47.95,48.04,47.26,47.68,154.7,7360.5104,0,0,0
2021-10-10T13:00:00+00:00Z,2021-10-10T14:00:00+00:00Z,47.68,48.01,47.4,47.65,149.34,7121.2954,0,0,0
2021-10-10T14:00:00+00:00Z,2021-10-10T15:00:00+00:00Z,47.65,48.19,47.64,48.02,165.3,7928.472,0,0,0
2021-10-10T15:00:00+00:00Z,2021-10-10T16:00:00+00:00Z,48.02,48.13,47.75,48.04,184.55,8843.4296,0,0,0
2021-10-10T16:00:00+00:00Z,2021-10-10T17:00:00+00:00Z,48.04,48.23,47.43,47.63,173.76,8294.6331,0,0,0
2021-10-10T17:00:00+00:00Z,2021-10-10T18:00:00+00:00Z,47.63,47.63,46.42,46.82,197.1,9256.9752,0,0,0
2021-10-10T18:00:00+00:00Z,2021-10-10T19:00:00+00:00Z,46.82,46.83,46.47,46.73,141.43,6597.4404,0,0,0
2021-10-10T19:00:00+00:00Z,2021-10-10T20:00:00+00:00Z,46.73,46.85,46.51,46.51,149.58,6979.0196,0,0,0
2021-10-10T20:00:00+00:00Z,2021-10-10T21:00:00+00:00Z,46.51,46.89,46.1,46.13,151.62,7050.8918,0,0,0
2021-10-10T21:00:00+00:00Z,2021-10-10T22:00:00+00:00Z,46.13,46.15,44.23,45.38,531.77,24094.0616,0,0,0
2021-10-10T22:00:00+00:00Z,2021-10-10T23:00:00+00:00Z,45.38,45.79,45.08,45.7,143.27,6500.2715,0,0,0
2021-10-10T23:00:00+00:00Z,2021-10-11T00:00:00+00:00Z,45.7,45.76,44.5,44.92,187.6,8502.7256,0,0,0
2021-10-11T00:00:00+00:00Z,2021-10-11T01:00:00+00:00Z,44.92,45.61,44.04,45.51,146.91,6628.0603,0,0,0
2021-10-11T01:00:00+00:00Z,2021-10-11T02:00:00+00:00Z,45.51,45.96,45.23,45.55,218.81,10002.4912,0,0,0
2021-10-11T02:00:00+00:00Z,2021-10-11T03:00:00+00:00Z,45.55,45.86,45.41,45.76,151.25,6902.4851,0,0,0
2021-10-11T03:00:00+00:00Z,2021-10-11T04:00:00+00:00Z,45.76,46.15,45.52,45.96,139.62,6389.0392,0,0,0
2021-10-11T04:00:00+00:00Z,2021-10-11T05:00:00+00:00Z,45.96,46.41,45.76,45.89,141.77,6526.4279,0,0,0
2021-10-11T05:00:00+00:00Z,2021-10-11T06:00:00+00:00Z,45.89,45.96,45.48,45.74,180.02,8239.0464,0,0,0
2021-10-11T06:00:00+00:00Z,2021-10-11T07:00:00+00:00Z,45.74,45.89,45.21,45.57,121.14,5529.2677,0,0,0
2021-10-11T07:00:00+00:00Z,2021-10-11T08:00:00+00:00Z,45.57,46.5,45.48,46.43,279.85,12888.0596,0,0,0
2021-10-11T08:00:00+00:00Z,2021-10-11T09:00:00+00:00Z,46.43,47.13,46.43,46.7,343.37,16087.0416,0,0,0
2021-10-11T09:00:00+00:00Z,2021-10-11T10:00:00+00:00Z,46.7,46.71,45.94,46.08,222.28,10330.9322,0,0,0
2021-10-11T10:00:00+00:00Z,2021-10-11T11:00:00+00:00Z,46.08,46.23,45.27,45.27,145.31,6667.6412,0,0,0
2021-10-11T11:00:00+00:00Z,2021-10-11T12:00:00+00:00Z,45.27,45.5,44.6,44.97,161.34,7280.7776,0,0,0
2021-10-11T12:00:00+00:00Z,2021-10-11T13:00:00+00:00Z,44.97,45.47,44.95,45.47,209.92,9503.1885,0,0,0
2021-10-11T13:00:00+00:00Z,2021-10-11T14:00:00+00:00Z,45.47,45.64,45.26,45.55,150.43,6842.0267,0,0,0
2021-10-11T14:00:00+00:00Z,2021-10-11T15:00:00+00:00Z,45.55,45.92,45.15,45.83,191.51,8690.9243,0,0,0
2021-10-11T15:00:00+00:00Z,2021-10-11T16:00:00+00:00Z,45.83,45.89,45.39,45.47,196.19,8941.1104,0,0,0
2021-10-11T16:00:00+00:00Z,2021-10-11T17:00:00+00:00Z,45.47,46.9,45.09,45.88,163.72,7519.2902,0,0,0
2021-10-11T17:00:00+00:00Z,2021-10-11T18:00:00+00:00Z,45.88,45.97,45.3,45.36,140.5,6413.2691,0,0,0
2021-10-11T18:00:00+00:00Z,2021-10-11T19:00:00+00:00Z,45.36,45.43,44.81,45.07,168.52,7602.7673,0,0,0
