# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,INSPUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-12-06T10:00:00+00:00Z
# t0_final_iso,2023-12-06T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,96cda988b1471978
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-12-06T10:00:00+00:00Z,2023-12-06T11:00:00+00:00Z,0.015,0.255,0.015,0.2457,40415358.24,8349074.7190341,0,0,0
2023-12-06T11:00:00+00:00Z,2023-12-06T12:00:00+00:00Z,0.2457,0.274,0.205,0.24255,8262514.67,2024799.6887875,0,0,0
2023-12-06T12:00:00+00:00Z,2023-12-06T13:00:00+00:00Z,0.24255,0.24915,0.1844,0.19326,9433821.87,1949570.6033381,0,0,0
2023-12-06T13:00:00+00:00Z,2023-12-06T14:00:00+00:00Z,0.19326,0.21541,0.18685,0.20784,3809354.34,783565.959566,0,0,0
2023-12-06T14:00:00+00:00Z,2023-12-06T15:00:00+00:00Z,0.20784,0.2125,0.1925,0.206,1419028.44,291269.4292796,0,0,0
2023-12-06T15:00:00+00:00Z,2023-12-06T16:00:00+00:00Z,0.206,0.207,0.18888,0.19227,1669047.76,327289.58504,0,0,0
2023-12-06T16:00:00+00:00Z,2023-12-06T17:00:00+00:00Z,0.19227,0.20501,0.183,0.205,1847253.5,355582.5064003,0,0,0
2023-12-06T17:00:00+00:00Z,2023-12-06T18:00:00+00:00Z,0.205,0.2098,0.19058,0.2033,1209941.05,246323.3113592,0,0,0
2023-12-06T18:00:00+00:00Z,2023-12-06T19:00:00+00:00Z,0.2033,0.234,0.195,0.234,2955752.95,648164.01311,0,0,0
2023-12-06T19:00:00+00:00Z,2023-12-06T20:00:00+00:00Z,0.234,0.24324,0.20831,0.22172,2500287.38,571294.9261554,0,0,0
2023-12-06T20:00:00+00:00Z,2023-12-06T21:00:00+00:00Z,0.22172,0.289,0.22172,0.27857,4724925.31,1236390.2524219,0,0,0
2023-12-06T21:00:00+00:00Z,2023-12-06T22:00:00+00:00Z,0.27857,0.29268,0.246,0.2495,2712593.59,735039.3626413,0,0,0
2023-12-06T22:00:00+00:00Z,2023-12-06T23:00:00+00:00Z,0.2495,0.26954,0.2344,0.25725,1705156.54,427506.7018904,0,0,0
2023-12-06T23:00:00+00:00Z,2023-12-07T00:00:00+00:00Z,0.25725,0.27778,0.25,0.25745,1104258.64,286887.2079267,0,0,0
2023-12-07T00:00:00+00:00Z,2023-12-07T01:00:00+00:00Z,0.25745,0.29,0.25424,0.28326,1298970.28,352781.5829973,0,0,0
2023-12-07T01:00:00+00:00Z,2023-12-07T02:00:00+00:00Z,0.28326,0.2953,0.24969,0.2565,1285496.3,351777.1011817,0,0,0
2023-12-07T02:00:00+00:00Z,2023-12-07T03:00:00+00:00Z,0.2565,0.275,0.24636,0.26853,480876.12,124333.6420847,0,0,0
2023-12-07T03:00:00+00:00Z,2023-12-07T04:00:00+00:00Z,0.26853,0.285,0.25711,0.268,1026954.94,279051.919618,0,0,0
2023-12-07T04:00:00+00:00Z,2023-12-07T05:00:00+00:00Z,0.268,0.272,0.25062,0.269,522017.75,137738.4920008,0,0,0
2023-12-07T05:00:00+00:00Z,2023-12-07T06:00:00+00:00Z,0.269,0.28,0.26192,0.27834,450822.81,122858.0444157,0,0,0
2023-12-07T06:00:00+00:00Z,2023-12-07T07:00:00+00:00Z,0.27834,0.32,0.2774,0.31861,1668384.82,497408.9374373,0,0,0
2023-12-07T07:00:00+00:00Z,2023-12-07T08:00:00+00:00Z,0.31861,0.32,0.292,0.30498,1279452.66,392699.6532165,0,0,0
2023-12-07T08:00:00+00:00Z,2023-12-07T09:00:00+00:00Z,0.30498,0.30952,0.291,0.29329,966299.03,289077.8053955,0,0,0
2023-12-07T09:00:00+00:00Z,2023-12-07T10:00:00+00:00Z,0.29329,0.3031,0.262,0.29625,2618620.53,756533.6807544,0,0,0
2023-12-07T10:00:00+00:00Z,2023-12-07T11:00:00+00:00Z,0.29625,0.30495,0.27,0.27061,1070372.02,309551.8464325,0,0,0
2023-12-07T11:00:00+00:00Z,2023-12-07T12:00:00+00:00Z,0.27061,0.28999,0.2621,0.27499,732966.03,201199.0860139,0,0,0
2023-12-07T12:00:00+00:00Z,2023-12-07T13:00:00+00:00Z,0.27499,0.27775,0.235,0.2456,2268458.47,578637.5517186,0,0,0
2023-12-07T13:00:00+00:00Z,2023-12-07T14:00:00+00:00Z,0.2456,0.2673,0.24222,0.26126,1321445.45,337719.5674111,0,0,0
2023-12-07T14:00:00+00:00Z,2023-12-07T15:00:00+00:00Z,0.26126,0.268,0.24356,0.24893,943648.98,240167.6990933,0,0,0
2023-12-07T15:00:00+00:00Z,2023-12-07T16:00:00+00:00Z,0.24893,0.24995,0.226,0.22677,1028189.09,245409.9223689,0,0,0
2023-12-07T16:00:00+00:00Z,2023-12-07T17:00:00+00:00Z,0.22677,0.2398,0.20742,0.23125,2214044.3,494340.3870679,0,0,0
2023-12-07T17:00:00+00:00Z,2023-12-07T18:00:00+00:00Z,0.23125,0.25,0.22006,0.22801,686612.75,160060.6526653,0,0,0
2023-12-07T18:00:00+00:00Z,2023-12-07T19:00:00+00:00Z,0.22801,0.23698,0.215,0.22653,496800.16,111605.8786637,0,0,0
2023-12-07T19:00:00+00:00Z,2023-12-07T20:00:00+00:00Z,0.22653,0.24244,0.21703,0.2417,353354.39,80215.2372207,0,0,0
2023-12-07T20:00:00+00:00Z,2023-12-07T21:00:00+00:00Z,0.2417,0.26,0.23574,0.246,561212.7,138838.4685204,0,0,0
2023-12-07T21:00:00+00:00Z,2023-12-07T22:00:00+00:00Z,0.246,0.24765,0.23622,0.2396,330731.93,80372.0328141,0,0,0
2023-12-07T22:00:00+00:00Z,2023-12-07T23:00:00+00:00Z,0.2396,0.24677,0.22567,0.23865,706339.29,169040.3489093,0,0,0
2023-12-07T23:00:00+00:00Z,2023-12-08T00:00:00+00:00Z,0.23865,0.24022,0.23016,0.23027,251773.81,59157.8625381,0,0,0
2023-12-08T00:00:00+00:00Z,2023-12-08T01:00:00+00:00Z,0.23027,0.2322,0.218,0.22017,363533.33,81249.3607885,0,0,0
2023-12-08T01:00:00+00:00Z,2023-12-08T02:00:00+00:00Z,0.22017,0.24495,0.22017,0.2362,566619.51,133159.8504444,0,0,0
2023-12-08T02:00:00+00:00Z,2023-12-08T03:00:00+00:00Z,0.2362,0.24368,0.22512,0.24225,281279.85,66271.121154,0,0,0
2023-12-08T03:00:00+00:00Z,2023-12-08T04:00:00+00:00Z,0.24225,0.25641,0.241,0.25153,579787.41,145600.2923492,0,0,0
2023-12-08T04:00:00+00:00Z,2023-12-08T05:00:00+00:00Z,0.25153,0.26,0.24209,0.24209,351527.25,88239.2640226,0,0,0
2023-12-08T05:00:00+00:00Z,2023-12-08T06:00:00+00:00Z,0.24209,0.25,0.23426,0.24029,209460.38,50487.8760972,0,0,0
2023-12-08T06:00:00+00:00Z,2023-12-08T07:00:00+00:00Z,0.24029,0.24338,0.23455,0.2417,138558.75,33141.8819671,0,0,0
2023-12-08T07:00:00+00:00Z,2023-12-08T08:00:00+00:00Z,0.2417,0.25,0.2382,0.2382,203959.43,49926.8840988,0,0,0
2023-12-08T08:00:00+00:00Z,2023-12-08T09:00:00+00:00Z,0.2382,0.2515,0.23733,0.24716,256982.63,63560.5594918,0,0,0
2023-12-08T09:00:00+00:00Z,2023-12-08T10:00:00+00:00Z,0.24716,0.2577,0.24172,0.25028,310922.02,77611.3691742,0,0,0
2023-12-08T10:00:00+00:00Z,2023-12-08T11:00:00+00:00Z,0.25028,0.25099,0.222,0.23233,648446.15,151784.268785,0,0,0
2023-12-08T11:00:00+00:00Z,2023-12-08T12:00:00+00:00Z,0.23233,0.23583,0.22423,0.23155,344221.69,79296.5093647,0,0,0
2023-12-08T12:00:00+00:00Z,2023-12-08T13:00:00+00:00Z,0.23155,0.23959,0.22642,0.23044,249957.65,58125.7408919,0,0,0
2023-12-08T13:00:00+00:00Z,2023-12-08T14:00:00+00:00Z,0.23044,0.23455,0.2256,0.22739,291821.98,66765.4835315,0,0,0
2023-12-08T14:00:00+00:00Z,2023-12-08T15:00:00+00:00Z,0.22739,0.23615,0.2256,0.22899,288483.46,66527.6716829,0,0,0
2023-12-08T15:00:00+00:00Z,2023-12-08T16:00:00+00:00Z,0.22899,0.2307,0.22037,0.22452,417361.95,93827.2490319,0,0,0
2023-12-08T16:00:00+00:00Z,2023-12-08T17:00:00+00:00Z,0.22452,0.2299,0.22,0.22373,398544.21,89677.9680138,0,0,0
2023-12-08T17:00:00+00:00Z,2023-12-08T18:00:00+00:00Z,0.22373,0.22787,0.21644,0.2199,241151.02,53548.6134888,0,0,0
2023-12-08T18:00:00+00:00Z,2023-12-08T19:00:00+00:00Z,0.2199,0.21993,0.21246,0.21849,279098.05,60446.2855518,0,0,0
2023-12-08T19:00:00+00:00Z,2023-12-08T20:00:00+00:00Z,0.21849,0.22604,0.21603,0.22551,232824.96,51547.5756451,0,0,0
2023-12-08T20:00:00+00:00Z,2023-12-08T21:00:00+00:00Z,0.22551,0.22635,0.21567,0.22329,221380.07,49097.6206579,0,0,0
2023-12-08T21:00:00+00:00Z,2023-12-08T22:00:00+00:00Z,0.22329,0.23647,0.22147,0.233,315915.04,73140.5877298,0,0,0
2023-12-08T22:00:00+00:00Z,2023-12-08T23:00:00+00:00Z,0.233,0.238,0.22887,0.23716,254610.3,59915.2232851,0,0,0
2023-12-08T23:00:00+00:00Z,2023-12-09T00:00:00+00:00Z,0.23716,0.24436,0.23043,0.23043,205847.7,49214.5669596,0,0,0
2023-12-09T00:00:00+00:00Z,2023-12-09T01:00:00+00:00Z,0.23043,0.23716,0.226,0.23462,158015.73,36819.9410528,0,0,0
2023-12-09T01:00:00+00:00Z,2023-12-09T02:00:00+00:00Z,0.23462,0.23899,0.22657,0.23,88259.81,20425.3722754,0,0,0
2023-12-09T02:00:00+00:00Z,2023-12-09T03:00:00+00:00Z,0.23,0.23187,0.223,0.22595,110407.84,25176.7304484,0,0,0
2023-12-09T03:00:00+00:00Z,2023-12-09T04:00:00+00:00Z,0.22595,0.2302,0.22035,0.224,130113.33,29235.5551209,0,0,0
2023-12-09T04:00:00+00:00Z,2023-12-09T05:00:00+00:00Z,0.224,0.22886,0.22126,0.226,88243.52,19749.0296399,0,0,0
2023-12-09T05:00:00+00:00Z,2023-12-09T06:00:00+00:00Z,0.226,0.22809,0.22066,0.22807,124305.66,27748.9996761,0,0,0
2023-12-09T06:00:00+00:00Z,2023-12-09T07:00:00+00:00Z,0.22807,0.22876,0.22,0.22278,123381.6,27436.4883859,0,0,0
2023-12-09T07:00:00+00:00Z,2023-12-09T08:00:00+00:00Z,0.22278,0.2284,0.21804,0.22649,238682.01,53176.9257794,0,0,0
2023-12-09T08:00:00+00:00Z,2023-12-09T09:00:00+00:00Z,0.22649,0.2271,0.21988,0.224,254384.32,56780.0516693,0,0,0
2023-12-09T09:00:00+00:00Z,2023-12-09T10:00:00+00:00Z,0.224,0.22754,0.2113,0.21656,363824.71,79283.4168606,0,0,0
2023-12-09T10:00:00+00:00Z,2023-12-09T11:00:00+00:00Z,0.21656,0.25331,0.215,0.24718,1820658.38,440128.1808575,0,0,0
2023-12-09T11:00:00+00:00Z,2023-12-09T12:00:00+00:00Z,0.24718,0.25181,0.23495,0.25061,796232.81,193849.2993091,0,0,0
2023-12-09T12:00:00+00:00Z,2023-12-09T13:00:00+00:00Z,0.25061,0.277,0.24462,0.26699,898196.39,230464.0584399,0,0,0
2023-12-09T13:00:00+00:00Z,2023-12-09T14:00:00+00:00Z,0.26699,0.28,0.255,0.26543,992360.7,263558.467507,0,0,0
2023-12-09T14:00:00+00:00Z,2023-12-09T15:00:00+00:00Z,0.26543,0.29011,0.25322,0.29011,1103172.58,300281.8190119,0,0,0
2023-12-09T15:00:00+00:00Z,2023-12-09T16:00:00+00:00Z,0.29011,0.299,0.275,0.29478,1054264.0,305279.5332056,0,0,0
2023-12-09T16:00:00+00:00Z,2023-12-09T17:00:00+00:00Z,0.29478,0.29478,0.26003,0.27217,791574.24,217057.3925564,0,0,0
2023-12-09T17:00:00+00:00Z,2023-12-09T18:00:00+00:00Z,0.27217,0.2927,0.2675,0.27295,313987.93,87264.48047,0,0,0
2023-12-09T18:00:00+00:00Z,2023-12-09T19:00:00+00:00Z,0.27295,0.27499,0.26251,0.27499,246623.44,66403.8072557,0,0,0
2023-12-09T19:00:00+00:00Z,2023-12-09T20:00:00+00:00Z,0.27499,0.27575,0.26002,0.26456,264940.86,70577.8216142,0,0,0
2023-12-09T20:00:00+00:00Z,2023-12-09T21:00:00+00:00Z,0.26456,0.31199,0.26446,0.29964,1222146.06,359767.8377708,0,0,0
2023-12-09T21:00:00+00:00Z,2023-12-09T22:00:00+00:00Z,0.29964,0.32512,0.28562,0.30584,1043239.58,321238.2644783,0,0,0
2023-12-09T22:00:00+00:00Z,2023-12-09T23:00:00+00:00Z,0.30584,0.32631,0.29063,0.30099,579245.9,177089.2576137,0,0,0
2023-12-09T23:00:00+00:00Z,2023-12-10T00:00:00+00:00Z,0.30099,0.313,0.27922,0.2847,683483.97,200974.4612515,0,0,0
2023-12-10T00:00:00+00:00Z,2023-12-10T01:00:00+00:00Z,0.2847,0.30319,0.27802,0.29948,292110.55,84327.2748615,0,0,0
2023-12-10T01:00:00+00:00Z,2023-12-10T02:00:00+00:00Z,0.29948,0.30726,0.27976,0.29291,232201.1,68048.7880431,0,0,0
2023-12-10T02:00:00+00:00Z,2023-12-10T03:00:00+00:00Z,0.29291,0.30639,0.288,0.29326,185775.17,55142.0437414,0,0,0
2023-12-10T03:00:00+00:00Z,2023-12-10T04:00:00+00:00Z,0.29326,0.30138,0.29085,0.29909,129189.15,38487.8210391,0,0,0
2023-12-10T04:00:00+00:00Z,2023-12-10T05:00:00+00:00Z,0.29909,0.303,0.29551,0.3001,140337.92,42051.7915773,0,0,0
2023-12-10T05:00:00+00:00Z,2023-12-10T06:00:00+00:00Z,0.3001,0.30135,0.28729,0.28976,147035.25,42909.7471546,0,0,0
2023-12-10T06:00:00+00:00Z,2023-12-10T07:00:00+00:00Z,0.28976,0.30268,0.2861,0.30135,241073.48,70953.7222007,0,0,0
2023-12-10T07:00:00+00:00Z,2023-12-10T08:00:00+00:00Z,0.30135,0.32468,0.29616,0.31638,680031.99,213491.9781771,0,0,0
2023-12-10T08:00:00+00:00Z,2023-12-10T09:00:00+00:00Z,0.31638,0.326,0.28958,0.3,602675.57,185775.4638939,0,0,0
2023-12-10T09:00:00+00:00Z,2023-12-10T10:00:00+00:00Z,0.3,0.30307,0.2883,0.29191,293287.33,86341.5953454,0,0,0
2023-12-10T10:00:00+00:00Z,2023-12-10T11:00:00+00:00Z,0.29191,0.29613,0.28044,0.29403,253228.41,72555.828932,0,0,0
2023-12-10T11:00:00+00:00Z,2023-12-10T12:00:00+00:00Z,0.29403,0.29588,0.2703,0.27649,389914.01,109740.0701607,0,0,0
2023-12-10T12:00:00+00:00Z,2023-12-10T13:00:00+00:00Z,0.27649,0.28484,0.26944,0.27701,288199.46,80049.4641389,0,0,0
2023-12-10T13:00:00+00:00Z,2023-12-10T14:00:00+00:00Z,0.27701,0.27998,0.27,0.2732,162415.1,44648.2319346,0,0,0
2023-12-10T14:00:00+00:00Z,2023-12-10T15:00:00+00:00Z,0.2732,0.27934,0.26974,0.27333,137429.56,37735.0162763,0,0,0
2023-12-10T15:00:00+00:00Z,2023-12-10T16:00:00+00:00Z,0.27333,0.27477,0.26127,0.26862,165514.67,44303.2670724,0,0,0
2023-12-10T16:00:00+00:00Z,2023-12-10T17:00:00+00:00Z,0.26862,0.27127,0.26002,0.26687,166688.63,43885.2389289,0,0,0
2023-12-10T17:00:00+00:00Z,2023-12-10T18:00:00+00:00Z,0.26687,0.27742,0.2572,0.26043,293362.7,78694.4473797,0,0,0
2023-12-10T18:00:00+00:00Z,2023-12-10T19:00:00+00:00Z,0.26043,0.292,0.25929,0.2724,627378.94,174639.2279726,0,0,0
2023-12-10T19:00:00+00:00Z,2023-12-10T20:00:00+00:00Z,0.2724,0.27757,0.26778,0.27399,210403.49,57553.1318921,0,0,0
2023-12-10T20:00:00+00:00Z,2023-12-10T21:00:00+00:00Z,0.27399,0.27714,0.27019,0.2746,244548.63,66790.4705216,0,0,0
2023-12-10T21:00:00+00:00Z,2023-12-10T22:00:00+00:00Z,0.2746,0.2758,0.26731,0.26742,350781.47,95118.2502748,0,0,0
2023-12-10T22:00:00+00:00Z,2023-12-10T23:00:00+00:00Z,0.26742,0.26907,0.25241,0.25305,274657.24,71304.7661122,0,0,0
2023-12-10T23:00:00+00:00Z,2023-12-11T00:00:00+00:00Z,0.25305,0.25667,0.2452,0.2552,281806.11,70913.2776037,0,0,0
2023-12-11T00:00:00+00:00Z,2023-12-11T01:00:00+00:00Z,0.2552,0.259,0.25,0.25456,213604.0,54242.2696409,0,0,0
2023-12-11T01:00:00+00:00Z,2023-12-11T02:00:00+00:00Z,0.25456,0.25864,0.24521,0.24912,178098.89,44632.9251639,0,0,0
2023-12-11T02:00:00+00:00Z,2023-12-11T03:00:00+00:00Z,0.24912,0.25082,0.23285,0.24143,466670.0,111571.6455821,0,0,0
2023-12-11T03:00:00+00:00Z,2023-12-11T04:00:00+00:00Z,0.24143,0.25879,0.24012,0.25089,416449.9,105304.4608717,0,0,0
2023-12-11T04:00:00+00:00Z,2023-12-11T05:00:00+00:00Z,0.25089,0.256,0.24057,0.24057,196482.17,48980.7009525,0,0,0
2023-12-11T05:00:00+00:00Z,2023-12-11T06:00:00+00:00Z,0.24057,0.25539,0.23948,0.24699,209803.24,51254.4233522,0,0,0
2023-12-11T06:00:00+00:00Z,2023-12-11T07:00:00+00:00Z,0.24699,0.24819,0.235,0.23977,171902.11,41357.8896749,0,0,0
2023-12-11T07:00:00+00:00Z,2023-12-11T08:00:00+00:00Z,0.23977,0.26808,0.23977,0.26419,391507.05,99941.1670546,0,0,0
2023-12-11T08:00:00+00:00Z,2023-12-11T09:00:00+00:00Z,0.26419,0.26675,0.24854,0.25001,191951.7,49011.6016744,0,0,0
