# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,JEFFUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2023-10-19T10:00:00+00:00Z
# t0_final_iso,2023-10-19T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,e9c9ac207721e3b0
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-10-19T10:00:00+00:00Z,2023-10-19T11:00:00+00:00Z,0.04,0.07999,0.04,0.04708,1533833.55,85190.168709,0,0,0
2023-10-19T11:00:00+00:00Z,2023-10-19T12:00:00+00:00Z,0.04708,0.04772,0.0469,0.04753,86773.23,4110.6265837,0,0,0
2023-10-19T12:00:00+00:00Z,2023-10-19T13:00:00+00:00Z,0.04753,0.04753,0.04689,0.0475,150450.75,7092.1925428,0,0,0
2023-10-19T13:00:00+00:00Z,2023-10-19T14:00:00+00:00Z,0.0475,0.04774,0.04748,0.04764,9445.66,449.8491226,0,0,0
2023-10-19T14:00:00+00:00Z,2023-10-19T15:00:00+00:00Z,0.04764,0.04764,0.0469,0.0471,28289.16,1332.6817888,0,0,0
2023-10-19T15:00:00+00:00Z,2023-10-19T16:00:00+00:00Z,0.0471,0.04714,0.0471,0.04711,2429.89,114.4835625,0,0,0
2023-10-19T16:00:00+00:00Z,2023-10-19T17:00:00+00:00Z,0.04711,0.04711,0.0471,0.0471,2500.0,117.7530565,0,0,0
2023-10-19T17:00:00+00:00Z,2023-10-19T18:00:00+00:00Z,0.0471,0.04748,0.0469,0.04691,38426.72,1810.9409844,0,0,0
2023-10-19T18:00:00+00:00Z,2023-10-19T19:00:00+00:00Z,0.04691,0.04718,0.0469,0.0471,13560.62,637.534567,0,0,0
2023-10-19T19:00:00+00:00Z,2023-10-19T20:00:00+00:00Z,0.0471,0.0471,0.0471,0.0471,0.0,0.0,0,0,0
2023-10-19T20:00:00+00:00Z,2023-10-19T21:00:00+00:00Z,0.0471,0.0471,0.0471,0.0471,0.0,0.0,0,0,0
2023-10-19T21:00:00+00:00Z,2023-10-19T22:00:00+00:00Z,0.0471,0.0471,0.0471,0.0471,0.0,0.0,0,0,0
2023-10-19T22:00:00+00:00Z,2023-10-19T23:00:00+00:00Z,0.0471,0.04714,0.0471,0.04714,500.0,23.57,0,0,0
2023-10-19T23:00:00+00:00Z,2023-10-20T00:00:00+00:00Z,0.04714,0.0476,0.04714,0.0476,10000.0,474.1027666,0,0,0
2023-10-20T00:00:00+00:00Z,2023-10-20T01:00:00+00:00Z,0.0476,0.0477,0.0476,0.0477,4131.54,196.8635294,0,0,0
2023-10-20T01:00:00+00:00Z,2023-10-20T02:00:00+00:00Z,0.0477,0.0477,0.04711,0.04726,11874.68,562.5148802,0,0,0
2023-10-20T02:00:00+00:00Z,2023-10-20T03:00:00+00:00Z,0.04726,0.0473,0.04726,0.0473,1005.68,47.5582262,0,0,0
2023-10-20T03:00:00+00:00Z,2023-10-20T04:00:00+00:00Z,0.0473,0.04798,0.0473,0.0479,21105.0,1006.893108,0,0,0
