# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,JSTUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2022-02-21T10:00:00+00:00Z
# t0_final_iso,2022-02-21T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,128d4b4b89b1d9e2
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-02-21T10:00:00+00:00Z,2022-02-21T11:00:00+00:00Z,0.038,0.04932,0.038,0.04785,63426.26,3091.9803159,0,0,0
2022-02-21T11:00:00+00:00Z,2022-02-21T12:00:00+00:00Z,0.04785,0.04823,0.0466,0.04693,9490.04,451.842197,0,0,0
2022-02-21T12:00:00+00:00Z,2022-02-21T13:00:00+00:00Z,0.04693,0.04707,0.04601,0.04601,13377.32,621.8081775,0,0,0
2022-02-21T13:00:00+00:00Z,2022-02-21T14:00:00+00:00Z,0.04601,0.04631,0.04559,0.04623,9145.5,420.5408723,0,0,0
2022-02-21T14:00:00+00:00Z,2022-02-21T15:00:00+00:00Z,0.04623,0.04771,0.04576,0.04733,8320.89,391.6852602,0,0,0
2022-02-21T15:00:00+00:00Z,2022-02-21T16:00:00+00:00Z,0.04733,0.04804,0.04719,0.04728,12299.09,584.3252924,0,0,0
2022-02-21T16:00:00+00:00Z,2022-02-21T17:00:00+00:00Z,0.04728,0.0478,0.04695,0.04705,8609.42,408.000126,0,0,0
2022-02-21T17:00:00+00:00Z,2022-02-21T18:00:00+00:00Z,0.04705,0.04746,0.0469,0.0472,8558.06,403.500073,0,0,0
2022-02-21T18:00:00+00:00Z,2022-02-21T19:00:00+00:00Z,0.0472,0.0472,0.04595,0.04628,12812.11,598.3647767,0,0,0
2022-02-21T19:00:00+00:00Z,2022-02-21T20:00:00+00:00Z,0.04628,0.04708,0.04622,0.04694,9110.29,423.9993282,0,0,0
2022-02-21T20:00:00+00:00Z,2022-02-21T21:00:00+00:00Z,0.04694,0.04695,0.04629,0.04671,9733.52,454.9040393,0,0,0
2022-02-21T21:00:00+00:00Z,2022-02-21T22:00:00+00:00Z,0.04671,0.04712,0.04599,0.04619,9200.3,429.8440696,0,0,0
2022-02-21T22:00:00+00:00Z,2022-02-21T23:00:00+00:00Z,0.04619,0.04619,0.04505,0.04526,8114.14,369.0000915,0,0,0
2022-02-21T23:00:00+00:00Z,2022-02-22T00:00:00+00:00Z,0.04526,0.0454,0.04433,0.0445,8990.52,403.4998235,0,0,0
2022-02-22T00:00:00+00:00Z,2022-02-22T01:00:00+00:00Z,0.0445,0.0468,0.04419,0.04487,47182.43,2162.7771372,0,0,0
2022-02-22T01:00:00+00:00Z,2022-02-22T02:00:00+00:00Z,0.04487,0.045,0.04407,0.045,9599.42,428.0470334,0,0,0
2022-02-22T02:00:00+00:00Z,2022-02-22T03:00:00+00:00Z,0.045,0.04507,0.04421,0.04421,9161.56,407.9997684,0,0,0
2022-02-22T03:00:00+00:00Z,2022-02-22T04:00:00+00:00Z,0.04421,0.04421,0.04275,0.04328,15463.77,667.4900771,0,0,0
2022-02-22T04:00:00+00:00Z,2022-02-22T05:00:00+00:00Z,0.04328,0.04392,0.04317,0.04344,9724.55,423.0000907,0,0,0
2022-02-22T05:00:00+00:00Z,2022-02-22T06:00:00+00:00Z,0.04344,0.04429,0.04336,0.04383,9542.51,417.0004094,0,0,0
2022-02-22T06:00:00+00:00Z,2022-02-22T07:00:00+00:00Z,0.04383,0.04427,0.04327,0.04385,9036.94,395.4468647,0,0,0
2022-02-22T07:00:00+00:00Z,2022-02-22T08:00:00+00:00Z,0.04385,0.04416,0.04359,0.04407,9333.48,409.5007054,0,0,0
2022-02-22T08:00:00+00:00Z,2022-02-22T09:00:00+00:00Z,0.04407,0.04411,0.04352,0.04388,9479.01,415.500084,0,0,0
2022-02-22T09:00:00+00:00Z,2022-02-22T10:00:00+00:00Z,0.04388,0.04431,0.04368,0.04374,8957.02,394.5276521,0,0,0
2022-02-22T10:00:00+00:00Z,2022-02-22T11:00:00+00:00Z,0.04374,0.04495,0.04374,0.04495,9374.62,415.5002186,0,0,0
2022-02-22T11:00:00+00:00Z,2022-02-22T12:00:00+00:00Z,0.04495,0.04495,0.04405,0.04411,19934.3,884.3958678,0,0,0
2022-02-22T12:00:00+00:00Z,2022-02-22T13:00:00+00:00Z,0.04411,0.04445,0.04372,0.0443,24512.15,1076.6496601,0,0,0
2022-02-22T13:00:00+00:00Z,2022-02-22T14:00:00+00:00Z,0.0443,0.04471,0.04399,0.04446,13799.06,610.2990566,0,0,0
2022-02-22T14:00:00+00:00Z,2022-02-22T15:00:00+00:00Z,0.04446,0.04508,0.04397,0.04473,8988.12,398.8148253,0,0,0
2022-02-22T15:00:00+00:00Z,2022-02-22T16:00:00+00:00Z,0.04473,0.04504,0.04436,0.04436,9740.09,435.8656152,0,0,0
2022-02-22T16:00:00+00:00Z,2022-02-22T17:00:00+00:00Z,0.04436,0.04515,0.04428,0.04448,12836.66,570.909185,0,0,0
2022-02-22T17:00:00+00:00Z,2022-02-22T18:00:00+00:00Z,0.04448,0.04496,0.04424,0.0449,9148.58,408.7561675,0,0,0
2022-02-22T18:00:00+00:00Z,2022-02-22T19:00:00+00:00Z,0.0449,0.04534,0.04448,0.04525,8640.32,388.4996536,0,0,0
2022-02-22T19:00:00+00:00Z,2022-02-22T20:00:00+00:00Z,0.04525,0.04571,0.04501,0.04571,9071.75,410.7831071,0,0,0
2022-02-22T20:00:00+00:00Z,2022-02-22T21:00:00+00:00Z,0.04571,0.04577,0.0451,0.0456,9158.35,415.4999624,0,0,0
2022-02-22T21:00:00+00:00Z,2022-02-22T22:00:00+00:00Z,0.0456,0.04574,0.04501,0.04563,8935.42,406.5003497,0,0,0
2022-02-22T22:00:00+00:00Z,2022-02-22T23:00:00+00:00Z,0.04563,0.04563,0.04493,0.04542,9107.06,412.4998861,0,0,0
2022-02-22T23:00:00+00:00Z,2022-02-23T00:00:00+00:00Z,0.04542,0.04589,0.0449,0.04572,9589.37,436.450155,0,0,0
2022-02-23T00:00:00+00:00Z,2022-02-23T01:00:00+00:00Z,0.04572,0.04848,0.04547,0.04748,37815.52,1792.8973579,0,0,0
2022-02-23T01:00:00+00:00Z,2022-02-23T02:00:00+00:00Z,0.04748,0.04775,0.04628,0.04701,8911.56,418.4191158,0,0,0
2022-02-23T02:00:00+00:00Z,2022-02-23T03:00:00+00:00Z,0.04701,0.04744,0.04629,0.04654,9250.64,432.2275737,0,0,0
2022-02-23T03:00:00+00:00Z,2022-02-23T04:00:00+00:00Z,0.04654,0.04684,0.04632,0.04641,8654.25,403.4994516,0,0,0
2022-02-23T04:00:00+00:00Z,2022-02-23T05:00:00+00:00Z,0.04641,0.04709,0.04641,0.04672,22068.03,1030.4081182,0,0,0
2022-02-23T05:00:00+00:00Z,2022-02-23T06:00:00+00:00Z,0.04672,0.04726,0.04654,0.04654,9572.86,448.501163,0,0,0
2022-02-23T06:00:00+00:00Z,2022-02-23T07:00:00+00:00Z,0.04654,0.04723,0.04646,0.04683,7969.17,373.4992431,0,0,0
2022-02-23T07:00:00+00:00Z,2022-02-23T08:00:00+00:00Z,0.04683,0.04721,0.04677,0.04677,21719.6,1016.4483719,0,0,0
2022-02-23T08:00:00+00:00Z,2022-02-23T09:00:00+00:00Z,0.04677,0.0475,0.04677,0.04724,9089.72,428.9801667,0,0,0
2022-02-23T09:00:00+00:00Z,2022-02-23T10:00:00+00:00Z,0.04724,0.04724,0.04698,0.04713,7859.57,370.888726,0,0,0
2022-02-23T10:00:00+00:00Z,2022-02-23T11:00:00+00:00Z,0.04713,0.04724,0.04704,0.0472,9785.48,461.6204054,0,0,0
2022-02-23T11:00:00+00:00Z,2022-02-23T12:00:00+00:00Z,0.0472,0.04724,0.04677,0.04721,12269.08,577.1057527,0,0,0
2022-02-23T12:00:00+00:00Z,2022-02-23T13:00:00+00:00Z,0.04721,0.04724,0.04677,0.04706,9611.05,452.3486617,0,0,0
2022-02-23T13:00:00+00:00Z,2022-02-23T14:00:00+00:00Z,0.04706,0.04765,0.04696,0.04696,8059.62,381.2891581,0,0,0
2022-02-23T14:00:00+00:00Z,2022-02-23T15:00:00+00:00Z,0.04696,0.04717,0.04667,0.04683,24461.18,1148.2973665,0,0,0
2022-02-23T15:00:00+00:00Z,2022-02-23T16:00:00+00:00Z,0.04683,0.04683,0.04598,0.0463,7863.14,363.9461191,0,0,0
2022-02-23T16:00:00+00:00Z,2022-02-23T17:00:00+00:00Z,0.0463,0.04639,0.04562,0.04624,26175.98,1208.7825876,0,0,0
