# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,LAVAUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-01-09T10:00:00+00:00Z
# t0_final_iso,2025-01-09T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,f128978e29855b8e
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-01-09T10:00:00+00:00Z,2025-01-09T11:00:00+00:00Z,0.09,0.2904,0.09,0.177,17174763.1,3386824.953048,0,0,0
2025-01-09T11:00:00+00:00Z,2025-01-09T12:00:00+00:00Z,0.177,0.1885,0.17224,0.1805,4311015.2,785836.336205,0,0,0
2025-01-09T12:00:00+00:00Z,2025-01-09T13:00:00+00:00Z,0.1805,0.18191,0.1683,0.16934,2751762.3,481435.172008,0,0,0
2025-01-09T13:00:00+00:00Z,2025-01-09T14:00:00+00:00Z,0.16934,0.1765,0.16872,0.17145,2423328.5,416884.568454,0,0,0
2025-01-09T14:00:00+00:00Z,2025-01-09T15:00:00+00:00Z,0.17145,0.1718,0.164,0.16538,1561779.2,263362.048185,0,0,0
2025-01-09T15:00:00+00:00Z,2025-01-09T16:00:00+00:00Z,0.16538,0.183,0.16501,0.18212,2024485.6,352087.692552,0,0,0
2025-01-09T16:00:00+00:00Z,2025-01-09T17:00:00+00:00Z,0.18212,0.186,0.176,0.17727,1891242.7,340045.381271,0,0,0
2025-01-09T17:00:00+00:00Z,2025-01-09T18:00:00+00:00Z,0.17727,0.179,0.17355,0.1756,640401.1,112975.741829,0,0,0
2025-01-09T18:00:00+00:00Z,2025-01-09T19:00:00+00:00Z,0.1756,0.17999,0.17465,0.17799,1064987.4,189260.126959,0,0,0
2025-01-09T19:00:00+00:00Z,2025-01-09T20:00:00+00:00Z,0.17799,0.17841,0.17224,0.17347,632428.8,111020.346027,0,0,0
2025-01-09T20:00:00+00:00Z,2025-01-09T21:00:00+00:00Z,0.17347,0.17423,0.16794,0.17251,951443.4,162946.466682,0,0,0
2025-01-09T21:00:00+00:00Z,2025-01-09T22:00:00+00:00Z,0.17251,0.18274,0.17187,0.18274,1464335.9,259866.14264,0,0,0
2025-01-09T22:00:00+00:00Z,2025-01-09T23:00:00+00:00Z,0.18274,0.1976,0.18047,0.18361,2031265.1,381746.576605,0,0,0
