# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,LDOUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-12-03T08:00:00+00:00Z
# t0_final_iso,2021-12-03T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,545fb5f4ca8ab7aa
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-12-03T08:00:00+00:00Z,2021-12-03T09:00:00+00:00Z,3.4659,3.4659,3.4126,3.4238,87.74,300.815021,0,0,0
2021-12-03T09:00:00+00:00Z,2021-12-03T10:00:00+00:00Z,3.4238,3.4799,3.4002,3.4442,692.9,2381.893249,0,0,0
2021-12-03T10:00:00+00:00Z,2021-12-03T11:00:00+00:00Z,3.4442,3.5096,3.4357,3.4993,658.79,2286.66525,0,0,0
2021-12-03T11:00:00+00:00Z,2021-12-03T12:00:00+00:00Z,3.4993,3.5453,3.4497,3.4959,670.91,2352.057269,0,0,0
2021-12-03T12:00:00+00:00Z,2021-12-03T13:00:00+00:00Z,3.4959,3.6075,3.448,3.5274,858.87,3042.216105,0,0,0
2021-12-03T13:00:00+00:00Z,2021-12-03T14:00:00+00:00Z,3.5274,3.5952,3.5113,3.5356,637.72,2269.61367,0,0,0
2021-12-03T14:00:00+00:00Z,2021-12-03T15:00:00+00:00Z,3.5356,3.6302,3.2896,3.5347,797.13,2792.114746,0,0,0
2021-12-03T15:00:00+00:00Z,2021-12-03T16:00:00+00:00Z,3.5347,3.5739,3.4372,3.4806,770.91,2698.079496,0,0,0
2021-12-03T16:00:00+00:00Z,2021-12-03T17:00:00+00:00Z,3.4806,3.4809,3.3919,3.4239,800.76,2750.53434,0,0,0
2021-12-03T17:00:00+00:00Z,2021-12-03T18:00:00+00:00Z,3.4239,3.4708,3.4039,3.4562,693.0,2380.127779,0,0,0
2021-12-03T18:00:00+00:00Z,2021-12-03T19:00:00+00:00Z,3.4562,3.4588,3.3947,3.455,652.93,2239.300739,0,0,0
2021-12-03T19:00:00+00:00Z,2021-12-03T20:00:00+00:00Z,3.455,3.455,3.0698,3.1107,771.53,2527.113781,0,0,0
2021-12-03T20:00:00+00:00Z,2021-12-03T21:00:00+00:00Z,3.1107,3.1586,2.8709,2.9965,1215.58,3676.334588,0,0,0
2021-12-03T21:00:00+00:00Z,2021-12-03T22:00:00+00:00Z,2.9965,3.1057,2.9965,3.0983,763.87,2335.836373,0,0,0
2021-12-03T22:00:00+00:00Z,2021-12-03T23:00:00+00:00Z,3.0983,3.102,3.0246,3.0328,774.12,2369.71859,0,0,0
2021-12-03T23:00:00+00:00Z,2021-12-04T00:00:00+00:00Z,3.0328,3.1542,3.0323,3.095,762.13,2363.850296,0,0,0
2021-12-04T00:00:00+00:00Z,2021-12-04T01:00:00+00:00Z,3.095,3.1382,3.0803,3.0905,767.2,2383.655962,0,0,0
2021-12-04T01:00:00+00:00Z,2021-12-04T02:00:00+00:00Z,3.0905,3.1279,3.0351,3.0886,804.79,2488.12079,0,0,0
2021-12-04T02:00:00+00:00Z,2021-12-04T03:00:00+00:00Z,3.0886,3.1232,2.8858,2.8925,779.72,2336.069834,0,0,0
2021-12-04T03:00:00+00:00Z,2021-12-04T04:00:00+00:00Z,2.8925,2.9376,2.8716,2.9144,807.53,2341.989728,0,0,0
2021-12-04T04:00:00+00:00Z,2021-12-04T05:00:00+00:00Z,2.9144,2.9278,2.8559,2.9049,970.34,2809.965456,0,0,0
2021-12-04T05:00:00+00:00Z,2021-12-04T06:00:00+00:00Z,2.9049,2.9249,2.7186,2.731,3792.73,10857.335929,0,0,0
2021-12-04T06:00:00+00:00Z,2021-12-04T07:00:00+00:00Z,2.731,2.9779,2.713,2.9477,1415.35,3972.353587,0,0,0
2021-12-04T07:00:00+00:00Z,2021-12-04T08:00:00+00:00Z,2.9477,3.0456,2.9336,3.004,1052.82,3140.717737,0,0,0
2021-12-04T08:00:00+00:00Z,2021-12-04T09:00:00+00:00Z,3.004,3.0371,2.8652,2.9038,993.32,2949.048138,0,0,0
2021-12-04T09:00:00+00:00Z,2021-12-04T10:00:00+00:00Z,2.9038,2.9165,2.796,2.796,819.97,2357.92871,0,0,0
2021-12-04T10:00:00+00:00Z,2021-12-04T11:00:00+00:00Z,2.796,2.8221,2.7744,2.7897,884.67,2473.597043,0,0,0
2021-12-04T11:00:00+00:00Z,2021-12-04T12:00:00+00:00Z,2.7897,2.8315,2.7744,2.8311,868.39,2428.486238,0,0,0
2021-12-04T12:00:00+00:00Z,2021-12-04T13:00:00+00:00Z,2.8311,2.8311,2.7801,2.7934,836.89,2345.384332,0,0,0
2021-12-04T13:00:00+00:00Z,2021-12-04T14:00:00+00:00Z,2.7934,2.8379,2.7871,2.8374,724.88,2035.68757,0,0,0
2021-12-04T14:00:00+00:00Z,2021-12-04T15:00:00+00:00Z,2.8374,2.9641,2.8064,2.9318,835.29,2425.492507,0,0,0
2021-12-04T15:00:00+00:00Z,2021-12-04T16:00:00+00:00Z,2.9318,3.0118,2.9195,2.9762,821.95,2442.447428,0,0,0
2021-12-04T16:00:00+00:00Z,2021-12-04T17:00:00+00:00Z,2.9762,3.0289,2.9655,2.9673,694.02,2075.946317,0,0,0
2021-12-04T17:00:00+00:00Z,2021-12-04T18:00:00+00:00Z,2.9673,3.0276,2.966,2.9781,846.24,2537.838682,0,0,0
2021-12-04T18:00:00+00:00Z,2021-12-04T19:00:00+00:00Z,2.9781,3.0379,2.9781,3.0366,659.99,1987.033427,0,0,0
2021-12-04T19:00:00+00:00Z,2021-12-04T20:00:00+00:00Z,3.0366,3.0749,2.986,3.0386,736.36,2237.882226,0,0,0
2021-12-04T20:00:00+00:00Z,2021-12-04T21:00:00+00:00Z,3.0386,3.0902,3.035,3.0405,761.03,2326.931172,0,0,0
2021-12-04T21:00:00+00:00Z,2021-12-04T22:00:00+00:00Z,3.0405,3.0976,3.0344,3.0784,638.24,1955.453855,0,0,0
2021-12-04T22:00:00+00:00Z,2021-12-04T23:00:00+00:00Z,3.0784,3.1233,3.0364,3.1206,772.21,2383.750626,0,0,0
2021-12-04T23:00:00+00:00Z,2021-12-05T00:00:00+00:00Z,3.1206,3.1231,3.0068,3.0489,763.02,2349.914298,0,0,0
2021-12-05T00:00:00+00:00Z,2021-12-05T01:00:00+00:00Z,3.0489,3.1276,3.0384,3.0766,782.02,2417.286345,0,0,0
2021-12-05T01:00:00+00:00Z,2021-12-05T02:00:00+00:00Z,3.0766,3.1093,3.0015,3.0945,755.46,2316.056115,0,0,0
2021-12-05T02:00:00+00:00Z,2021-12-05T03:00:00+00:00Z,3.0945,3.0994,3.0474,3.0956,749.4,2304.845593,0,0,0
2021-12-05T03:00:00+00:00Z,2021-12-05T04:00:00+00:00Z,3.0956,3.1494,3.0531,3.1448,737.27,2278.118224,0,0,0
2021-12-05T04:00:00+00:00Z,2021-12-05T05:00:00+00:00Z,3.1448,3.2866,3.0963,3.2444,664.95,2093.767783,0,0,0
2021-12-05T05:00:00+00:00Z,2021-12-05T06:00:00+00:00Z,3.2444,3.3187,3.206,3.2718,685.57,2237.191327,0,0,0
2021-12-05T06:00:00+00:00Z,2021-12-05T07:00:00+00:00Z,3.2718,3.3336,3.2676,3.2954,692.92,2287.868828,0,0,0
2021-12-05T07:00:00+00:00Z,2021-12-05T08:00:00+00:00Z,3.2954,3.4729,3.2769,3.4729,649.26,2156.372297,0,0,0
2021-12-05T08:00:00+00:00Z,2021-12-05T09:00:00+00:00Z,3.4729,3.6638,3.4633,3.5029,789.38,2804.151054,0,0,0
2021-12-05T09:00:00+00:00Z,2021-12-05T10:00:00+00:00Z,3.5029,3.5707,3.2997,3.4875,728.95,2493.143427,0,0,0
2021-12-05T10:00:00+00:00Z,2021-12-05T11:00:00+00:00Z,3.4875,3.5588,3.4237,3.5001,632.85,2202.486068,0,0,0
2021-12-05T11:00:00+00:00Z,2021-12-05T12:00:00+00:00Z,3.5001,3.6386,3.4606,3.5539,673.96,2405.740737,0,0,0
2021-12-05T12:00:00+00:00Z,2021-12-05T13:00:00+00:00Z,3.5539,3.6544,3.523,3.5636,732.61,2624.685633,0,0,0
2021-12-05T13:00:00+00:00Z,2021-12-05T14:00:00+00:00Z,3.5636,3.6187,3.5398,3.5615,613.25,2192.757004,0,0,0
2021-12-05T14:00:00+00:00Z,2021-12-05T15:00:00+00:00Z,3.5615,3.6325,3.4381,3.5757,618.01,2191.188487,0,0,0
2021-12-05T15:00:00+00:00Z,2021-12-05T16:00:00+00:00Z,3.5757,3.6373,3.0089,3.0625,762.81,2574.349079,0,0,0
2021-12-05T16:00:00+00:00Z,2021-12-05T17:00:00+00:00Z,3.0625,3.4576,3.0625,3.3531,742.07,2462.662461,0,0,0
2021-12-05T17:00:00+00:00Z,2021-12-05T18:00:00+00:00Z,3.3531,3.4472,3.2859,3.3315,756.12,2531.932721,0,0,0
2021-12-05T18:00:00+00:00Z,2021-12-05T19:00:00+00:00Z,3.3315,3.3719,3.1592,3.3303,747.67,2489.834515,0,0,0
2021-12-05T19:00:00+00:00Z,2021-12-05T20:00:00+00:00Z,3.3303,3.3702,3.305,3.3623,669.31,2233.879647,0,0,0
2021-12-05T20:00:00+00:00Z,2021-12-05T21:00:00+00:00Z,3.3623,3.3791,3.3118,3.3702,608.05,2032.572535,0,0,0
2021-12-05T21:00:00+00:00Z,2021-12-05T22:00:00+00:00Z,3.3702,3.3925,3.295,3.3447,716.73,2394.522421,0,0,0
2021-12-05T22:00:00+00:00Z,2021-12-05T23:00:00+00:00Z,3.3447,3.3578,3.2511,3.3578,633.32,2085.682491,0,0,0
2021-12-05T23:00:00+00:00Z,2021-12-06T00:00:00+00:00Z,3.3578,3.9938,3.3332,3.9829,939.63,3568.20004,0,0,0
2021-12-06T00:00:00+00:00Z,2021-12-06T01:00:00+00:00Z,3.9829,4.0553,3.7476,3.7476,677.11,2653.155151,0,0,0
2021-12-06T01:00:00+00:00Z,2021-12-06T02:00:00+00:00Z,3.7476,3.7977,3.6103,3.6204,581.44,2152.452652,0,0,0
2021-12-06T02:00:00+00:00Z,2021-12-06T03:00:00+00:00Z,3.6204,3.7582,3.5908,3.6878,593.04,2186.918537,0,0,0
2021-12-06T03:00:00+00:00Z,2021-12-06T04:00:00+00:00Z,3.6878,3.7347,3.4859,3.6834,924.62,3368.464295,0,0,0
2021-12-06T04:00:00+00:00Z,2021-12-06T05:00:00+00:00Z,3.6834,3.725,3.6482,3.6593,605.14,2231.922574,0,0,0
2021-12-06T05:00:00+00:00Z,2021-12-06T06:00:00+00:00Z,3.6593,3.729,3.5843,3.5907,531.73,1941.152118,0,0,0
2021-12-06T06:00:00+00:00Z,2021-12-06T07:00:00+00:00Z,3.5907,3.641,3.5499,3.5677,639.2,2297.119221,0,0,0
2021-12-06T07:00:00+00:00Z,2021-12-06T08:00:00+00:00Z,3.5677,3.6025,3.4455,3.4455,697.68,2462.618023,0,0,0
2021-12-06T08:00:00+00:00Z,2021-12-06T09:00:00+00:00Z,3.4455,3.5001,3.3631,3.3631,749.2,2571.041434,0,0,0
2021-12-06T09:00:00+00:00Z,2021-12-06T10:00:00+00:00Z,3.3631,3.4167,3.2007,3.2349,713.42,2398.96837,0,0,0
2021-12-06T10:00:00+00:00Z,2021-12-06T11:00:00+00:00Z,3.2349,3.2349,3.0733,3.0861,682.58,2123.660654,0,0,0
2021-12-06T11:00:00+00:00Z,2021-12-06T12:00:00+00:00Z,3.0861,3.1183,3.0271,3.0652,769.65,2367.711363,0,0,0
2021-12-06T12:00:00+00:00Z,2021-12-06T13:00:00+00:00Z,3.0652,3.1979,3.0642,3.123,733.22,2292.610151,0,0,0
2021-12-06T13:00:00+00:00Z,2021-12-06T14:00:00+00:00Z,3.123,3.2058,3.1042,3.1703,684.22,2161.26051,0,0,0
2021-12-06T14:00:00+00:00Z,2021-12-06T15:00:00+00:00Z,3.1703,3.2231,3.1493,3.2231,743.08,2366.407171,0,0,0
2021-12-06T15:00:00+00:00Z,2021-12-06T16:00:00+00:00Z,3.2231,3.3863,3.1859,3.34,668.64,2192.854978,0,0,0
2021-12-06T16:00:00+00:00Z,2021-12-06T17:00:00+00:00Z,3.34,3.4206,3.326,3.4068,656.75,2214.967507,0,0,0
2021-12-06T17:00:00+00:00Z,2021-12-06T18:00:00+00:00Z,3.4068,3.4086,3.3094,3.3297,619.68,2072.394225,0,0,0
2021-12-06T18:00:00+00:00Z,2021-12-06T19:00:00+00:00Z,3.3297,3.3695,3.2552,3.324,731.47,2435.716392,0,0,0
2021-12-06T19:00:00+00:00Z,2021-12-06T20:00:00+00:00Z,3.324,3.3711,3.3188,3.3267,648.82,2170.807314,0,0,0
2021-12-06T20:00:00+00:00Z,2021-12-06T21:00:00+00:00Z,3.3267,3.376,3.3172,3.3367,602.77,2020.093481,0,0,0
2021-12-06T21:00:00+00:00Z,2021-12-06T22:00:00+00:00Z,3.3367,3.452,3.3287,3.4143,662.78,2245.561891,0,0,0
2021-12-06T22:00:00+00:00Z,2021-12-06T23:00:00+00:00Z,3.4143,3.7791,3.4039,3.7357,603.11,2126.55721,0,0,0
2021-12-06T23:00:00+00:00Z,2021-12-07T00:00:00+00:00Z,3.7357,3.7838,3.7243,3.7383,537.77,2016.49287,0,0,0
2021-12-07T00:00:00+00:00Z,2021-12-07T01:00:00+00:00Z,3.7383,3.783,3.7164,3.7735,546.31,2045.59019,0,0,0
2021-12-07T01:00:00+00:00Z,2021-12-07T02:00:00+00:00Z,3.7735,3.7989,3.4823,3.6229,588.37,2153.218762,0,0,0
2021-12-07T02:00:00+00:00Z,2021-12-07T03:00:00+00:00Z,3.6229,3.7873,3.4872,3.7258,633.23,2312.984517,0,0,0
2021-12-07T03:00:00+00:00Z,2021-12-07T04:00:00+00:00Z,3.7258,3.7258,3.6026,3.6234,570.18,2079.337515,0,0,0
2021-12-07T04:00:00+00:00Z,2021-12-07T05:00:00+00:00Z,3.6234,3.6923,3.5539,3.6092,630.64,2288.274812,0,0,0
2021-12-07T05:00:00+00:00Z,2021-12-07T06:00:00+00:00Z,3.6092,3.7418,3.4973,3.6893,585.0,2137.168234,0,0,0
