# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,LINEAUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-09-10T15:00:00+00:00Z
# t0_final_iso,2025-09-10T15:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,2c2184dc590bbe07
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-09-10T15:00:00+00:00Z,2025-09-10T16:00:00+00:00Z,0.008,0.05,0.008,0.0302,142825695.9,5268925.993904,0,0,0
2025-09-10T16:00:00+00:00Z,2025-09-10T17:00:00+00:00Z,0.0302,0.037,0.0268,0.02693,197324672.3,5841246.459698,0,0,0
2025-09-10T17:00:00+00:00Z,2025-09-10T18:00:00+00:00Z,0.02693,0.02724,0.02553,0.02647,166656943.6,4388130.667132,0,0,0
2025-09-10T18:00:00+00:00Z,2025-09-10T19:00:00+00:00Z,0.02647,0.0266,0.02473,0.025,130527200.1,3312784.652521,0,0,0
2025-09-10T19:00:00+00:00Z,2025-09-10T20:00:00+00:00Z,0.025,0.02531,0.02342,0.02444,82996017.4,2011791.47005,0,0,0
2025-09-10T20:00:00+00:00Z,2025-09-10T21:00:00+00:00Z,0.02444,0.02518,0.02396,0.02421,55380844.9,1353131.219647,0,0,0
2025-09-10T21:00:00+00:00Z,2025-09-10T22:00:00+00:00Z,0.02421,0.02428,0.02217,0.02284,53163803.3,1247171.370675,0,0,0
2025-09-10T22:00:00+00:00Z,2025-09-10T23:00:00+00:00Z,0.02284,0.02341,0.02235,0.02323,43009241.5,979126.467924,0,0,0
2025-09-10T23:00:00+00:00Z,2025-09-11T00:00:00+00:00Z,0.02323,0.024,0.02294,0.02319,33751160.9,791054.86217,0,0,0
2025-09-11T00:00:00+00:00Z,2025-09-11T01:00:00+00:00Z,0.02319,0.02334,0.02221,0.02281,37090358.1,844507.223725,0,0,0
2025-09-11T01:00:00+00:00Z,2025-09-11T02:00:00+00:00Z,0.02281,0.02431,0.02247,0.02413,30145179.6,714239.852003,0,0,0
2025-09-11T02:00:00+00:00Z,2025-09-11T03:00:00+00:00Z,0.02413,0.02468,0.02385,0.02459,33252952.8,808469.902395,0,0,0
2025-09-11T03:00:00+00:00Z,2025-09-11T04:00:00+00:00Z,0.02459,0.0251,0.02394,0.02493,31612495.0,773103.277801,0,0,0
