# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,LLUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-04-24T08:00:00+00:00Z
# t0_final_iso,2024-04-24T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,24aa0a1670a2e2c0
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-04-24T08:00:00+00:00Z,2024-04-24T09:00:00+00:00Z,0.04,0.3057,0.04,0.15348,9542614.02,1547125.1270447,0,0,0
2024-04-24T09:00:00+00:00Z,2024-04-24T10:00:00+00:00Z,0.15348,0.15584,0.13597,0.14811,2388851.01,346693.3461546,0,0,0
2024-04-24T10:00:00+00:00Z,2024-04-24T11:00:00+00:00Z,0.14811,0.16125,0.13872,0.16125,2975384.37,450544.3336463,0,0,0
2024-04-24T11:00:00+00:00Z,2024-04-24T12:00:00+00:00Z,0.16125,0.1631,0.157,0.15869,1435458.12,228461.6016486,0,0,0
2024-04-24T12:00:00+00:00Z,2024-04-24T13:00:00+00:00Z,0.15869,0.1595,0.14925,0.14926,1185512.51,180935.6056923,0,0,0
2024-04-24T13:00:00+00:00Z,2024-04-24T14:00:00+00:00Z,0.14926,0.15363,0.14504,0.14743,1169827.8,172821.8174337,0,0,0
2024-04-24T14:00:00+00:00Z,2024-04-24T15:00:00+00:00Z,0.14743,0.14749,0.13941,0.14079,1088928.89,156685.7943655,0,0,0
2024-04-24T15:00:00+00:00Z,2024-04-24T16:00:00+00:00Z,0.14079,0.14606,0.14079,0.14282,724589.94,104084.2285552,0,0,0
2024-04-24T16:00:00+00:00Z,2024-04-24T17:00:00+00:00Z,0.14282,0.1434,0.13219,0.13429,1450948.5,198626.0659963,0,0,0
2024-04-24T17:00:00+00:00Z,2024-04-24T18:00:00+00:00Z,0.13429,0.13756,0.13307,0.13483,589429.28,79676.5847093,0,0,0
2024-04-24T18:00:00+00:00Z,2024-04-24T19:00:00+00:00Z,0.13483,0.13529,0.12659,0.12677,549365.27,72402.7189903,0,0,0
2024-04-24T19:00:00+00:00Z,2024-04-24T20:00:00+00:00Z,0.12677,0.1339,0.12003,0.1294,946725.67,120336.6653687,0,0,0
2024-04-24T20:00:00+00:00Z,2024-04-24T21:00:00+00:00Z,0.1294,0.1294,0.12489,0.12601,682812.33,86383.238716,0,0,0
2024-04-24T21:00:00+00:00Z,2024-04-24T22:00:00+00:00Z,0.12601,0.13196,0.12554,0.13099,580868.2,75336.2520362,0,0,0
2024-04-24T22:00:00+00:00Z,2024-04-24T23:00:00+00:00Z,0.13099,0.13134,0.12544,0.12641,341584.49,43812.4726615,0,0,0
2024-04-24T23:00:00+00:00Z,2024-04-25T00:00:00+00:00Z,0.12641,0.12641,0.11832,0.11896,537099.42,65817.8908605,0,0,0
2024-04-25T00:00:00+00:00Z,2024-04-25T01:00:00+00:00Z,0.11896,0.1208,0.113,0.11311,489306.41,57033.5178928,0,0,0
2024-04-25T01:00:00+00:00Z,2024-04-25T02:00:00+00:00Z,0.11311,0.11648,0.11301,0.11555,177256.65,20443.6827484,0,0,0
