# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,LRCUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2021-12-03T08:00:00+00:00Z
# t0_final_iso,2021-12-03T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,c831e6fb3253917a
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-12-03T08:00:00+00:00Z,2021-12-03T09:00:00+00:00Z,2.5602,2.5876,2.5602,2.5651,537.2,1382.598587,0,0,0
2021-12-03T09:00:00+00:00Z,2021-12-03T10:00:00+00:00Z,2.5651,2.5942,2.5611,2.5916,962.19,2475.981908,0,0,0
2021-12-03T10:00:00+00:00Z,2021-12-03T11:00:00+00:00Z,2.5916,2.612,2.5733,2.5917,925.28,2395.882505,0,0,0
2021-12-03T11:00:00+00:00Z,2021-12-03T12:00:00+00:00Z,2.5917,2.5972,2.5677,2.5777,1021.62,2638.303337,0,0,0
2021-12-03T12:00:00+00:00Z,2021-12-03T13:00:00+00:00Z,2.5777,2.6054,2.5733,2.5933,902.33,2336.804518,0,0,0
2021-12-03T13:00:00+00:00Z,2021-12-03T14:00:00+00:00Z,2.5933,2.6232,2.5716,2.5975,888.29,2304.425303,0,0,0
2021-12-03T14:00:00+00:00Z,2021-12-03T15:00:00+00:00Z,2.5975,2.5975,2.5298,2.5298,893.89,2293.775055,0,0,0
2021-12-03T15:00:00+00:00Z,2021-12-03T16:00:00+00:00Z,2.5298,2.5391,2.4489,2.4546,982.21,2457.310098,0,0,0
2021-12-03T16:00:00+00:00Z,2021-12-03T17:00:00+00:00Z,2.4546,2.457,2.3548,2.3953,980.88,2373.161842,0,0,0
2021-12-03T17:00:00+00:00Z,2021-12-03T18:00:00+00:00Z,2.3953,2.4524,2.375,2.4459,981.12,2378.381988,0,0,0
2021-12-03T18:00:00+00:00Z,2021-12-03T19:00:00+00:00Z,2.4459,2.4585,2.4134,2.4482,911.05,2223.884757,0,0,0
2021-12-03T19:00:00+00:00Z,2021-12-03T20:00:00+00:00Z,2.4482,2.4853,2.4109,2.4109,1019.61,2499.714972,0,0,0
2021-12-03T20:00:00+00:00Z,2021-12-03T21:00:00+00:00Z,2.4109,2.4109,2.2792,2.3909,1087.17,2560.490791,0,0,0
2021-12-03T21:00:00+00:00Z,2021-12-03T22:00:00+00:00Z,2.3909,2.4486,2.3909,2.4112,898.89,2179.408112,0,0,0
2021-12-03T22:00:00+00:00Z,2021-12-03T23:00:00+00:00Z,2.4112,2.423,2.3733,2.3733,859.56,2055.490751,0,0,0
2021-12-03T23:00:00+00:00Z,2021-12-04T00:00:00+00:00Z,2.3733,2.4044,2.3631,2.3715,1023.31,2437.079472,0,0,0
2021-12-04T00:00:00+00:00Z,2021-12-04T01:00:00+00:00Z,2.3715,2.3924,2.2572,2.2572,1015.0,2383.516906,0,0,0
2021-12-04T01:00:00+00:00Z,2021-12-04T02:00:00+00:00Z,2.2572,2.2771,2.216,2.2715,989.94,2227.195389,0,0,0
2021-12-04T02:00:00+00:00Z,2021-12-04T03:00:00+00:00Z,2.2715,2.3064,2.2466,2.3025,977.54,2224.606097,0,0,0
2021-12-04T03:00:00+00:00Z,2021-12-04T04:00:00+00:00Z,2.3025,2.3034,2.1721,2.1721,1117.91,2515.772164,0,0,0
2021-12-04T04:00:00+00:00Z,2021-12-04T05:00:00+00:00Z,2.1721,2.2729,2.0109,2.0475,1123.4,2487.273106,0,0,0
2021-12-04T05:00:00+00:00Z,2021-12-04T06:00:00+00:00Z,2.0475,2.067,1.6277,1.8875,4837.48,8597.666733,0,0,0
