# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,LUNCUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-10-27T06:00:00+00:00Z
# t0_final_iso,2021-10-27T06:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,3a090d9f8523344f
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-10-27T06:00:00+00:00Z,2021-10-27T07:00:00+00:00Z,43.38,43.6,42.34,42.51,62.34,2676.3692,0,0,0
2021-10-27T07:00:00+00:00Z,2021-10-27T08:00:00+00:00Z,42.51,42.68,41.4,41.43,98.89,4155.2123,0,0,0
2021-10-27T08:00:00+00:00Z,2021-10-27T09:00:00+00:00Z,41.43,41.43,38.32,41.02,651.75,25946.6808,0,0,0
2021-10-27T09:00:00+00:00Z,2021-10-27T10:00:00+00:00Z,41.02,41.15,39.84,40.56,164.6,6715.8387,0,0,0
2021-10-27T10:00:00+00:00Z,2021-10-27T11:00:00+00:00Z,40.56,40.9,39.97,40.79,88.81,3584.838,0,0,0
2021-10-27T11:00:00+00:00Z,2021-10-27T12:00:00+00:00Z,40.79,41.31,40.35,40.47,170.4,6951.9281,0,0,0
2021-10-27T12:00:00+00:00Z,2021-10-27T13:00:00+00:00Z,40.47,40.85,40.21,40.43,47.69,1931.3882,0,0,0
2021-10-27T13:00:00+00:00Z,2021-10-27T14:00:00+00:00Z,40.43,40.9,40.09,40.09,72.94,2965.4373,0,0,0
2021-10-27T14:00:00+00:00Z,2021-10-27T15:00:00+00:00Z,40.09,40.74,39.5,40.6,58.93,2375.2995,0,0,0
2021-10-27T15:00:00+00:00Z,2021-10-27T16:00:00+00:00Z,40.6,40.9,39.66,39.66,36.87,1488.3201,0,0,0
2021-10-27T16:00:00+00:00Z,2021-10-27T17:00:00+00:00Z,39.66,40.71,39.66,40.4,106.61,4284.9907,0,0,0
2021-10-27T17:00:00+00:00Z,2021-10-27T18:00:00+00:00Z,40.4,41.01,40.27,40.42,83.81,3407.4993,0,0,0
2021-10-27T18:00:00+00:00Z,2021-10-27T19:00:00+00:00Z,40.42,40.65,39.87,40.08,414.56,16723.9817,0,0,0
2021-10-27T19:00:00+00:00Z,2021-10-27T20:00:00+00:00Z,40.08,40.48,39.7,40.48,109.61,4391.9851,0,0,0
2021-10-27T20:00:00+00:00Z,2021-10-27T21:00:00+00:00Z,40.48,40.91,40.34,40.71,103.57,4213.7303,0,0,0
2021-10-27T21:00:00+00:00Z,2021-10-27T22:00:00+00:00Z,40.71,41.01,40.48,40.75,81.68,3327.9082,0,0,0
2021-10-27T22:00:00+00:00Z,2021-10-27T23:00:00+00:00Z,40.75,40.78,39.94,40.46,93.15,3767.169,0,0,0
2021-10-27T23:00:00+00:00Z,2021-10-28T00:00:00+00:00Z,40.46,40.78,39.72,39.81,116.29,4679.3217,0,0,0
2021-10-28T00:00:00+00:00Z,2021-10-28T01:00:00+00:00Z,39.81,40.46,39.67,39.7,163.08,6525.9605,0,0,0
2021-10-28T01:00:00+00:00Z,2021-10-28T02:00:00+00:00Z,39.7,40.36,39.61,40.27,99.17,3954.5751,0,0,0
2021-10-28T02:00:00+00:00Z,2021-10-28T03:00:00+00:00Z,40.27,40.38,39.94,40.02,137.34,5520.0795,0,0,0
2021-10-28T03:00:00+00:00Z,2021-10-28T04:00:00+00:00Z,40.02,40.58,39.82,40.27,79.63,3195.0658,0,0,0
2021-10-28T04:00:00+00:00Z,2021-10-28T05:00:00+00:00Z,40.27,40.36,39.53,39.8,46.38,1859.5422,0,0,0
2021-10-28T05:00:00+00:00Z,2021-10-28T06:00:00+00:00Z,39.8,40.46,39.7,40.24,134.82,5387.3211,0,0,0
2021-10-28T06:00:00+00:00Z,2021-10-28T07:00:00+00:00Z,40.24,40.44,39.72,40.17,53.06,2124.8333,0,0,0
2021-10-28T07:00:00+00:00Z,2021-10-28T08:00:00+00:00Z,40.17,40.32,39.83,39.95,42.49,1702.5851,0,0,0
2021-10-28T08:00:00+00:00Z,2021-10-28T09:00:00+00:00Z,39.95,41.87,39.93,41.61,587.98,24555.7774,0,0,0
2021-10-28T09:00:00+00:00Z,2021-10-28T10:00:00+00:00Z,41.61,41.76,41.06,41.67,35.4,1466.8086,0,0,0
2021-10-28T10:00:00+00:00Z,2021-10-28T11:00:00+00:00Z,41.67,41.68,41.06,41.16,58.5,2419.6053,0,0,0
2021-10-28T11:00:00+00:00Z,2021-10-28T12:00:00+00:00Z,41.16,41.34,40.74,41.29,97.62,3998.3994,0,0,0
2021-10-28T12:00:00+00:00Z,2021-10-28T13:00:00+00:00Z,41.29,41.91,41.17,41.66,41.61,1724.7381,0,0,0
