# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,MASAUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-04-11T08:00:00+00:00Z
# t0_final_iso,2024-04-11T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,b4d169759e7e536f
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-04-11T08:00:00+00:00Z,2024-04-11T09:00:00+00:00Z,0.079,0.942,0.079,0.42844,16899100.46,8573850.2910146,0,0,0
2024-04-11T09:00:00+00:00Z,2024-04-11T10:00:00+00:00Z,0.42844,0.47303,0.40458,0.40807,6966982.83,3084864.2071716,0,0,0
2024-04-11T10:00:00+00:00Z,2024-04-11T11:00:00+00:00Z,0.40807,0.4184,0.3731,0.38888,3756963.54,1504787.3801471,0,0,0
2024-04-11T11:00:00+00:00Z,2024-04-11T12:00:00+00:00Z,0.38888,0.3913,0.33555,0.35319,4964518.04,1797432.0181705,0,0,0
2024-04-11T12:00:00+00:00Z,2024-04-11T13:00:00+00:00Z,0.35319,0.35539,0.30101,0.33097,4490951.9,1457532.851258,0,0,0
2024-04-11T13:00:00+00:00Z,2024-04-11T14:00:00+00:00Z,0.33097,0.375,0.325,0.37296,2821879.91,984969.2860823,0,0,0
2024-04-11T14:00:00+00:00Z,2024-04-11T15:00:00+00:00Z,0.37296,0.395,0.348,0.36561,3715014.64,1381396.301302,0,0,0
2024-04-11T15:00:00+00:00Z,2024-04-11T16:00:00+00:00Z,0.36561,0.36778,0.32114,0.34572,2801443.52,964541.6347493,0,0,0
2024-04-11T16:00:00+00:00Z,2024-04-11T17:00:00+00:00Z,0.34572,0.37361,0.34052,0.3622,1958983.09,703235.1613362,0,0,0
2024-04-11T17:00:00+00:00Z,2024-04-11T18:00:00+00:00Z,0.3622,0.373,0.35288,0.35475,1869951.35,677284.5044134,0,0,0
2024-04-11T18:00:00+00:00Z,2024-04-11T19:00:00+00:00Z,0.35475,0.356,0.32772,0.33393,1542058.56,523693.5616093,0,0,0
2024-04-11T19:00:00+00:00Z,2024-04-11T20:00:00+00:00Z,0.33393,0.33447,0.30721,0.32199,1839936.91,590749.3466317,0,0,0
2024-04-11T20:00:00+00:00Z,2024-04-11T21:00:00+00:00Z,0.32199,0.336,0.3101,0.32511,1303828.8,423504.1933003,0,0,0
2024-04-11T21:00:00+00:00Z,2024-04-11T22:00:00+00:00Z,0.32511,0.33554,0.32316,0.32875,836691.33,275349.1595276,0,0,0
2024-04-11T22:00:00+00:00Z,2024-04-11T23:00:00+00:00Z,0.32875,0.329,0.29406,0.3065,2140646.94,653802.6850082,0,0,0
2024-04-11T23:00:00+00:00Z,2024-04-12T00:00:00+00:00Z,0.3065,0.32,0.29507,0.31034,797634.0,245363.0666344,0,0,0
2024-04-12T00:00:00+00:00Z,2024-04-12T01:00:00+00:00Z,0.31034,0.3292,0.30706,0.32645,533853.5,170599.8760228,0,0,0
2024-04-12T01:00:00+00:00Z,2024-04-12T02:00:00+00:00Z,0.32645,0.36,0.32521,0.35327,1098580.95,382704.4478125,0,0,0
2024-04-12T02:00:00+00:00Z,2024-04-12T03:00:00+00:00Z,0.35327,0.35678,0.33,0.34069,710643.71,242816.2837851,0,0,0
2024-04-12T03:00:00+00:00Z,2024-04-12T04:00:00+00:00Z,0.34069,0.36082,0.33846,0.35529,786075.27,278384.6179727,0,0,0
2024-04-12T04:00:00+00:00Z,2024-04-12T05:00:00+00:00Z,0.35529,0.37318,0.34747,0.36518,799748.74,285496.3794158,0,0,0
2024-04-12T05:00:00+00:00Z,2024-04-12T06:00:00+00:00Z,0.36518,0.435,0.36373,0.42242,3293515.93,1308770.6278819,0,0,0
2024-04-12T06:00:00+00:00Z,2024-04-12T07:00:00+00:00Z,0.42242,0.428,0.39379,0.42273,1596965.1,656905.7376507,0,0,0
2024-04-12T07:00:00+00:00Z,2024-04-12T08:00:00+00:00Z,0.42273,0.43512,0.38084,0.3817,1854318.57,753116.3841594,0,0,0
2024-04-12T08:00:00+00:00Z,2024-04-12T09:00:00+00:00Z,0.3817,0.40778,0.36087,0.375,1758486.6,667813.0840256,0,0,0
2024-04-12T09:00:00+00:00Z,2024-04-12T10:00:00+00:00Z,0.375,0.3936,0.3585,0.3585,1502777.69,562702.2078094,0,0,0
2024-04-12T10:00:00+00:00Z,2024-04-12T11:00:00+00:00Z,0.3585,0.36666,0.3466,0.35871,1076084.71,384642.8441608,0,0,0
2024-04-12T11:00:00+00:00Z,2024-04-12T12:00:00+00:00Z,0.35871,0.37,0.34457,0.36976,822631.39,291603.9429416,0,0,0
2024-04-12T12:00:00+00:00Z,2024-04-12T13:00:00+00:00Z,0.36976,0.37005,0.35679,0.35685,710815.06,257574.5851006,0,0,0
2024-04-12T13:00:00+00:00Z,2024-04-12T14:00:00+00:00Z,0.35685,0.357,0.32619,0.33833,1082077.25,367205.7679835,0,0,0
2024-04-12T14:00:00+00:00Z,2024-04-12T15:00:00+00:00Z,0.33833,0.3468,0.33223,0.33799,751370.19,256565.1599947,0,0,0
