# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,MEMEFIUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-11-22T13:00:00+00:00Z
# t0_final_iso,2024-11-22T13:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,5b0947effa02c837
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-11-22T13:00:00+00:00Z,2024-11-22T14:00:00+00:00Z,0.003,0.018001,0.003,0.00801,689510113.0,6442023.23337,0,0,0
2024-11-22T14:00:00+00:00Z,2024-11-22T15:00:00+00:00Z,0.00801,0.0087,0.007112,0.00765,409886895.0,3241271.663131,0,0,0
2024-11-22T15:00:00+00:00Z,2024-11-22T16:00:00+00:00Z,0.00765,0.008449,0.007458,0.007728,226388884.0,1811053.283157,0,0,0
2024-11-22T16:00:00+00:00Z,2024-11-22T17:00:00+00:00Z,0.007728,0.00884,0.006,0.006665,386502979.0,2737431.503128,0,0,0
2024-11-22T17:00:00+00:00Z,2024-11-22T18:00:00+00:00Z,0.006665,0.006758,0.005879,0.006088,152465938.0,982413.918626,0,0,0
2024-11-22T18:00:00+00:00Z,2024-11-22T19:00:00+00:00Z,0.006088,0.006254,0.0055,0.005834,163820813.0,962435.463675,0,0,0
2024-11-22T19:00:00+00:00Z,2024-11-22T20:00:00+00:00Z,0.005834,0.007376,0.005834,0.006521,359044832.0,2405837.747201,0,0,0
2024-11-22T20:00:00+00:00Z,2024-11-22T21:00:00+00:00Z,0.006521,0.006772,0.005731,0.006116,166000212.0,1034183.08784,0,0,0
2024-11-22T21:00:00+00:00Z,2024-11-22T22:00:00+00:00Z,0.006116,0.006527,0.005763,0.006421,82496408.0,499881.498478,0,0,0
2024-11-22T22:00:00+00:00Z,2024-11-22T23:00:00+00:00Z,0.006421,0.006543,0.005682,0.005902,243036014.0,1472502.402522,0,0,0
2024-11-22T23:00:00+00:00Z,2024-11-23T00:00:00+00:00Z,0.005902,0.006196,0.005648,0.005748,179402476.0,1048560.613562,0,0,0
2024-11-23T00:00:00+00:00Z,2024-11-23T01:00:00+00:00Z,0.005748,0.00621,0.005675,0.005978,62275947.0,367047.270635,0,0,0
2024-11-23T01:00:00+00:00Z,2024-11-23T02:00:00+00:00Z,0.005978,0.006879,0.005867,0.006764,95591523.0,620606.480476,0,0,0
2024-11-23T02:00:00+00:00Z,2024-11-23T03:00:00+00:00Z,0.006764,0.0068,0.0062,0.006359,58487936.0,383650.305374,0,0,0
