# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,MOCAUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-07-11T10:00:00+00:00Z
# t0_final_iso,2024-07-11T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,cc29931a557ba8eb
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-07-11T10:00:00+00:00Z,2024-07-11T11:00:00+00:00Z,0.01125,0.09767,0.01125,0.09124,67893682.5,5155758.074914,0,0,0
2024-07-11T11:00:00+00:00Z,2024-07-11T12:00:00+00:00Z,0.09124,0.09534,0.08797,0.091,15546350.5,1421611.632526,0,0,0
2024-07-11T12:00:00+00:00Z,2024-07-11T13:00:00+00:00Z,0.091,0.0935,0.08297,0.09312,12474723.5,1107586.233392,0,0,0
2024-07-11T13:00:00+00:00Z,2024-07-11T14:00:00+00:00Z,0.09312,0.09318,0.087,0.09137,6584085.9,593282.784544,0,0,0
2024-07-11T14:00:00+00:00Z,2024-07-11T15:00:00+00:00Z,0.09137,0.0928,0.088,0.08803,5496082.9,498994.299577,0,0,0
2024-07-11T15:00:00+00:00Z,2024-07-11T16:00:00+00:00Z,0.08803,0.09,0.0859,0.08713,4487964.7,395461.940592,0,0,0
2024-07-11T16:00:00+00:00Z,2024-07-11T17:00:00+00:00Z,0.08713,0.0916,0.0863,0.09097,4353722.4,388825.884452,0,0,0
2024-07-11T17:00:00+00:00Z,2024-07-11T18:00:00+00:00Z,0.09097,0.09168,0.08872,0.08872,3626969.2,329095.167213,0,0,0
2024-07-11T18:00:00+00:00Z,2024-07-11T19:00:00+00:00Z,0.08872,0.09245,0.08867,0.09214,2964585.9,269043.528146,0,0,0
2024-07-11T19:00:00+00:00Z,2024-07-11T20:00:00+00:00Z,0.09214,0.10484,0.09214,0.09998,5652885.1,549556.163299,0,0,0
2024-07-11T20:00:00+00:00Z,2024-07-11T21:00:00+00:00Z,0.09998,0.10124,0.09641,0.09912,2523722.3,250869.973002,0,0,0
2024-07-11T21:00:00+00:00Z,2024-07-11T22:00:00+00:00Z,0.09912,0.1005,0.09682,0.0983,2975315.8,294553.514293,0,0,0
2024-07-11T22:00:00+00:00Z,2024-07-11T23:00:00+00:00Z,0.0983,0.1097,0.09801,0.10894,4362192.5,453633.061458,0,0,0
2024-07-11T23:00:00+00:00Z,2024-07-12T00:00:00+00:00Z,0.10894,0.1251,0.10808,0.1172,10830343.0,1253517.004885,0,0,0
2024-07-12T00:00:00+00:00Z,2024-07-12T01:00:00+00:00Z,0.1172,0.12255,0.11214,0.11804,3471224.3,411613.905565,0,0,0
2024-07-12T01:00:00+00:00Z,2024-07-12T02:00:00+00:00Z,0.11804,0.11815,0.10955,0.11481,4960612.6,558637.035203,0,0,0
2024-07-12T02:00:00+00:00Z,2024-07-12T03:00:00+00:00Z,0.11481,0.11718,0.11,0.11591,2523522.0,287462.738498,0,0,0
2024-07-12T03:00:00+00:00Z,2024-07-12T04:00:00+00:00Z,0.11591,0.1175,0.1113,0.11364,2408366.2,272872.061744,0,0,0
2024-07-12T04:00:00+00:00Z,2024-07-12T05:00:00+00:00Z,0.11364,0.12063,0.11276,0.11896,2763599.5,318997.020988,0,0,0
2024-07-12T05:00:00+00:00Z,2024-07-12T06:00:00+00:00Z,0.11896,0.128,0.11619,0.12521,5216158.5,637862.65222,0,0,0
2024-07-12T06:00:00+00:00Z,2024-07-12T07:00:00+00:00Z,0.12521,0.13,0.12391,0.12896,4303698.9,547197.062786,0,0,0
2024-07-12T07:00:00+00:00Z,2024-07-12T08:00:00+00:00Z,0.12896,0.13,0.11,0.11575,8187851.3,988143.653267,0,0,0
2024-07-12T08:00:00+00:00Z,2024-07-12T09:00:00+00:00Z,0.11575,0.11707,0.11056,0.11309,5463180.5,616927.929901,0,0,0
2024-07-12T09:00:00+00:00Z,2024-07-12T10:00:00+00:00Z,0.11309,0.1157,0.11104,0.11406,3128065.9,353350.515741,0,0,0
2024-07-12T10:00:00+00:00Z,2024-07-12T11:00:00+00:00Z,0.11406,0.12324,0.1108,0.12293,4507990.0,523844.657553,0,0,0
2024-07-12T11:00:00+00:00Z,2024-07-12T12:00:00+00:00Z,0.12293,0.13299,0.12202,0.1285,12839305.0,1635161.471378,0,0,0
2024-07-12T12:00:00+00:00Z,2024-07-12T13:00:00+00:00Z,0.1285,0.13,0.123,0.12479,9862118.5,1246047.830176,0,0,0
2024-07-12T13:00:00+00:00Z,2024-07-12T14:00:00+00:00Z,0.12479,0.1262,0.11873,0.12104,5279247.6,643595.996688,0,0,0
2024-07-12T14:00:00+00:00Z,2024-07-12T15:00:00+00:00Z,0.12104,0.125,0.1204,0.12306,5258164.3,645374.790842,0,0,0
2024-07-12T15:00:00+00:00Z,2024-07-12T16:00:00+00:00Z,0.12306,0.1269,0.12265,0.12352,3575684.9,445721.371512,0,0,0
2024-07-12T16:00:00+00:00Z,2024-07-12T17:00:00+00:00Z,0.12352,0.12783,0.1225,0.12599,3785068.3,472327.770117,0,0,0
2024-07-12T17:00:00+00:00Z,2024-07-12T18:00:00+00:00Z,0.12599,0.12723,0.12271,0.12459,2475834.9,311269.295025,0,0,0
2024-07-12T18:00:00+00:00Z,2024-07-12T19:00:00+00:00Z,0.12459,0.12574,0.1225,0.12501,1304998.2,162347.423886,0,0,0
2024-07-12T19:00:00+00:00Z,2024-07-12T20:00:00+00:00Z,0.12501,0.12718,0.12446,0.12648,1132174.8,142290.992391,0,0,0
2024-07-12T20:00:00+00:00Z,2024-07-12T21:00:00+00:00Z,0.12648,0.1265,0.11661,0.11988,2953040.8,360394.343592,0,0,0
2024-07-12T21:00:00+00:00Z,2024-07-12T22:00:00+00:00Z,0.11988,0.1245,0.118,0.1208,1959772.4,236254.304974,0,0,0
2024-07-12T22:00:00+00:00Z,2024-07-12T23:00:00+00:00Z,0.1208,0.12261,0.1189,0.1206,1571333.4,190004.995301,0,0,0
2024-07-12T23:00:00+00:00Z,2024-07-13T00:00:00+00:00Z,0.1206,0.1229,0.11832,0.12176,3370090.7,404450.199183,0,0,0
2024-07-13T00:00:00+00:00Z,2024-07-13T01:00:00+00:00Z,0.12176,0.12176,0.11079,0.11488,4785181.5,547340.820985,0,0,0
2024-07-13T01:00:00+00:00Z,2024-07-13T02:00:00+00:00Z,0.11488,0.11805,0.11172,0.11176,4551411.4,520129.983957,0,0,0
2024-07-13T02:00:00+00:00Z,2024-07-13T03:00:00+00:00Z,0.11176,0.11625,0.10925,0.11405,6483293.7,736014.964448,0,0,0
2024-07-13T03:00:00+00:00Z,2024-07-13T04:00:00+00:00Z,0.11405,0.11461,0.11285,0.11395,2837892.5,323063.533236,0,0,0
2024-07-13T04:00:00+00:00Z,2024-07-13T05:00:00+00:00Z,0.11395,0.11475,0.11254,0.11325,1207862.4,137010.067543,0,0,0
2024-07-13T05:00:00+00:00Z,2024-07-13T06:00:00+00:00Z,0.11325,0.11675,0.11113,0.11286,3236318.8,368073.606019,0,0,0
2024-07-13T06:00:00+00:00Z,2024-07-13T07:00:00+00:00Z,0.11286,0.11459,0.11013,0.1118,3975092.3,443315.437261,0,0,0
2024-07-13T07:00:00+00:00Z,2024-07-13T08:00:00+00:00Z,0.1118,0.11476,0.1101,0.11156,2491504.8,276947.075033,0,0,0
2024-07-13T08:00:00+00:00Z,2024-07-13T09:00:00+00:00Z,0.11156,0.11282,0.10825,0.11083,4333100.6,479707.929149,0,0,0
2024-07-13T09:00:00+00:00Z,2024-07-13T10:00:00+00:00Z,0.11083,0.11198,0.1103,0.1115,1728130.3,191815.577542,0,0,0
2024-07-13T10:00:00+00:00Z,2024-07-13T11:00:00+00:00Z,0.1115,0.11369,0.10967,0.11139,2188967.9,244525.433901,0,0,0
2024-07-13T11:00:00+00:00Z,2024-07-13T12:00:00+00:00Z,0.11139,0.11228,0.1098,0.11025,1254663.2,138767.911627,0,0,0
2024-07-13T12:00:00+00:00Z,2024-07-13T13:00:00+00:00Z,0.11025,0.112,0.109,0.11118,1294620.2,143342.0606,0,0,0
2024-07-13T13:00:00+00:00Z,2024-07-13T14:00:00+00:00Z,0.11118,0.11439,0.11029,0.1128,2063592.7,232559.51963,0,0,0
2024-07-13T14:00:00+00:00Z,2024-07-13T15:00:00+00:00Z,0.1128,0.117,0.1128,0.1135,1597092.0,182981.874368,0,0,0
2024-07-13T15:00:00+00:00Z,2024-07-13T16:00:00+00:00Z,0.1135,0.11529,0.11129,0.11197,1779709.2,201623.071925,0,0,0
2024-07-13T16:00:00+00:00Z,2024-07-13T17:00:00+00:00Z,0.11197,0.118,0.11114,0.11566,1868024.0,215091.225088,0,0,0
2024-07-13T17:00:00+00:00Z,2024-07-13T18:00:00+00:00Z,0.11566,0.11729,0.11341,0.11551,949853.5,109666.09446,0,0,0
2024-07-13T18:00:00+00:00Z,2024-07-13T19:00:00+00:00Z,0.11551,0.11615,0.1128,0.11513,1278355.3,146169.790197,0,0,0
2024-07-13T19:00:00+00:00Z,2024-07-13T20:00:00+00:00Z,0.11513,0.11513,0.11224,0.11338,1438548.1,163365.180835,0,0,0
2024-07-13T20:00:00+00:00Z,2024-07-13T21:00:00+00:00Z,0.11338,0.11951,0.11338,0.11942,1100963.5,128418.057014,0,0,0
2024-07-13T21:00:00+00:00Z,2024-07-13T22:00:00+00:00Z,0.11942,0.12283,0.11918,0.12265,1660764.2,200673.760558,0,0,0
2024-07-13T22:00:00+00:00Z,2024-07-13T23:00:00+00:00Z,0.12265,0.124,0.11531,0.11666,1379597.4,163587.568942,0,0,0
2024-07-13T23:00:00+00:00Z,2024-07-14T00:00:00+00:00Z,0.11666,0.11764,0.112,0.11257,2492461.3,285168.32729,0,0,0
2024-07-14T00:00:00+00:00Z,2024-07-14T01:00:00+00:00Z,0.11257,0.11613,0.11003,0.11397,2908592.3,328865.971278,0,0,0
2024-07-14T01:00:00+00:00Z,2024-07-14T02:00:00+00:00Z,0.11397,0.11511,0.11203,0.1139,1759581.0,200074.253169,0,0,0
2024-07-14T02:00:00+00:00Z,2024-07-14T03:00:00+00:00Z,0.1139,0.11423,0.11174,0.11225,1220229.7,137366.507499,0,0,0
2024-07-14T03:00:00+00:00Z,2024-07-14T04:00:00+00:00Z,0.11225,0.11563,0.11191,0.11203,930243.9,104845.288386,0,0,0
2024-07-14T04:00:00+00:00Z,2024-07-14T05:00:00+00:00Z,0.11203,0.1125,0.11,0.11202,1252517.0,139948.155817,0,0,0
