# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,MOGUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-06-04T10:00:00+00:00Z
# t0_final_iso,2024-06-04T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,7851d3b0cb209ee9
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-06-04T10:00:00+00:00Z,2024-06-04T11:00:00+00:00Z,9e-07,1.648e-06,9e-07,1.327e-06,2093189417096.5,2806960.4037162336,0,0,0
2024-06-04T11:00:00+00:00Z,2024-06-04T12:00:00+00:00Z,1.327e-06,1.366e-06,1.305e-06,1.328e-06,188917958901.1,251677.3832938654,0,0,0
2024-06-04T12:00:00+00:00Z,2024-06-04T13:00:00+00:00Z,1.328e-06,1.385e-06,1.325e-06,1.361e-06,148205574346.0,200902.0594548626,0,0,0
2024-06-04T13:00:00+00:00Z,2024-06-04T14:00:00+00:00Z,1.361e-06,1.57e-06,1.334e-06,1.472e-06,335758932180.9,481864.7555161026,0,0,0
2024-06-04T14:00:00+00:00Z,2024-06-04T15:00:00+00:00Z,1.472e-06,1.5e-06,1.405e-06,1.413e-06,165174101737.7,241797.0289333777,0,0,0
2024-06-04T15:00:00+00:00Z,2024-06-04T16:00:00+00:00Z,1.413e-06,1.44e-06,1.392e-06,1.439e-06,90335796231.3,127836.4887816366,0,0,0
2024-06-04T16:00:00+00:00Z,2024-06-04T17:00:00+00:00Z,1.439e-06,1.55e-06,1.435e-06,1.503e-06,136409681062.9,203423.8862809482,0,0,0
2024-06-04T17:00:00+00:00Z,2024-06-04T18:00:00+00:00Z,1.503e-06,1.506e-06,1.383e-06,1.435e-06,123165506047.7,176900.3864176321,0,0,0
2024-06-04T18:00:00+00:00Z,2024-06-04T19:00:00+00:00Z,1.435e-06,1.49e-06,1.423e-06,1.459e-06,55286311434.1,79946.8104177739,0,0,0
2024-06-04T19:00:00+00:00Z,2024-06-04T20:00:00+00:00Z,1.459e-06,1.493e-06,1.42e-06,1.444e-06,62041651384.9,90128.399547183,0,0,0
2024-06-04T20:00:00+00:00Z,2024-06-04T21:00:00+00:00Z,1.444e-06,1.478e-06,1.424e-06,1.464e-06,52348440135.8,76166.8591027254,0,0,0
2024-06-04T21:00:00+00:00Z,2024-06-04T22:00:00+00:00Z,1.464e-06,1.468e-06,1.427e-06,1.458e-06,55767559458.8,80912.5343455206,0,0,0
2024-06-04T22:00:00+00:00Z,2024-06-04T23:00:00+00:00Z,1.458e-06,1.472e-06,1.436e-06,1.455e-06,31207064430.3,45446.727395972,0,0,0
2024-06-04T23:00:00+00:00Z,2024-06-05T00:00:00+00:00Z,1.455e-06,1.455e-06,1.423e-06,1.429e-06,25417768108.9,36556.5344876971,0,0,0
2024-06-05T00:00:00+00:00Z,2024-06-05T01:00:00+00:00Z,1.429e-06,1.445e-06,1.412e-06,1.427e-06,21628745374.9,30922.1608428933,0,0,0
