# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,NOTUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-05-16T12:00:00+00:00Z
# t0_final_iso,2024-05-16T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,3d382d42f6197c86
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-05-16T12:00:00+00:00Z,2024-05-16T13:00:00+00:00Z,0.0005,0.00999,0.0005,0.0077917,6153593161.08,47723062.81658279,0,0,0
2024-05-16T13:00:00+00:00Z,2024-05-16T14:00:00+00:00Z,0.0077917,0.007829,0.005714,0.0068891,3553948712.7,23777309.98422521,0,0,0
2024-05-16T14:00:00+00:00Z,2024-05-16T15:00:00+00:00Z,0.0068891,0.0070442,0.0057053,0.00589,2355618701.6,15057840.50869587,0,0,0
2024-05-16T15:00:00+00:00Z,2024-05-16T16:00:00+00:00Z,0.00589,0.0066,0.005858,0.0065371,1291267129.71,8086542.22286306,0,0,0
2024-05-16T16:00:00+00:00Z,2024-05-16T17:00:00+00:00Z,0.0065371,0.007437,0.00651,0.00738,1328704344.43,9440600.822145848,0,0,0
2024-05-16T17:00:00+00:00Z,2024-05-16T18:00:00+00:00Z,0.00738,0.0079892,0.0073746,0.0077614,1504199299.23,11630684.447595598,0,0,0
2024-05-16T18:00:00+00:00Z,2024-05-16T19:00:00+00:00Z,0.0077614,0.0079,0.0069403,0.0072077,819574079.87,6121398.274371671,0,0,0
2024-05-16T19:00:00+00:00Z,2024-05-16T20:00:00+00:00Z,0.0072077,0.0076837,0.0071011,0.0073817,498795353.93,3685490.396585634,0,0,0
2024-05-16T20:00:00+00:00Z,2024-05-16T21:00:00+00:00Z,0.0073817,0.00765,0.0071661,0.0073312,356940046.99,2634958.630234261,0,0,0
2024-05-16T21:00:00+00:00Z,2024-05-16T22:00:00+00:00Z,0.0073312,0.0074847,0.0072,0.0073656,262461877.86,1921376.557812155,0,0,0
2024-05-16T22:00:00+00:00Z,2024-05-16T23:00:00+00:00Z,0.0073656,0.0076837,0.00727,0.0076156,273744849.17,2031772.549872445,0,0,0
2024-05-16T23:00:00+00:00Z,2024-05-17T00:00:00+00:00Z,0.0076156,0.00798,0.007412,0.007625,466951018.96,3561503.251958908,0,0,0
2024-05-17T00:00:00+00:00Z,2024-05-17T01:00:00+00:00Z,0.007625,0.007745,0.00716,0.007294,354033608.14,2609372.250599668,0,0,0
2024-05-17T01:00:00+00:00Z,2024-05-17T02:00:00+00:00Z,0.007294,0.0073889,0.0068918,0.0069949,367486535.95,2608108.526008016,0,0,0
2024-05-17T02:00:00+00:00Z,2024-05-17T03:00:00+00:00Z,0.0069949,0.0070886,0.006752,0.0069065,313741149.47,2156135.585502964,0,0,0
2024-05-17T03:00:00+00:00Z,2024-05-17T04:00:00+00:00Z,0.0069065,0.0070561,0.0067245,0.0068584,195752880.25,1351958.252278715,0,0,0
2024-05-17T04:00:00+00:00Z,2024-05-17T05:00:00+00:00Z,0.0068584,0.0070148,0.00674,0.006804,173700804.81,1195165.773335964,0,0,0
2024-05-17T05:00:00+00:00Z,2024-05-17T06:00:00+00:00Z,0.006804,0.0069431,0.00666,0.0066796,203208611.25,1380181.830806332,0,0,0
2024-05-17T06:00:00+00:00Z,2024-05-17T07:00:00+00:00Z,0.0066796,0.0067036,0.0063179,0.0065719,336497398.11,2187842.354605869,0,0,0
2024-05-17T07:00:00+00:00Z,2024-05-17T08:00:00+00:00Z,0.0065719,0.0069949,0.0064735,0.0068702,325423194.01,2172228.094571836,0,0,0
2024-05-17T08:00:00+00:00Z,2024-05-17T09:00:00+00:00Z,0.0068702,0.006925,0.0065741,0.0066061,240556629.2,1617288.508062977,0,0,0
2024-05-17T09:00:00+00:00Z,2024-05-17T10:00:00+00:00Z,0.0066061,0.00673,0.0065405,0.0066373,218607354.0,1450449.499655344,0,0,0
2024-05-17T10:00:00+00:00Z,2024-05-17T11:00:00+00:00Z,0.0066373,0.0070079,0.0066264,0.0068918,243444005.27,1663211.57339282,0,0,0
2024-05-17T11:00:00+00:00Z,2024-05-17T12:00:00+00:00Z,0.0068918,0.0069508,0.0067531,0.0068368,202533690.21,1385541.786435173,0,0,0
2024-05-17T12:00:00+00:00Z,2024-05-17T13:00:00+00:00Z,0.0068368,0.0071715,0.0067542,0.0067855,309496436.01,2140135.454692154,0,0,0
2024-05-17T13:00:00+00:00Z,2024-05-17T14:00:00+00:00Z,0.0067855,0.0068874,0.0066125,0.0066362,182700659.32,1241011.934118888,0,0,0
