# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ODOSUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-12-20T04:00:00+00:00Z
# t0_final_iso,2024-12-20T04:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,9c6ad2ce20b23433
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-12-20T04:00:00+00:00Z,2024-12-20T05:00:00+00:00Z,0.015,0.260001,0.015,0.024032,43006106.1,2087130.5425948,0,0,0
2024-12-20T05:00:00+00:00Z,2024-12-20T06:00:00+00:00Z,0.024032,0.0278,0.017501,0.020064,34036623.1,771431.5166086,0,0,0
2024-12-20T06:00:00+00:00Z,2024-12-20T07:00:00+00:00Z,0.020064,0.021753,0.0156,0.016265,42382979.2,712778.4870746,0,0,0
2024-12-20T07:00:00+00:00Z,2024-12-20T08:00:00+00:00Z,0.016265,0.0221,0.016245,0.020095,48852587.5,943594.5278518,0,0,0
2024-12-20T08:00:00+00:00Z,2024-12-20T09:00:00+00:00Z,0.020095,0.023196,0.020052,0.020712,34667582.5,743158.8070409,0,0,0
2024-12-20T09:00:00+00:00Z,2024-12-20T10:00:00+00:00Z,0.020712,0.02112,0.0177,0.018517,26362185.9,511545.1606349,0,0,0
2024-12-20T10:00:00+00:00Z,2024-12-20T11:00:00+00:00Z,0.018517,0.0219,0.018008,0.01989,20653689.0,400933.507907,0,0,0
2024-12-20T11:00:00+00:00Z,2024-12-20T12:00:00+00:00Z,0.01989,0.021456,0.019477,0.019728,17819088.2,359518.9282284,0,0,0
2024-12-20T12:00:00+00:00Z,2024-12-20T13:00:00+00:00Z,0.019728,0.0215,0.01715,0.02025,24395483.6,476922.9155684,0,0,0
2024-12-20T13:00:00+00:00Z,2024-12-20T14:00:00+00:00Z,0.02025,0.021962,0.0197,0.020627,18593508.7,390812.4289281,0,0,0
2024-12-20T14:00:00+00:00Z,2024-12-20T15:00:00+00:00Z,0.020627,0.020683,0.019,0.019079,10694996.1,208090.4268959,0,0,0
2024-12-20T15:00:00+00:00Z,2024-12-20T16:00:00+00:00Z,0.019079,0.019599,0.0182,0.019255,12950578.5,244658.2351315,0,0,0
2024-12-20T16:00:00+00:00Z,2024-12-20T17:00:00+00:00Z,0.019255,0.01945,0.0186,0.018853,6005250.4,113646.4718096,0,0,0
2024-12-20T17:00:00+00:00Z,2024-12-20T18:00:00+00:00Z,0.018853,0.019739,0.018601,0.019356,5900991.0,112778.8676369,0,0,0
2024-12-20T18:00:00+00:00Z,2024-12-20T19:00:00+00:00Z,0.019356,0.02049,0.018756,0.019816,6976152.7,137235.0298111,0,0,0
2024-12-20T19:00:00+00:00Z,2024-12-20T20:00:00+00:00Z,0.019816,0.02136,0.019579,0.020989,6843036.3,139921.1685482,0,0,0
2024-12-20T20:00:00+00:00Z,2024-12-20T21:00:00+00:00Z,0.020989,0.021073,0.020196,0.020542,5570101.5,115399.2756581,0,0,0
2024-12-20T21:00:00+00:00Z,2024-12-20T22:00:00+00:00Z,0.020542,0.020714,0.01974,0.020213,5279767.7,106304.9132304,0,0,0
2024-12-20T22:00:00+00:00Z,2024-12-20T23:00:00+00:00Z,0.020213,0.020213,0.019587,0.01979,4380571.5,87464.2422537,0,0,0
2024-12-20T23:00:00+00:00Z,2024-12-21T00:00:00+00:00Z,0.01979,0.02044,0.019358,0.020017,4734225.9,94313.6676006,0,0,0
2024-12-21T00:00:00+00:00Z,2024-12-21T01:00:00+00:00Z,0.020017,0.020879,0.01995,0.020575,4229910.5,86818.9084725,0,0,0
2024-12-21T01:00:00+00:00Z,2024-12-21T02:00:00+00:00Z,0.020575,0.021475,0.0204,0.020824,6934770.9,144279.0700331,0,0,0
2024-12-21T02:00:00+00:00Z,2024-12-21T03:00:00+00:00Z,0.020824,0.021245,0.02024,0.020587,5475869.8,113592.5729079,0,0,0
2024-12-21T03:00:00+00:00Z,2024-12-21T04:00:00+00:00Z,0.020587,0.021057,0.020338,0.020383,3535044.7,73552.9516031,0,0,0
2024-12-21T04:00:00+00:00Z,2024-12-21T05:00:00+00:00Z,0.020383,0.02118,0.020267,0.021,3872646.8,79824.9801784,0,0,0
2024-12-21T05:00:00+00:00Z,2024-12-21T06:00:00+00:00Z,0.021,0.0218,0.02055,0.021656,7366614.6,155254.8229518,0,0,0
2024-12-21T06:00:00+00:00Z,2024-12-21T07:00:00+00:00Z,0.021656,0.025695,0.021463,0.025681,16006155.4,371204.2738445,0,0,0
2024-12-21T07:00:00+00:00Z,2024-12-21T08:00:00+00:00Z,0.025681,0.026739,0.022522,0.022633,20349305.5,505306.0058779,0,0,0
2024-12-21T08:00:00+00:00Z,2024-12-21T09:00:00+00:00Z,0.022633,0.02841,0.022554,0.027628,21418333.5,545352.1888337,0,0,0
2024-12-21T09:00:00+00:00Z,2024-12-21T10:00:00+00:00Z,0.027628,0.0338,0.026624,0.033734,33248137.3,986574.6213867,0,0,0
2024-12-21T10:00:00+00:00Z,2024-12-21T11:00:00+00:00Z,0.033734,0.0357,0.03088,0.032829,30148931.9,998421.1715383,0,0,0
2024-12-21T11:00:00+00:00Z,2024-12-21T12:00:00+00:00Z,0.032829,0.04989,0.031916,0.044802,71323854.6,3060621.1478307,0,0,0
2024-12-21T12:00:00+00:00Z,2024-12-21T13:00:00+00:00Z,0.044802,0.05,0.04058,0.041249,53476521.4,2433223.2702917,0,0,0
2024-12-21T13:00:00+00:00Z,2024-12-21T14:00:00+00:00Z,0.041249,0.045359,0.03875,0.040621,32689190.6,1365931.3000666,0,0,0
2024-12-21T14:00:00+00:00Z,2024-12-21T15:00:00+00:00Z,0.040621,0.043726,0.037,0.041635,31434524.7,1256023.3584686,0,0,0
2024-12-21T15:00:00+00:00Z,2024-12-21T16:00:00+00:00Z,0.041635,0.045937,0.040579,0.041284,25071352.3,1068929.1176466,0,0,0
2024-12-21T16:00:00+00:00Z,2024-12-21T17:00:00+00:00Z,0.041284,0.041484,0.037764,0.038369,18267378.0,724124.7566219,0,0,0
2024-12-21T17:00:00+00:00Z,2024-12-21T18:00:00+00:00Z,0.038369,0.040087,0.038001,0.039482,9828305.3,383453.7519332,0,0,0
2024-12-21T18:00:00+00:00Z,2024-12-21T19:00:00+00:00Z,0.039482,0.042906,0.03851,0.041562,13124846.0,535620.5686243,0,0,0
2024-12-21T19:00:00+00:00Z,2024-12-21T20:00:00+00:00Z,0.041562,0.042,0.038398,0.038965,7372378.5,298539.8448958,0,0,0
2024-12-21T20:00:00+00:00Z,2024-12-21T21:00:00+00:00Z,0.038965,0.039837,0.037873,0.03882,8369356.3,326752.5039219,0,0,0
2024-12-21T21:00:00+00:00Z,2024-12-21T22:00:00+00:00Z,0.03882,0.040288,0.0385,0.03905,4469673.3,176196.685324,0,0,0
2024-12-21T22:00:00+00:00Z,2024-12-21T23:00:00+00:00Z,0.03905,0.03905,0.035753,0.036635,9151923.0,337747.1196301,0,0,0
2024-12-21T23:00:00+00:00Z,2024-12-22T00:00:00+00:00Z,0.036635,0.036743,0.032406,0.035415,14075870.2,483338.5425842,0,0,0
2024-12-22T00:00:00+00:00Z,2024-12-22T01:00:00+00:00Z,0.035415,0.037689,0.035,0.037249,7040628.5,255679.3128595,0,0,0
2024-12-22T01:00:00+00:00Z,2024-12-22T02:00:00+00:00Z,0.037249,0.037666,0.034694,0.035418,6039790.4,218417.417498,0,0,0
2024-12-22T02:00:00+00:00Z,2024-12-22T03:00:00+00:00Z,0.035418,0.03649,0.034652,0.035016,3857724.4,136726.9912718,0,0,0
2024-12-22T03:00:00+00:00Z,2024-12-22T04:00:00+00:00Z,0.035016,0.035054,0.032987,0.033376,5802642.0,197797.6935535,0,0,0
2024-12-22T04:00:00+00:00Z,2024-12-22T05:00:00+00:00Z,0.033376,0.03713,0.033343,0.035687,10384793.9,364266.3199834,0,0,0
2024-12-22T05:00:00+00:00Z,2024-12-22T06:00:00+00:00Z,0.035687,0.039,0.035227,0.038869,11758066.2,435713.7989301,0,0,0
2024-12-22T06:00:00+00:00Z,2024-12-22T07:00:00+00:00Z,0.038869,0.04096,0.037213,0.0409,14048433.3,545858.5377644,0,0,0
2024-12-22T07:00:00+00:00Z,2024-12-22T08:00:00+00:00Z,0.0409,0.041531,0.03875,0.038944,13188321.3,530908.9439947,0,0,0
2024-12-22T08:00:00+00:00Z,2024-12-22T09:00:00+00:00Z,0.038944,0.04073,0.038381,0.038887,9689936.2,382857.3393764,0,0,0
2024-12-22T09:00:00+00:00Z,2024-12-22T10:00:00+00:00Z,0.038887,0.039293,0.036518,0.036591,9604469.9,363102.995751,0,0,0
2024-12-22T10:00:00+00:00Z,2024-12-22T11:00:00+00:00Z,0.036591,0.038125,0.035953,0.037414,10796456.4,401918.9402192,0,0,0
2024-12-22T11:00:00+00:00Z,2024-12-22T12:00:00+00:00Z,0.037414,0.037454,0.03522,0.036001,8294785.1,299412.2145896,0,0,0
2024-12-22T12:00:00+00:00Z,2024-12-22T13:00:00+00:00Z,0.036001,0.036916,0.035342,0.036199,7906378.9,285676.5118347,0,0,0
2024-12-22T13:00:00+00:00Z,2024-12-22T14:00:00+00:00Z,0.036199,0.037025,0.0351,0.035431,5758515.8,206600.5310238,0,0,0
2024-12-22T14:00:00+00:00Z,2024-12-22T15:00:00+00:00Z,0.035431,0.035676,0.03419,0.034491,6723512.9,234769.8712181,0,0,0
2024-12-22T15:00:00+00:00Z,2024-12-22T16:00:00+00:00Z,0.034491,0.035901,0.03411,0.035076,4452753.8,156707.1277237,0,0,0
2024-12-22T16:00:00+00:00Z,2024-12-22T17:00:00+00:00Z,0.035076,0.036372,0.034639,0.035469,4922681.4,175428.255279,0,0,0
2024-12-22T17:00:00+00:00Z,2024-12-22T18:00:00+00:00Z,0.035469,0.037,0.035392,0.036327,4027159.5,144739.914182,0,0,0
2024-12-22T18:00:00+00:00Z,2024-12-22T19:00:00+00:00Z,0.036327,0.036995,0.034985,0.035159,5312179.1,190627.0519236,0,0,0
2024-12-22T19:00:00+00:00Z,2024-12-22T20:00:00+00:00Z,0.035159,0.036022,0.033437,0.033862,6019298.5,207989.7159781,0,0,0
2024-12-22T20:00:00+00:00Z,2024-12-22T21:00:00+00:00Z,0.033862,0.034582,0.033,0.03365,6974496.7,235110.8522624,0,0,0
2024-12-22T21:00:00+00:00Z,2024-12-22T22:00:00+00:00Z,0.03365,0.034578,0.033557,0.03399,3098047.1,104825.5129549,0,0,0
2024-12-22T22:00:00+00:00Z,2024-12-22T23:00:00+00:00Z,0.03399,0.03399,0.0329,0.0332,2039007.7,67855.940703,0,0,0
2024-12-22T23:00:00+00:00Z,2024-12-23T00:00:00+00:00Z,0.0332,0.03582,0.03305,0.034819,5792319.3,200101.5803552,0,0,0
2024-12-23T00:00:00+00:00Z,2024-12-23T01:00:00+00:00Z,0.034819,0.034958,0.033331,0.033437,3348969.7,113912.4803416,0,0,0
2024-12-23T01:00:00+00:00Z,2024-12-23T02:00:00+00:00Z,0.033437,0.033988,0.032597,0.033226,2019114.4,67025.5962138,0,0,0
2024-12-23T02:00:00+00:00Z,2024-12-23T03:00:00+00:00Z,0.033226,0.033324,0.03172,0.03219,2297347.9,74363.7340189,0,0,0
2024-12-23T03:00:00+00:00Z,2024-12-23T04:00:00+00:00Z,0.03219,0.033032,0.0315,0.03287,4255448.4,137696.0165243,0,0,0
