# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,OLUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-11-19T13:00:00+00:00Z
# t0_final_iso,2024-11-19T13:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,474454af93a39965
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-11-19T13:00:00+00:00Z,2024-11-19T14:00:00+00:00Z,0.01,0.13,0.01,0.06774,69854131.0,4123989.03857,0,0,0
2024-11-19T14:00:00+00:00Z,2024-11-19T15:00:00+00:00Z,0.06774,0.14934,0.06738,0.10748,83780841.0,8764964.04496,0,0,0
2024-11-19T15:00:00+00:00Z,2024-11-19T16:00:00+00:00Z,0.10748,0.1261,0.10095,0.11759,31634219.0,3657213.58699,0,0,0
2024-11-19T16:00:00+00:00Z,2024-11-19T17:00:00+00:00Z,0.11759,0.11759,0.09401,0.10131,22869729.0,2453544.83139,0,0,0
2024-11-19T17:00:00+00:00Z,2024-11-19T18:00:00+00:00Z,0.10131,0.108,0.08345,0.09588,23697215.0,2245914.38106,0,0,0
2024-11-19T18:00:00+00:00Z,2024-11-19T19:00:00+00:00Z,0.09588,0.11252,0.08579,0.09749,21661193.0,2168318.95078,0,0,0
2024-11-19T19:00:00+00:00Z,2024-11-19T20:00:00+00:00Z,0.09749,0.10424,0.09183,0.09765,8787732.0,864996.30199,0,0,0
2024-11-19T20:00:00+00:00Z,2024-11-19T21:00:00+00:00Z,0.09765,0.09992,0.09103,0.09563,7398487.0,702878.98708,0,0,0
2024-11-19T21:00:00+00:00Z,2024-11-19T22:00:00+00:00Z,0.09563,0.09841,0.09249,0.09804,3570908.0,339150.55792,0,0,0
2024-11-19T22:00:00+00:00Z,2024-11-19T23:00:00+00:00Z,0.09804,0.10422,0.09584,0.09771,7162233.0,713608.53096,0,0,0
2024-11-19T23:00:00+00:00Z,2024-11-20T00:00:00+00:00Z,0.09771,0.09829,0.08535,0.08936,7244316.0,654884.5668,0,0,0
2024-11-20T00:00:00+00:00Z,2024-11-20T01:00:00+00:00Z,0.08936,0.0945,0.08158,0.08249,4677138.0,407469.77644,0,0,0
2024-11-20T01:00:00+00:00Z,2024-11-20T02:00:00+00:00Z,0.08249,0.09799,0.08226,0.09113,8184823.0,741609.67771,0,0,0
2024-11-20T02:00:00+00:00Z,2024-11-20T03:00:00+00:00Z,0.09113,0.1,0.09074,0.09566,5385153.0,521736.15376,0,0,0
2024-11-20T03:00:00+00:00Z,2024-11-20T04:00:00+00:00Z,0.09566,0.09566,0.08939,0.09026,5693314.0,525728.50805,0,0,0
2024-11-20T04:00:00+00:00Z,2024-11-20T05:00:00+00:00Z,0.09026,0.0956,0.086,0.08906,4313592.0,386935.67784,0,0,0
2024-11-20T05:00:00+00:00Z,2024-11-20T06:00:00+00:00Z,0.08906,0.0918,0.08727,0.08953,3836178.0,343997.85001,0,0,0
2024-11-20T06:00:00+00:00Z,2024-11-20T07:00:00+00:00Z,0.08953,0.08953,0.08531,0.0875,5115981.0,444001.27182,0,0,0
2024-11-20T07:00:00+00:00Z,2024-11-20T08:00:00+00:00Z,0.0875,0.09041,0.08734,0.08774,5761248.0,511186.55442,0,0,0
2024-11-20T08:00:00+00:00Z,2024-11-20T09:00:00+00:00Z,0.08774,0.09631,0.0871,0.0921,6850610.0,631776.84099,0,0,0
2024-11-20T09:00:00+00:00Z,2024-11-20T10:00:00+00:00Z,0.0921,0.1,0.09089,0.09196,8142822.0,780584.04784,0,0,0
2024-11-20T10:00:00+00:00Z,2024-11-20T11:00:00+00:00Z,0.09196,0.099,0.09035,0.09575,6881145.0,652249.08038,0,0,0
2024-11-20T11:00:00+00:00Z,2024-11-20T12:00:00+00:00Z,0.09575,0.1367,0.09558,0.1309,24322817.0,2841550.98812,0,0,0
2024-11-20T12:00:00+00:00Z,2024-11-20T13:00:00+00:00Z,0.1309,0.16797,0.11752,0.14324,36947101.0,5267623.04587,0,0,0
2024-11-20T13:00:00+00:00Z,2024-11-20T14:00:00+00:00Z,0.14324,0.15631,0.11939,0.139,29921382.0,4087926.43491,0,0,0
2024-11-20T14:00:00+00:00Z,2024-11-20T15:00:00+00:00Z,0.139,0.13933,0.12709,0.13327,12294759.0,1646628.03349,0,0,0
2024-11-20T15:00:00+00:00Z,2024-11-20T16:00:00+00:00Z,0.13327,0.14903,0.128,0.1436,12613457.0,1761290.7737,0,0,0
2024-11-20T16:00:00+00:00Z,2024-11-20T17:00:00+00:00Z,0.1436,0.14835,0.13213,0.13961,9840091.0,1367247.8937,0,0,0
2024-11-20T17:00:00+00:00Z,2024-11-20T18:00:00+00:00Z,0.13961,0.1423,0.12681,0.12973,6182689.0,837834.3688,0,0,0
2024-11-20T18:00:00+00:00Z,2024-11-20T19:00:00+00:00Z,0.12973,0.14545,0.12767,0.14215,5882581.0,809223.25883,0,0,0
2024-11-20T19:00:00+00:00Z,2024-11-20T20:00:00+00:00Z,0.14215,0.14332,0.13358,0.1429,5809340.0,809387.48764,0,0,0
2024-11-20T20:00:00+00:00Z,2024-11-20T21:00:00+00:00Z,0.1429,0.14409,0.13501,0.13555,4990597.0,694892.93853,0,0,0
2024-11-20T21:00:00+00:00Z,2024-11-20T22:00:00+00:00Z,0.13555,0.14875,0.13391,0.146,6187397.0,872365.89412,0,0,0
2024-11-20T22:00:00+00:00Z,2024-11-20T23:00:00+00:00Z,0.146,0.16016,0.146,0.16009,7761229.0,1195083.62237,0,0,0
2024-11-20T23:00:00+00:00Z,2024-11-21T00:00:00+00:00Z,0.16009,0.18,0.1564,0.16618,11456596.0,1931519.49916,0,0,0
2024-11-21T00:00:00+00:00Z,2024-11-21T01:00:00+00:00Z,0.16618,0.173,0.13952,0.14781,8955163.0,1418975.26898,0,0,0
2024-11-21T01:00:00+00:00Z,2024-11-21T02:00:00+00:00Z,0.14781,0.1514,0.12997,0.13922,10861514.0,1495680.65638,0,0,0
2024-11-21T02:00:00+00:00Z,2024-11-21T03:00:00+00:00Z,0.13922,0.13922,0.13,0.13718,5941557.0,797720.39325,0,0,0
2024-11-21T03:00:00+00:00Z,2024-11-21T04:00:00+00:00Z,0.13718,0.14442,0.13222,0.14442,3812466.0,520673.11786,0,0,0
2024-11-21T04:00:00+00:00Z,2024-11-21T05:00:00+00:00Z,0.14442,0.14477,0.1311,0.13674,6037792.0,834477.83631,0,0,0
2024-11-21T05:00:00+00:00Z,2024-11-21T06:00:00+00:00Z,0.13674,0.13676,0.12798,0.13261,5610476.0,745498.36522,0,0,0
2024-11-21T06:00:00+00:00Z,2024-11-21T07:00:00+00:00Z,0.13261,0.13683,0.13162,0.13465,4846287.0,649716.26363,0,0,0
2024-11-21T07:00:00+00:00Z,2024-11-21T08:00:00+00:00Z,0.13465,0.13509,0.12596,0.12859,4978319.0,647320.99067,0,0,0
2024-11-21T08:00:00+00:00Z,2024-11-21T09:00:00+00:00Z,0.12859,0.12872,0.11355,0.11997,12019504.0,1445552.4663,0,0,0
2024-11-21T09:00:00+00:00Z,2024-11-21T10:00:00+00:00Z,0.11997,0.12108,0.10241,0.10731,13315620.0,1495889.98452,0,0,0
2024-11-21T10:00:00+00:00Z,2024-11-21T11:00:00+00:00Z,0.10731,0.11935,0.10116,0.11386,16199399.0,1785933.11491,0,0,0
2024-11-21T11:00:00+00:00Z,2024-11-21T12:00:00+00:00Z,0.11386,0.126,0.10801,0.10982,15263411.0,1776668.98443,0,0,0
2024-11-21T12:00:00+00:00Z,2024-11-21T13:00:00+00:00Z,0.10982,0.11397,0.10236,0.10914,10618599.0,1147908.01111,0,0,0
2024-11-21T13:00:00+00:00Z,2024-11-21T14:00:00+00:00Z,0.10914,0.1131,0.104,0.10856,5999137.0,649295.11841,0,0,0
2024-11-21T14:00:00+00:00Z,2024-11-21T15:00:00+00:00Z,0.10856,0.12546,0.10653,0.11392,12987592.0,1516433.38038,0,0,0
2024-11-21T15:00:00+00:00Z,2024-11-21T16:00:00+00:00Z,0.11392,0.11567,0.10786,0.1118,6637404.0,741191.56288,0,0,0
2024-11-21T16:00:00+00:00Z,2024-11-21T17:00:00+00:00Z,0.1118,0.11331,0.10602,0.11114,8012992.0,882114.35247,0,0,0
2024-11-21T17:00:00+00:00Z,2024-11-21T18:00:00+00:00Z,0.11114,0.11845,0.11038,0.11062,6398579.0,730033.46756,0,0,0
2024-11-21T18:00:00+00:00Z,2024-11-21T19:00:00+00:00Z,0.11062,0.11278,0.10785,0.10978,3191480.0,352993.01235,0,0,0
2024-11-21T19:00:00+00:00Z,2024-11-21T20:00:00+00:00Z,0.10978,0.11265,0.10364,0.10486,4193731.0,450092.5255,0,0,0
2024-11-21T20:00:00+00:00Z,2024-11-21T21:00:00+00:00Z,0.10486,0.10766,0.10486,0.10766,2596380.0,275432.13511,0,0,0
2024-11-21T21:00:00+00:00Z,2024-11-21T22:00:00+00:00Z,0.10766,0.10892,0.105,0.1059,3063707.0,327566.2143,0,0,0
2024-11-21T22:00:00+00:00Z,2024-11-21T23:00:00+00:00Z,0.1059,0.10911,0.10502,0.10575,2766796.0,296719.08795,0,0,0
2024-11-21T23:00:00+00:00Z,2024-11-22T00:00:00+00:00Z,0.10575,0.10666,0.09484,0.10013,6430774.0,644700.60451,0,0,0
2024-11-22T00:00:00+00:00Z,2024-11-22T01:00:00+00:00Z,0.10013,0.10573,0.09793,0.099,4884821.0,496986.26133,0,0,0
2024-11-22T01:00:00+00:00Z,2024-11-22T02:00:00+00:00Z,0.099,0.10264,0.09528,0.10088,4357570.0,428209.01382,0,0,0
2024-11-22T02:00:00+00:00Z,2024-11-22T03:00:00+00:00Z,0.10088,0.10121,0.09725,0.09938,2700869.0,266920.32953,0,0,0
2024-11-22T03:00:00+00:00Z,2024-11-22T04:00:00+00:00Z,0.09938,0.105,0.09783,0.10327,3489974.0,353783.1214,0,0,0
2024-11-22T04:00:00+00:00Z,2024-11-22T05:00:00+00:00Z,0.10327,0.10493,0.09986,0.10389,2713145.0,277588.13385,0,0,0
2024-11-22T05:00:00+00:00Z,2024-11-22T06:00:00+00:00Z,0.10389,0.11079,0.10042,0.10845,5698109.0,603172.9764,0,0,0
2024-11-22T06:00:00+00:00Z,2024-11-22T07:00:00+00:00Z,0.10845,0.11137,0.10151,0.1042,6919848.0,732586.78873,0,0,0
