# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ORDIUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2023-08-17T08:00:00+00:00Z
# t0_final_iso,2023-08-17T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,55c621b7bbae6a9c
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-08-17T08:00:00+00:00Z,2023-08-17T09:00:00+00:00Z,4.0,5.006,4.0,4.9309,6925.32,34513.643426,0,0,0
2023-08-17T09:00:00+00:00Z,2023-08-17T10:00:00+00:00Z,4.9309,4.9833,4.9077,4.9705,1110.46,5488.41073,0,0,0
2023-08-17T10:00:00+00:00Z,2023-08-17T11:00:00+00:00Z,4.9705,4.9705,4.8601,4.8648,970.13,4768.074764,0,0,0
2023-08-17T11:00:00+00:00Z,2023-08-17T12:00:00+00:00Z,4.8648,4.8897,4.8209,4.8209,895.63,4337.693421,0,0,0
2023-08-17T12:00:00+00:00Z,2023-08-17T13:00:00+00:00Z,4.8209,4.8612,4.8067,4.8336,239.66,1157.956471,0,0,0
2023-08-17T13:00:00+00:00Z,2023-08-17T14:00:00+00:00Z,4.8336,4.8732,4.8331,4.8331,119.99,583.185592,0,0,0
2023-08-17T14:00:00+00:00Z,2023-08-17T15:00:00+00:00Z,4.8331,4.8904,4.8,4.811,855.8,4164.828623,0,0,0
2023-08-17T15:00:00+00:00Z,2023-08-17T16:00:00+00:00Z,4.811,4.8551,4.6591,4.6946,6971.68,32903.0518,0,0,0
2023-08-17T16:00:00+00:00Z,2023-08-17T17:00:00+00:00Z,4.6946,4.7285,4.596,4.6219,410.56,1906.278898,0,0,0
2023-08-17T17:00:00+00:00Z,2023-08-17T18:00:00+00:00Z,4.6219,4.7094,4.6211,4.7044,95.52,446.597175,0,0,0
2023-08-17T18:00:00+00:00Z,2023-08-17T19:00:00+00:00Z,4.7044,4.7094,4.6742,4.6916,90.92,426.299299,0,0,0
2023-08-17T19:00:00+00:00Z,2023-08-17T20:00:00+00:00Z,4.6916,4.7298,4.6767,4.6782,143.55,674.981556,0,0,0
2023-08-17T20:00:00+00:00Z,2023-08-17T21:00:00+00:00Z,4.6782,4.7075,4.3142,4.3788,1795.87,7953.099168,0,0,0
2023-08-17T21:00:00+00:00Z,2023-08-17T22:00:00+00:00Z,4.3788,4.4136,3.1458,3.5533,22108.39,78868.816096,0,0,0
2023-08-17T22:00:00+00:00Z,2023-08-17T23:00:00+00:00Z,3.5533,3.8586,3.5533,3.81,5644.56,21110.28837,0,0,0
2023-08-17T23:00:00+00:00Z,2023-08-18T00:00:00+00:00Z,3.81,3.9084,3.79,3.9012,3615.04,13995.602335,0,0,0
2023-08-18T00:00:00+00:00Z,2023-08-18T01:00:00+00:00Z,3.9012,3.9545,3.79,3.9528,451.35,1762.477362,0,0,0
2023-08-18T01:00:00+00:00Z,2023-08-18T02:00:00+00:00Z,3.9528,3.9832,3.9034,3.9647,260.7,1030.351401,0,0,0
2023-08-18T02:00:00+00:00Z,2023-08-18T03:00:00+00:00Z,3.9647,3.9941,3.9008,3.909,182.54,718.064267,0,0,0
2023-08-18T03:00:00+00:00Z,2023-08-18T04:00:00+00:00Z,3.909,3.9846,3.8719,3.9846,189.56,741.298247,0,0,0
2023-08-18T04:00:00+00:00Z,2023-08-18T05:00:00+00:00Z,3.9846,3.9846,3.9147,3.9147,32.96,129.991094,0,0,0
2023-08-18T05:00:00+00:00Z,2023-08-18T06:00:00+00:00Z,3.9147,4.0238,3.9147,4.0031,153.24,609.096718,0,0,0
2023-08-18T06:00:00+00:00Z,2023-08-18T07:00:00+00:00Z,4.0031,4.0859,4.0031,4.0859,209.38,843.898765,0,0,0
2023-08-18T07:00:00+00:00Z,2023-08-18T08:00:00+00:00Z,4.0859,4.0859,4.0019,4.0508,390.88,1569.286848,0,0,0
2023-08-18T08:00:00+00:00Z,2023-08-18T09:00:00+00:00Z,4.0508,4.0611,3.9736,4.0174,2119.43,8509.203483,0,0,0
2023-08-18T09:00:00+00:00Z,2023-08-18T10:00:00+00:00Z,4.0174,4.0174,4.0001,4.0141,628.89,2522.421323,0,0,0
2023-08-18T10:00:00+00:00Z,2023-08-18T11:00:00+00:00Z,4.0141,4.0141,3.9595,3.9732,109.3,435.640769,0,0,0
2023-08-18T11:00:00+00:00Z,2023-08-18T12:00:00+00:00Z,3.9732,4.015,3.9566,4.015,221.54,888.977132,0,0,0
2023-08-18T12:00:00+00:00Z,2023-08-18T13:00:00+00:00Z,4.015,4.015,3.9566,3.9566,83.32,331.623782,0,0,0
2023-08-18T13:00:00+00:00Z,2023-08-18T14:00:00+00:00Z,3.9566,3.9807,3.95,3.9689,645.34,2558.171411,0,0,0
2023-08-18T14:00:00+00:00Z,2023-08-18T15:00:00+00:00Z,3.9689,3.992,3.9214,3.992,947.67,3743.53853,0,0,0
2023-08-18T15:00:00+00:00Z,2023-08-18T16:00:00+00:00Z,3.992,4.0045,3.9398,3.9398,705.08,2801.416112,0,0,0
2023-08-18T16:00:00+00:00Z,2023-08-18T17:00:00+00:00Z,3.9398,4.0104,3.75,3.8127,1693.01,6482.344614,0,0,0
2023-08-18T17:00:00+00:00Z,2023-08-18T18:00:00+00:00Z,3.8127,3.9588,3.8127,3.9588,226.43,873.983363,0,0,0
2023-08-18T18:00:00+00:00Z,2023-08-18T19:00:00+00:00Z,3.9588,3.9588,3.8854,3.9179,201.33,788.669978,0,0,0
2023-08-18T19:00:00+00:00Z,2023-08-18T20:00:00+00:00Z,3.9179,3.9179,3.8254,3.8254,128.43,495.654065,0,0,0
2023-08-18T20:00:00+00:00Z,2023-08-18T21:00:00+00:00Z,3.8254,3.9206,3.8254,3.9,3673.68,14328.054992,0,0,0
2023-08-18T21:00:00+00:00Z,2023-08-18T22:00:00+00:00Z,3.9,3.9153,3.8782,3.8941,179.37,698.410935,0,0,0
2023-08-18T22:00:00+00:00Z,2023-08-18T23:00:00+00:00Z,3.8941,3.95,3.8924,3.9364,24.34,95.847083,0,0,0
2023-08-18T23:00:00+00:00Z,2023-08-19T00:00:00+00:00Z,3.9364,3.9592,3.9364,3.942,210.74,833.014487,0,0,0
2023-08-19T00:00:00+00:00Z,2023-08-19T01:00:00+00:00Z,3.942,3.9981,3.942,3.9852,63.48,252.398076,0,0,0
2023-08-19T01:00:00+00:00Z,2023-08-19T02:00:00+00:00Z,3.9852,3.9909,3.9331,3.95,152.1,603.311306,0,0,0
2023-08-19T02:00:00+00:00Z,2023-08-19T03:00:00+00:00Z,3.95,3.9741,3.95,3.95,24.05,95.082572,0,0,0
2023-08-19T03:00:00+00:00Z,2023-08-19T04:00:00+00:00Z,3.95,3.95,3.925,3.932,246.58,972.80153,0,0,0
2023-08-19T04:00:00+00:00Z,2023-08-19T05:00:00+00:00Z,3.932,3.932,3.9195,3.9195,8.2,32.139949,0,0,0
2023-08-19T05:00:00+00:00Z,2023-08-19T06:00:00+00:00Z,3.9195,3.9195,3.9195,3.9195,7.71,30.219345,0,0,0
2023-08-19T06:00:00+00:00Z,2023-08-19T07:00:00+00:00Z,3.9195,3.9598,3.9195,3.9287,231.96,911.109056,0,0,0
2023-08-19T07:00:00+00:00Z,2023-08-19T08:00:00+00:00Z,3.9287,3.9287,3.9195,3.9195,13.7,53.69715,0,0,0
2023-08-19T08:00:00+00:00Z,2023-08-19T09:00:00+00:00Z,3.9195,3.995,3.9195,3.9455,605.27,2411.841112,0,0,0
2023-08-19T09:00:00+00:00Z,2023-08-19T10:00:00+00:00Z,3.9455,3.9822,3.9455,3.9822,19.49,77.073955,0,0,0
2023-08-19T10:00:00+00:00Z,2023-08-19T11:00:00+00:00Z,3.9822,3.9822,3.968,3.974,17.7,70.342045,0,0,0
2023-08-19T11:00:00+00:00Z,2023-08-19T12:00:00+00:00Z,3.974,3.974,3.9172,3.9172,50.22,197.651608,0,0,0
2023-08-19T12:00:00+00:00Z,2023-08-19T13:00:00+00:00Z,3.9172,3.9399,3.9172,3.9323,1.71,6.727577,0,0,0
2023-08-19T13:00:00+00:00Z,2023-08-19T14:00:00+00:00Z,3.9323,3.9323,3.9068,3.9277,19.27,75.463478,0,0,0
2023-08-19T14:00:00+00:00Z,2023-08-19T15:00:00+00:00Z,3.9277,3.9357,3.8919,3.9357,753.91,2941.247203,0,0,0
2023-08-19T15:00:00+00:00Z,2023-08-19T16:00:00+00:00Z,3.9357,4.0281,3.9357,4.0056,3665.88,14450.51216,0,0,0
