# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,PERPUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-10-16T03:00:00+00:00Z
# t0_final_iso,2021-10-16T03:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,397eb46d6abc44d3
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-10-16T03:00:00+00:00Z,2021-10-16T04:00:00+00:00Z,18.07,18.24,17.96,18.2,332.74,6034.5152,0,0,0
2021-10-16T04:00:00+00:00Z,2021-10-16T05:00:00+00:00Z,18.2,18.23,17.89,17.89,350.73,6348.7985,0,0,0
2021-10-16T05:00:00+00:00Z,2021-10-16T06:00:00+00:00Z,17.89,18.04,17.89,17.95,375.04,6738.2441,0,0,0
2021-10-16T06:00:00+00:00Z,2021-10-16T07:00:00+00:00Z,17.95,18.01,17.64,17.78,327.43,5828.8079,0,0,0
2021-10-16T07:00:00+00:00Z,2021-10-16T08:00:00+00:00Z,17.78,17.9,17.62,17.84,334.93,5957.5315,0,0,0
2021-10-16T08:00:00+00:00Z,2021-10-16T09:00:00+00:00Z,17.84,18.02,17.75,17.94,310.78,5562.2369,0,0,0
2021-10-16T09:00:00+00:00Z,2021-10-16T10:00:00+00:00Z,17.94,18.02,17.83,17.99,353.68,6349.083,0,0,0
2021-10-16T10:00:00+00:00Z,2021-10-16T11:00:00+00:00Z,17.99,18.12,17.82,17.91,361.99,6501.626,0,0,0
2021-10-16T11:00:00+00:00Z,2021-10-16T12:00:00+00:00Z,17.91,18.0,17.78,17.9,331.66,5931.7159,0,0,0
2021-10-16T12:00:00+00:00Z,2021-10-16T13:00:00+00:00Z,17.9,17.93,17.35,17.39,382.85,6801.7475,0,0,0
2021-10-16T13:00:00+00:00Z,2021-10-16T14:00:00+00:00Z,17.39,17.74,17.36,17.63,352.15,6192.5003,0,0,0
2021-10-16T14:00:00+00:00Z,2021-10-16T15:00:00+00:00Z,17.63,17.73,17.45,17.56,349.46,6159.5153,0,0,0
2021-10-16T15:00:00+00:00Z,2021-10-16T16:00:00+00:00Z,17.56,17.56,17.4,17.42,336.88,5886.4903,0,0,0
2021-10-16T16:00:00+00:00Z,2021-10-16T17:00:00+00:00Z,17.42,17.51,17.37,17.42,360.33,6284.0041,0,0,0
2021-10-16T17:00:00+00:00Z,2021-10-16T18:00:00+00:00Z,17.42,17.47,17.23,17.43,591.42,10285.269,0,0,0
2021-10-16T18:00:00+00:00Z,2021-10-16T19:00:00+00:00Z,17.43,17.52,17.37,17.52,346.77,6044.2897,0,0,0
2021-10-16T19:00:00+00:00Z,2021-10-16T20:00:00+00:00Z,17.52,17.52,17.24,17.32,586.09,10164.3357,0,0,0
2021-10-16T20:00:00+00:00Z,2021-10-16T21:00:00+00:00Z,17.32,17.51,17.15,17.51,312.93,5431.8918,0,0,0
2021-10-16T21:00:00+00:00Z,2021-10-16T22:00:00+00:00Z,17.51,17.51,17.32,17.38,303.02,5281.597,0,0,0
2021-10-16T22:00:00+00:00Z,2021-10-16T23:00:00+00:00Z,17.38,17.43,17.23,17.3,323.97,5613.2839,0,0,0
2021-10-16T23:00:00+00:00Z,2021-10-17T00:00:00+00:00Z,17.3,17.45,17.13,17.16,350.51,6071.163,0,0,0
2021-10-17T00:00:00+00:00Z,2021-10-17T01:00:00+00:00Z,17.16,17.45,17.11,17.32,349.19,6012.844,0,0,0
2021-10-17T01:00:00+00:00Z,2021-10-17T02:00:00+00:00Z,17.32,17.44,17.21,17.44,382.96,6636.274,0,0,0
2021-10-17T02:00:00+00:00Z,2021-10-17T03:00:00+00:00Z,17.44,17.44,17.32,17.37,311.62,5421.5007,0,0,0
2021-10-17T03:00:00+00:00Z,2021-10-17T04:00:00+00:00Z,17.37,17.52,17.28,17.38,337.64,5871.7854,0,0,0
2021-10-17T04:00:00+00:00Z,2021-10-17T05:00:00+00:00Z,17.38,17.78,17.34,17.66,328.39,5752.6823,0,0,0
2021-10-17T05:00:00+00:00Z,2021-10-17T06:00:00+00:00Z,17.66,17.73,17.45,17.52,342.32,6038.4622,0,0,0
2021-10-17T06:00:00+00:00Z,2021-10-17T07:00:00+00:00Z,17.52,17.55,17.4,17.47,352.28,6163.9273,0,0,0
2021-10-17T07:00:00+00:00Z,2021-10-17T08:00:00+00:00Z,17.47,17.76,17.41,17.46,340.03,5986.3479,0,0,0
2021-10-17T08:00:00+00:00Z,2021-10-17T09:00:00+00:00Z,17.46,17.71,17.45,17.62,352.14,6204.3551,0,0,0
2021-10-17T09:00:00+00:00Z,2021-10-17T10:00:00+00:00Z,17.62,18.05,17.53,17.93,785.25,14093.1911,0,0,0
2021-10-17T10:00:00+00:00Z,2021-10-17T11:00:00+00:00Z,17.93,17.98,17.68,17.78,717.76,12718.7006,0,0,0
2021-10-17T11:00:00+00:00Z,2021-10-17T12:00:00+00:00Z,17.78,17.97,17.65,17.68,231.98,4129.9869,0,0,0
2021-10-17T12:00:00+00:00Z,2021-10-17T13:00:00+00:00Z,17.68,17.84,17.49,17.81,336.18,5937.5246,0,0,0
2021-10-17T13:00:00+00:00Z,2021-10-17T14:00:00+00:00Z,17.81,17.81,17.42,17.54,321.24,5661.891,0,0,0
2021-10-17T14:00:00+00:00Z,2021-10-17T15:00:00+00:00Z,17.54,17.59,17.33,17.44,323.62,5647.7994,0,0,0
2021-10-17T15:00:00+00:00Z,2021-10-17T16:00:00+00:00Z,17.44,17.54,17.08,17.23,376.84,6520.9806,0,0,0
2021-10-17T16:00:00+00:00Z,2021-10-17T17:00:00+00:00Z,17.23,17.5,17.1,17.15,399.35,6902.5106,0,0,0
2021-10-17T17:00:00+00:00Z,2021-10-17T18:00:00+00:00Z,17.15,17.52,17.12,17.49,343.05,5941.4188,0,0,0
2021-10-17T18:00:00+00:00Z,2021-10-17T19:00:00+00:00Z,17.49,17.54,17.22,17.24,363.45,6337.7473,0,0,0
2021-10-17T19:00:00+00:00Z,2021-10-17T20:00:00+00:00Z,17.24,17.28,17.1,17.23,308.51,5307.093,0,0,0
2021-10-17T20:00:00+00:00Z,2021-10-17T21:00:00+00:00Z,17.23,17.23,16.66,17.04,347.54,5876.6516,0,0,0
2021-10-17T21:00:00+00:00Z,2021-10-17T22:00:00+00:00Z,17.04,17.2,16.94,17.19,361.71,6167.1665,0,0,0
2021-10-17T22:00:00+00:00Z,2021-10-17T23:00:00+00:00Z,17.19,17.48,17.17,17.45,361.0,6248.4557,0,0,0
2021-10-17T23:00:00+00:00Z,2021-10-18T00:00:00+00:00Z,17.45,17.81,17.38,17.81,366.07,6435.2308,0,0,0
2021-10-18T00:00:00+00:00Z,2021-10-18T01:00:00+00:00Z,17.81,17.95,17.61,17.77,345.42,6131.2707,0,0,0
2021-10-18T01:00:00+00:00Z,2021-10-18T02:00:00+00:00Z,17.77,18.07,17.69,17.98,346.36,6213.108,0,0,0
2021-10-18T02:00:00+00:00Z,2021-10-18T03:00:00+00:00Z,17.98,18.12,17.76,17.81,350.38,6296.8297,0,0,0
2021-10-18T03:00:00+00:00Z,2021-10-18T04:00:00+00:00Z,17.81,17.89,17.72,17.77,326.59,5813.6087,0,0,0
2021-10-18T04:00:00+00:00Z,2021-10-18T05:00:00+00:00Z,17.77,17.85,17.66,17.77,337.8,5998.1641,0,0,0
2021-10-18T05:00:00+00:00Z,2021-10-18T06:00:00+00:00Z,17.77,17.84,17.53,17.6,346.82,6137.1658,0,0,0
2021-10-18T06:00:00+00:00Z,2021-10-18T07:00:00+00:00Z,17.6,18.15,17.51,17.96,286.32,5103.005,0,0,0
2021-10-18T07:00:00+00:00Z,2021-10-18T08:00:00+00:00Z,17.96,18.16,17.66,17.76,284.68,5085.4367,0,0,0
2021-10-18T08:00:00+00:00Z,2021-10-18T09:00:00+00:00Z,17.76,18.05,17.54,17.65,347.9,6167.6729,0,0,0
2021-10-18T09:00:00+00:00Z,2021-10-18T10:00:00+00:00Z,17.65,17.69,17.17,17.34,334.27,5832.9451,0,0,0
2021-10-18T10:00:00+00:00Z,2021-10-18T11:00:00+00:00Z,17.34,17.36,17.14,17.21,284.85,4912.4075,0,0,0
2021-10-18T11:00:00+00:00Z,2021-10-18T12:00:00+00:00Z,17.21,17.28,17.06,17.09,251.13,4313.7431,0,0,0
2021-10-18T12:00:00+00:00Z,2021-10-18T13:00:00+00:00Z,17.09,17.3,17.05,17.15,249.64,4292.1369,0,0,0
2021-10-18T13:00:00+00:00Z,2021-10-18T14:00:00+00:00Z,17.15,17.7,16.97,17.7,235.66,4079.9975,0,0,0
2021-10-18T14:00:00+00:00Z,2021-10-18T15:00:00+00:00Z,17.7,17.73,17.24,17.36,247.07,4324.2867,0,0,0
2021-10-18T15:00:00+00:00Z,2021-10-18T16:00:00+00:00Z,17.36,17.58,17.19,17.38,261.6,4552.4825,0,0,0
2021-10-18T16:00:00+00:00Z,2021-10-18T17:00:00+00:00Z,17.38,17.52,17.0,17.09,235.6,4060.1106,0,0,0
2021-10-18T17:00:00+00:00Z,2021-10-18T18:00:00+00:00Z,17.09,17.1,16.92,16.95,206.17,3507.3896,0,0,0
2021-10-18T18:00:00+00:00Z,2021-10-18T19:00:00+00:00Z,16.95,19.89,16.72,17.71,305.2,5320.3587,0,0,0
2021-10-18T19:00:00+00:00Z,2021-10-18T20:00:00+00:00Z,17.71,18.27,17.32,17.46,471.25,8324.5861,0,0,0
2021-10-18T20:00:00+00:00Z,2021-10-18T21:00:00+00:00Z,17.46,17.52,16.96,16.96,1018.66,17619.819,0,0,0
2021-10-18T21:00:00+00:00Z,2021-10-18T22:00:00+00:00Z,16.96,17.13,16.89,16.95,240.47,4099.1332,0,0,0
2021-10-18T22:00:00+00:00Z,2021-10-18T23:00:00+00:00Z,16.95,17.03,16.68,16.85,894.16,15081.4573,0,0,0
2021-10-18T23:00:00+00:00Z,2021-10-19T00:00:00+00:00Z,16.85,16.87,16.64,16.75,260.18,4358.495,0,0,0
2021-10-19T00:00:00+00:00Z,2021-10-19T01:00:00+00:00Z,16.75,16.75,16.62,16.71,252.11,4207.5752,0,0,0
2021-10-19T01:00:00+00:00Z,2021-10-19T02:00:00+00:00Z,16.71,16.8,16.36,16.59,236.23,3937.1963,0,0,0
2021-10-19T02:00:00+00:00Z,2021-10-19T03:00:00+00:00Z,16.59,16.72,16.48,16.67,259.06,4297.6244,0,0,0
2021-10-19T03:00:00+00:00Z,2021-10-19T04:00:00+00:00Z,16.67,16.8,16.53,16.62,253.96,4234.2002,0,0,0
2021-10-19T04:00:00+00:00Z,2021-10-19T05:00:00+00:00Z,16.62,16.68,16.52,16.6,255.78,4247.0613,0,0,0
2021-10-19T05:00:00+00:00Z,2021-10-19T06:00:00+00:00Z,16.6,16.66,16.44,16.55,256.25,4248.2367,0,0,0
2021-10-19T06:00:00+00:00Z,2021-10-19T07:00:00+00:00Z,16.55,16.64,16.5,16.58,247.16,4099.0622,0,0,0
2021-10-19T07:00:00+00:00Z,2021-10-19T08:00:00+00:00Z,16.58,16.66,16.43,16.59,270.64,4478.8131,0,0,0
2021-10-19T08:00:00+00:00Z,2021-10-19T09:00:00+00:00Z,16.59,16.61,16.42,16.6,259.43,4285.0062,0,0,0
2021-10-19T09:00:00+00:00Z,2021-10-19T10:00:00+00:00Z,16.6,16.68,16.3,16.43,270.61,4460.8375,0,0,0
2021-10-19T10:00:00+00:00Z,2021-10-19T11:00:00+00:00Z,16.43,16.6,16.39,16.55,646.83,10699.7468,0,0,0
2021-10-19T11:00:00+00:00Z,2021-10-19T12:00:00+00:00Z,16.55,16.7,16.48,16.7,262.98,4354.1446,0,0,0
2021-10-19T12:00:00+00:00Z,2021-10-19T13:00:00+00:00Z,16.7,16.7,16.4,16.44,253.1,4176.2267,0,0,0
2021-10-19T13:00:00+00:00Z,2021-10-19T14:00:00+00:00Z,16.44,16.73,16.37,16.51,282.92,4679.0587,0,0,0
2021-10-19T14:00:00+00:00Z,2021-10-19T15:00:00+00:00Z,16.51,16.59,16.16,16.35,281.58,4610.8965,0,0,0
2021-10-19T15:00:00+00:00Z,2021-10-19T16:00:00+00:00Z,16.35,16.52,16.25,16.39,259.69,4246.8341,0,0,0
2021-10-19T16:00:00+00:00Z,2021-10-19T17:00:00+00:00Z,16.39,16.5,16.06,16.13,757.19,12333.1386,0,0,0
2021-10-19T17:00:00+00:00Z,2021-10-19T18:00:00+00:00Z,16.13,16.22,16.07,16.12,260.31,4204.1243,0,0,0
2021-10-19T18:00:00+00:00Z,2021-10-19T19:00:00+00:00Z,16.12,16.16,16.02,16.11,258.93,4168.6267,0,0,0
2021-10-19T19:00:00+00:00Z,2021-10-19T20:00:00+00:00Z,16.11,16.18,15.96,15.96,264.78,4254.8545,0,0,0
2021-10-19T20:00:00+00:00Z,2021-10-19T21:00:00+00:00Z,15.96,16.01,15.82,15.85,267.74,4258.4513,0,0,0
2021-10-19T21:00:00+00:00Z,2021-10-19T22:00:00+00:00Z,15.85,16.6,15.82,15.98,274.08,4413.6734,0,0,0
2021-10-19T22:00:00+00:00Z,2021-10-19T23:00:00+00:00Z,15.98,16.32,15.96,16.24,291.73,4709.1826,0,0,0
2021-10-19T23:00:00+00:00Z,2021-10-20T00:00:00+00:00Z,16.24,16.27,16.04,16.11,267.98,4327.7984,0,0,0
2021-10-20T00:00:00+00:00Z,2021-10-20T01:00:00+00:00Z,16.11,16.14,15.95,15.97,262.09,4199.5631,0,0,0
2021-10-20T01:00:00+00:00Z,2021-10-20T02:00:00+00:00Z,15.97,16.01,15.78,15.85,283.44,4503.2606,0,0,0
2021-10-20T02:00:00+00:00Z,2021-10-20T03:00:00+00:00Z,15.85,15.9,15.73,15.74,118.02,1868.5659,0,0,0
2021-10-20T03:00:00+00:00Z,2021-10-20T04:00:00+00:00Z,15.74,15.87,15.64,15.67,60.18,949.3898,0,0,0
2021-10-20T04:00:00+00:00Z,2021-10-20T05:00:00+00:00Z,15.67,15.76,15.45,15.59,56.53,882.7128,0,0,0
2021-10-20T05:00:00+00:00Z,2021-10-20T06:00:00+00:00Z,15.59,15.73,15.33,15.52,99.21,1539.8014,0,0,0
2021-10-20T06:00:00+00:00Z,2021-10-20T07:00:00+00:00Z,15.52,15.57,15.3,15.33,60.45,934.2052,0,0,0
2021-10-20T07:00:00+00:00Z,2021-10-20T08:00:00+00:00Z,15.33,15.52,15.28,15.5,56.65,874.6054,0,0,0
2021-10-20T08:00:00+00:00Z,2021-10-20T09:00:00+00:00Z,15.5,15.56,15.5,15.53,91.47,1420.3968,0,0,0
2021-10-20T09:00:00+00:00Z,2021-10-20T10:00:00+00:00Z,15.53,15.6,15.35,15.58,346.59,5380.2893,0,0,0
2021-10-20T10:00:00+00:00Z,2021-10-20T11:00:00+00:00Z,15.58,15.6,15.45,15.6,71.62,1113.8801,0,0,0
2021-10-20T11:00:00+00:00Z,2021-10-20T12:00:00+00:00Z,15.6,15.6,15.53,15.53,61.78,963.1142,0,0,0
2021-10-20T12:00:00+00:00Z,2021-10-20T13:00:00+00:00Z,15.53,15.96,15.53,15.91,98.69,1550.7165,0,0,0
2021-10-20T13:00:00+00:00Z,2021-10-20T14:00:00+00:00Z,15.91,16.05,15.8,16.03,64.72,1031.497,0,0,0
2021-10-20T14:00:00+00:00Z,2021-10-20T15:00:00+00:00Z,16.03,16.21,15.92,16.08,546.59,8725.4107,0,0,0
2021-10-20T15:00:00+00:00Z,2021-10-20T16:00:00+00:00Z,16.08,16.2,15.92,16.02,95.56,1533.8818,0,0,0
2021-10-20T16:00:00+00:00Z,2021-10-20T17:00:00+00:00Z,16.02,16.25,15.97,16.14,71.7,1154.5133,0,0,0
