# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,PIXFIUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-07-18T12:00:00+00:00Z
# t0_final_iso,2024-07-18T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,b27fddc03b8b67c5
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-07-18T12:00:00+00:00Z,2024-07-18T13:00:00+00:00Z,0.0019,0.0365,0.0019,0.027665,193857439.0,5706463.459141,0,0,0
2024-07-18T13:00:00+00:00Z,2024-07-18T14:00:00+00:00Z,0.027665,0.0283,0.019001,0.023506,62241735.0,1467392.654214,0,0,0
2024-07-18T14:00:00+00:00Z,2024-07-18T15:00:00+00:00Z,0.023506,0.024799,0.018111,0.019109,50065846.0,1034330.263134,0,0,0
2024-07-18T15:00:00+00:00Z,2024-07-18T16:00:00+00:00Z,0.019109,0.023775,0.018851,0.023326,41252193.0,865541.113406,0,0,0
2024-07-18T16:00:00+00:00Z,2024-07-18T17:00:00+00:00Z,0.023326,0.027,0.022701,0.025865,38361232.0,952112.389496,0,0,0
2024-07-18T17:00:00+00:00Z,2024-07-18T18:00:00+00:00Z,0.025865,0.02595,0.023877,0.025193,16545420.0,411562.56489,0,0,0
2024-07-18T18:00:00+00:00Z,2024-07-18T19:00:00+00:00Z,0.025193,0.0255,0.0238,0.024306,10495515.0,258656.858707,0,0,0
2024-07-18T19:00:00+00:00Z,2024-07-18T20:00:00+00:00Z,0.024306,0.02999,0.0235,0.029177,24785033.0,684540.038326,0,0,0
2024-07-18T20:00:00+00:00Z,2024-07-18T21:00:00+00:00Z,0.029177,0.042,0.027762,0.034354,58055342.0,2017294.068218,0,0,0
2024-07-18T21:00:00+00:00Z,2024-07-18T22:00:00+00:00Z,0.034354,0.0375,0.026291,0.03526,44637145.0,1395819.672057,0,0,0
2024-07-18T22:00:00+00:00Z,2024-07-18T23:00:00+00:00Z,0.03526,0.037648,0.030738,0.032374,20221684.0,684770.470898,0,0,0
2024-07-18T23:00:00+00:00Z,2024-07-19T00:00:00+00:00Z,0.032374,0.037306,0.030546,0.034802,18743427.0,646007.147106,0,0,0
2024-07-19T00:00:00+00:00Z,2024-07-19T01:00:00+00:00Z,0.034802,0.03676,0.029771,0.033571,12059214.0,410788.78183,0,0,0
