# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,PONKEUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-05-10T12:00:00+00:00Z
# t0_final_iso,2024-05-10T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,cac853ec57ad6cd5
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-05-10T12:00:00+00:00Z,2024-05-10T13:00:00+00:00Z,0.1,2.5,0.1,0.1768,3512118.19,654703.61475,0,0,0
2024-05-10T13:00:00+00:00Z,2024-05-10T14:00:00+00:00Z,0.1768,0.1789,0.1694,0.17,524464.95,90993.902066,0,0,0
2024-05-10T14:00:00+00:00Z,2024-05-10T15:00:00+00:00Z,0.17,0.1701,0.1565,0.1626,769580.7,126247.252939,0,0,0
2024-05-10T15:00:00+00:00Z,2024-05-10T16:00:00+00:00Z,0.1626,0.1692,0.1563,0.1577,661878.45,107833.914753,0,0,0
2024-05-10T16:00:00+00:00Z,2024-05-10T17:00:00+00:00Z,0.1577,0.1636,0.1557,0.1619,422632.24,67670.35913,0,0,0
2024-05-10T17:00:00+00:00Z,2024-05-10T18:00:00+00:00Z,0.1619,0.1635,0.1578,0.1629,485816.84,78371.783013,0,0,0
2024-05-10T18:00:00+00:00Z,2024-05-10T19:00:00+00:00Z,0.1629,0.1749,0.1596,0.1662,882144.41,145315.660571,0,0,0
2024-05-10T19:00:00+00:00Z,2024-05-10T20:00:00+00:00Z,0.1662,0.173,0.1653,0.1685,509444.47,86119.361981,0,0,0
2024-05-10T20:00:00+00:00Z,2024-05-10T21:00:00+00:00Z,0.1685,0.1718,0.1661,0.171,310909.33,52404.54638,0,0,0
2024-05-10T21:00:00+00:00Z,2024-05-10T22:00:00+00:00Z,0.171,0.1721,0.1674,0.1705,341197.22,57953.924514,0,0,0
2024-05-10T22:00:00+00:00Z,2024-05-10T23:00:00+00:00Z,0.1705,0.1706,0.1646,0.1663,196154.36,32849.335638,0,0,0
2024-05-10T23:00:00+00:00Z,2024-05-11T00:00:00+00:00Z,0.1663,0.1676,0.1649,0.1667,83361.7,13857.587424,0,0,0
2024-05-11T00:00:00+00:00Z,2024-05-11T01:00:00+00:00Z,0.1667,0.1673,0.1647,0.1651,94705.14,15736.756198,0,0,0
2024-05-11T01:00:00+00:00Z,2024-05-11T02:00:00+00:00Z,0.1651,0.1657,0.1609,0.1623,73177.26,11999.57896,0,0,0
2024-05-11T02:00:00+00:00Z,2024-05-11T03:00:00+00:00Z,0.1623,0.1625,0.1604,0.1615,51755.94,8355.020511,0,0,0
2024-05-11T03:00:00+00:00Z,2024-05-11T04:00:00+00:00Z,0.1615,0.1689,0.1611,0.1656,282906.85,46801.244926,0,0,0
2024-05-11T04:00:00+00:00Z,2024-05-11T05:00:00+00:00Z,0.1656,0.1665,0.1625,0.1655,225512.82,37154.862676,0,0,0
2024-05-11T05:00:00+00:00Z,2024-05-11T06:00:00+00:00Z,0.1655,0.1725,0.1654,0.1701,315910.53,53451.921467,0,0,0
