# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,POPCATUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-06-21T08:00:00+00:00Z
# t0_final_iso,2024-06-21T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,09a76e1171a82215
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-06-21T08:00:00+00:00Z,2024-06-21T09:00:00+00:00Z,0.15,0.308,0.1,0.2327,1109348.29,284468.323377,0,0,0
2024-06-21T09:00:00+00:00Z,2024-06-21T10:00:00+00:00Z,0.2327,0.2435,0.2313,0.2416,392485.66,93309.432751,0,0,0
2024-06-21T10:00:00+00:00Z,2024-06-21T11:00:00+00:00Z,0.2416,0.2422,0.2326,0.2328,212584.82,50647.826415,0,0,0
2024-06-21T11:00:00+00:00Z,2024-06-21T12:00:00+00:00Z,0.2328,0.2385,0.2321,0.2348,50590.91,11944.575095,0,0,0
2024-06-21T12:00:00+00:00Z,2024-06-21T13:00:00+00:00Z,0.2348,0.2423,0.2276,0.2342,170931.31,39751.622864,0,0,0
2024-06-21T13:00:00+00:00Z,2024-06-21T14:00:00+00:00Z,0.2342,0.245,0.2233,0.2287,392044.22,89981.491644,0,0,0
2024-06-21T14:00:00+00:00Z,2024-06-21T15:00:00+00:00Z,0.2287,0.2542,0.2263,0.2507,241104.05,58287.798009,0,0,0
2024-06-21T15:00:00+00:00Z,2024-06-21T16:00:00+00:00Z,0.2507,0.2517,0.2317,0.2389,221224.63,53165.186102,0,0,0
2024-06-21T16:00:00+00:00Z,2024-06-21T17:00:00+00:00Z,0.2389,0.245,0.2357,0.244,138718.23,33383.815253,0,0,0
2024-06-21T17:00:00+00:00Z,2024-06-21T18:00:00+00:00Z,0.244,0.2466,0.2339,0.2381,112640.49,27010.086185,0,0,0
2024-06-21T18:00:00+00:00Z,2024-06-21T19:00:00+00:00Z,0.2381,0.255,0.2349,0.2519,140320.82,34153.266038,0,0,0
2024-06-21T19:00:00+00:00Z,2024-06-21T20:00:00+00:00Z,0.2519,0.2548,0.2458,0.2515,134743.84,33735.03293,0,0,0
2024-06-21T20:00:00+00:00Z,2024-06-21T21:00:00+00:00Z,0.2515,0.2551,0.2472,0.2487,69119.81,17266.259988,0,0,0
2024-06-21T21:00:00+00:00Z,2024-06-21T22:00:00+00:00Z,0.2487,0.2491,0.241,0.2451,55247.63,13474.975598,0,0,0
2024-06-21T22:00:00+00:00Z,2024-06-21T23:00:00+00:00Z,0.2451,0.2511,0.2422,0.2508,64864.97,16010.470721,0,0,0
2024-06-21T23:00:00+00:00Z,2024-06-22T00:00:00+00:00Z,0.2508,0.2525,0.2475,0.2485,24735.22,6174.334402,0,0,0
2024-06-22T00:00:00+00:00Z,2024-06-22T01:00:00+00:00Z,0.2485,0.2507,0.2415,0.2435,19151.22,4713.802598,0,0,0
