# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,PSGUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2022-08-16T10:00:00+00:00Z
# t0_final_iso,2022-08-16T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,7e5ad27f00b0b433
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-08-16T10:00:00+00:00Z,2022-08-16T11:00:00+00:00Z,6.5,9.0799,6.5,9.0267,111.98,1010.041739,0,0,0
2022-08-16T11:00:00+00:00Z,2022-08-16T12:00:00+00:00Z,9.0267,9.1244,9.0,9.026,47.89,435.103396,0,0,0
2022-08-16T12:00:00+00:00Z,2022-08-16T13:00:00+00:00Z,9.026,9.0742,8.9563,8.965,141.08,1270.647152,0,0,0
2022-08-16T13:00:00+00:00Z,2022-08-16T14:00:00+00:00Z,8.965,9.0398,8.8878,8.984,19.83,177.709751,0,0,0
2022-08-16T14:00:00+00:00Z,2022-08-16T15:00:00+00:00Z,8.984,8.984,8.8188,8.9162,31.46,281.152678,0,0,0
2022-08-16T15:00:00+00:00Z,2022-08-16T16:00:00+00:00Z,8.9162,8.9566,8.8172,8.884,20.22,179.680274,0,0,0
2022-08-16T16:00:00+00:00Z,2022-08-16T17:00:00+00:00Z,8.884,8.9462,8.8053,8.8463,20.96,186.84515,0,0,0
2022-08-16T17:00:00+00:00Z,2022-08-16T18:00:00+00:00Z,8.8463,8.9757,8.8263,8.9261,3.24,28.860642,0,0,0
2022-08-16T18:00:00+00:00Z,2022-08-16T19:00:00+00:00Z,8.9261,9.0238,8.7664,8.791,15.12,135.49694,0,0,0
2022-08-16T19:00:00+00:00Z,2022-08-16T20:00:00+00:00Z,8.791,8.8337,8.6967,8.8135,95.83,843.068735,0,0,0
2022-08-16T20:00:00+00:00Z,2022-08-16T21:00:00+00:00Z,8.8135,8.9338,8.7579,8.9338,7.71,67.821205,0,0,0
